season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,team_name,team_id,sdrm_id,games_played,games_started,uniform,code,year,offensive_position,defensive_position,active,rush_stats,pass_stats,receiving_stats_number,receiving_stats_yards,receiving_stats_touchdowns,receiving_stats_longest_reception,receiving_stats_avg_per_reception,punt_stats,kickoff_stats,fieldgoal_stats,pat_stats,defense_stats,kickreturn_stats,puntreturn_stats,interception_return_stats,fumblereturn_stats,fumble_stats,scoring_stats,receiving_stats,defense_stats_interception_return_yards,defense_stats_unassisted_tackles,defense_stats_assisted_tackles,defense_stats_tackles,defense_stats_total_tackles,defense_stats_tackles_for_loss,defense_stats_tackles_for_loss_per_game,defense_stats_tackles_per_game,defense_stats_unassisted_tackles_for_loss,defense_stats_assisted_tackles_for_loss,defense_stats_tackle_yards_for_loss,defense_stats_sacks,defense_stats_unassisted_sacks,defense_stats_assisted_sacks,defense_stats_sack_yards_for_loss,defense_stats_pass_breakups,defense_stats_fumbles_forced,defense_stats_quarterback_hurries,defense_stats_safeties_scored,defense_stats_blocked_kicks,defense_stats_fumbles_recovered,defense_stats_fumble_return_yards,defense_stats_interceptions,defense_stats_passes_defended,scoring_stats_pat_kicks,scoring_stats_touchdowns,scoring_stats_fieldgoals,scoring_stats_safeties,scoring_stats_pat_rushes,scoring_stats_pat_receptions,scoring_stats_pat_kick_returns,scoring_stats_pat_fumble_returns,scoring_stats_rouges,scoring_stats_points,scoring_stats_all_points,scoring_stats_points_per_game,rush_stats_attempts,rush_stats_net_yards,rush_stats_yards_gained,rush_stats_yards_lost,rush_stats_touchdowns,rush_stats_longest_rush,rush_stats_avg_per_play,rush_stats_avg_per_game,pass_stats_yards_lost_by_sacks,pass_stats_sacked,pass_stats_longest_pass,pass_stats_touchdowns,pass_stats_yards,pass_stats_interceptions,pass_stats_attempts,pass_stats_completions,pass_stats_efficiency,pass_stats_avg_per_pass,pass_stats_avg_per_catch,pass_stats_avg_per_game,pat_stats_kick_attempts,pat_stats_kicks_made,pat_stats_rush_attempts,pat_stats_rushes_made,pat_stats_pass_attempts,pat_stats_passes_made,pat_stats_reception_attempts,pat_stats_receptions_made,pat_stats_defensive_return_attempts,pat_stats_defensive_returns_made,pat_stats_defensive_blocked_kick_return_attempts,pat_stats_devensive_blocked_kick_returns_made,interception_return_stats_number,interception_return_stats_yards,interception_return_stats_touchdowns,interception_return_stats_longest,interception_return_stats_avg_per_return,puntreturn_stats_number,puntreturn_stats_yards,puntreturn_stats_touchdowns,puntreturn_stats_longest_punt_return,puntreturn_stats_avg_per_return,punt_stats_number,punt_stats_yards,punt_stats_longest_punt,punt_stats_blocked,punt_stats_touchbacks,punt_stats_fair_catches,punt_stats_fifty_plus_yards,punt_stats_inside_twenty,punt_stats_avg_per_punt,fieldgoal_stats_made,fieldgoal_stats_attempts,fieldgoal_stats_longest_fieldgoal,fieldgoal_stats_blocked,fieldgoal_stats_percentage,kickoff_stats_number,kickoff_stats_yards,kickoff_stats_out_of_bounds,kickoff_stats_touchbacks,kickoff_stats_avg_per_kickoff,kickreturn_stats_number,kickreturn_stats_yards,kickreturn_stats_touchdowns,kickreturn_stats_longest_kickoff_return,kickreturn_stats_avg_per_return,fumblereturn_stats_number,fumblereturn_stats_yards,fumblereturn_stats_touchdowns,fumblereturn_stats_longest_interception_return,fumble_stats_number,fumble_stats_number_lost
2026-27,football,American Southwest Conference (ASC),asc,East Texas Baptist,"Wilson,Colton",Colton,Wilson,,1062,"Wilson,Colton","WILSON,COLTON",East Texas Baptist,ETB,636-4683,1,1,11,11,0,0,DE,0,,,,,,,,,,,,,,,,,,,,0,1,1,2,2,.0,.0,.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,football,American Southwest Conference (ASC),asc,East Texas Baptist,"Markajani,Shai",Shai,Markajani,,1062,"Markajani,Shai","MARKAJANI,SHAI",East Texas Baptist,ETB,636-5008,1,0,12,12,0,QB,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,football,American Southwest Conference (ASC),asc,East Texas Baptist,"French,Carson",Carson,French,,1062,"French,Carson","FRENCH,CARSON",East Texas Baptist,ETB,636-4986,1,1,13,13,0,WR,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,football,American Southwest Conference (ASC),asc,East Texas Baptist,"Johnson,Kemaur",Kemaur,Johnson,,1062,"Johnson,Kemaur","JOHNSON,KEMAUR",East Texas Baptist,ETB,636-5003,1,1,14,14,0,0,S,0,,,,,,,,,,,,,,,,,,,,25,1,0,1,1,.0,.0,.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,25,0,25,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,football,American Southwest Conference (ASC),asc,East Texas Baptist,"Spriggs,Jaylen",Jaylen,Spriggs,,1062,"Spriggs,Jaylen","SPRIGGS,JAYLEN",East Texas Baptist,ETB,636-5041,1,0,15,15,0,QB,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,17,0,17,0,1,1,242.8,17.00,17.00,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,football,American Southwest Conference (ASC),asc,East Texas Baptist,"Sauls,Rayvon",Rayvon,Sauls,,1062,"Sauls,Rayvon","SAULS,RAYVON",East Texas Baptist,ETB,636-5585,1,1,18,18,0,0,LB,0,,,,,,,,,,,,,,,,,,,,0,6,1,7,7,.0,.0,.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,football,American Southwest Conference (ASC),asc,East Texas Baptist,"Judge,Dakarion",Dakarion,Judge,,1062,"Judge,Dakarion","JUDGE,DAKARION",East Texas Baptist,ETB,636-5647,1,0,19,19,0,WR,0,0,,,1,14,0,14,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,71,0,46,35.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,football,American Southwest Conference (ASC),asc,East Texas Baptist,"Cooper,Ja'Michael",Ja'Michael,Cooper,,1062,"Cooper,Ja'Michael","COOPER,JA'MICHAEL",East Texas Baptist,ETB,636-5605,1,0,20,20,0,RB,0,0,,,1,8,0,8,8.0,,,,,,,,,,,,,0,0,0,0,0,.0,.0,.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,6,6,6,65,65,0,1,16,10.8,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,football,American Southwest Conference (ASC),asc,East Texas Baptist,"Cushionberry,Montrevian",Montrevian,Cushionberry,,1062,"Cushionberry,Montrevian","CUSHIONBERRY,MONTREVIAN",East Texas Baptist,ETB,636-4979,1,1,21,21,0,0,DB,0,,,,,,,,,,,,,,,,,,,,0,0,1,1,1,.0,.0,.0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,football,American Southwest Conference (ASC),asc,East Texas Baptist,"Reese,Dayshun",Dayshun,Reese,,1062,"Reese,Dayshun","REESE,DAYSHUN",East Texas Baptist,ETB,636-5025,1,0,23,23,0,RB,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,9,9,0,0,6,4.5,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,football,American Southwest Conference (ASC),asc,East Texas Baptist,"Linnear,Bryson",Bryson,Linnear,,1062,"Linnear,Bryson","LINNEAR,BRYSON",East Texas Baptist,ETB,636-5005,1,0,24,24,0,RB,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,42,45,3,0,27,6.0,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,football,American Southwest Conference (ASC),asc,East Texas Baptist,"Thomas,Ja'Kylon",Ja'Kylon,Thomas,,1062,"Thomas,Ja'Kylon","THOMAS,JA'KYLON",East Texas Baptist,ETB,636-4668,1,0,25,25,0,0,DB,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,football,American Southwest Conference (ASC),asc,East Texas Baptist,"Barnes,Jayden",Jayden,Barnes,,1062,"Barnes,Jayden","BARNES,JAYDEN",East Texas Baptist,ETB,636-5570,1,0,26,26,0,0,DB,0,,,,,,,,,,,,,,,,,,,,0,1,0,1,1,.0,.0,.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,football,American Southwest Conference (ASC),asc,East Texas Baptist,"Prier,Kyreon",Kyreon,Prier,,1062,"Prier,Kyreon","PRIER,KYREON",East Texas Baptist,ETB,636-5024,1,0,27,27,0,0,DB,0,,,,,,,,,,,,,,,,,,,,0,3,1,4,4,.0,.0,.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,1,4,4,0,0,4,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,football,American Southwest Conference (ASC),asc,East Texas Baptist,"Collins,Lemahjae",Lemahjae,Collins,,1062,"Collins,Lemahjae","COLLINS,LEMAHJAE",East Texas Baptist,ETB,636-5602,1,0,28,28,0,0,DB,0,,,,,,,,,,,,,,,,,,,,0,3,0,3,3,.0,.0,.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,football,American Southwest Conference (ASC),asc,East Texas Baptist,"Murray,Eldrick",Eldrick,Murray,,1062,"Murray,Eldrick","MURRAY,ELDRICK",East Texas Baptist,ETB,636-5017,1,0,29,29,0,0,CB,0,,,,,,,,,,,,,,,,,,,,0,0,1,1,1,.0,.0,.0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,football,American Southwest Conference (ASC),asc,East Texas Baptist,"White,Toby",Toby,White,,1062,"White,Toby","WHITE,TOBY",East Texas Baptist,ETB,636-5626,1,0,32,32,0,0,LB,0,,,,,,,,,,,,,,,,,,,,0,1,2,3,3,.0,.0,.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,football,American Southwest Conference (ASC),asc,East Texas Baptist,"Barnes,Tyresse",Tyresse,Barnes,,1062,"Barnes,Tyresse","BARNES,TYRESSE",East Texas Baptist,ETB,636-4971,1,0,33,33,0,RB,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,7,7,0,0,5,3.5,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
