season,sport,gender,conference,conference_code,team,school_name,player_name,position,class_year,clippd_player_id,clippd_rank,player_ranking_status,scoring_stats_scoring_average,scoring_stats_vs_par,scoring_stats_rounds,scoring_stats_adjusted_score,scoring_stats_stroke_play_events,top10_finishes,events_won,average_points,strength_of_schedule,region,data_source,global_rank,rating,composite_score
2025-26,mgolf,Men,American Rivers Conference,arc,Wartburg,Wartburg College,Andrew Kimball,,Third Year,35786,935,ACTIVE,78.94,6.94,17,78.82697292806,10,1,1,8.68920004911216,-12.9157869522509,Region VI - (M) DIII,clippd_scoreboard,1229,72,4.90927459734045
2025-26,mgolf,Men,American Rivers Conference,arc,Wartburg,Wartburg College,Sam Jermier,,,24411,989,ACTIVE,79.0,7.0,20,78.7741181658958,11,0,0,8.01144836980328,-12.5733556755043,Region VI - (M) DIII,clippd_scoreboard,1244,72,4.68024103327116
2025-26,mgolf,Men,American Rivers Conference,arc,Central (IA),Central College,Jared Boyer,,First Year,4701,100000,ACTIVE,79.0,7.0,11,79.6298667633979,6,0,0,7.77197006233094,-13.3003970497859,Region VI - (M) DIII,clippd_scoreboard,1245,72,4.67937781294131
2025-26,mgolf,Men,American Rivers Conference,arc,Simpson (IA),Simpson College,Taylor Plagge,,Third Year,34871,100000,ACTIVE,79.14,7.14,7,80.8416549235809,6,0,0,4.66349080129066,-15.5399003474411,Region VI - (M) DIII,clippd_scoreboard,1276,71,4.30146319351456
2025-26,mgolf,Men,American Rivers Conference,arc,Buena Vista,Buena Vista University,Carson Krogulski,,,32388,100000,ACTIVE,79.14,7.14,7,82.1403178488602,5,0,0,3.92442671923647,-14.9938932938169,Region VI - (M) DIII,clippd_scoreboard,1277,71,4.27653440269417
2025-26,mgolf,Men,American Rivers Conference,arc,Central (IA),Central College,Lincoln Eighmy,,Fourth Year,12853,893,ACTIVE,79.27,7.27,22,78.6994864775819,12,2,1,9.35299026793544,-12.5478063789448,Region VI - (M) DIII,clippd_scoreboard,1302,71,3.9213716534357
2025-26,mgolf,Men,American Rivers Conference,arc,Wartburg,Wartburg College,Wesley Hubbard,,Second Year,9148,100000,ACTIVE,79.62,7.62,8,79.1539942312065,6,0,0,10.6825333885047,-12.3313275430053,Region VI - (M) DIII,clippd_scoreboard,1361,70,3.09381824434096
2025-26,mgolf,Men,American Rivers Conference,arc,Loras,Loras College,Will Coohey,,Fourth Year,30310,1198,ACTIVE,79.65,7.65,23,80.4514098287783,12,0,0,5.33725842812785,-13.2984207893379,Region VI - (M) DIII,clippd_scoreboard,1377,69,2.71697128728461
2025-26,mgolf,Men,American Rivers Conference,arc,Dubuque,University of Dubuque,Carson Rowe,,Third Year,30743,1175,ACTIVE,79.67,7.67,12,80.0431258819571,6,0,0,5.58260569908282,-12.7171665019819,Region VI - (M) DIII,clippd_scoreboard,1383,69,2.57477009283131
2025-26,mgolf,Men,American Rivers Conference,arc,Wartburg,Wartburg College,Kaden Barrett,,,9142,100000,ACTIVE,79.67,7.67,6,80.7518868854186,4,0,0,4.72159188724213,-12.6816814231953,Region VI - (M) DIII,clippd_scoreboard,1385,69,2.50607744918361
2025-26,mgolf,Men,American Rivers Conference,arc,Buena Vista,Buena Vista University,Mason Laven,,,22008,1168,ACTIVE,79.74,7.74,23,80.1505882122298,10,0,0,5.67081914923586,-12.1946019327713,Region VI - (M) DIII,clippd_scoreboard,1399,69,2.41904955424977
2025-26,mgolf,Men,American Rivers Conference,arc,Nebraska Wesleyan,Nebraska Wesleyan University,Jakob Cadwallader,,,29287,100000,ACTIVE,79.83,7.83,6,80.6237491592774,3,0,0,7.49466056871017,-10.9763852730034,Region VI - (M) DIII,clippd_scoreboard,1417,69,2.02601092749956
2025-26,mgolf,Men,American Rivers Conference,arc,Simpson (IA),Simpson College,Jacob Peterson,,Fourth Year,16214,1213,ACTIVE,79.94,7.94,17,80.7754819249033,12,0,0,5.12075450735873,-14.3708651158569,Region VI - (M) DIII,clippd_scoreboard,1451,68,1.37769731259829
2025-26,mgolf,Men,American Rivers Conference,arc,Wartburg,Wartburg College,Dylan Heater,,First Year,9153,100000,ACTIVE,80.0,8.0,9,80.9369126284899,5,0,0,5.03680159520502,-13.4894162014009,Region VI - (M) DIII,clippd_scoreboard,1469,68,1.01876813301191
2025-26,mgolf,Men,American Rivers Conference,arc,Simpson (IA),Simpson College,Johnathon Terpstra,,Third Year,34872,1183,ACTIVE,80.14,8.14,14,80.4059902177572,10,0,0,5.51315440369755,-14.3108460584557,Region VI - (M) DIII,clippd_scoreboard,1489,67,0.473194443111551
2025-26,mgolf,Men,American Rivers Conference,arc,Loras,Loras College,Silas Schultz,,Second Year,7797,1193,ACTIVE,80.16,8.16,19,80.9671303275617,10,0,0,5.41572131370651,-13.3045818758298,Region VI - (M) DIII,clippd_scoreboard,1492,67,0.440257126020182
2025-26,mgolf,Men,American Rivers Conference,arc,Loras,Loras College,Alex Link,,,10839,1257,ACTIVE,80.3,8.3,23,81.1035837418218,12,0,0,4.52520473043429,-13.2984207893379,Region VI - (M) DIII,clippd_scoreboard,1517,67,9.24261052286884
2025-26,mgolf,Men,American Rivers Conference,arc,Simpson (IA),Simpson College,Jack Wahman,,Third Year,18363,1212,ACTIVE,80.47,8.47,17,80.6107078530262,10,1,1,5.12483264745999,-13.1735025027715,Region VI - (M) DIII,clippd_scoreboard,1543,66,2.40442355453897
2025-26,mgolf,Men,American Rivers Conference,arc,Wartburg,Wartburg College,Lucas Bartachek,,Third Year,35782,1109,ACTIVE,80.5,8.5,16,80.4186987946482,9,0,0,6.4077821855977,-12.3780125372098,Region VI - (M) DIII,clippd_scoreboard,1549,66,1.42497393160706
2025-26,mgolf,Men,American Rivers Conference,arc,Simpson (IA),Simpson College,Brad Kofoed,,Third Year,24375,1182,ACTIVE,80.52,8.52,23,80.3493065247409,13,0,0,5.5270759355023,-12.8955872566424,Region VI - (M) DIII,clippd_scoreboard,1551,66,10.4066783020086
2025-26,mgolf,Men,American Rivers Conference,arc,Coe (IA),Coe College,Brooks Hoffland,,Second Year,6770,100000,ACTIVE,80.67,8.67,9,82.9821847775357,6,0,0,4.03836593128426,-14.4944013992197,Region VI - (M) DIII,clippd_scoreboard,1579,66,7.88317528009751
2025-26,mgolf,Men,American Rivers Conference,arc,Coe (IA),Coe College,Brady Yergens,,Second Year,6779,100000,ACTIVE,80.83,8.83,6,82.0662719808517,4,0,0,4.53678680953686,-14.7797515413774,Region VI - (M) DIII,clippd_scoreboard,1615,65,2.48643301074925
2025-26,mgolf,Men,American Rivers Conference,arc,Buena Vista,Buena Vista University,Nathan Hillman,,Fourth Year,32387,100000,ACTIVE,81.0,9.0,6,83.9799064660876,4,0,0,2.26909546270904,-14.7253520388171,Region VI - (M) DIII,clippd_scoreboard,1652,64,2.7383294168624
