rank,conference_code,conference,season,team,player_name,class_year,position,gp,mpg,ppg,rpg,apg,spg,bpg,tov_pg,composite_score,z_ppg,z_rpg,z_apg,z_spg,z_bpg,z_tov_pg
79,nacc,Northern Athletics Collegiate Conference (NACC),2025-26,Marian,"Breitenbach,Max",0,G,22,13.545454545454543,3.64,3.14,0.55,0.45,0.64,0.6363636363636364,-1.7161094496645575,-0.9519999850441989,-0.1830254769555692,-0.9452813016746114,-0.7391425385631211,1.074373325537465,-1.0126123399722435
80,nacc,Northern Athletics Collegiate Conference (NACC),2025-26,Aurora,"Johnson,Zerrick",0,G,27,16.51851851851852,7.56,2.59,0.7,0.37,0.07,1.148148148148148,-1.7728674065656764,-0.1451376637385468,-0.4482827282120358,-0.7802453936651063,-0.9300960519178271,-0.7060992537737067,-0.24434407383897946
81,nacc,Northern Athletics Collegiate Conference (NACC),2025-26,MSOE,"Dopirak,Matus",0,F,26,13.0,5.81,2.15,1.15,0.42,0.04,0.7692307692307693,-1.827379212180233,-0.5053440571785702,-0.660488529217209,-0.2851376696365906,-0.8107501060711358,-0.7998083368953475,-0.8131580785722613
82,nacc,Northern Athletics Collegiate Conference (NACC),2025-26,MSOE,"Jendusa,Joey",0,G,26,19.615384615384617,5.92,2.12,1.58,0.54,0.19,1.4230769230769231,-1.868784162985826,-0.48270251244805434,-0.6749571065584707,0.18796526665732463,-0.5243198360390767,-0.33126292128714424,0.16836683936975586
83,nacc,Northern Athletics Collegiate Conference (NACC),2025-26,Concordia Wisconsin,"Greene,Alex",0,F,26,16.423076923076923,4.42,3.35,0.54,0.54,0.27,0.6923076923076923,-1.8694627469775806,-0.7914508496823601,-0.08174543556673655,-0.9562836955419117,-0.5243198360390767,-0.08137203296276922,-0.9286315983301457
84,nacc,Northern Athletics Collegiate Conference (NACC),2025-26,Dominican,"Pelszynski,Adrian",0,F,12,18.0,8.5,2.42,0.83,0.75,0.08,2.0,-1.8970501375365125,0.04834462759495153,-0.5302713331458527,-0.6372142733902018,-0.02306686348297359,-0.6748628927331598,1.0344182375538886
85,nacc,Northern Athletics Collegiate Conference (NACC),2025-26,Dominican,"LeFevre,Chase",0,F,14,21.785714285714285,3.29,3.64,1.43,0.71,0.14,1.0,-1.9209538991846609,-1.0240412637322038,0.058117478732127616,0.022929358647819233,-0.11854362016032667,-0.4874447264898786,-0.46673751929860824
86,nacc,Northern Athletics Collegiate Conference (NACC),2025-26,Wisconsin Lutheran,"Wagner,Austin",0,F,22,15.181818181818182,6.45,2.45,0.59,0.32,0.14,0.8636363636363636,-1.9704659044770878,-0.37361143329193297,-0.5158027558045908,-0.9012717262054101,-1.0494419977645182,-0.4874447264898786,-0.6714405770512214
87,nacc,Northern Athletics Collegiate Conference (NACC),2025-26,Dominican,"Fuller,Emmanuel",0,F,18,13.166666666666666,4.56,2.39,0.17,0.94,0.17,0.6666666666666666,-2.068892940848387,-0.7626343382071583,-0.5447399104871145,-1.3633722686320249,0.430447730734453,-0.39373564336823796,-0.9671227715827739
88,nacc,Northern Athletics Collegiate Conference (NACC),2025-26,Concordia Chicago,"Willard,AJ",0,G,28,17.964285714285715,3.14,2.18,0.79,1.0,0.11,0.5357142857142857,-2.1116861736581463,-1.0549160974556342,-0.6460199518759471,-0.681223848859403,0.5736628657504826,-0.5811538096115193,-1.1637026921229818
