season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,team_name,team_id,sdrm_id,games_played,games_started,uniform,year,code,shot_stats_penalty_kick_attempts,shot_stats_penalty_kick_goals,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_penalty_shot_attempts,shot_stats_penalty_shot_goals,shot_stats_avg_shots_per_game,shot_stats_avg_sog_per_game,shot_stats_avg_points_per_game,shot_stats_avg_goals_per_game,shot_stats_avg_assists_per_game,shot_stats_shots_saved_by_goalie,goal_stats_game_tying,goal_stats_hattricks,goal_stats_overtime,goal_stats_first,goal_stats_unassisted,goal_stats_game_winning,goal_stats_avg_gw_per_game,caution_stats_fouls,caution_stats_red_cards,caution_stats_yellow_cards,caution_stats_green_cards,caution_stats_avg_fouls_per_game,caution_stats_avg_yc_per_game,caution_stats_avg_rc_per_game,caution_stats_avg_gc_per_game,misc_stats_offsides,misc_stats_corner_kicks,misc_stats_minutes_played,misc_stats_defensive_saves,misc_stats_avg_corners_per_game,misc_stats_avg_offsides_per_game,goalie_stats_shots_faced,goalie_stats_ties,goalie_stats_losses,goalie_stats_wins,goalie_stats_shutouts,goalie_stats_save_percentage,goalie_stats_goals_against_avg,goalie_stats_saves,goalie_stats_goals_allowed,goalie_stats_minutes,goalie_stats_games_started,goalie_stats_games_played,goalie_stats_avg_ga_per_game,goalie_stats_save_percentage_calc,goalie_stats_avg_sho_per_game,goalie_stats_avg_saves_per_game,goalie_stats,shot_stats,goal_stats,caution_stats,misc_stats
2026-27,msoc,Southern Athletic Association (SAA),saa,Berry,"Cherry, Cooper",Cooper,Cherry,,973,"Cherry, Cooper","CHERRY,COOPER",Berry,BCM,838-3314,2,2,0,0,0,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,170:00,0,.00,.00,13,0,1,1,0,.333,2.13,2,4,169:22,2,2,2.00,0.333,.000,1.00,,,,,
2026-27,msoc,Southern Athletic Association (SAA),saa,Berry,"Hancock, Graeme",Graeme,Hancock,,973,"Hancock, Graeme","HANCOCK,GRAEME",Berry,BCM,838-3635,1,0,00,0,00,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,10:00,0,.00,.00,0,0,0,0,0,0.0,0.00,0,0,10:38,0,1,.00,0.000,.000,.00,,,,,
2026-27,msoc,Southern Athletic Association (SAA),saa,Berry,"Jones, Carson",Carson,Jones,,973,"Jones, Carson","JONES,CARSON",Berry,BCM,838-3633,0,0,1,0,1,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,00:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
2026-27,msoc,Southern Athletic Association (SAA),saa,Berry,"Grondahl, Alden",Alden,Grondahl,,973,"Grondahl, Alden","GRONDAHL,ALDEN",Berry,BCM,838-3883,0,0,2,0,2,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,00:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
2026-27,msoc,Southern Athletic Association (SAA),saa,Berry,"Van Heijden, Elijah",Elijah,Van Heijden,,973,"Van Heijden, Elijah","VAN HEIJDEN,ELIJAH",Berry,BCM,838-3884,2,2,3,0,3,0,0,1,1,2,0,1,0,0,.50,.50,1.00,.500,.000,0,0,0,0,0,1,0,.000,0,0,0,0,.00,.00,.00,.00,0,,174:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
2026-27,msoc,Southern Athletic Association (SAA),saa,Berry,"Champ, Jaxon",Jaxon,Champ,,973,"Champ, Jaxon","CHAMP,JAXON",Berry,BCM,838-3310,2,2,4,0,4,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,1,0,.00,.50,.00,.00,0,,119:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
2026-27,msoc,Southern Athletic Association (SAA),saa,Berry,"Mullvain, Luke",Luke,Mullvain,,973,"Mullvain, Luke","MULLVAIN,LUKE",Berry,BCM,838-3885,2,2,5,0,5,0,0,0,1,0,0,0,0,0,.50,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,4,0,0,0,2.00,.00,.00,.00,0,,139:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
2026-27,msoc,Southern Athletic Association (SAA),saa,Berry,"Epstein, Bryce",Bryce,Epstein,,973,"Epstein, Bryce","EPSTEIN,BRYCE",Berry,BCM,838-3632,2,0,6,0,6,0,0,2,2,0,0,0,0,0,1.00,1.00,.00,.000,.000,2,0,0,0,0,0,0,.000,1,0,0,0,.50,.00,.00,.00,0,,123:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
2026-27,msoc,Southern Athletic Association (SAA),saa,Berry,"Crozier, Kaeson",Kaeson,Crozier,,973,"Crozier, Kaeson","CROZIER,KAESON",Berry,BCM,838-3882,2,0,7,0,7,0,0,1,2,2,0,1,0,0,1.00,.50,1.00,.500,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,81:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
2026-27,msoc,Southern Athletic Association (SAA),saa,Berry,"Foster, Daniel",Daniel,Foster,,973,"Foster, Daniel","FOSTER,DANIEL",Berry,BCM,838-3312,1,0,10,0,10,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,30:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
