conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,field_goals_made,field_goals_attempted,three_points_made,three_points_attempted,free_throws_attempted,free_throws_made,points_scored,blocked_shots,steals,assists,minutes_played,offensive_rebounds,defensive_rebounds,total_rebounds,personal_fouls,technical_fouls,turnovers,disqualifications,deadballs,field_goals_pct,three_points_pct,free_throws_pct,points_per_game,rebounds_per_game,assists_per_game,steals_per_game,blocked_shots_per_game,turnovers_per_game,z_points_per_game,z_rebounds_per_game,z_assists_per_game,z_turnovers_per_game,z_field_goals_pct,z_steals_per_game,z_blocked_shots_per_game,composite_score,rank,rating
njac,New Jersey Athletic Conference (NJAC),2025-26,wbball,Rutgers-Camden,"Edmundo, Courtney",0,*,12,27,26,151,310,22,70,151,111,435,37,56,70,863,79,209,288,76,1,124,2,0,0.49,0.31,0.74,16.11,10.67,2.59,2.07,1.37,4.592592592592593,2.6507017077047705,3.3694724843793606,1.9471569783350064,2.667205937236933,1.0214396697381318,1.879900116996456,3.201531019337188,10.522423263638446,1,99
njac,New Jersey Athletic Conference (NJAC),2025-26,wbball,William Paterson,"Wells,Renee",0,*,14,27,27,167,414,34,117,118,96,464,6,54,75,789,42,116,158,66,0,56,0,0,0.4,0.29,0.81,17.19,5.85,2.78,2.0,0.22,2.074074074074074,2.9019397083380434,1.2896619455520444,2.1665977554142035,0.4322035946956312,0.4842118849623673,1.7798093581651797,0.0018304922923598243,10.06374597007477,2,94
njac,New Jersey Athletic Conference (NJAC),2025-26,wbball,NJCU,Meghan Gentile,0,*,23,23,22,165,437,72,219,66,60,462,2,36,31,821,10,112,122,55,1,58,3,0,0.38,0.33,0.91,20.09,5.3,1.35,1.57,0.09,2.5217391304347827,3.5765602655940523,1.052339166225276,0.5150171700286691,0.829473832052717,0.36482793278997494,1.1649661253444814,-0.3598747846779251,9.989547497224471,3,92
njac,New Jersey Athletic Conference (NJAC),2025-26,wbball,Montclair State,"Craigwell,Alyssa",0,F,8,26,26,169,372,19,53,102,73,430,31,64,50,635,39,142,181,63,0,97,3,0,0.45,0.36,0.72,16.54,6.96,1.92,2.46,1.19,3.730769230769231,2.750731652401351,1.7686224638297048,1.1733395012662597,1.9024002713786257,0.7826717653933477,2.4375486304849967,2.700708328147562,9.597083379020066,4,91
njac,New Jersey Athletic Conference (NJAC),2025-26,wbball,Stockton,"Enalls,Zemirah",0,F,25,25,19,125,207,1,3,71,36,287,26,25,12,618,158,123,281,64,1,47,3,0,0.6,0.33,0.51,11.48,11.24,0.48,1.0,1.04,1.88,1.5736350938787973,3.6154251829543758,-0.4897905987023905,0.25997694359391915,1.6780514066862888,0.34994137486122984,2.2833560854895416,7.547369043304229,5,89
njac,New Jersey Athletic Conference (NJAC),2025-26,wbball,William Paterson,"Jacobs,Jada",0,*,4,27,27,92,234,17,51,92,60,261,10,93,104,776,69,111,180,53,0,77,1,0,0.39,0.33,0.65,9.67,6.67,3.85,3.44,0.37,2.8518518518518516,1.1525788150397018,1.6434886347301356,3.4023958158075756,1.1224249063627978,0.4245199088761711,3.838819254122867,0.41918273495038083,7.0605140046959,6,88
njac,New Jersey Athletic Conference (NJAC),2025-26,wbball,TCNJ,"Baylock,Amanda",0,G,11,27,27,138,371,68,203,48,38,382,1,30,80,802,20,63,83,43,0,53,1,0,0.37,0.33,0.79,14.15,3.07,2.96,1.11,0.04,1.962962962962963,2.194751262111054,0.0901031700458329,2.374489017910285,0.3336005501717504,0.3051359567037788,0.5072268530246644,-0.4989921988972654,6.979832782139044,7,87
njac,New Jersey Athletic Conference (NJAC),2025-26,wbball,Montclair State,"Strollo,Alexis",0,G,0,26,26,109,234,23,83,99,80,321,8,35,87,814,24,80,104,34,0,58,0,0,0.47,0.28,0.81,12.35,4.0,3.35,1.35,0.31,2.230769230769231,1.7760212610555999,0.49139441508927784,2.8249200866517943,0.5712591703062327,0.9020557175657397,0.8503951690176124,0.2522418378871724,6.94795242041966,8,86
njac,New Jersey Athletic Conference (NJAC),2025-26,wbball,TCNJ,"Fricker,Katie",0,G,3,27,27,103,277,36,137,101,82,324,2,43,65,852,66,121,187,31,0,51,0,0,0.37,0.26,0.81,12.0,6.93,2.41,1.59,0.07,1.8888888888888888,1.6946015386281505,1.7556775849573352,1.7392657158389255,0.2678651871558297,0.3051359567037788,1.1935634850105603,-0.4155217503656612,6.81475323376454,9,85
njac,New Jersey Athletic Conference (NJAC),2025-26,wbball,Rutgers-Newark,"Brodie,Sanaa",0,G,24,22,19,112,319,18,62,115,68,310,3,69,30,742,40,102,142,61,1,88,3,0,0.35,0.29,0.59,14.09,6.45,1.36,3.14,0.14,4.0,2.1807935954092055,1.5485595229994285,0.5265666846117848,2.141323033109568,0.1857520045313865,3.4098588591316825,-0.2207573704585847,6.79825910587108,10,85
