conference_code,conference,season,team,player_name,first_name,last_name,gp,mpg,ppg,rpg,apg,spg,bpg,tov_pg
sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,Canton,J Francois,J,Francois,23,11.7,2.6,1.5,0.4,0.4,0.0,0.6
sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,Oneonta,S Barber,S,Barber,24,7.9,2.6,0.5,0.4,0.3,0.1,0.3
sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,Canton,T Sullivan,T,Sullivan,17,8.7,2.5,0.8,0.1,0.2,0.1,0.4
sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,Oneonta,D Mitchell-Murray,D,Mitchell-Murray,25,8.2,2.4,1.6,0.3,0.2,0.3,0.7
sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,Fredonia,M MacDonald,M,MacDonald,25,13.9,2.3,1.7,1.4,0.1,0.0,1.1
sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,Oneonta,I Wally,I,Wally,17,4.8,2.2,1.8,0.1,0.0,0.1,0.5
sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,Morrisville,J Guerrero,J,Guerrero,20,8.6,2.2,2.5,0.6,0.3,0.3,0.6
sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,Oswego,J Monroe,J,Monroe,20,7.7,2.1,1.3,0.4,0.4,0.2,0.1
sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,Potsdam,C Bastedo,C,Bastedo,16,11.3,2.0,1.2,1.0,0.5,0.0,0.6
sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,Fredonia,K Laditan,K,Laditan,25,14.9,2.0,3.7,0.8,0.4,0.2,1.4
sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,Fredonia,A Holmes,A,Holmes,22,9.7,2.0,1.4,0.3,0.2,0.0,0.7
sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,Oswego,J Watkins,J,Watkins,22,8.1,1.6,0.4,0.8,0.3,0.0,0.4
sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,Morrisville,D Abu,D,Abu,19,8.2,1.5,1.2,1.2,0.4,0.0,0.6
sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,Plattsburgh,A McGuire,A,McGuire,23,9.8,1.4,1.8,0.3,0.2,0.4,0.4
sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,Oneonta,K Gonzalez,K,Gonzalez,16,3.4,1.4,0.6,0.1,0.1,0.0,0.3
sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,Buffalo State,M Smith,M,Smith,15,3.5,1.3,0.9,0.1,0.1,0.1,0.3
sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,New Paltz,P Nydam,P,Nydam,18,6.5,1.2,1.2,0.1,0.2,0.3,0.2
sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,Oswego,T Rosbrook,T,Rosbrook,22,6.6,0.6,1.1,0.3,0.1,0.0,0.2
