conference_code,conference,season,team,player_name,first_name,last_name,gp,mpg,ppg,rpg,apg,spg,bpg,tov_pg,class_year,position,mp_total,pts_total,reb_total,ast_total,stl_total,blk_total,tov_total,fgm,fga,fg_pct,tpm,tpa,tp_pct,ftm,fta,ft_pct
amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Carlow,C Cook,C,Cook,25,25.2,9.8,5.3,1.4,1.0,0.4,1.2,,,,,,,,,,,,,,,,,,
amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,La Roche,B Bell,B,Bell,25,22.8,9.7,4.2,0.6,0.3,0.5,1.1,,,,,,,,,,,,,,,,,,
amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Pitt.-Bradford,C Cobbins,C,Cobbins,25,20.0,9.4,4.8,1.1,1.3,0.4,1.4,,,,,,,,,,,,,,,,,,
amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Pitt.-Greensburg,T Keffer,T,Keffer,27,28.5,9.3,5.0,1.6,1.4,0.3,0.8,,,,,,,,,,,,,,,,,,
amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Carlow,J Tavarez,J,Tavarez,23,21.8,9.2,3.4,1.6,0.7,0.1,2.0,,,,,,,,,,,,,,,,,,
amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Hilbert,J Montgomery,J,Montgomery,27,30.6,9.0,4.9,6.9,1.9,0.7,2.6,,,,,,,,,,,,,,,,,,
amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Penn St.-Altoona,M Baskerville,M,Baskerville,20,27.0,8.7,6.2,1.3,1.6,1.8,1.6,,,,,,,,,,,,,,,,,,
amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Pitt.-Bradford,T Edwards,T,Edwards,25,18.2,8.4,2.5,1.1,0.8,0.3,1.2,,,,,,,,,,,,,,,,,,
amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Hilbert,N Fowlks,N,Fowlks,25,23.0,7.8,5.0,2.1,0.8,1.0,1.8,,,,,,,,,,,,,,,,,,
amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Carlow,A Batts,A,Batts,24,21.3,7.7,2.0,1.5,0.8,0.0,1.5,,,,,,,,,,,,,,,,,,
