rank,conference_code,conference,season,team,player_name,gp,mpg,ppg,rpg,apg,spg,bpg,tov_pg,composite_score,z_ppg,z_rpg,z_apg,z_spg,z_bpg,z_tov_pg
1,gnac,Great Northeast Athletic Conference (GNAC),2025-26,Lasell,E Madesko,25,34.8,20.1,6.0,5.7,2.5,0.3,2.4,8.55886035918071,2.33629720776345,1.0668623170594234,3.830503040596539,3.1157076388259997,-0.04280296690235301,1.347927678333984
2,gnac,Great Northeast Athletic Conference (GNAC),2025-26,Saint Joseph's (Maine),R Wani,22,33.3,23.3,6.7,3.1,1.1,0.5,2.2,7.615269923906244,2.9810411203394263,1.4175625504240306,1.4737684421986685,0.4446143760161763,0.5211890675757102,1.0670571667555542
3,gnac,Great Northeast Athletic Conference (GNAC),2025-26,Rivier,R Baguidy,25,39.4,18.5,4.7,6.3,2.5,0.1,2.8,7.1075205887458806,2.0139252514754618,0.4155618836680102,4.374364870996047,3.1157076388259997,-0.6067950013804161,1.9096687014908442
4,gnac,Great Northeast Athletic Conference (GNAC),2025-26,Saint Joseph's (Maine),W Donato,28,29.6,15.5,7.5,3.8,1.8,1.5,2.8,6.600521539059023,1.4094778334354838,1.8183628171264385,2.108273910998095,1.780161007421088,3.3411492399660254,1.9096687014908442
5,gnac,Great Northeast Athletic Conference (GNAC),2025-26,Albertus Magnus,T Daniels,24,29.3,21.3,3.3,3.3,2.1,0.0,2.0,6.217528579246595,2.578076174979441,-0.2858385830612042,1.6550557189985045,2.3525381351660504,-0.8887910186194476,0.7861866551771237
6,gnac,Great Northeast Athletic Conference (GNAC),2025-26,Mitchell,A Mansaray,25,32.2,16.3,8.4,2.6,1.2,1.6,2.9,5.933389819059028,1.570663811579478,2.269263117166648,1.020550250199078,0.6354067519311635,3.6231452572050573,2.0501039572800597
7,gnac,Great Northeast Athletic Conference (GNAC),2025-26,Lasell,A Madesko,26,33.3,12.4,7.8,4.8,2.0,0.6,2.2,5.686945273379453,0.7848821681275068,1.9686629171398415,3.0147102949972755,2.1617457592510627,0.8031850848147416,1.0670571667555542
8,gnac,Great Northeast Athletic Conference (GNAC),2025-26,Albertus Magnus,"R Ford, Jr.",27,34.1,16.2,4.8,4.2,1.9,0.2,1.9,5.463064475832481,1.5505155643114785,0.4656619170058111,2.4708484645977675,1.9709533833360753,-0.32479898414138453,0.6457513993879085
9,gnac,Great Northeast Athletic Conference (GNAC),2025-26,Rivier,I Shaw-Glen,25,35.0,18.8,7.9,1.3,0.9,1.0,2.4,5.370159363904716,2.0743699932794595,2.018762950477643,-0.15781704899985735,0.0630296241862014,1.931169153770868,1.347927678333984
10,gnac,Great Northeast Athletic Conference (GNAC),2025-26,Dean,C Yeates,26,31.8,17.0,6.5,2.5,2.3,0.2,2.3,5.235159465185761,1.7117015424554727,1.3173624837484286,0.9299066117991598,2.734122886996025,-0.32479898414138453,1.2074924225447687
11,gnac,Great Northeast Athletic Conference (GNAC),2025-26,Albertus Magnus,I Earl,27,30.9,13.8,6.7,1.8,1.6,1.7,2.2,5.131202876768786,1.0669576298794965,1.4175625504240306,0.29540114299973314,1.3985762555911134,3.905141274444089,1.0670571667555542
12,gnac,Great Northeast Athletic Conference (GNAC),2025-26,Emmanuel,M Guerrier,27,31.0,15.5,8.1,2.4,1.0,0.4,1.6,4.956664879860431,1.4094778334354838,2.1189630171532445,0.8392629733992416,0.25382200010118877,0.23919305033667865,0.2244456320202634
13,gnac,Great Northeast Athletic Conference (GNAC),2025-26,Saint Joseph's (Maine),J Frazier,24,32.3,15.3,4.4,2.3,1.0,0.7,1.2,4.387417324843481,1.3691813388994856,0.2652617836546073,0.7486193349993234,0.25382200010118877,1.0851811020537732,-0.3372953911365972
14,gnac,Great Northeast Athletic Conference (GNAC),2025-26,University of Saint Joseph (Conn.),L Altenor,28,34.3,15.7,3.5,2.7,1.5,0.1,1.4,3.8930717592867294,1.4497743279714823,-0.18563851638560205,1.111193888598996,1.2077838796761258,-0.6067950013804161,-0.05642487955816705
15,gnac,Great Northeast Athletic Conference (GNAC),2025-26,Dean,N Motley,25,30.8,15.1,5.3,1.8,1.3,0.6,1.8,3.7763031388646495,1.3288848443634866,0.7161620836948162,0.29540114299973314,0.826199127846151,0.8031850848147416,0.5053161435986936
16,gnac,Great Northeast Athletic Conference (GNAC),2025-26,Norwich,M Ndayishimiye,26,32.7,16.0,6.7,2.4,1.2,0.0,2.4,3.3951817302159206,1.51021906977548,1.4175625504240306,0.8392629733992416,0.6354067519311635,-0.8887910186194476,1.347927678333984
17,gnac,Great Northeast Athletic Conference (GNAC),2025-26,Mitchell,T Butler,24,30.6,18.3,1.4,2.3,1.7,0.2,2.3,3.2711644824893997,1.9736287569394633,-1.2377392164794234,0.7486193349993234,1.5893686315061004,-0.32479898414138453,1.2074924225447687
18,gnac,Great Northeast Athletic Conference (GNAC),2025-26,Elms,R Mayfield,25,29.3,13.0,5.3,0.8,1.6,1.0,1.9,3.033403678528426,0.9057716517355023,0.7161620836948162,-0.6110352409994478,1.3985762555911134,1.931169153770868,0.6457513993879085
19,gnac,Great Northeast Athletic Conference (GNAC),2025-26,University of Saint Joseph (Conn.),F Feldrappe,28,29.6,12.8,6.3,2.6,0.7,0.5,1.9,2.8820650319449825,0.865475157199504,1.2171624170728264,1.020550250199078,-0.31855512764377353,0.5211890675757102,0.6457513993879085
