season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,team_name,team_id,sdrm_id,games_played,games_started,uniform,code,year,offensive_position,defensive_position,active,rush_stats,pass_stats,receiving_stats,punt_stats,kickoff_stats,fieldgoal_stats,pat_stats,defense_stats_interception_return_yards,defense_stats_unassisted_tackles,defense_stats_assisted_tackles,defense_stats_tackles,defense_stats_total_tackles,defense_stats_tackles_for_loss,defense_stats_tackles_for_loss_per_game,defense_stats_tackles_per_game,defense_stats_unassisted_tackles_for_loss,defense_stats_assisted_tackles_for_loss,defense_stats_tackle_yards_for_loss,defense_stats_sacks,defense_stats_unassisted_sacks,defense_stats_assisted_sacks,defense_stats_sack_yards_for_loss,defense_stats_pass_breakups,defense_stats_fumbles_forced,defense_stats_quarterback_hurries,defense_stats_safeties_scored,defense_stats_blocked_kicks,defense_stats_fumbles_recovered,defense_stats_fumble_return_yards,defense_stats_interceptions,defense_stats_passes_defended,kickreturn_stats,puntreturn_stats,interception_return_stats,fumblereturn_stats,fumble_stats,scoring_stats,rush_stats_attempts,rush_stats_net_yards,rush_stats_yards_gained,rush_stats_yards_lost,rush_stats_touchdowns,rush_stats_longest_rush,rush_stats_avg_per_play,rush_stats_avg_per_game,receiving_stats_number,receiving_stats_yards,receiving_stats_touchdowns,receiving_stats_longest_reception,receiving_stats_avg_per_reception,defense_stats,fumble_stats_number,fumble_stats_number_lost,scoring_stats_pat_kicks,scoring_stats_touchdowns,scoring_stats_fieldgoals,scoring_stats_safeties,scoring_stats_pat_rushes,scoring_stats_pat_receptions,scoring_stats_pat_kick_returns,scoring_stats_pat_fumble_returns,scoring_stats_rouges,scoring_stats_points,scoring_stats_all_points,scoring_stats_points_per_game,punt_stats_number,punt_stats_yards,punt_stats_longest_punt,punt_stats_blocked,punt_stats_touchbacks,punt_stats_fair_catches,punt_stats_fifty_plus_yards,punt_stats_inside_twenty,punt_stats_avg_per_punt,kickoff_stats_number,kickoff_stats_yards,kickoff_stats_out_of_bounds,kickoff_stats_touchbacks,kickoff_stats_avg_per_kickoff,fieldgoal_stats_made,fieldgoal_stats_attempts,fieldgoal_stats_longest_fieldgoal,fieldgoal_stats_blocked,fieldgoal_stats_percentage,pat_stats_kick_attempts,pat_stats_kicks_made,pat_stats_rush_attempts,pat_stats_rushes_made,pat_stats_pass_attempts,pat_stats_passes_made,pat_stats_reception_attempts,pat_stats_receptions_made,pat_stats_defensive_return_attempts,pat_stats_defensive_returns_made,pat_stats_defensive_blocked_kick_return_attempts,pat_stats_devensive_blocked_kick_returns_made,pass_stats_yards_lost_by_sacks,pass_stats_sacked,pass_stats_longest_pass,pass_stats_touchdowns,pass_stats_yards,pass_stats_interceptions,pass_stats_attempts,pass_stats_completions,pass_stats_efficiency,pass_stats_avg_per_pass,pass_stats_avg_per_catch,pass_stats_avg_per_game,kickreturn_stats_number,kickreturn_stats_yards,kickreturn_stats_touchdowns,kickreturn_stats_longest_kickoff_return,kickreturn_stats_avg_per_return,interception_return_stats_number,interception_return_stats_yards,interception_return_stats_touchdowns,interception_return_stats_longest,interception_return_stats_avg_per_return,puntreturn_stats_number,puntreturn_stats_yards,puntreturn_stats_touchdowns,puntreturn_stats_longest_punt_return,puntreturn_stats_avg_per_return,composite_score,global_rank,rating
2026-27,football,Upper Midwest Athletic Conference (UMAC),umac,Northwestern,Michael Montoya,Michael,Montoya,,30031,Michael Montoya,"MONTOYA,MICHAEL",Northwestern,NW,1400-5605,1,0,22,22,0,0,0,0,,,,,,,,0,1,1,2,2,.0,.0,.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,3,-6,1,7,1,1,-2.0,-6.0,,,,,,,1,0,0,1,0,0,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.15489638506339043,107,74
2026-27,football,Upper Midwest Athletic Conference (UMAC),umac,Northwestern,Clay Fee,Clay,Fee,,30031,Clay Fee,"FEE,CLAY",Northwestern,NW,1400-3326,1,0,0,0,0,0,0,0,,,,,,,,0,0,1,1,1,.0,.0,.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2408790366788538,108,73
2026-27,football,Upper Midwest Athletic Conference (UMAC),umac,Greenville,"Keith,Logan",Logan,Keith,,1111,"Keith,Logan","KEITH,LOGAN",Greenville,GVL,1227-2711,1,1,88,88,0,TE,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,32,0,15,10.7,,,,,,,,,,,,,,,,6,200,50,0,0,0,1,1,33.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2583063244852688,109,73
2026-27,football,Upper Midwest Athletic Conference (UMAC),umac,Minnesota Morris,"Johnk,Brennan",Brennan,Johnk,,1226,"Johnk,Brennan","JOHNK,BRENNAN",Minnesota Morris,UMM,1399-2803,1,1,91,91,0,0,DL,0,,,,,,,,0,1,2,3,3,.0,.0,.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2960405646065887,110,73
2026-27,football,Upper Midwest Athletic Conference (UMAC),umac,Crown,"Hoekstra,Reichen",Reichen,Hoekstra,,30035,"Hoekstra,Reichen","HOEKSTRA,REICHEN",Crown,CRO,1397-1832,1,0,10,10,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,171,40,0,0,1,0,2,28.5,4,219,0,0,54.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.31685127794518686,111,73
2026-27,football,Upper Midwest Athletic Conference (UMAC),umac,Crown,"Bueno,Xavier",Xavier,Bueno,,30035,"Bueno,Xavier","BUENO,XAVIER",Crown,CRO,1397-1849,1,1,34,34,0,0,DB,0,,,,,,,,0,1,4,5,5,.0,.0,.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3601095057101099,112,72
2026-27,football,Upper Midwest Athletic Conference (UMAC),umac,Greenville,"McDavid,Jordan",Jordan,McDavid,,1111,"McDavid,Jordan","MCDAVID,JORDAN",Greenville,GVL,1227-2942,1,0,17,17,0,0,DB,0,,,,,,,,0,2,3,5,5,.0,.0,.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3601095057101099,113,72
2026-27,football,Upper Midwest Athletic Conference (UMAC),umac,Martin Luther,"Melso,Ethan",Ethan,Melso,,8597,"Melso,Ethan","MELSO,ETHAN",Martin Luther,MLC,1398-1935,1,1,50,50,0,0,LB,0,,,,,,,,0,1,4,5,5,.0,.0,.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3601095057101099,114,72
2026-27,football,Upper Midwest Athletic Conference (UMAC),umac,Greenville,"Gibson,Neko",Neko,Gibson,,1111,"Gibson,Neko","GIBSON,NEKO",Greenville,GVL,1227-975,1,0,27,27,0,0,DB,0,,,,,,,,0,0,3,3,3,.5,.0,.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.36618412861541805,115,72
2026-27,football,Upper Midwest Athletic Conference (UMAC),umac,Greenville,"Washington III,Roy",Roy,Washington III,,1111,"Washington III,Roy","WASHINGTON III,ROY",Greenville,GVL,1227-2692,1,0,46,46,0,0,LB,0,,,,,,,,0,0,3,3,3,.5,.0,.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.36618412861541805,116,71
2026-27,football,Upper Midwest Athletic Conference (UMAC),umac,Westminster,"McGee,Jonathan",Jonathan,McGee,,1450,"McGee,Jonathan","MCGEE,JONATHAN",Westminster,WES,0,1,0,30,30,0,0,DB,0,,,,,,,,0,1,0,1,1,1.0,.0,.0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.37225875152072596,117,71
