conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,goal_stats_shootout_goals,goal_stats_free_positiong_goals,goal_stats_game_tying_goals,goal_stats_empty_net_goals,goal_stats_overtime_goals,goal_stats_first_goals,goal_stats_unassisted_goals,goal_stats_short_handed_goals,goal_stats_power_play_goals,goal_stats_game_winning_goals,goal_stats_hat_tricks,penalty_stats_number,penalty_stats_minutes,penalty_stats_fouls,penalty_stats_misc10,penalty_stats_miscgame,penalty_stats_miscgross,penalty_stats_match,penalty_stats_major,penalty_stats_minor,misc_stats_faceoffs_won,misc_stats_faceoffs_lost,misc_stats_total_faceoffs,misc_stats_faceoff_win_pct,misc_stats_faceoffs_won_pct,misc_stats_plus,misc_stats_minus,misc_stats_plusminus,misc_stats_blocks,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_shots_pct,shot_stats_penalty_shot_goals,shot_stats_penalty_shots_attempted,goalie_stats_games_played,goalie_stats_minutes,goalie_stats_goals_allowed,goalie_stats_saves,goalie_stats_saves_by_prd,goalie_stats_shutouts,goalie_stats_win,goalie_stats_loss,goalie_stats_tie,goalie_stats_powerplay_goals_allowed,goalie_stats_shorthanded_goals_allowed,goalie_stats_emptynet_goals_allowed,goalie_stats_save_pct,goalie_stats_games_started,goalie_stats_penalty_shot_goals_allowed,goalie_stats_shootout_goals_allowed,goalie_stats_goals_against_avg
mac,Middle Atlantic Conferences (MAC),2025-26,mhockey,Alvernia,"Terhaar, Jack",,0,2,25,8,0,,0,0,0,0,0,0,0,0,0,2,04:00,0,0,0,0,0,0,2,0,0,0,NaN,0,23,14,9,24,0,28,3,3,0,0.00,0,0,,,,,,,,,,,,,,,,,
mac,Middle Atlantic Conferences (MAC),2025-26,mhockey,Alvernia,"Henry, Matthew",,0,3,23,9,0,,0,0,0,0,0,0,2,0,0,4,08:00,0,0,0,0,0,0,4,0,0,0,NaN,0,16,14,2,12,0,34,6,4,2,0.06,0,0,,,,,,,,,,,,,,,,,
mac,Middle Atlantic Conferences (MAC),2025-26,mhockey,Alvernia,"Saadeh, AJ",,0,5,19,2,0,,0,0,0,0,0,0,0,0,0,8,16:00,0,0,0,0,0,0,8,0,0,0,NaN,0,7,8,-1,9,0,31,1,1,0,0.00,0,0,,,,,,,,,,,,,,,,,
mac,Middle Atlantic Conferences (MAC),2025-26,mhockey,Alvernia,"Becnel, Charles",,0,7,19,1,0,,0,1,0,2,1,1,0,1,0,0,00:00,0,0,0,0,0,0,0,22,31,53,.415,1.41,10,13,-3,7,0,22,10,5,5,0.23,0,0,,,,,,,,,,,,,,,,,
mac,Middle Atlantic Conferences (MAC),2025-26,mhockey,Alvernia,"Davies, Matthew",,0,8,23,6,0,,0,0,0,0,0,0,0,0,0,8,16:00,0,0,0,0,0,0,8,0,0,0,NaN,0,16,15,1,13,0,35,8,8,0,0.00,0,0,,,,,,,,,,,,,,,,,
mac,Middle Atlantic Conferences (MAC),2025-26,mhockey,Alvernia,"Laville, Jake",,0,9,1,0,0,,0,0,0,0,0,0,0,0,0,1,02:00,0,0,0,0,0,0,1,0,1,1,.000,0,0,1,-1,1,0,0,0,0,0,0.00,0,0,,,,,,,,,,,,,,,,,
mac,Middle Atlantic Conferences (MAC),2025-26,mhockey,Alvernia,"White, Will",,0,11,25,11,0,,0,0,0,0,0,1,0,0,0,6,12:00,0,0,0,0,0,0,6,0,0,0,NaN,0,21,12,9,26,0,34,9,7,2,0.06,0,0,,,,,,,,,,,,,,,,,
mac,Middle Atlantic Conferences (MAC),2025-26,mhockey,Alvernia,"Imbriano, Matthew",,0,12,22,2,0,,0,0,0,1,0,0,0,1,0,7,25:00,0,0,1,0,0,1,5,150,157,307,.489,1.05,9,8,1,15,0,43,7,4,3,0.07,0,0,,,,,,,,,,,,,,,,,
mac,Middle Atlantic Conferences (MAC),2025-26,mhockey,Alvernia,"Servizzi, Vincent",,0,14,26,4,0,,0,0,0,0,0,0,1,0,0,1,02:00,0,0,0,0,0,0,1,5,12,17,.294,2.40,12,9,3,11,0,35,9,5,4,0.11,0,0,,,,,,,,,,,,,,,,,
mac,Middle Atlantic Conferences (MAC),2025-26,mhockey,Alvernia,"Ochitwa, Lucas",,0,15,16,3,0,,0,0,0,0,0,0,0,0,0,8,16:00,0,0,0,0,0,0,8,0,0,0,NaN,0,7,10,-3,12,0,18,1,1,0,0.00,0,0,,,,,,,,,,,,,,,,,
