season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,linkup_name,games_played,games_started,uniform,year,team_name,team_id,sdrm_id,goal_stats_shootout_goals,goal_stats_free_positiong_goals,goal_stats_game_tying_goals,goal_stats_empty_net_goals,goal_stats_overtime_goals,goal_stats_first_goals,goal_stats_unassisted_goals,goal_stats_short_handed_goals,goal_stats_power_play_goals,goal_stats_game_winning_goals,penalty_stats_number,penalty_stats_minutes,penalty_stats_fouls,penalty_stats_green_cards,penalty_stats_yellow_cards,penalty_stats_red_cards,penalty_stats_match,penalty_stats_major,penalty_stats_minor,misc_stats_powerplay_opps,misc_stats_powerplay_goals,misc_stats_faceoffs_won,misc_stats_faceoffs_lost,misc_stats_ground_balls,misc_stats_draw_controls,misc_stats_turnovers,misc_stats_caused_turnovers,misc_stats_minutes_played,misc_stats_seconds,misc_stats_faceoffs_taken,misc_stats_penalty_killing_pct,goalie_stats,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_free_position_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_shots_on_goal_pct,avg_points_game,goal_stats,penalty_stats,misc_stats,shot_stats,goalie_stats_games_played,goalie_stats_minutes,goalie_stats_goals_allowed,goalie_stats_saves,goalie_stats_shutouts,goalie_stats_win,goalie_stats_loss,goalie_stats_tie,goalie_stats_powerplay_goals_allowed,goalie_stats_shorthanded_goals_allowed,goalie_stats_emptynet_goals_allowed,goalie_stats_shots_faced,goalie_stats_goals_against_avg,goalie_stats_save_pct
2026-27,wlax,North Coast Athletic Conference (NCAC),ncac,Denison,Emersen Thompson,Emersen,Thompson,,182,Emersen Thompson,"THOMPSON,EMERSEN",THOMPSONEMERSENDENISON,21,0,,,Denison,DENISON,1214-3618,0,3,0,0,0,2,12,1,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,17,0,16,6,00:00,0,0,1.000,,37,49,7,30,6,24,.755,1.43,,,,,,,,,,,,,,,,,,
2026-27,wlax,North Coast Athletic Conference (NCAC),ncac,Denison,Bridget Sheehy,Bridget,Sheehy,,182,Bridget Sheehy,"SHEEHY,BRIDGET",SHEEHYBRIDGETDENISON,21,21,,,Denison,DENISON,1214-3086,0,0,0,0,0,0,9,1,7,1,0,0,0,10,4,0,0,0,0,0,0,0,0,31,71,25,29,1233:00,154,0,1.000,,45,56,5,64,34,30,.804,3.05,,,,,,,,,,,,,,,,,,
2026-27,wlax,North Coast Athletic Conference (NCAC),ncac,Denison,Maddie Chase,Maddie,Chase,,182,Maddie Chase,"CHASE,MADDIE",CHASEMADDIEDENISON,12,0,,,Denison,DENISON,1214-3612,0,2,0,0,0,2,6,0,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,11,18,9,0,00:00,0,0,1.000,,16,22,4,13,4,9,.727,1.08,,,,,,,,,,,,,,,,,,
2026-27,wlax,North Coast Athletic Conference (NCAC),ncac,Denison,Sophie Davenport,Sophie,Davenport,,182,Sophie Davenport,"DAVENPORT,SOPHIE",DAVENPORTSOPHIEDENISON,21,20,,,Denison,DENISON,1214-3338,0,2,0,0,0,0,8,0,5,1,0,0,0,3,0,0,0,0,0,0,0,0,0,21,0,20,7,1173:00,154,0,1.000,,27,30,3,40,21,19,.900,1.90,,,,,,,,,,,,,,,,,,
2026-27,wlax,North Coast Athletic Conference (NCAC),ncac,Denison,Alexis Stempien,Alexis,Stempien,,182,Alexis Stempien,"STEMPIEN,ALEXIS",STEMPIENALEXISDENISON,2,0,,,Denison,DENISON,1214-3868,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,00:00,0,0,1.000,,0,0,0,0,0,0,.000,0.00,,,,,,,,,,,,,,,,,,
2026-27,wlax,North Coast Athletic Conference (NCAC),ncac,Denison,Eliza Chapman,Eliza,Chapman,,182,Eliza Chapman,"CHAPMAN,ELIZA",CHAPMANELIZADENISON,0,0,,,Denison,DENISON,1214-3611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
2026-27,wlax,North Coast Athletic Conference (NCAC),ncac,Denison,Ava Quintas,Ava,Quintas,,182,Ava Quintas,"QUINTAS,AVA",QUINTASAVADENISON,9,0,,,Denison,DENISON,1214-3869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,00:00,0,0,1.000,,0,0,0,0,0,0,.000,0.00,,,,,,,,,,,,,,,,,,
2026-27,wlax,North Coast Athletic Conference (NCAC),ncac,Denison,Jamie Epstein,Jamie,Epstein,,182,Jamie Epstein,"EPSTEIN,JAMIE",EPSTEINJAMIEDENISON,19,1,,,Denison,DENISON,1214-3093,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,1,60:00,0,0,1.000,,10,13,3,7,4,3,.769,0.37,,,,,,,,,,,,,,,,,,
2026-27,wlax,North Coast Athletic Conference (NCAC),ncac,Denison,Addie Clift,Addie,Clift,,182,Addie Clift,"CLIFT,ADDIE",CLIFTADDIEDENISON,21,0,,,Denison,DENISON,1214-3336,0,11,0,0,0,2,17,0,1,1,0,0,0,8,0,0,0,0,0,0,0,0,0,10,34,26,12,00:00,0,0,1.000,,28,38,16,35,15,20,.737,1.67,,,,,,,,,,,,,,,,,,
2026-27,wlax,North Coast Athletic Conference (NCAC),ncac,Denison,Anna Nuckols,Anna,Nuckols,,182,Anna Nuckols,"NUCKOLS,ANNA",NUCKOLSANNADENISON,13,0,,,Denison,DENISON,1214-3331,0,1,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,8,5,0,00:00,0,0,1.000,,4,5,1,5,1,4,.800,0.38,,,,,,,,,,,,,,,,,,
