season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,team_name,team_id,sdrm_id,games_played,games_started,uniform,year,code,matches_played,attack_stats_hitting_pct,attack_stats_attempts,attack_stats_errors,attack_stats_kills,set_stats_assists,set_stats_errors,set_stats_attempts,set_stats_set_pct,serve_stats_aces,serve_stats_errors,serve_stats_attempts,serve_stats_serve_pct,defense_stats_defense_pct,defense_stats_attempts,defense_stats_receptions,defense_stats_digs,block_stats_total,block_stats_errors,block_stats_assists,block_stats_solos,misc_stats_points,misc_stats_ball_handling_errors,per_set_stats_kills,per_set_stats_assists,per_set_stats_digs,per_set_stats_blocks,per_set_stats_aces,per_set_stats_points,attack_stats,set_stats,serve_stats,defense_stats,block_stats,misc_stats
2026-27,mvball,Empire 8 (E8),e8,St. John Fisher,"Jackson, Casey",Casey,Jackson,,601,"Jackson, Casey","JACKSON, CASEY",St. John Fisher,SJF,1009-5732,74,30,5,0,5,0,.216,388,60,144,12,0,62,0,24,67,276,0,0,318,17,113,25,1,20,5,183,0,1.95,0.16,1.53,0.34,0.32,2.47,,,,,,
2026-27,mvball,Empire 8 (E8),e8,St. John Fisher,"La Robardiere, Gabe",Gabe,La Robardiere,,601,"La Robardiere, Gabe","LA ROBARDIERE, GABE",St. John Fisher,SJF,1009-5733,91,42,6,0,6,0,.304,461,70,210,4,3,27,0,11,10,60,0,0,6,1,48,49,4,42,7,249,0,2.31,0.04,0.53,0.54,0.12,2.74,,,,,,
2026-27,mvball,Empire 8 (E8),e8,St. John Fisher,"Calhoun, Aiden",Aiden,Calhoun,,601,"Calhoun, Aiden","CALHOUN, AIDEN",St. John Fisher,SJF,1009-5734,80,23,10,0,10,0,.213,89,15,34,460,7,1046,0,34,73,324,0,0,1,0,82,9,1,9,0,72.5,1,0.43,5.75,1.03,0.11,0.43,0.91,,,,,,
2026-27,mvball,Empire 8 (E8),e8,St. John Fisher,"DeMaria, Jack",Jack,DeMaria,,601,"DeMaria, Jack","DEMARIA, JACK",St. John Fisher,SJF,1009-5735,68,0,11,0,11,0,.000,1,0,0,12,2,41,0,0,0,0,0,0,94,5,36,0,0,0,0,0,0,0.00,0.18,0.53,0.00,0.00,0.00,,,,,,
2026-27,mvball,Empire 8 (E8),e8,St. John Fisher,"Cohen, Tyler",Tyler,Cohen,,601,"Cohen, Tyler","COHEN, TYLER",St. John Fisher,SJF,1009-5737,83,24,4,0,4,0,.161,93,13,28,340,7,828,0,11,43,280,0,0,4,2,122,8,2,7,1,43.5,1,0.34,4.10,1.47,0.10,0.13,0.52,,,,,,
2026-27,mvball,Empire 8 (E8),e8,St. John Fisher,"Roberts, Jimmy",Jimmy,Roberts,,601,"Roberts, Jimmy","ROBERTS, JIMMY",St. John Fisher,SJF,1009-5739,20,2,8,0,8,0,.170,88,15,30,1,0,3,0,4,1,23,0,0,0,0,13,5,0,5,0,36.5,0,1.50,0.05,0.65,0.25,0.20,1.83,,,,,,
2026-27,mvball,Empire 8 (E8),e8,St. John Fisher,"Holmes, Connor",Connor,Holmes,,601,"Holmes, Connor","HOLMES, CONNOR",St. John Fisher,SJF,1009-6031,85,42,1,0,1,0,.348,201,28,98,4,2,34,0,17,23,238,0,0,3,0,26,43,2,38,5,139,0,1.15,0.05,0.31,0.51,0.20,1.64,,,,,,
2026-27,mvball,Empire 8 (E8),e8,St. John Fisher,"Keoviengsamay, Sonepith",Sonepith,Keoviengsamay,,601,"Keoviengsamay, Sonepith","KEOVIENGSAMAY, SONEPITH",St. John Fisher,SJF,1009-6032,47,28,7,0,7,0,.247,296,36,109,5,1,41,0,14,23,182,0,0,179,8,92,15,1,13,2,131.5,0,2.32,0.11,1.96,0.32,0.30,2.80,,,,,,
2026-27,mvball,Empire 8 (E8),e8,St. John Fisher,"Perez, Guillermo",Guillermo,Perez,,601,"Perez, Guillermo","PEREZ, GUILLERMO",St. John Fisher,SJF,1009-6033,97,36,20,0,20,0,.295,319,58,152,19,0,73,0,8,37,160,0,0,19,1,60,90,2,72,18,214,0,1.57,0.20,0.62,0.93,0.08,2.21,,,,,,
2026-27,mvball,Empire 8 (E8),e8,St. John Fisher,"Quinn, Alex",Alex,Quinn,,601,"Quinn, Alex","QUINN, ALEX",St. John Fisher,SJF,1009-6034,15,1,18,0,18,0,.324,37,7,19,2,0,8,0,2,3,41,0,0,0,0,8,12,2,12,0,27,0,1.27,0.13,0.53,0.80,0.13,1.80,,,,,,
2026-27,mvball,Empire 8 (E8),e8,St. John Fisher,"Tarataglia, Nick",Nick,Tarataglia,,601,"Tarataglia, Nick","TARATAGLIA, NICK",St. John Fisher,SJF,1009-6035,13,0,14,0,14,0,.283,46,6,19,4,0,12,0,3,4,43,0,0,33,1,22,1,0,1,0,22.5,0,1.46,0.31,1.69,0.08,0.23,1.73,,,,,,
