season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,team_name,team_id,sdrm_id,games_played,games_started,uniform,year,code,shot_stats_penalty_kick_attempts,shot_stats_penalty_kick_goals,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_penalty_shot_attempts,shot_stats_penalty_shot_goals,shot_stats_avg_shots_per_game,shot_stats_avg_sog_per_game,shot_stats_avg_points_per_game,shot_stats_avg_goals_per_game,shot_stats_avg_assists_per_game,shot_stats_shots_saved_by_goalie,goal_stats_game_tying,goal_stats_hattricks,goal_stats_overtime,goal_stats_first,goal_stats_unassisted,goal_stats_game_winning,goal_stats_avg_gw_per_game,caution_stats_fouls,caution_stats_red_cards,caution_stats_yellow_cards,caution_stats_green_cards,caution_stats_avg_fouls_per_game,caution_stats_avg_yc_per_game,caution_stats_avg_rc_per_game,caution_stats_avg_gc_per_game,misc_stats_offsides,misc_stats_corner_kicks,misc_stats_minutes_played,misc_stats_defensive_saves,misc_stats_avg_corners_per_game,misc_stats_avg_offsides_per_game,goalie_stats_shots_faced,goalie_stats_ties,goalie_stats_losses,goalie_stats_wins,goalie_stats_shutouts,goalie_stats_save_percentage,goalie_stats_goals_against_avg,goalie_stats_saves,goalie_stats_goals_allowed,goalie_stats_minutes,goalie_stats_games_started,goalie_stats_games_played,goalie_stats_avg_ga_per_game,goalie_stats_save_percentage_calc,goalie_stats_avg_sho_per_game,goalie_stats_avg_saves_per_game,goalie_stats,shot_stats,goal_stats,caution_stats,misc_stats
2026-27,wsoc,Conference of New England (CCC),ccc,University of New England,"Coombs, Haley",Haley,Coombs,,1255,"Coombs, Haley","COOMBS,HALEY",University of New England,UNE,990-2985,3,2,0,0,0,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,180:00,0,.00,.00,15,0,0,2,0,.429,2.00,3,4,180:00,2,3,1.33,0.429,.000,1.00,,,,,
2026-27,wsoc,Conference of New England (CCC),ccc,University of New England,"Kowalick, Sam",Sam,Kowalick,,1255,"Kowalick, Sam","KOWALICK,SAM",University of New England,UNE,990-3156,2,1,00,0,00,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,90:00,0,.00,.00,10,0,0,1,0,.333,2.00,1,2,90:00,1,2,1.00,0.333,.000,.50,,,,,
2026-27,wsoc,Conference of New England (CCC),ccc,University of New England,"Baker, Kaity",Kaity,Baker,,1255,"Baker, Kaity","BAKER,KAITY",University of New England,UNE,990-3321,2,0,2,0,2,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,29:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
2026-27,wsoc,Conference of New England (CCC),ccc,University of New England,"Forrest, Amy",Amy,Forrest,,1255,"Forrest, Amy","FORREST,AMY",University of New England,UNE,990-2987,3,3,3,0,3,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,218:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
2026-27,wsoc,Conference of New England (CCC),ccc,University of New England,"Mann, Ailey",Ailey,Mann,,1255,"Mann, Ailey","MANN,AILEY",University of New England,UNE,990-2989,3,3,4,0,4,0,0,2,2,2,0,1,0,0,.67,.67,.67,.333,.000,1,0,0,0,0,0,0,.000,1,0,0,0,.33,.00,.00,.00,0,,151:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
2026-27,wsoc,Conference of New England (CCC),ccc,University of New England,"Pitruzzello, Maya",Maya,Pitruzzello,,1255,"Pitruzzello, Maya","PITRUZZELLO,MAYA",University of New England,UNE,990-3159,3,3,5,0,5,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,200:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
2026-27,wsoc,Conference of New England (CCC),ccc,University of New England,"Gordon, Reese",Reese,Gordon,,1255,"Gordon, Reese","GORDON,REESE",University of New England,UNE,990-3322,3,0,6,0,6,0,0,1,3,1,1,0,0,0,1.00,.33,.33,.000,.333,1,0,0,0,0,0,0,.000,1,0,0,0,.33,.00,.00,.00,0,,85:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
2026-27,wsoc,Conference of New England (CCC),ccc,University of New England,"Dillon, Raegan",Raegan,Dillon,,1255,"Dillon, Raegan","DILLON,RAEGAN",University of New England,UNE,990-3323,3,0,7,0,7,0,0,3,4,6,0,3,0,0,1.33,1.00,2.00,1.000,.000,0,0,0,0,0,0,1,.333,0,0,0,0,.00,.00,.00,.00,0,,104:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
2026-27,wsoc,Conference of New England (CCC),ccc,University of New England,"Strong, Silvi",Silvi,Strong,,1255,"Strong, Silvi","STRONG,SILVI",University of New England,UNE,990-3324,3,0,8,0,8,0,0,1,1,2,0,1,0,0,.33,.33,.67,.333,.000,0,0,0,0,0,1,0,.000,1,0,0,0,.33,.00,.00,.00,0,,87:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
2026-27,wsoc,Conference of New England (CCC),ccc,University of New England,"Klinkhamer, Julia",Julia,Klinkhamer,,1255,"Klinkhamer, Julia","KLINKHAMER,JULIA",University of New England,UNE,990-2988,2,0,9,0,9,0,0,0,2,0,0,0,0,0,1.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,30:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
2026-27,wsoc,Conference of New England (CCC),ccc,University of New England,"DeSantis, Rosalie",Rosalie,DeSantis,,1255,"DeSantis, Rosalie","DESANTIS,ROSALIE",University of New England,UNE,990-3325,2,1,10,0,10,0,0,1,1,0,0,0,0,0,.50,.50,.00,.000,.000,1,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,67:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
