season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,linkup_name,games_played,games_started,uniform,year,team_name,team_id,sdrm_id,goal_stats,penalty_stats,misc_stats,goalie_stats,shot_stats,avg_points_game,goal_stats_shootout_goals,goal_stats_free_positiong_goals,goal_stats_game_tying_goals,goal_stats_empty_net_goals,goal_stats_overtime_goals,goal_stats_first_goals,goal_stats_unassisted_goals,goal_stats_short_handed_goals,goal_stats_power_play_goals,goal_stats_game_winning_goals,penalty_stats_number,penalty_stats_minutes,penalty_stats_fouls,penalty_stats_green_cards,penalty_stats_yellow_cards,penalty_stats_red_cards,penalty_stats_match,penalty_stats_major,penalty_stats_minor,misc_stats_powerplay_opps,misc_stats_powerplay_goals,misc_stats_faceoffs_won,misc_stats_faceoffs_lost,misc_stats_ground_balls,misc_stats_draw_controls,misc_stats_turnovers,misc_stats_caused_turnovers,misc_stats_minutes_played,misc_stats_seconds,misc_stats_faceoffs_taken,misc_stats_penalty_killing_pct,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_free_position_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_shots_on_goal_pct,goalie_stats_games_played,goalie_stats_minutes,goalie_stats_goals_allowed,goalie_stats_saves,goalie_stats_shutouts,goalie_stats_win,goalie_stats_loss,goalie_stats_tie,goalie_stats_powerplay_goals_allowed,goalie_stats_shorthanded_goals_allowed,goalie_stats_emptynet_goals_allowed,goalie_stats_shots_faced,goalie_stats_goals_against_avg,goalie_stats_save_pct,composite_score,global_rank,rating
2025-26,wlax,Landmark Conference,landmark_conference,Catholic,Jessie Lee,Jessie,Lee,,124,Jessie Lee,"LEE,JESSIE",LEEJESSIECUA,19,19,,,Catholic,CUA,0,,,,,,2.53,0,4,0,0,0,3,13,0,5,0,0,0,0,5,3,0,0,0,0,0,0,0,0,39,63,44,29,1179:00,103,0,1.000,45,61,11,48,24,24,.738,,,,,,,,,,,,,,,9.130568929962571,11,96
2025-26,wlax,Landmark Conference,landmark_conference,Scranton,Jillian Lopez,Jillian,Lopez,,633,Jillian Lopez,"LOPEZ,JILLIAN",LOPEZJILLIANSCRANTON,21,21,,,Scranton,SCRANTON,0,,,,,,2.81,0,7,0,0,1,2,20,1,4,3,0,0,0,6,3,0,0,0,0,0,0,0,0,30,106,25,19,1257:00,53,0,1.000,78,108,22,59,9,50,.722,,,,,,,,,,,,,,,8.996222983906677,12,96
2025-26,wlax,Landmark Conference,landmark_conference,Susquehanna,Emma Kelleher,Emma,Kelleher,,685,Emma Kelleher,"KELLEHER,EMMA",KELLEHEREMMASUSQU-W,18,17,,,Susquehanna,SUSQU-W,0,,,,,,3.28,0,7,0,0,0,0,26,1,2,1,0,0,0,3,6,0,0,0,0,0,0,0,0,27,68,38,14,1019:00,55,0,1.000,68,99,14,59,24,35,.687,,,,,,,,,,,,,,,8.793476854681908,13,95
2025-26,wlax,Landmark Conference,landmark_conference,Scranton,Grace Lane,Grace,Lane,,633,Grace Lane,"LANE,GRACE",LANEGRACESCRANTON,19,19,,,Scranton,SCRANTON,0,,,,,,3.32,0,14,0,0,0,3,33,0,2,1,0,0,0,11,3,0,0,0,0,0,0,0,0,15,0,39,8,1137:00,53,0,1.000,88,118,26,63,12,51,.746,,,,,,,,,,,,,,,7.898862869554851,14,95
2025-26,wlax,Landmark Conference,landmark_conference,Elizabethtown,Ella Scholes,Ella,Scholes,,211,Ella Scholes,"SCHOLES,ELLA",SCHOLESELLAETOWN,17,17,,,Elizabethtown,ETOWN,0,,,,,,3.35,0,7,0,0,0,3,20,0,1,0,0,0,0,10,3,0,0,0,0,0,0,0,0,19,2,49,11,1020:00,0,0,1.000,68,83,23,57,19,38,.819,,,,,,,,,,,,,,,7.680041053464695,15,95
2025-26,wlax,Landmark Conference,landmark_conference,Elizabethtown,Megan Meyer,Megan,Meyer,,211,Megan Meyer,"MEYER,MEGAN",MEYERMEGANETOWN,17,17,,,Elizabethtown,ETOWN,0,,,,,,3.18,0,8,0,0,0,3,12,1,4,0,0,0,0,5,8,0,0,0,0,0,0,0,0,23,13,22,13,1020:00,0,0,1.000,60,77,16,54,15,39,.779,,,,,,,,,,,,,,,7.526023513945286,16,94
2025-26,wlax,Landmark Conference,landmark_conference,Catholic,Izzy Fiore,Izzy,Fiore,,124,Izzy Fiore,"FIORE,IZZY",FIOREIZZYCUA,19,19,,,Catholic,CUA,0,,,,,,2.68,0,9,0,0,0,3,22,0,2,1,0,0,0,9,0,0,0,0,0,0,0,0,0,26,0,20,17,1179:00,103,0,1.000,71,100,16,51,12,39,.710,,,,,,,,,,,,,,,7.517116031436104,17,94
2025-26,wlax,Landmark Conference,landmark_conference,Moravian,Alex Cherenson,Alex,Cherenson,,443,Alex Cherenson,"CHERENSON,ALEX",CHERENSONALEXMOR,18,18,,,Moravian,MOR,0,,,,,,2.56,0,6,0,0,2,3,13,0,7,4,0,0,0,8,2,0,0,0,0,0,0,0,0,28,45,25,20,1078:00,179,0,1.000,64,93,18,46,10,36,.688,,,,,,,,,,,,,,,7.101719477018478,18,94
2025-26,wlax,Landmark Conference,landmark_conference,Elizabethtown,Abby Bach,Abby,Bach,,211,Abby Bach,"BACH,ABBY",BACHABBYETOWN,17,16,,,Elizabethtown,ETOWN,0,,,,,,3.29,0,2,0,0,0,2,6,2,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,17,0,24,4,960:00,0,0,1.000,45,52,4,56,23,33,.865,,,,,,,,,,,,,,,6.925175511978901,19,94
2025-26,wlax,Landmark Conference,landmark_conference,Scranton,Devyn Tanajewski,Devyn,Tanajewski,,633,Devyn Tanajewski,"TANAJEWSKI,DEVYN",TANAJEWSKIDEVYNSCRANTON,21,21,,,Scranton,SCRANTON,0,,,,,,1.43,0,7,0,0,0,0,17,0,3,2,0,0,0,7,4,0,0,0,0,0,0,0,0,51,16,27,31,1257:00,53,0,1.000,37,42,14,30,8,22,.881,,,,,,,,,,,,,,,6.903423232119641,20,94
