conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,attack_stats_hitting_pct,attack_stats_attempts,attack_stats_errors,attack_stats_kills,set_stats_assists,set_stats_errors,set_stats_attempts,set_stats_set_pct,serve_stats_aces,serve_stats_errors,serve_stats_attempts,serve_stats_serve_pct,defense_stats_defense_pct,defense_stats_attempts,defense_stats_receptions,defense_stats_digs,block_stats_total,block_stats_errors,block_stats_assists,block_stats_solos,misc_stats_points,misc_stats_ball_handling_errors,per_set_stats_kills,per_set_stats_assists,per_set_stats_digs,per_set_stats_blocks,per_set_stats_aces,per_set_stats_points,z_per_set_stats_points,z_per_set_stats_kills,z_per_set_stats_assists,z_per_set_stats_blocks,z_per_set_stats_aces,z_per_set_stats_digs,z_attack_stats_errors,z_serve_stats_errors,composite_score,rank,rating
mac,Middle Atlantic Conferences (MAC),2025-26,mvball,Arcadia,"McCleery, Harrison",0,,11,7,0,0.0,3.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.14,0.14,0.0,0.29,0.0,0.29,-0.8416998233873946,-0.8085407030771544,-0.37119569503332733,0.03607738242971233,-1.1103640589021642,-1.2677989628515418,-0.6990561268841486,-0.8572658020431719,-1.5601380692428037,107,49
mac,Middle Atlantic Conferences (MAC),2025-26,mvball,Messiah,"Nixon, Jonathan",0,,10,19,2,0.0,2.0,0.0,0.0,46.0,1.0,98.0,0.0,2.0,6.0,38.0,0.0,0.0,0.0,0.0,4.0,3.0,2.0,1.0,2.0,4.5,1.0,0.0,2.42,0.21,0.16,0.11,0.24,-0.884035371884605,-0.9440988918293162,0.6791204649275846,-0.4266332069876061,-0.25088168300709496,-0.9461341812025971,-0.7235222476657565,-0.6770112467991755,-1.5696394541757284,108,48
mac,Middle Atlantic Conferences (MAC),2025-26,mvball,Stevens,"Christensen, Tyler",0,,23,66,7,0.412,17.0,3.0,10.0,1.0,0.0,3.0,0.0,21.0,47.0,204.0,0.0,0.0,12.0,2.0,16.0,2.0,0.0,1.0,1.0,32.5,0.0,0.15,0.02,0.24,0.03,0.32,0.49,-0.6723576293985531,-0.7988579753091429,-0.42647549292600695,-0.8893437964049246,1.3899483073380372,-0.9001820695384621,-0.6501238853209328,0.8010761062015951,-1.6311502316093076,109,48
mac,Middle Atlantic Conferences (MAC),2025-26,mvball,Stevenson,"Sledz,Jacob",0,,3,77,3,0.333,39.0,6.0,19.0,9.0,1.0,34.0,0.0,19.0,54.0,216.0,0.0,0.0,140.0,4.0,39.0,2.0,0.0,0.0,2.0,40.0,0.0,0.25,0.12,0.51,0.03,0.25,0.52,-0.6469563003002269,-0.7020306976290275,-0.3804089946821073,-0.8893437964049246,0.8430049772229931,-0.48661306456124753,-0.5767255229761091,1.05343248354319,-1.6559475724253871,110,48
mac,Middle Atlantic Conferences (MAC),2025-26,mvball,Hood,"Stutz, Brendan",0,,2,68,13,0.019,107.0,28.0,30.0,1.0,0.0,25.0,0.0,3.0,22.0,73.0,0.0,0.0,1.0,0.0,16.0,19.0,0.0,16.0,3.0,44.0,1.0,0.44,0.01,0.24,0.28,0.04,0.65,-0.53688387420748,-0.5180588700368082,-0.4310821427503969,0.00048426016684184923,-0.7978250131221389,-0.9001820695384621,-0.03847086578073516,-0.10019667001838696,-1.736199808279229,111,48
mac,Middle Atlantic Conferences (MAC),2025-26,mvball,Eastern,"Kolstad, Kadin",0,,19,56,1,0.03,33.0,8.0,9.0,29.0,1.0,59.0,0.0,13.0,28.0,125.0,0.0,0.0,33.0,6.0,13.0,3.0,0.0,3.0,0.0,23.5,0.0,0.16,0.52,0.23,0.05,0.23,0.42,-0.7316273972946478,-0.7891752475411313,-0.1961430017065087,-0.8181575518791833,0.6867354543329806,-0.9154994400931737,-0.5277932814128933,0.11610879627440875,-1.7499650739260133,112,48
mac,Middle Atlantic Conferences (MAC),2025-26,mvball,Stevens,"Ambrose, Dominic",0,,27,9,0,0.4,5.0,1.0,3.0,1.0,0.0,4.0,0.0,0.0,0.0,9.0,0.0,0.0,18.0,1.0,8.0,1.0,0.0,1.0,0.0,3.5,0.0,0.33,0.11,0.89,0.11,0.0,0.39,-0.7570287263929739,-0.624568875484935,-0.3850156445064973,-0.6045988183019594,-1.1103640589021642,0.09544701651779523,-0.6990561268841486,-0.8933167130919712,-1.783020235843071,113,47
mac,Middle Atlantic Conferences (MAC),2025-26,mvball,King's,"Tavarez, Antonio",0,,18,34,12,0.196,46.0,8.0,17.0,6.0,1.0,16.0,0.0,1.0,6.0,27.0,0.0,0.0,8.0,4.0,10.0,4.0,3.0,2.0,2.0,21.0,0.0,0.5,0.18,0.29,0.12,0.03,0.62,-0.5622852033058062,-0.45996250342873884,-0.35276909573576753,-0.5690056960390887,-0.8759597745671452,-0.8235952167649038,-0.5277932814128933,-0.6770112467991755,-1.80944244456539,114,47
mac,Middle Atlantic Conferences (MAC),2025-26,mvball,Arcadia,"Wacaster, Jayden",0,,27,32,8,0.12,25.0,5.0,8.0,2.0,0.0,5.0,0.0,2.0,10.0,50.0,0.0,0.0,59.0,5.0,27.0,5.0,4.0,5.0,0.0,12.5,0.0,0.25,0.06,0.84,0.16,0.06,0.39,-0.7570287263929739,-0.7020306976290275,-0.40804889362844704,-0.4266332069876061,-0.6415554902321264,0.018860163744236907,-0.6011916437577169,-0.5328076026039784,-1.8551872903119175,115,47
mac,Middle Atlantic Conferences (MAC),2025-26,mvball,Hood,"Browne, Justin",0,,7,55,1,0.064,47.0,6.0,9.0,22.0,2.0,84.0,0.0,6.0,7.0,62.0,0.0,0.0,231.0,20.0,67.0,0.0,0.0,0.0,0.0,15.0,1.0,0.16,0.4,1.22,0.0,0.11,0.27,-0.8586340427862788,-0.7891752475411313,-0.2514227995991883,-0.9961231631935366,-0.25088168300709496,0.6009202448232797,-0.5767255229761091,-0.6409603357503763,-1.9095709760022235,116,47
