season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,linkup_name,games_played,games_started,uniform,year,hitting_stats_at_bats,hitting_stats_runs,hitting_stats_hits,hitting_stats_runs_batted_in,hitting_stats_doubles,hitting_stats_triples,hitting_stats_home_runs,hitting_stats_walks,hitting_stats_intentional_walks,hitting_stats_hit_by_pitch,hitting_stats_strikeouts,hitting_stats_strikeouts_looking,hitting_stats_stolen_bases,hitting_stats_caught_stealing,hitting_stats_sacrifice_hits,hitting_stats_sacrifice_flies,hitting_stats_reached_on_catchers_interference,hitting_stats_reached_on_error,hitting_stats_reached_on_fielders_choice,hitting_stats_grounded_into_doubleplay,hitting_stats_picked_off,hitting_stats_total_double_plays,hitting_stats_total_triple_plays,hitting_stats_onbase_percentage,hitting_stats_total_bases,hitting_stats_total_plate_appearances,hitting_stats_stolen_base_attempts,hitting_stats_stolen_base_percentage,hitting_stats_batting_average,hitting_stats_slugging_percentage,fielding_stats_putouts,fielding_stats_assists,fielding_stats_errors,fielding_stats_passed_balls,fielding_stats_catchers_interference,fielding_stats_stolen_bases_against,fielding_stats_caught_stealing_by,fielding_stats_involved_in_double_plays,fielding_stats_involved_in_triple_plays,fielding_stats_total_chances,fielding_stats_fielding_percentage,fielding_stats_stolen_bases_against_attempts,fielding_stats_stolen_bases_against_percentage,pitching_stats_hits_allowed,pitching_stats_appearances,pitching_stats_games_started,pitching_stats_wins,pitching_stats_losses,pitching_stats_saves,pitching_stats_complete_games,pitching_stats_shutouts,pitching_stats_credit_for_combined_shutout,pitching_stats_games_finished,pitching_stats_innings_pitched,pitching_stats_runs_allowed,pitching_stats_earned_runs_allowed,pitching_stats_walks_allowed,pitching_stats_strikeouts,pitching_stats_doubles_allowed,pitching_stats_triples_allowed,pitching_stats_home_runs_allowed,pitching_stats_earned_run_average,pitching_stats_opponents_at_bats,pitching_stats_batters_faced,pitching_stats_wild_pitches,pitching_stats_hit_batters,pitching_stats_balks,pitching_stats_sacrifice_flies_allowed,pitching_stats_sacrifice_hits_allowed,pitching_stats_catchers_interference_allowed,pitching_stats_intentional_walks,pitching_stats_strikeouts_looking,pitching_stats_opponent_batting_average,hitting_summary_stats_times_reached_base_on_error,hitting_summary_stats_times_reached_base_on_fielders_choice,hitting_summary_stats_times_grouded_out,hitting_summary_stats_times_flied_out,hitting_summary_stats_hits_ab_with_2_outs,hitting_summary_stats_batting_avg_with_2_outs,hitting_summary_stats_hits_with_2_outs,hitting_summary_stats_ab_with_2_outs,hitting_summary_stats_hits_ab_with_runners_on_base,hitting_summary_stats_batting_avg_with_runners_on_base,hitting_summary_stats_hits_with_runners_on_base,hitting_summary_stats_ab_with_runners_on_base,hitting_summary_stats_hits_ab_with_runners_in_scoring_position,hitting_summary_stats_batting_avg_with_runners_in_scoring_position,hitting_summary_stats_hits_with_runners_in_scoring_position,hitting_summary_stats_ab_with_runners_in_scoring_position,hitting_summary_stats_hits_ab_vs_left_handed_pitchers,hitting_summary_stats_batting_avg_vs_left_handed_pitchers,hitting_summary_stats_hits_vs_left_handed_pitchers,hitting_summary_stats_ab_vs_left_handed_pitchers,hitting_summary_stats_hits_ab_vs_right_handed_pitchers,hitting_summary_stats_batting_avg_vs_right_handed_pitchers,hitting_summary_stats_hits_vs_right_handed_pitchers,hitting_summary_stats_ab_vs_right_handed_pitchers,hitting_summary_stats_success_opps_as_leadoff_batter_in_inning,hitting_summary_stats_success_opps_to_drive_in_runner_from_3rd_with_less_than_2_outs,hitting_summary_stats_number_of_runners_advanced_ab,hitting_summary_stats_hits_ab_with_bases_loaded,hitting_summary_stats_batting_avg_with_bases_loaded,hitting_summary_stats_hits_with_bases_loaded,hitting_summary_stats_ab_with_bases_loaded,hitting_summary_stats_hits_ab_as_pinch_hitter,hitting_summary_stats_batting_avg_as_pinch_hitter,hitting_summary_stats_hits_as_pinch_hitter,hitting_summary_stats_ab_as_pinch_hitter,hitting_summary_stats_times_advanced_at_least_1_runner_with_an_out,hitting_summary_stats_runners_left_on_base,hitting_summary_stats_two_out_rbis,pitching_summary_stats_fly_outs_allowed,pitching_summary_stats_ground_outs_allowed,pitching_summary_stats_runners_picked_off,pitching_summary_stats_success_opps_vs_leadoff_batters,pitching_summary_stats_hits_ab_with_runners_on_base,pitching_summary_stats_hits_ab_vs_left_handed_batters,pitching_summary_stats_hits_ab_vs_right_handed_batters,pitching_summary_stats_hits_ab_with_2_outs,team_name,team_id,sdrm_id,this_is_softball,pitching_stats,pitching_summary_stats,hitting_stats,fielding_stats,hitting_summary_stats,composite_score,global_rank,rating
2026-27,softball,Middle Atlantic Conferences (MAC),mac,Messiah,Allie Book,Allie,Book,,411,Allie Book,0,0MESS,48,48,,,157,35,69,49,15,3,2,18,0,1,2,1,2,0,1,1,0,0,0,0,0,2,0,0.497,96,178,2,1.000,.439,.611,321,17,2,0,0,0,0,8,0,340,.994,0,.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,9,40,44,"25,56",0.45,25,56,"53,109",0.49,53,109,"36,72",0.50,36,72,0,0,0,0,0,0,0,0,"11,29","12,16","72,118",134,0,0,0,1,0,0,0,9,35,0,,,,,,,,,Messiah,MESS,995-4077,True,,,,,,9.841426152037988,11,96
2026-27,softball,Middle Atlantic Conferences (MAC),mac,York,Bri McKeown,Bri,McKeown,,815,Bri McKeown,0,0YORK (PA,40,40,,,119,25,40,36,13,0,5,12,0,3,8,5,6,1,0,0,0,0,0,0,0,0,0,0.410,68,134,7,.857,.336,.571,75,59,9,0,0,0,0,6,0,143,.937,0,.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,4,31,34,"11,40",0.28,11,40,"28,73",0.38,28,73,"21,54",0.39,21,54,"7,15",0.47,7,15,0,0,0,0,"8,23","12,18","47,81",35,0,0,0,0,0,0,0,8,28,0,,,,,,,,,York,YORK (PA,140-3520,True,,,,,,9.210299174857,12,96
2026-27,softball,Middle Atlantic Conferences (MAC),mac,Messiah,Rebekah Wiley,Rebekah,Wiley,,411,Rebekah Wiley,0,0MESS,47,47,,,141,28,58,46,15,5,2,16,0,1,10,3,4,0,2,3,0,0,0,1,0,1,0,0.466,89,163,4,1.000,.411,.631,171,21,1,15,0,60,11,0,0,193,.995,71,.845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,5,33,37,"30,59",0.51,30,59,"44,98",0.45,44,98,"30,63",0.48,30,63,"0,1",0,0,1,0,0,0,0,"14,24","8,12","66,107",35,0,0,0,"1,1",1.00,1,1,15,30,0,,,,,,,,,Messiah,MESS,995-4025,True,,,,,,9.132302366107657,13,95
2026-27,softball,Middle Atlantic Conferences (MAC),mac,Misericordia,Casey Funesti,Casey,Funesti,,16142,Casey Funesti,0,0MISERICO,39,36,,,126,24,54,40,14,0,2,5,0,1,9,1,1,0,0,0,0,1,0,2,0,2,0,0.455,74,133,1,1.000,.429,.587,93,32,13,0,0,0,0,7,0,138,.906,0,.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,5,29,24,"20,41",0.49,20,41,"40,93",0.43,40,93,"31,72",0.43,31,72,"1,2",0.50,1,2,0,0,0,0,"10,17","14,23","60,94",50,0,0,0,13,0,0,0,11,26,0,,,,,,,,,Misericordia,MISERICO,1308-7038,True,,,,,,7.987039152663661,14,95
2026-27,softball,Middle Atlantic Conferences (MAC),mac,Stevenson,Christina Franco,Christina,Franco,,21852,Christina Franco,0,0STEVENSO,3,0,,,3,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.667,3,3,0,.000,.667,1.000,0,0,0,0,0,0,0,0,0,0,0.000,0,.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,"1,2",0.50,1,2,"2,2",1.00,2,2,"2,2",1.00,2,2,0,0,0,0,0,0,0,0,0,0,"2,2",0,0,0,0,12,0,0,0,0,0,0,,,,,,,,,Stevenson,STEVENSO,0,True,,,,,,7.648722028930258,15,95
2026-27,softball,Middle Atlantic Conferences (MAC),mac,Delaware Valley,Tessa Fredericks,Tessa,Fredericks,,179,Tessa Fredericks,0,0DELAWARE,36,35,,,108,35,42,22,7,5,3,7,0,2,10,4,0,0,0,1,0,0,0,0,0,0,0,0.432,68,118,0,.000,.389,.630,30,7,1,0,0,4,0,0,0,38,.974,4,1.000,30,1,6,3,2,2,3,1,0,0,34.0,16,15,26,18,7,0,1,3.09,127,158,7,1,0,0,4,0,0,3,.236,3,4,22,32,"14,38",0.37,14,38,"26,68",0.38,26,68,"19,46",0.41,19,46,"3,6",0.50,3,6,0,0,0,0,"9,17","5,12","39,74",3,0,0,0,"1,2",0.50,1,2,5,26,0,41,40,0,"14,34","18,75","5,18",0,"10,44",Delaware Valley,DELAWARE,0,True,,,,,,7.639991227602167,16,95
2026-27,softball,Middle Atlantic Conferences (MAC),mac,Widener,Katelyn Tong,Katelyn,Tong,,783,Katelyn Tong,0,0WIDENER,36,36,,,99,16,31,22,6,0,6,10,0,4,18,4,2,1,0,1,0,0,0,0,1,2,0,0.395,55,114,3,.667,.313,.556,50,1,1,0,0,0,0,0,0,52,.981,0,.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,20,29,"9,34",0.26,9,34,"13,48",0.27,13,48,"10,38",0.26,10,38,"4,14",0.29,4,14,0,0,0,0,"10,15","6,14","25,53",14,0,0,0,0,0,0,0,9,16,0,,,,,,,,,Widener,WIDENER,997-4254,True,,,,,,7.551537372141873,17,94
2026-27,softball,Middle Atlantic Conferences (MAC),mac,Albright,Juliette Licata,Juliette,Licata,,16,Juliette Licata,0,0ALBRIGHT,40,39,,,115,37,47,20,8,0,1,38,0,3,17,6,9,1,0,0,0,0,0,0,0,0,0,0.564,58,156,10,.900,.409,.504,96,4,5,0,0,0,0,1,0,105,.952,0,.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,1,20,24,"15,31",0.48,15,31,"24,47",0.51,24,47,"14,31",0.45,14,31,"1,7",0.14,1,7,0,0,0,0,"45,72","5,11","33,54",47,0,0,0,"0,1",0,0,1,3,18,0,,,,,,,,,Albright,ALBRIGHT,992-3499,True,,,,,,7.40024993192042,18,94
2026-27,softball,Middle Atlantic Conferences (MAC),mac,Misericordia,Kiersten Tinio,Kiersten,Tinio,,16142,Kiersten Tinio,0,0MISERICO,33,30,,,93,33,42,27,10,2,0,16,0,2,1,0,3,0,1,1,0,0,0,0,0,0,0,0.536,56,113,3,1.000,.452,.602,41,2,1,0,0,0,0,0,0,44,.977,0,.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,7,23,23,"10,23",0.43,10,23,"30,65",0.46,30,65,"22,46",0.48,22,46,"1,1",1.00,1,1,0,0,0,0,"7,10","9,15","44,70",13,0,0,0,1,0,0,0,10,10,0,,,,,,,,,Misericordia,MISERICO,1308-7288,True,,,,,,7.09295410403214,19,94
2026-27,softball,Middle Atlantic Conferences (MAC),mac,FDU - Florham,Jada Lambright,Jada,Lambright,,221,Jada Lambright,0,0FDU-FLOR,38,38,,,119,28,51,31,16,1,1,8,0,3,5,0,0,1,2,2,0,0,0,1,1,4,0,0.470,72,134,1,.000,.429,.605,204,8,5,0,0,0,0,4,0,217,.977,0,.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,6,33,27,"17,43",0.40,17,43,"28,61",0.46,28,61,"16,33",0.48,16,33,"5,7",0.71,5,7,0,0,0,0,"13,18","9,13","43,66",33,0,0,0,0,0,0,0,12,8,0,,,,,,,,,FDU - Florham,FDU-FLOR,1000-3402,True,,,,,,6.9239702168150945,20,94
