conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,hitting_stats_at_bats,hitting_stats_runs,hitting_stats_hits,hitting_stats_runs_batted_in,hitting_stats_doubles,hitting_stats_triples,hitting_stats_home_runs,hitting_stats_walks,hitting_stats_intentional_walks,hitting_stats_hit_by_pitch,hitting_stats_strikeouts,hitting_stats_strikeouts_looking,hitting_stats_stolen_bases,hitting_stats_caught_stealing,hitting_stats_sacrifice_hits,hitting_stats_sacrifice_flies,hitting_stats_reached_on_catchers_interference,hitting_stats_reached_on_error,hitting_stats_reached_on_fielders_choice,hitting_stats_grounded_into_doubleplay,hitting_stats_picked_off,hitting_stats_total_double_plays,hitting_stats_total_triple_plays,hitting_stats_onbase_percentage,hitting_stats_total_bases,hitting_stats_total_plate_appearances,hitting_stats_stolen_base_attempts,hitting_stats_stolen_base_percentage,hitting_stats_batting_average,hitting_stats_slugging_percentage,fielding_stats_putouts,fielding_stats_assists,fielding_stats_errors,fielding_stats_passed_balls,fielding_stats_catchers_interference,fielding_stats_stolen_bases_against,fielding_stats_caught_stealing_by,fielding_stats_involved_in_double_plays,fielding_stats_involved_in_triple_plays,fielding_stats_total_chances,fielding_stats_fielding_percentage,fielding_stats_stolen_bases_against_attempts,fielding_stats_stolen_bases_against_percentage,pitching_stats_hits_allowed,pitching_stats_appearances,pitching_stats_games_started,pitching_stats_wins,pitching_stats_losses,pitching_stats_saves,pitching_stats_complete_games,pitching_stats_shutouts,pitching_stats_credit_for_combined_shutout,pitching_stats_games_finished,pitching_stats_innings_pitched,pitching_stats_runs_allowed,pitching_stats_earned_runs_allowed,pitching_stats_walks_allowed,pitching_stats_strikeouts,pitching_stats_doubles_allowed,pitching_stats_triples_allowed,pitching_stats_home_runs_allowed,pitching_stats_earned_run_average,pitching_stats_opponents_at_bats,pitching_stats_batters_faced,pitching_stats_wild_pitches,pitching_stats_hit_batters,pitching_stats_balks,pitching_stats_sacrifice_flies_allowed,pitching_stats_sacrifice_hits_allowed,pitching_stats_catchers_interference_allowed,pitching_stats_intentional_walks,pitching_stats_strikeouts_looking,pitching_stats_opponent_batting_average,hitting_summary_stats_times_reached_base_on_error,hitting_summary_stats_times_reached_base_on_fielders_choice,hitting_summary_stats_times_grouded_out,hitting_summary_stats_times_flied_out,hitting_summary_stats_hits_ab_with_2_outs,hitting_summary_stats_batting_avg_with_2_outs,hitting_summary_stats_hits_with_2_outs,hitting_summary_stats_ab_with_2_outs,hitting_summary_stats_hits_ab_with_runners_on_base,hitting_summary_stats_batting_avg_with_runners_on_base,hitting_summary_stats_hits_with_runners_on_base,hitting_summary_stats_ab_with_runners_on_base,hitting_summary_stats_hits_ab_with_runners_in_scoring_position,hitting_summary_stats_batting_avg_with_runners_in_scoring_position,hitting_summary_stats_hits_with_runners_in_scoring_position,hitting_summary_stats_ab_with_runners_in_scoring_position,hitting_summary_stats_hits_ab_vs_left_handed_pitchers,hitting_summary_stats_batting_avg_vs_left_handed_pitchers,hitting_summary_stats_hits_vs_left_handed_pitchers,hitting_summary_stats_ab_vs_left_handed_pitchers,hitting_summary_stats_hits_ab_vs_right_handed_pitchers,hitting_summary_stats_batting_avg_vs_right_handed_pitchers,hitting_summary_stats_hits_vs_right_handed_pitchers,hitting_summary_stats_ab_vs_right_handed_pitchers,hitting_summary_stats_success_opps_as_leadoff_batter_in_inning,hitting_summary_stats_success_opps_to_drive_in_runner_from_3rd_with_less_than_2_outs,hitting_summary_stats_number_of_runners_advanced_ab,hitting_summary_stats_hits_ab_with_bases_loaded,hitting_summary_stats_batting_avg_with_bases_loaded,hitting_summary_stats_hits_with_bases_loaded,hitting_summary_stats_ab_with_bases_loaded,hitting_summary_stats_hits_ab_as_pinch_hitter,hitting_summary_stats_batting_avg_as_pinch_hitter,hitting_summary_stats_hits_as_pinch_hitter,hitting_summary_stats_ab_as_pinch_hitter,hitting_summary_stats_times_advanced_at_least_1_runner_with_an_out,hitting_summary_stats_runners_left_on_base,hitting_summary_stats_two_out_rbis,pitching_summary_stats_fly_outs_allowed,pitching_summary_stats_ground_outs_allowed,pitching_summary_stats_runners_picked_off,pitching_summary_stats_success_opps_vs_leadoff_batters,pitching_summary_stats_hits_ab_with_runners_on_base,pitching_summary_stats_hits_ab_vs_left_handed_batters,pitching_summary_stats_hits_ab_vs_right_handed_batters,pitching_summary_stats_hits_ab_with_2_outs
nescac,New England Small College Athletic Conference (NESCAC),2025-26,softball,Bowdoin,Anika Ewert,,,,40,39,145,46,71,10,6,2,0,10,0,0,0,0,36,4,0,0,0,1,0,0,0,0,0,0.523,81,156,40,.900,.490,.559,70,10,1,0,0,1,0,1,0,81,.988,1,1.000,8,1,1,0,1,0,0,0,0,0,6.0,10,8,4,5,0,0,0,9.33,24,34,0,3,0,1,2,0,0,1,.333,8,4,42,23,"22,38",0.58,22,38,"31,59",0.53,31,59,"18,39",0.46,18,39,"5,7",0.71,5,7,0,0,0,0,"35,62","1,5","37,61",97,0,0,0,0,0,0,0,4,23,0,6,7,0,"3,7","6,14",0,0,"3,8"
nescac,New England Small College Athletic Conference (NESCAC),2025-26,softball,Bowdoin,Kaitlyn Fado,,,,17,11,35,8,12,6,1,2,0,1,0,0,6,1,2,1,1,0,0,0,0,0,0,0,0,0.361,17,37,3,.667,.343,.486,7,0,0,0,0,0,0,0,0,7,1.000,0,.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,7,10,"5,14",0.36,5,14,"7,22",0.32,7,22,"5,15",0.33,5,15,"0,3",0,0,3,0,0,0,0,"3,7","1,1","11,23",4,0,0,0,33,0,0,0,3,9,0,,,,,,,,
nescac,New England Small College Athletic Conference (NESCAC),2025-26,softball,Bowdoin,Elise Siciliano,,,,35,34,99,15,23,28,4,4,3,16,0,3,16,5,1,2,2,5,0,0,0,1,0,3,0,0.341,44,125,3,.333,.232,.444,60,69,4,0,0,0,0,3,0,133,.970,0,.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,25,39,"10,28",0.36,10,28,"16,51",0.31,16,51,"16,43",0.37,16,43,"0,5",0,0,5,0,0,0,0,"9,29","12,16","38,63",25,0,0,0,0,0,0,0,22,14,0,,,,,,,,
nescac,New England Small College Athletic Conference (NESCAC),2025-26,softball,Bowdoin,Callie Smith,,,,17,4,16,4,3,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0.278,3,18,0,.000,.188,.188,3,12,1,0,0,0,0,0,0,16,.938,0,.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,6,5,"2,8",0.25,2,8,"1,10",0.10,1,10,"0,5",0,0,5,"0,1",0,0,1,0,0,0,0,"1,4","0,1","2,10",1,0,0,0,15,0,0,0,0,7,0,,,,,,,,
nescac,New England Small College Athletic Conference (NESCAC),2025-26,softball,Bowdoin,Sydney Lang,,,,36,34,106,19,29,21,6,1,4,14,0,2,25,5,0,0,1,3,0,1,0,0,0,0,0,0.360,49,127,0,.000,.274,.462,105,12,4,7,0,23,0,0,0,121,.967,23,1.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,17,34,"13,36",0.36,13,36,"14,51",0.27,14,51,"11,35",0.31,11,35,"0,6",0,0,6,0,0,0,0,"7,24","2,10","26,58",207,0,0,0,5,0,0,0,6,30,0,,,,,,,,
nescac,New England Small College Athletic Conference (NESCAC),2025-26,softball,Bowdoin,Reilly Parga,,,,33,31,113,20,41,31,9,2,4,3,0,0,21,6,0,1,0,2,0,0,0,0,0,2,0,0.373,66,118,1,.000,.363,.584,49,3,2,0,0,0,0,0,0,54,.963,0,.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,22,28,"13,41",0.32,13,41,"27,65",0.42,27,65,"19,43",0.44,19,43,"0,3",0,0,3,0,0,0,0,"10,22","7,17","33,68",57,0,0,0,"0,1",0,0,1,6,22,0,,,,,,,,
nescac,New England Small College Athletic Conference (NESCAC),2025-26,softball,Bowdoin,Rosie Panenka,,,,24,21,61,11,21,4,2,0,0,6,0,0,4,3,1,0,0,0,0,0,0,1,0,1,0,0.403,23,67,1,1.000,.344,.377,70,3,3,0,0,1,0,1,0,76,.961,1,1.000,1,1,0,0,0,0,0,0,0,0,3.0,0,0,0,0,1,0,0,0.00,10,11,0,1,0,0,0,0,0,0,.100,3,1,13,21,"6,20",0.30,6,20,"9,28",0.32,9,28,"7,20",0.35,7,20,"1,2",0.50,1,2,0,0,0,0,"6,15","1,6","14,30",3,0,0,0,6,0,0,0,3,9,0,3,6,0,"0,2","1,6",0,0,"0,3"
nescac,New England Small College Athletic Conference (NESCAC),2025-26,softball,Bowdoin,Ellie Sullivan,,,,34,30,68,9,14,9,4,1,1,8,0,3,19,6,0,0,1,0,0,0,0,0,0,1,0,0.316,23,80,0,.000,.206,.338,19,37,7,0,0,7,0,0,0,63,.889,7,1.000,74,1,7,4,0,1,1,0,0,0,50.0,37,25,12,12,9,5,1,3.50,217,236,2,0,0,2,5,0,0,2,.341,1,2,15,20,"3,23",0.13,3,23,"7,36",0.19,7,36,"5,25",0.20,5,25,"0,5",0,0,5,0,0,0,0,"7,17","2,7","15,41",24,0,0,0,0,0,0,0,2,21,0,60,71,0,"1,5","7,15","3,4",0,"3,7"
nescac,New England Small College Athletic Conference (NESCAC),2025-26,softball,Bowdoin,Maddie Paschke,,,,29,28,77,10,20,17,3,2,1,5,0,7,7,1,0,0,0,3,0,0,0,0,0,1,0,0.348,30,92,0,.000,.260,.390,164,15,2,1,0,13,5,1,0,181,.989,18,.722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,21,30,"10,32",0.31,10,32,"14,44",0.32,14,44,"9,29",0.31,9,29,"0,2",0,0,2,0,0,0,0,"3,15","4,7","29,55",0,0,0,0,18,0,0,0,10,19,0,,,,,,,,
nescac,New England Small College Athletic Conference (NESCAC),2025-26,softball,Bowdoin,Penelope Fong-picariello,,,,30,26,82,23,26,13,2,1,0,12,0,0,14,8,8,0,4,1,0,0,0,0,0,1,0,0.400,30,99,8,1.000,.317,.366,55,17,2,0,0,0,0,1,0,74,.973,0,.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,30,15,"6,29",0.21,6,29,"11,45",0.24,11,45,"7,28",0.25,7,28,"2,7",0.29,2,7,0,0,0,0,"10,16","7,9","26,53",93,0,0,0,0,0,0,0,16,29,0,,,,,,,,
