season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,team_name,team_id,sdrm_id,games_played,games_started,uniform,year,code,matches_played,attack_stats_hitting_pct,attack_stats_attempts,attack_stats_errors,attack_stats_kills,set_stats_assists,set_stats_errors,set_stats_attempts,set_stats_set_pct,serve_stats_aces,serve_stats_errors,serve_stats_attempts,serve_stats_serve_pct,defense_stats_defense_pct,defense_stats_attempts,defense_stats_receptions,defense_stats_digs,block_stats_total,block_stats_errors,block_stats_assists,block_stats_solos,misc_stats_points,misc_stats_ball_handling_errors,per_set_stats_kills,per_set_stats_assists,per_set_stats_digs,per_set_stats_blocks,per_set_stats_aces,per_set_stats_points,attack_stats,set_stats,serve_stats,defense_stats,block_stats,misc_stats
2026-27,wvball,Northwest Conference (NWC),nwc,Whitworth,"Winterroth, Kaylee",Kaylee,Winterroth,,1454,"Winterroth, Kaylee","WINTERROTH, KAYLEE",Whitworth,Whitw,1270-3834,11,8,8,0,8,0,.353,34,4,16,3,0,12,0,0,0,0,0,0,0,0,3,4,2,0,4,20,0,1.45,0.27,0.27,0.36,0.00,1.82,,,,,,
2026-27,wvball,Northwest Conference (NWC),nwc,Pacific Lutheran,"Eggert, Alexis",Alexis,Eggert,,1297,"Eggert, Alexis","EGGERT, ALEXIS",Pacific Lutheran ,PacL,1266-3094,15,5,11,0,11,0,.340,100,7,41,1,0,2,0,0,0,0,0,0,0,0,3,12,0,6,6,50,0,2.73,0.07,0.20,0.80,0.00,3.33,,,,,,
2026-27,wvball,Northwest Conference (NWC),nwc,Pacific Lutheran,"Colliado, Savanna",Savanna,Colliado,,1297,"Colliado, Savanna","COLLIADO, SAVANNA",Pacific Lutheran ,PacL,1266-3093,15,5,19,0,19,0,.000,4,0,0,0,0,16,0,2,4,59,0,0,40,2,37,0,0,0,0,2,0,0.00,0.00,2.47,0.00,0.13,0.13,,,,,,
2026-27,wvball,Northwest Conference (NWC),nwc,Pacific Lutheran,"Allen-Greggs, Shaela",Shaela,Allen-Greggs,,1297,"Allen-Greggs, Shaela","ALLEN-GREGGS, SHAELA",Pacific Lutheran ,PacL,1266-3097,15,0,23,0,23,0,.132,129,20,37,2,1,9,0,0,0,0,0,0,28,0,10,3,0,1,2,39.5,1,2.47,0.13,0.67,0.20,0.00,2.63,,,,,,
2026-27,wvball,Northwest Conference (NWC),nwc,Pacific Lutheran,"Matsushima, Macy",Macy,Matsushima,,1297,"Matsushima, Macy","MATSUSHIMA, MACY",Pacific Lutheran ,PacL,1266-3450,15,0,2,0,2,0,.000,3,1,1,13,2,55,0,11,3,69,0,0,85,2,87,0,0,0,0,12,0,0.07,0.87,5.80,0.00,0.73,0.80,,,,,,
2026-27,wvball,Northwest Conference (NWC),nwc,Pacific Lutheran,"Takamoto, Ayre",Ayre,Takamoto,,1297,"Takamoto, Ayre","TAKAMOTO, AYRE",Pacific Lutheran ,PacL,1266-3448,15,5,6,0,6,0,.200,40,3,11,141,4,432,0,7,9,57,0,0,0,0,32,4,0,2,2,21,1,0.73,9.40,2.13,0.27,0.47,1.40,,,,,,
2026-27,wvball,Northwest Conference (NWC),nwc,Pacific Lutheran,"Mulipola, Madi",Madi,Mulipola,,1297,"Mulipola, Madi","MULIPOLA, MADI",Pacific Lutheran ,PacL,1266-3446,14,0,12,0,12,0,.000,1,0,0,1,0,2,0,2,3,40,0,0,1,0,16,0,0,0,0,2,0,0.00,0.07,1.14,0.00,0.14,0.14,,,,,,
2026-27,wvball,Northwest Conference (NWC),nwc,Pacific Lutheran,"Pernsteiner, Julissa",Julissa,Pernsteiner,,1297,"Pernsteiner, Julissa","PERNSTEINER, JULISSA",Pacific Lutheran ,PacL,1266-3447,15,5,15,0,15,0,.368,87,9,41,1,1,9,0,0,0,0,0,0,3,1,2,10,0,4,6,49,0,2.73,0.07,0.13,0.67,0.00,3.27,,,,,,
2026-27,wvball,Northwest Conference (NWC),nwc,Pacific Lutheran,"Deuz, Leilah Reese",Leilah Reese,Deuz,,1297,"Deuz, Leilah Reese","DEUZ, LEILAH REESE",Pacific Lutheran ,PacL,1266-4882,3,0,1,0,1,0,.000,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,
2026-27,wvball,Northwest Conference (NWC),nwc,Pacific Lutheran,"Paio, Je T'aime",Je T'aime,Paio,,1297,"Paio, Je T'aime","PAIO, JE T'AIME",Pacific Lutheran ,PacL,1266-4880,15,5,21,0,21,0,.179,123,11,33,2,2,19,0,4,5,65,0,0,87,6,46,1,0,0,1,38,0,2.20,0.13,3.07,0.07,0.27,2.53,,,,,,
