season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,linkup_name,games_played,games_started,uniform,year,hitting_stats_at_bats,hitting_stats_runs,hitting_stats_hits,hitting_stats_runs_batted_in,hitting_stats_doubles,hitting_stats_triples,hitting_stats_home_runs,hitting_stats_walks,hitting_stats_intentional_walks,hitting_stats_hit_by_pitch,hitting_stats_strikeouts,hitting_stats_strikeouts_looking,hitting_stats_stolen_bases,hitting_stats_caught_stealing,hitting_stats_sacrifice_hits,hitting_stats_sacrifice_flies,hitting_stats_reached_on_catchers_interference,hitting_stats_reached_on_error,hitting_stats_reached_on_fielders_choice,hitting_stats_grounded_into_doubleplay,hitting_stats_picked_off,hitting_stats_total_double_plays,hitting_stats_total_triple_plays,hitting_stats_onbase_percentage,hitting_stats_total_bases,hitting_stats_total_plate_appearances,hitting_stats_stolen_base_attempts,hitting_stats_stolen_base_percentage,hitting_stats_batting_average,hitting_stats_slugging_percentage,fielding_stats_putouts,fielding_stats_assists,fielding_stats_errors,fielding_stats_passed_balls,fielding_stats_catchers_interference,fielding_stats_stolen_bases_against,fielding_stats_caught_stealing_by,fielding_stats_involved_in_double_plays,fielding_stats_involved_in_triple_plays,fielding_stats_total_chances,fielding_stats_fielding_percentage,fielding_stats_stolen_bases_against_attempts,fielding_stats_stolen_bases_against_percentage,pitching_stats,hitting_summary_stats_times_reached_base_on_error,hitting_summary_stats_times_reached_base_on_fielders_choice,hitting_summary_stats_times_grouded_out,hitting_summary_stats_times_flied_out,hitting_summary_stats_hits_ab_with_2_outs,hitting_summary_stats_batting_avg_with_2_outs,hitting_summary_stats_hits_with_2_outs,hitting_summary_stats_ab_with_2_outs,hitting_summary_stats_hits_ab_with_runners_on_base,hitting_summary_stats_batting_avg_with_runners_on_base,hitting_summary_stats_hits_with_runners_on_base,hitting_summary_stats_ab_with_runners_on_base,hitting_summary_stats_hits_ab_with_runners_in_scoring_position,hitting_summary_stats_batting_avg_with_runners_in_scoring_position,hitting_summary_stats_hits_with_runners_in_scoring_position,hitting_summary_stats_ab_with_runners_in_scoring_position,hitting_summary_stats_hits_ab_vs_left_handed_pitchers,hitting_summary_stats_batting_avg_vs_left_handed_pitchers,hitting_summary_stats_hits_vs_left_handed_pitchers,hitting_summary_stats_ab_vs_left_handed_pitchers,hitting_summary_stats_hits_ab_vs_right_handed_pitchers,hitting_summary_stats_batting_avg_vs_right_handed_pitchers,hitting_summary_stats_hits_vs_right_handed_pitchers,hitting_summary_stats_ab_vs_right_handed_pitchers,hitting_summary_stats_success_opps_as_leadoff_batter_in_inning,hitting_summary_stats_success_opps_to_drive_in_runner_from_3rd_with_less_than_2_outs,hitting_summary_stats_number_of_runners_advanced_ab,hitting_summary_stats_hits_ab_with_bases_loaded,hitting_summary_stats_batting_avg_with_bases_loaded,hitting_summary_stats_hits_with_bases_loaded,hitting_summary_stats_ab_with_bases_loaded,hitting_summary_stats_hits_ab_as_pinch_hitter,hitting_summary_stats_batting_avg_as_pinch_hitter,hitting_summary_stats_hits_as_pinch_hitter,hitting_summary_stats_ab_as_pinch_hitter,hitting_summary_stats_times_advanced_at_least_1_runner_with_an_out,hitting_summary_stats_runners_left_on_base,hitting_summary_stats_two_out_rbis,pitching_summary_stats,team_name,team_id,sdrm_id,this_is_softball,pitching_stats_hits_allowed,pitching_stats_appearances,pitching_stats_games_started,pitching_stats_wins,pitching_stats_losses,pitching_stats_saves,pitching_stats_complete_games,pitching_stats_shutouts,pitching_stats_credit_for_combined_shutout,pitching_stats_games_finished,pitching_stats_innings_pitched,pitching_stats_runs_allowed,pitching_stats_earned_runs_allowed,pitching_stats_walks_allowed,pitching_stats_strikeouts,pitching_stats_doubles_allowed,pitching_stats_triples_allowed,pitching_stats_home_runs_allowed,pitching_stats_earned_run_average,pitching_stats_opponents_at_bats,pitching_stats_batters_faced,pitching_stats_wild_pitches,pitching_stats_hit_batters,pitching_stats_balks,pitching_stats_sacrifice_flies_allowed,pitching_stats_sacrifice_hits_allowed,pitching_stats_catchers_interference_allowed,pitching_stats_intentional_walks,pitching_stats_strikeouts_looking,pitching_stats_opponent_batting_average,pitching_summary_stats_fly_outs_allowed,pitching_summary_stats_ground_outs_allowed,pitching_summary_stats_runners_picked_off,pitching_summary_stats_success_opps_vs_leadoff_batters,pitching_summary_stats_hits_ab_with_runners_on_base,pitching_summary_stats_hits_ab_vs_left_handed_batters,pitching_summary_stats_hits_ab_vs_right_handed_batters,pitching_summary_stats_hits_ab_with_2_outs,hitting_stats,fielding_stats,hitting_summary_stats,composite_score,global_rank,rating,ranking_segment
2025-26,baseball,American Rivers Conference (ARC),arc,Luther,Garren Heinert,Garren,Heinert,,372,Garren Heinert,0,0LUTHER,40,40,,,150,36,46,27,8,1,2,19,0,11,39,18,7,6,1,1,0,0,0,3,1,6,0,0.420,62,182,13,.538,.307,.413,77,88,6,0,0,0,0,16,0,171,.965,0,.000,,3,6,32,32,"10,47",0.21,10,47,"22,71",0.31,22,71,"16,49",0.33,16,49,"6,14",0.43,6,14,0,0,0,0,"29,55","8,13","39,81",112,0,0,0,0,0,0,0,6,29,0,,Luther,LUTHER,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8166776220318757,29,88,batting
2025-26,baseball,American Rivers Conference (ARC),arc,Loras,Justin Gutierrez,Justin,Gutierrez,,364,Justin Gutierrez,0,0LORAS,40,39,,,146,20,46,28,7,0,3,17,0,0,21,6,6,0,1,3,0,0,0,1,0,3,0,0.380,62,167,6,1.000,.315,.425,18,74,9,0,0,0,0,6,0,101,.911,0,.000,,3,4,25,52,"16,47",0.34,16,47,"23,75",0.31,23,75,"19,53",0.36,19,53,"8,18",0.44,8,18,0,0,0,0,"12,29","9,16","41,87",65,0,0,0,"0,1",0,0,1,7,33,0,,Loras,LORAS,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7288499811357547,30,87,batting
2025-26,baseball,American Rivers Conference (ARC),arc,Loras,Trevor Segraves,Trevor,Segraves,,364,Trevor Segraves,0,0LORAS,41,41,,,163,37,55,24,12,1,2,7,0,2,18,2,9,2,2,1,0,0,0,1,2,4,0,0.370,75,175,11,.818,.337,.460,77,88,1,0,0,1,0,24,0,166,.994,1,1.000,,8,6,51,31,"16,50",0.32,16,50,"32,86",0.37,32,86,"21,57",0.37,21,57,"6,19",0.32,6,19,0,0,0,0,"11,29","10,12","56,93",35,0,0,0,0,0,0,0,14,34,0,,Loras,LORAS,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7090993005561725,31,87,batting
2025-26,baseball,American Rivers Conference (ARC),arc,Luther,Noah Dutler,Noah,Dutler,,372,Noah Dutler,0,0LUTHER,30,20,,,75,16,25,17,1,0,2,9,0,3,12,5,0,0,1,1,0,0,0,1,0,1,0,0.420,32,89,0,.000,.333,.427,3,0,0,0,0,0,0,0,0,3,1.000,0,.000,,1,3,23,15,"5,22",0.23,5,22,"12,38",0.32,12,38,"8,25",0.32,8,25,"2,7",0.29,2,7,0,0,0,0,"8,20","8,9","20,41",17,0,0,0,91,0,0,0,13,17,0,,Luther,LUTHER,0,False,2,1,0,0,0,0,0,0,0,0,3.0,0,0,0,3,0,0,0,0.00,10,10,0,0,0,0,0,0,0,1,.200,0,5,0,"1,3","1,3","0,1",0,"0,3",,,,2.650437223215759,32,86,batting
2025-26,baseball,American Rivers Conference (ARC),arc,Central,Max Steinlage,Max,Steinlage,,126,Max Steinlage,0,0CENTRAL,39,38,,,154,29,46,21,8,2,4,19,0,3,20,3,8,0,1,1,0,0,0,3,0,4,0,0.384,70,178,8,1.000,.299,.455,70,7,1,0,0,5,4,0,0,78,.987,9,.556,,5,5,36,48,"17,52",0.33,17,52,"24,79",0.30,24,79,"14,41",0.34,14,41,"5,17",0.29,5,17,0,0,0,0,"13,26","3,6","44,89",37,0,0,0,1,0,0,0,11,31,0,,Central,CENTRAL,0,False,41,1,11,3,6,0,0,0,0,0,45.0,43,32,32,37,9,1,4,6.40,174,220,3,4,0,8,2,0,0,10,.236,53,40,0,"2,6","1,9","1,6",0,"2,10",,,,2.5127083522023765,33,86,batting
2025-26,baseball,American Rivers Conference (ARC),arc,Coe,Jon Wille,Jon,Wille,,150,Jon Wille,0,0COE,41,41,,,147,27,45,21,12,3,0,20,0,16,20,9,7,5,4,1,0,0,0,0,0,2,0,0.440,63,188,12,.583,.306,.429,46,125,8,0,0,0,0,18,0,179,.955,0,.000,,3,9,50,33,"11,48",0.23,11,48,"23,72",0.32,23,72,"15,42",0.36,15,42,"5,18",0.28,5,18,0,0,0,0,"16,30","7,13","47,89",118,0,0,0,0,0,0,0,7,41,0,,Coe,COE,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.168737360725974,34,85,batting
2025-26,baseball,American Rivers Conference (ARC),arc,Univ. of Dubuque,Micah O'neal,Micah,O'neal,,192,Micah O'neal,0,0UDBQB,28,17,,,74,21,25,15,4,1,1,5,0,2,22,9,5,1,2,0,0,0,0,0,2,0,0,0.395,34,83,6,.833,.338,.459,23,1,0,0,0,0,0,0,0,24,1.000,0,.000,,5,2,16,8,"5,26",0.19,5,26,"14,38",0.37,14,38,"9,27",0.33,9,27,"2,15",0.13,2,15,0,0,0,0,"10,19","3,7","20,41",23,0,0,0,88,0,0,0,4,27,0,,Univ. of Dubuque,UDBQB,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.084035256487356,35,85,batting
2025-26,baseball,American Rivers Conference (ARC),arc,Coe,Jack Allison,Jack,Allison,,150,Jack Allison,0,0COE,41,41,,,150,37,48,21,5,0,2,16,1,7,16,3,2,2,2,2,0,0,0,2,2,5,0,0.406,59,177,4,.500,.320,.393,29,76,12,0,0,0,0,7,0,117,.897,0,.000,,7,5,38,45,"16,46",0.35,16,46,"27,89",0.30,27,89,"18,62",0.29,18,62,"7,17",0.41,7,17,0,0,0,0,"22,39","7,16","50,99",55,0,0,0,0,0,0,0,12,35,0,,Coe,COE,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0353119655558305,36,84,batting
2025-26,baseball,American Rivers Conference (ARC),arc,Central,Chance Dreyer,Chance,Dreyer,,126,Chance Dreyer,0,0CENTRAL,34,34,,,138,23,42,25,7,1,4,4,0,0,24,7,2,1,1,2,0,0,0,3,0,3,0,0.319,63,145,3,.667,.304,.457,149,57,12,0,0,0,0,21,0,218,.945,0,.000,,4,7,41,28,"15,38",0.39,15,38,"20,63",0.32,20,63,"13,43",0.30,13,43,"5,11",0.45,5,11,0,0,0,0,"12,42","9,10","35,67",44,0,0,0,0,0,0,0,7,28,0,,Central,CENTRAL,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6463628143840014,37,84,batting
2025-26,baseball,American Rivers Conference (ARC),arc,Univ. of Dubuque,Jake Cekander,Jake,Cekander,,192,Jake Cekander,0,0UDBQB,40,35,,,125,32,36,17,8,0,2,30,1,1,18,7,0,0,1,2,0,0,0,2,0,2,0,0.424,50,159,0,.000,.288,.400,90,16,2,0,0,3,3,4,0,108,.981,6,.500,,6,2,32,33,"11,44",0.25,11,44,"13,48",0.27,13,48,"7,24",0.29,7,24,"3,18",0.17,3,18,0,0,0,0,"16,38","9,10","32,62",12,0,0,0,79,0,0,0,7,22,0,,Univ. of Dubuque,UDBQB,0,False,38,1,2,2,3,2,0,0,0,0,37.1,17,8,9,28,2,1,2,1.93,147,166,5,6,0,1,3,0,0,9,.259,39,37,1,"2,5","1,11","0,4",0,"1,6",,,,1.4185766898491028,38,84,batting
2025-26,baseball,American Rivers Conference (ARC),arc,Buena Vista,Connor Zegar,Connor,Zegar,,84,Connor Zegar,0,0BVUBB,43,39,,,147,29,42,30,7,1,2,14,0,9,35,8,1,1,6,3,1,0,0,0,0,0,0,0.376,57,180,2,.500,.286,.388,105,10,2,6,0,14,5,0,0,117,.983,19,.737,,6,5,35,37,"16,56",0.29,16,56,"29,88",0.33,29,88,"18,59",0.31,18,59,"5,25",0.20,5,25,0,0,0,0,"18,43","13,18","55,106",71,0,0,0,"0,1",0,0,1,16,46,0,,Buena Vista,BVUBB,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4075742124948298,39,83,batting
2025-26,baseball,American Rivers Conference (ARC),arc,Simpson,Drew Carlson,Drew,Carlson,,641,Drew Carlson,0,0SIMBSB,38,38,,,145,29,37,23,6,1,5,14,0,13,39,12,1,0,0,0,0,0,0,5,0,6,0,0.372,60,172,1,1.000,.255,.414,68,71,8,0,0,0,0,15,0,147,.946,0,.000,,5,2,36,28,"11,40",0.28,11,40,"21,71",0.30,21,71,"14,46",0.30,14,46,"8,28",0.29,8,28,0,0,0,0,"9,26","3,11","39,81",23,0,0,0,0,0,0,0,4,21,0,,Simpson,SIMBSB,0,False,9,1,0,0,0,0,0,0,0,0,7.0,5,5,2,8,3,1,1,6.43,30,32,0,0,0,0,0,0,0,0,.300,10,3,0,"1,1","1,3","1,1",0,"0,1",,,,1.3295470504809925,40,83,batting
