season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,linkup_name,games_played,games_started,uniform,year,hitting_stats_at_bats,hitting_stats_runs,hitting_stats_hits,hitting_stats_runs_batted_in,hitting_stats_doubles,hitting_stats_triples,hitting_stats_home_runs,hitting_stats_walks,hitting_stats_intentional_walks,hitting_stats_hit_by_pitch,hitting_stats_strikeouts,hitting_stats_strikeouts_looking,hitting_stats_stolen_bases,hitting_stats_caught_stealing,hitting_stats_sacrifice_hits,hitting_stats_sacrifice_flies,hitting_stats_reached_on_catchers_interference,hitting_stats_reached_on_error,hitting_stats_reached_on_fielders_choice,hitting_stats_grounded_into_doubleplay,hitting_stats_picked_off,hitting_stats_total_double_plays,hitting_stats_total_triple_plays,hitting_stats_onbase_percentage,hitting_stats_total_bases,hitting_stats_total_plate_appearances,hitting_stats_stolen_base_attempts,hitting_stats_stolen_base_percentage,hitting_stats_batting_average,hitting_stats_slugging_percentage,fielding_stats_putouts,fielding_stats_assists,fielding_stats_errors,fielding_stats_passed_balls,fielding_stats_catchers_interference,fielding_stats_stolen_bases_against,fielding_stats_caught_stealing_by,fielding_stats_involved_in_double_plays,fielding_stats_involved_in_triple_plays,fielding_stats_total_chances,fielding_stats_fielding_percentage,fielding_stats_stolen_bases_against_attempts,fielding_stats_stolen_bases_against_percentage,pitching_stats,hitting_summary_stats_times_reached_base_on_error,hitting_summary_stats_times_reached_base_on_fielders_choice,hitting_summary_stats_times_grouded_out,hitting_summary_stats_times_flied_out,hitting_summary_stats_hits_ab_with_2_outs,hitting_summary_stats_batting_avg_with_2_outs,hitting_summary_stats_hits_with_2_outs,hitting_summary_stats_ab_with_2_outs,hitting_summary_stats_hits_ab_with_runners_on_base,hitting_summary_stats_batting_avg_with_runners_on_base,hitting_summary_stats_hits_with_runners_on_base,hitting_summary_stats_ab_with_runners_on_base,hitting_summary_stats_hits_ab_with_runners_in_scoring_position,hitting_summary_stats_batting_avg_with_runners_in_scoring_position,hitting_summary_stats_hits_with_runners_in_scoring_position,hitting_summary_stats_ab_with_runners_in_scoring_position,hitting_summary_stats_hits_ab_vs_left_handed_pitchers,hitting_summary_stats_batting_avg_vs_left_handed_pitchers,hitting_summary_stats_hits_vs_left_handed_pitchers,hitting_summary_stats_ab_vs_left_handed_pitchers,hitting_summary_stats_hits_ab_vs_right_handed_pitchers,hitting_summary_stats_batting_avg_vs_right_handed_pitchers,hitting_summary_stats_hits_vs_right_handed_pitchers,hitting_summary_stats_ab_vs_right_handed_pitchers,hitting_summary_stats_success_opps_as_leadoff_batter_in_inning,hitting_summary_stats_success_opps_to_drive_in_runner_from_3rd_with_less_than_2_outs,hitting_summary_stats_number_of_runners_advanced_ab,hitting_summary_stats_hits_ab_with_bases_loaded,hitting_summary_stats_batting_avg_with_bases_loaded,hitting_summary_stats_hits_with_bases_loaded,hitting_summary_stats_ab_with_bases_loaded,hitting_summary_stats_hits_ab_as_pinch_hitter,hitting_summary_stats_batting_avg_as_pinch_hitter,hitting_summary_stats_hits_as_pinch_hitter,hitting_summary_stats_ab_as_pinch_hitter,hitting_summary_stats_times_advanced_at_least_1_runner_with_an_out,hitting_summary_stats_runners_left_on_base,hitting_summary_stats_two_out_rbis,pitching_summary_stats,team_name,team_id,sdrm_id,this_is_softball,pitching_stats_hits_allowed,pitching_stats_appearances,pitching_stats_games_started,pitching_stats_wins,pitching_stats_losses,pitching_stats_saves,pitching_stats_complete_games,pitching_stats_shutouts,pitching_stats_credit_for_combined_shutout,pitching_stats_games_finished,pitching_stats_innings_pitched,pitching_stats_runs_allowed,pitching_stats_earned_runs_allowed,pitching_stats_walks_allowed,pitching_stats_strikeouts,pitching_stats_doubles_allowed,pitching_stats_triples_allowed,pitching_stats_home_runs_allowed,pitching_stats_earned_run_average,pitching_stats_opponents_at_bats,pitching_stats_batters_faced,pitching_stats_wild_pitches,pitching_stats_hit_batters,pitching_stats_balks,pitching_stats_sacrifice_flies_allowed,pitching_stats_sacrifice_hits_allowed,pitching_stats_catchers_interference_allowed,pitching_stats_intentional_walks,pitching_stats_strikeouts_looking,pitching_stats_opponent_batting_average,pitching_summary_stats_fly_outs_allowed,pitching_summary_stats_ground_outs_allowed,pitching_summary_stats_runners_picked_off,pitching_summary_stats_success_opps_vs_leadoff_batters,pitching_summary_stats_hits_ab_with_runners_on_base,pitching_summary_stats_hits_ab_vs_left_handed_batters,pitching_summary_stats_hits_ab_vs_right_handed_batters,pitching_summary_stats_hits_ab_with_2_outs,composite_score,global_rank,rating
2026-27,softball,Northwest Conference (NWC),nwc,Whitworth,Ellis Reagan,Ellis,Reagan,,1454,Ellis Reagan,0,0WHITWORT,38,38,,,108,10,37,21,4,0,0,8,0,4,12,2,0,0,0,4,0,0,0,0,0,2,0,0.395,41,124,0,.000,.343,.380,19,40,4,0,0,0,0,0,0,63,.937,0,.000,,1,2,17,44,"14,40",0.35,14,40,"24,54",0.44,24,54,"16,36",0.44,16,36,"3,10",0.30,3,10,"1,5",0.20,1,5,"7,21","8,14","33,59",45,0,0,0,0,0,0,0,15,15,0,,Whitworth,WHITWORT,1270-2209,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9146887326066917,46,87
2026-27,softball,Northwest Conference (NWC),nwc,Pacific Lutheran,Aby Redwine,Aby,Redwine,,1297,Aby Redwine,0,0PLU,27,17,,,66,10,22,16,2,0,1,0,0,3,6,4,1,0,0,1,0,0,0,0,0,1,0,0.357,27,70,1,1.000,.333,.409,90,3,1,0,0,0,0,1,0,94,.989,0,.000,,0,2,12,26,"6,20",0.30,6,20,"13,40",0.33,13,40,"9,30",0.30,9,30,"3,8",0.38,3,8,0,0,0,0,"5,17","6,11","21,43",6,0,0,0,255,0,0,0,6,19,0,,Pacific Lutheran ,PLU,1266-4999,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8678343353697544,47,87
2026-27,softball,Northwest Conference (NWC),nwc,Pacific Lutheran,Megan Landes,Megan,Landes,,1297,Megan Landes,0,0PLU,21,13,,,34,9,10,13,1,0,1,11,0,1,7,2,0,0,2,1,0,0,0,0,1,0,0,0.468,14,49,0,.000,.294,.412,25,0,0,0,0,0,0,0,0,25,1.000,0,.000,,3,1,7,10,"5,13",0.38,5,13,"9,23",0.39,9,23,"6,17",0.35,6,17,"0,2",0,0,2,0,0,0,0,"3,7","5,8","20,31",91,0,0,0,24,0,0,0,8,5,0,,Pacific Lutheran ,PLU,1266-2990,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8105998811157353,48,87
2026-27,softball,Northwest Conference (NWC),nwc,Pacific,Kj Gardenhire,Kj,Gardenhire,,2751,Kj Gardenhire,0,0PACIFIC,11,2,,,12,2,4,5,0,0,1,2,0,0,5,3,0,0,1,0,0,0,0,0,0,0,0,0.429,7,15,0,.000,.333,.583,9,0,0,0,0,0,0,0,0,9,1.000,0,.000,,0,0,2,2,"1,7",0.14,1,7,"2,6",0.33,2,6,"1,5",0.20,1,5,0,0,0,0,0,0,0,0,"1,2",0,"5,9",0,0,0,0,13,0,0,0,1,5,0,,Pacific,PACIFIC,1265-4545,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8086291189147334,49,86
2026-27,softball,Northwest Conference (NWC),nwc,Puget Sound,Macy Maxwell,Macy,Maxwell,,557,Macy Maxwell,0,0PUGET SO,32,28,,,73,9,27,9,4,0,0,3,0,0,7,0,1,0,2,0,0,0,0,0,0,0,0,0.395,31,78,1,1.000,.370,.425,38,28,10,0,0,0,0,0,0,76,.868,0,.000,,4,1,23,15,"6,25",0.24,6,25,"13,37",0.35,13,37,"8,26",0.31,8,26,"5,11",0.45,5,11,0,0,0,0,"12,18","4,7","20,39",59,0,0,0,0,0,0,0,8,21,0,,Puget Sound,PUGET SO,1267-3806,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.665669126514942,50,86
2026-27,softball,Northwest Conference (NWC),nwc,Lewis & Clark,Mckenna Zehnder,Mckenna,Zehnder,,22235,Mckenna Zehnder,0,0LC,44,43,,,98,12,23,11,4,0,3,4,0,9,12,6,4,0,9,1,0,0,0,0,0,0,0,0.321,36,121,4,1.000,.235,.367,77,62,5,1,0,6,2,2,0,144,.965,8,.750,,2,6,30,40,"7,32",0.22,7,32,"6,49",0.12,6,49,"4,27",0.15,4,27,"3,13",0.23,3,13,0,0,0,0,"9,25","5,10","32,65",11,0,0,0,0,0,0,0,19,25,0,,Lewis & Clark,LC,1261-2298,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4203257298401097,51,86
2026-27,softball,Northwest Conference (NWC),nwc,Puget Sound,Elyssa Garcia,Elyssa,Garcia,,557,Elyssa Garcia,0,0PUGET SO,31,30,,,72,13,16,14,5,0,3,8,0,1,24,6,0,1,0,0,0,0,0,0,0,1,0,0.309,30,81,1,.000,.222,.417,63,1,3,0,0,0,0,1,0,67,.955,0,.000,,3,1,6,24,"5,23",0.22,5,23,"8,43",0.19,8,43,"5,26",0.19,5,26,"3,9",0.33,3,9,0,0,0,0,"7,20","3,8","15,48",46,0,0,0,0,0,0,0,0,19,0,,Puget Sound,PUGET SO,1267-3661,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2765590299653335,52,86
2026-27,softball,Northwest Conference (NWC),nwc,Linfield,Lindell Kya,Lindell,Kya,,1179,Lindell Kya,0,0LINFIELD,33,33,,,97,28,25,6,3,0,0,7,0,0,12,2,8,0,3,0,0,0,0,0,0,1,0,0.308,28,107,8,1.000,.258,.289,43,63,10,0,0,0,0,4,0,116,.914,0,.000,,8,4,43,13,"9,25",0.36,9,25,"15,50",0.30,15,50,"9,35",0.26,9,35,"0,12",0,0,12,0,0,0,0,"8,23","2,8","33,55",23,0,0,0,0,0,0,0,14,14,0,,Linfield,LINFIELD,1262-11771,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2305713430165004,53,85
2026-27,softball,Northwest Conference (NWC),nwc,Linfield,Pappas Sophie,Pappas,Sophie,,1179,Pappas Sophie,0,0LINFIELD,26,20,,,54,8,14,10,5,1,1,13,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0.403,24,67,0,.000,.259,.444,14,20,3,0,0,0,0,0,0,37,.919,0,.000,,1,1,15,20,"3,20",0.15,3,20,"8,32",0.25,8,32,"4,21",0.19,4,21,"1,12",0.08,1,12,0,0,0,0,"6,13","3,7","15,35",0,0,0,0,"0,1",0,0,1,3,18,0,,Linfield,LINFIELD,1262-11498,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.078197616808651,54,85
2026-27,softball,Northwest Conference (NWC),nwc,Puget Sound,Nyomi Estrada,Nyomi,Estrada,,557,Nyomi Estrada,0,0PUGET SO,31,30,,,79,3,25,8,1,0,0,7,0,1,16,7,0,0,2,0,0,0,0,0,0,0,0,0.379,26,89,0,.000,.316,.329,3,3,0,0,0,46,6,0,0,6,1.000,52,.885,,1,5,19,18,"8,24",0.33,8,24,"13,42",0.31,13,42,"10,27",0.37,10,27,"4,12",0.33,4,12,0,0,0,0,"8,16","3,4","26,48",6,0,0,0,52,0,0,0,5,11,0,,Puget Sound,PUGET SO,1267-3308,True,108,1,18,4,16,0,11,0,0,0,110.0,112,96,106,82,20,1,16,6.11,421,559,4,10,0,10,12,0,0,16,.257,188,50,2,"4,6","5,14","4,13",0,"2,8",2.071920798172512,55,85
2026-27,softball,Northwest Conference (NWC),nwc,Willamette,Wiseman Reese,Wiseman,Reese,,785,Wiseman Reese,0,0WILLAMET,20,15,,,36,5,12,9,2,0,0,5,0,1,9,1,0,1,1,1,0,0,0,0,0,0,0,0.419,14,44,1,.000,.333,.389,13,0,2,0,0,0,0,0,0,15,.867,0,.000,,1,1,9,7,"3,11",0.27,3,11,"10,25",0.40,10,25,"6,15",0.40,6,15,"1,4",0.25,1,4,"0,0",0,0,0,"3,7","3,6","15,28",2,0,0,0,4,0,0,0,6,6,0,,Willamette,WILLAMET,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.021612917339921,56,85
2026-27,softball,Northwest Conference (NWC),nwc,Pacific,Caitlyn Gieser,Caitlyn,Gieser,,2751,Caitlyn Gieser,0,0PACIFIC,17,5,,,25,2,9,7,2,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0.385,11,26,0,.000,.360,.440,4,0,0,3,0,2,0,0,0,4,1.000,2,1.000,,0,0,6,6,"4,10",0.40,4,10,"7,16",0.44,7,16,"5,9",0.56,5,9,"1,1",1.00,1,1,0,0,0,0,"1,6","1,1","7,16",4,0,0,0,98,0,0,0,0,9,0,,Pacific,PACIFIC,1265-4854,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0058737589591358,57,84
2026-27,softball,Northwest Conference (NWC),nwc,Willamette,Petersen Mckenzee,Petersen,Mckenzee,,785,Petersen Mckenzee,0,0WILLAMET,40,39,,,134,4,44,14,9,0,0,3,1,0,9,3,1,0,1,0,0,0,0,1,0,1,0,0.343,53,138,1,1.000,.328,.396,128,25,4,0,0,18,2,2,0,157,.975,20,.900,,5,7,26,50,"17,55",0.31,17,55,"23,75",0.31,23,75,"12,45",0.27,12,45,"7,14",0.50,7,14,"1,7",0.14,1,7,"9,24","2,6","37,76",37,0,0,0,24,0,0,0,11,32,0,,Willamette,WILLAMET,0,True,79,1,10,4,6,0,5,0,0,1,57.2,57,47,18,36,9,3,5,5.71,250,280,9,3,0,2,7,0,0,7,.316,41,89,0,"3,6","7,14","2,5","5,27","2,8",1.909911373740356,58,84
2026-27,softball,Northwest Conference (NWC),nwc,George Fox,Kayla Mashino,Kayla,Mashino,,1094,Kayla Mashino,0,0GFU,35,17,,,55,15,13,10,1,1,0,10,0,0,12,4,9,0,2,2,0,0,0,0,0,0,0,0.343,16,69,9,1.000,.236,.291,29,36,7,0,0,0,0,4,0,72,.903,0,.000,,2,1,9,24,"1,17",0.06,1,17,"7,27",0.26,7,27,"5,21",0.24,5,21,"3,10",0.30,3,10,0,0,0,0,"4,13","6,11","15,33",66,0,0,0,175,0,0,0,4,12,0,,George Fox ,GFU,1260-3341,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9068597933015772,59,84
2026-27,softball,Northwest Conference (NWC),nwc,Pacific,Jordan Ingram,Jordan,Ingram,,2751,Jordan Ingram,0,0PACIFIC,37,37,,,117,9,33,18,3,0,0,10,0,1,7,4,3,1,6,1,0,0,0,0,0,0,0,0.341,36,135,4,.750,.282,.308,215,3,5,0,0,0,0,10,0,223,.978,0,.000,,4,2,37,42,"12,38",0.32,12,38,"22,60",0.37,22,60,"17,44",0.39,17,44,"5,14",0.36,5,14,0,0,0,0,"7,20","7,9","35,68",18,0,0,0,0,0,0,0,12,32,0,,Pacific,PACIFIC,1265-4295,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8956212210725611,60,84
2026-27,softball,Northwest Conference (NWC),nwc,Pacific Lutheran,Emelia Maza,Emelia,Maza,,1297,Emelia Maza,0,0PLU,31,26,,,78,9,22,17,6,0,0,5,0,2,10,5,1,0,4,1,0,0,0,0,0,0,0,0.337,28,90,1,1.000,.282,.359,105,2,2,0,0,0,0,4,0,109,.982,0,.000,,5,0,23,23,"9,28",0.32,9,28,"14,49",0.29,14,49,"10,34",0.29,10,34,"4,10",0.40,4,10,0,0,0,0,"8,18","5,9","26,55",17,0,0,0,41,0,0,0,12,20,0,,Pacific Lutheran ,PLU,1266-3162,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8231515618913963,61,84
