season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,team_name,team_id,sdrm_id,games_played,games_started,uniform,year,code,matches_played,attack_stats_hitting_pct,attack_stats_attempts,attack_stats_errors,attack_stats_kills,set_stats_assists,set_stats_errors,set_stats_attempts,set_stats_set_pct,serve_stats_aces,serve_stats_errors,serve_stats_attempts,serve_stats_serve_pct,defense_stats_defense_pct,defense_stats_attempts,defense_stats_receptions,defense_stats_digs,block_stats_total,block_stats_errors,block_stats_assists,block_stats_solos,misc_stats_points,misc_stats_ball_handling_errors,per_set_stats_kills,per_set_stats_assists,per_set_stats_digs,per_set_stats_blocks,per_set_stats_aces,per_set_stats_points,attack_stats,set_stats,serve_stats,defense_stats,block_stats,misc_stats,composite_score,global_rank,rating
2026-27,mvball,New Jersey Athletic Conference (NJAC),njac,Ramapo,"Hernandez, Sebastian",Sebastian,Hernandez,,564,"Hernandez, Sebastian","HERNANDEZ, SEBASTIAN",Ramapo,RCNJ,1152-4479,20,1,22,0,22,0,-.500,4,2,0,73,3,186,0,10,14,59,0,0,0,0,11,3,1,3,0,11.5,0,0.00,3.65,0.55,0.15,0.50,0.58,,,,,,,-3.905389991825814,68,59
2026-27,mvball,New Jersey Athletic Conference (NJAC),njac,Kean,"Lopez, Christian",Christian,Lopez,,329,"Lopez, Christian","LOPEZ, CHRISTIAN",Kean,Kean,0,49,1,13,0,13,0,.000,1,0,0,7,1,24,0,4,9,103,0,0,38,0,29,0,0,0,0,4,0,0.00,0.14,0.59,0.00,0.08,0.08,,,,,,,-4.133447027023584,69,58
2026-27,mvball,New Jersey Athletic Conference (NJAC),njac,Rutgers-Newark,"Gomes, Yann",Yann,Gomes,,589,"Gomes, Yann","GOMES, YANN",Rutgers-Newark,RUN,1161-2208,12,0,10,0,10,0,.000,0,0,0,0,0,1,0,2,10,32,0,0,3,1,1,0,0,0,0,2,0,0.00,0.00,0.08,0.00,0.17,0.17,,,,,,,-4.300689084688326,70,57
2026-27,mvball,New Jersey Athletic Conference (NJAC),njac,Kean,"Cruver, Carson",Carson,Cruver,,329,"Cruver, Carson","CRUVER, CARSON",Kean,Kean,0,30,0,3,0,3,0,.000,6,0,0,78,5,219,0,1,4,50,0,0,0,0,17,0,0,0,0,1,0,0.00,2.60,0.57,0.00,0.03,0.03,,,,,,,-4.385658004525022,71,57
2026-27,mvball,New Jersey Athletic Conference (NJAC),njac,Rutgers-Newark,"Femiano, John",John,Femiano,,589,"Femiano, John","FEMIANO, JOHN",Rutgers-Newark,RUN,1161-2578,28,0,2,0,2,0,.000,1,0,0,2,0,6,0,2,2,41,0,0,18,0,11,0,0,0,0,2,0,0.00,0.07,0.39,0.00,0.07,0.07,,,,,,,-4.406891926122401,72,56
2026-27,mvball,New Jersey Athletic Conference (NJAC),njac,Ramapo,"Nasher, Shah",Shah,Nasher,,564,"Nasher, Shah","NASHER, SHAH",Ramapo,RCNJ,0,0,0,36,0,36,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,-4.431104822173186,73,55
2026-27,mvball,New Jersey Athletic Conference (NJAC),njac,NJCU,"Mundaray, Jonathan",Jonathan,Mundaray,,319,"Mundaray, Jonathan","MUNDARAY, JONATHAN",NJCU,NJCU,1151-3455,57,0,16,0,16,0,.000,0,0,0,3,0,20,0,0,0,0,0,0,61,5,36,0,0,0,0,0,0,0.00,0.05,0.63,0.00,0.00,0.00,,,,,,,-4.455065230520304,74,55
2026-27,mvball,New Jersey Athletic Conference (NJAC),njac,Ramapo,"Cortina, Johan",Johan,Cortina,,564,"Cortina, Johan","CORTINA, JOHAN",Ramapo,RCNJ,1152-4477,12,0,12,0,12,0,.000,0,0,0,2,0,4,0,0,3,12,0,0,29,3,6,0,0,0,0,0,0,0.00,0.17,0.50,0.00,0.00,0.00,,,,,,,-4.602975186988716,75,54
2026-27,mvball,New Jersey Athletic Conference (NJAC),njac,Ramapo,"Yap, Abe",Abe,Yap,,564,"Yap, Abe","YAP, ABE",Ramapo,RCNJ,1152-4350,15,0,3,0,3,0,.000,0,0,0,1,0,3,0,0,0,0,0,0,2,1,7,0,0,0,0,0,0,0.00,0.07,0.47,0.00,0.00,0.00,,,,,,,-4.6371082538660415,76,53
2026-27,mvball,New Jersey Athletic Conference (NJAC),njac,NJCU,"Matute, Anthony",Anthony,Matute,,319,"Matute, Anthony","MATUTE, ANTHONY",NJCU,NJCU,1151-3309,80,0,4,0,4,0,-.667,3,2,0,37,0,116,0,0,0,0,0,0,505,29,227,0,0,0,0,0,0,0.00,0.46,2.84,0.00,0.00,0.00,,,,,,,-4.938951581967671,77,53
2026-27,mvball,New Jersey Athletic Conference (NJAC),njac,Ramapo,"Azevedo, Gabriel",Gabriel,Azevedo,,564,"Azevedo, Gabriel","AZEVEDO, GABRIEL",Ramapo,RCNJ,0,0,0,4,0,4,0,.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,-5.171859634944147,78,52
2026-27,mvball,New Jersey Athletic Conference (NJAC),njac,NJCU,"Montoya, Gabriel",Gabriel,Montoya,,319,"Montoya, Gabriel","MONTOYA, GABRIEL",NJCU,NJCU,1151-3404,2,0,8,0,8,0,.000,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,-5.171859634944147,79,51
2026-27,mvball,New Jersey Athletic Conference (NJAC),njac,Rutgers-Newark,"Novellino, Joseph",Joseph,Novellino,,589,"Novellino, Joseph","NOVELLINO, JOSEPH",Rutgers-Newark,RUN,1161-2581,6,0,7,0,7,0,-.500,2,1,0,40,0,82,0,0,1,6,0,0,0,0,2,1,0,1,0,0.5,0,0.00,6.67,0.33,0.17,0.00,0.08,,,,,,,-6.371083992538498,80,51
