season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,linkup_name,games_played,games_started,uniform,year,hitting_stats_at_bats,hitting_stats_runs,hitting_stats_hits,hitting_stats_runs_batted_in,hitting_stats_doubles,hitting_stats_triples,hitting_stats_home_runs,hitting_stats_walks,hitting_stats_intentional_walks,hitting_stats_hit_by_pitch,hitting_stats_strikeouts,hitting_stats_strikeouts_looking,hitting_stats_stolen_bases,hitting_stats_caught_stealing,hitting_stats_sacrifice_hits,hitting_stats_sacrifice_flies,hitting_stats_reached_on_catchers_interference,hitting_stats_reached_on_error,hitting_stats_reached_on_fielders_choice,hitting_stats_grounded_into_doubleplay,hitting_stats_picked_off,hitting_stats_total_double_plays,hitting_stats_total_triple_plays,hitting_stats_onbase_percentage,hitting_stats_total_bases,hitting_stats_total_plate_appearances,hitting_stats_stolen_base_attempts,hitting_stats_stolen_base_percentage,hitting_stats_batting_average,hitting_stats_slugging_percentage,fielding_stats_putouts,fielding_stats_assists,fielding_stats_errors,fielding_stats_passed_balls,fielding_stats_catchers_interference,fielding_stats_stolen_bases_against,fielding_stats_caught_stealing_by,fielding_stats_involved_in_double_plays,fielding_stats_involved_in_triple_plays,fielding_stats_total_chances,fielding_stats_fielding_percentage,fielding_stats_stolen_bases_against_attempts,fielding_stats_stolen_bases_against_percentage,pitching_stats,hitting_summary_stats_times_reached_base_on_error,hitting_summary_stats_times_reached_base_on_fielders_choice,hitting_summary_stats_times_grouded_out,hitting_summary_stats_times_flied_out,hitting_summary_stats_hits_ab_with_2_outs,hitting_summary_stats_batting_avg_with_2_outs,hitting_summary_stats_hits_with_2_outs,hitting_summary_stats_ab_with_2_outs,hitting_summary_stats_hits_ab_with_runners_on_base,hitting_summary_stats_batting_avg_with_runners_on_base,hitting_summary_stats_hits_with_runners_on_base,hitting_summary_stats_ab_with_runners_on_base,hitting_summary_stats_hits_ab_with_runners_in_scoring_position,hitting_summary_stats_batting_avg_with_runners_in_scoring_position,hitting_summary_stats_hits_with_runners_in_scoring_position,hitting_summary_stats_ab_with_runners_in_scoring_position,hitting_summary_stats_hits_ab_vs_left_handed_pitchers,hitting_summary_stats_batting_avg_vs_left_handed_pitchers,hitting_summary_stats_hits_vs_left_handed_pitchers,hitting_summary_stats_ab_vs_left_handed_pitchers,hitting_summary_stats_hits_ab_vs_right_handed_pitchers,hitting_summary_stats_batting_avg_vs_right_handed_pitchers,hitting_summary_stats_hits_vs_right_handed_pitchers,hitting_summary_stats_ab_vs_right_handed_pitchers,hitting_summary_stats_success_opps_as_leadoff_batter_in_inning,hitting_summary_stats_success_opps_to_drive_in_runner_from_3rd_with_less_than_2_outs,hitting_summary_stats_number_of_runners_advanced_ab,hitting_summary_stats_hits_ab_with_bases_loaded,hitting_summary_stats_batting_avg_with_bases_loaded,hitting_summary_stats_hits_with_bases_loaded,hitting_summary_stats_ab_with_bases_loaded,hitting_summary_stats_hits_ab_as_pinch_hitter,hitting_summary_stats_batting_avg_as_pinch_hitter,hitting_summary_stats_hits_as_pinch_hitter,hitting_summary_stats_ab_as_pinch_hitter,hitting_summary_stats_times_advanced_at_least_1_runner_with_an_out,hitting_summary_stats_runners_left_on_base,hitting_summary_stats_two_out_rbis,pitching_summary_stats,team_name,team_id,sdrm_id,this_is_softball,pitching_stats_hits_allowed,pitching_stats_appearances,pitching_stats_games_started,pitching_stats_wins,pitching_stats_losses,pitching_stats_saves,pitching_stats_complete_games,pitching_stats_shutouts,pitching_stats_credit_for_combined_shutout,pitching_stats_games_finished,pitching_stats_innings_pitched,pitching_stats_runs_allowed,pitching_stats_earned_runs_allowed,pitching_stats_walks_allowed,pitching_stats_strikeouts,pitching_stats_doubles_allowed,pitching_stats_triples_allowed,pitching_stats_home_runs_allowed,pitching_stats_earned_run_average,pitching_stats_opponents_at_bats,pitching_stats_batters_faced,pitching_stats_wild_pitches,pitching_stats_hit_batters,pitching_stats_balks,pitching_stats_sacrifice_flies_allowed,pitching_stats_sacrifice_hits_allowed,pitching_stats_catchers_interference_allowed,pitching_stats_intentional_walks,pitching_stats_strikeouts_looking,pitching_stats_opponent_batting_average,pitching_summary_stats_fly_outs_allowed,pitching_summary_stats_ground_outs_allowed,pitching_summary_stats_runners_picked_off,pitching_summary_stats_success_opps_vs_leadoff_batters,pitching_summary_stats_hits_ab_with_runners_on_base,pitching_summary_stats_hits_ab_vs_left_handed_batters,pitching_summary_stats_hits_ab_vs_right_handed_batters,pitching_summary_stats_hits_ab_with_2_outs,hitting_stats,hitting_summary_stats,fielding_stats,composite_score,global_rank,rating,ranking_segment,pitching_stats_k_per_9,pitching_stats_whip,pitching_stats_strike_percentage
2026-27,baseball,Ohio Athletic Conference (OAC),oac,Muskingum,Jake Valentine,Jake,Valentine,,455,Jake Valentine,0,0MUSKINGU,4,4,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0,0,.000,.000,.000,2,3,1,0,0,1,0,0,0,6,.833,1,1.000,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Muskingum,MUSKINGU,0,False,19,1,4,-1,3,0,0,0,0,0,20.0,12,10,5,24,5,0,1,4.50,76,88,1,3,0,0,4,0,0,5,.250,11,24,1,0,0,0,0,0,,,,2.833089813820153,9,97,pitching,10.8,1.2,0.2727272727272727
2026-27,baseball,Ohio Athletic Conference (OAC),oac,Baldwin Wallace,Tyler Walker,Tyler,Walker,,46,Tyler Walker,0,0BW,7,3,,,-3,-1,-1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0.000,0,-2,1,1.000,.333,.000,-1,5,0,0,0,8,1,0,0,4,1.000,9,.889,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,2",0,0,0,0,0,0,0,0,0,0,0,0,0,,Baldwin Wallace,BW,1273-333,False,44,1,4,2,0,0,0,0,0,0,36.0,25,15,11,46,7,0,1,3.75,148,166,3,3,0,1,3,0,0,17,.297,32,25,0,"8,20","12,34","8,16",0,"5,22",,,,2.7465795588191875,10,96,pitching,11.5,1.5277777777777777,0.27710843373493976
2026-27,baseball,Ohio Athletic Conference (OAC),oac,Otterbein,Nick Mealey,Nick,Mealey,,531,Nick Mealey,0,0OTTERBEI,5,5,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0,0,.000,.000,.000,0,4,1,0,0,5,0,0,0,5,.800,5,1.000,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Otterbein,OTTERBEI,1285-4973,False,23,1,5,0,3,0,0,0,0,0,26.2,17,13,12,32,3,0,1,4.39,98,120,5,6,0,2,2,0,0,9,.235,29,17,1,"4,6","7,17","0,2",0,"1,8",,,,2.508171817995187,11,96,pitching,10.992366412213741,1.33587786259542,0.26666666666666666
2026-27,baseball,Ohio Athletic Conference (OAC),oac,Ohio Northern,Brayden Windnagel,Brayden,Windnagel,,517,Brayden Windnagel,0,0OHIO NOR,4,2,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0,0,.000,.000,.000,0,1,1,0,0,1,0,0,0,2,.500,1,1.000,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Ohio Northern,OHIO NOR,0,False,20,1,2,2,0,0,0,0,0,0,15.2,9,5,3,14,2,0,0,2.87,63,69,1,1,0,1,1,0,0,3,.317,13,16,0,"6,16","10,34","2,10",0,"4,19",,,,1.216677666460477,12,96,pitching,8.289473684210527,1.5131578947368423,0.2028985507246377
2026-27,baseball,Ohio Athletic Conference (OAC),oac,Mount Union,"Ickes, Luke",Luke,Ickes,,452,"Ickes, Luke",0,0UMU,20,20,,,72,25,23,16,3,0,2,15,0,9,12,2,7,1,1,1,0,0,0,0,0,0,0,0.485,32,98,8,.875,.319,.444,16,7,0,0,0,0,0,0,0,23,1.000,0,.000,,2,2,14,22,"7,23",0.30,7,23,"14,43",0.33,14,43,"10,28",0.36,10,28,"3,11",0.27,3,11,"10,27",0.37,10,27,"8,15","6,9","29,54",2,0,0,0,6,0,0,0,32,21,0,,Mount Union,UMU,1279-4971,False,25,1,6,4,0,0,0,1,0,0,33.0,18,17,20,34,4,1,1,4.64,118,146,1,6,0,0,2,0,0,3,.212,27,28,4,"4,5","3,11","4,6","6,38","0,3",,,,1.1355014172982087,13,95,pitching,9.272727272727273,1.3636363636363635,0.2328767123287671
2026-27,baseball,Ohio Athletic Conference (OAC),oac,Heidelberg,Logan Walpole,Logan,Walpole,,278,Logan Walpole,0,0BERG,18,18,,,52,6,12,11,4,1,0,7,0,2,13,3,1,0,0,2,0,0,0,1,0,2,0,0.333,18,63,1,1.000,.231,.346,120,4,1,0,0,7,2,14,0,125,.992,9,.778,,0,1,13,16,"3,18",0.17,3,18,"6,31",0.19,6,31,"4,19",0.21,4,19,"0,5",0,0,5,0,0,0,0,"3,10","6,8","13,36",24,0,0,0,1,0,0,0,8,18,0,,Heidelberg,BERG,1276-3340,False,27,1,4,2,-1,0,1,0,0,0,22.0,12,9,8,17,3,1,1,3.68,88,100,0,1,0,1,2,0,0,7,.307,24,19,0,0,0,0,0,0,,,,-0.5530212624145978,14,92,pitching,6.954545454545454,1.5909090909090908,0.17
2026-27,baseball,Ohio Athletic Conference (OAC),oac,Wilmington,Max Gildea,Max,Gildea,,1461,Max Gildea,0,0WILMINGT,17,17,,,47,5,10,5,3,0,2,1,0,0,15,4,0,0,0,0,0,0,0,0,0,0,0,0.229,19,48,0,.000,.213,.404,78,8,1,0,0,4,0,3,0,87,.989,4,1.000,,1,2,7,13,"3,11",0.27,3,11,"4,21",0.19,4,21,"2,14",0.14,2,14,"0,5",0,0,5,0,0,0,0,"5,12","1,4","8,22",5,0,0,0,"0,1",0,0,1,2,7,0,,Wilmington,WILMINGT,1286-3242,False,21,1,4,0,3,0,0,0,0,0,21.0,12,9,2,11,5,0,1,3.86,84,92,3,4,0,1,1,0,0,5,.250,29,22,0,"1,6","3,7","1,3",0,"3,9",,,,-0.7588017717238213,15,89,pitching,4.714285714285714,1.0952380952380953,0.11956521739130435
2026-27,baseball,Ohio Athletic Conference (OAC),oac,Muskingum,Colten Muhlenkamp,Colten,Muhlenkamp,,455,Colten Muhlenkamp,0,0MUSKINGU,5,5,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0,0,.000,.000,.000,3,6,0,0,0,1,2,0,0,9,1.000,3,.333,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Muskingum,MUSKINGU,0,False,31,1,5,1,2,0,0,0,0,0,29.0,15,10,6,14,3,0,1,3.10,113,124,0,3,0,0,2,0,0,5,.274,26,40,0,"9,24","14,45","3,17",0,"9,31",,,,-0.9630252216705563,16,87,pitching,4.344827586206897,1.2758620689655173,0.11290322580645161
2026-27,baseball,Ohio Athletic Conference (OAC),oac,Ohio Northern,Aslyn Farinelli,Aslyn,Farinelli,,517,Aslyn Farinelli,0,0OHIO NOR,8,6,,,11,3,4,4,0,1,0,1,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0.462,6,13,2,1.000,.364,.545,0,2,0,0,0,0,1,0,0,2,1.000,1,.000,,0,0,3,2,"3,5",0.60,3,5,"3,5",0.60,3,5,"2,4",0.50,2,4,"2,5",0.40,2,5,0,0,0,0,"2,4","1,1","4,5","1,1",1.00,1,1,11,0,0,0,1,2,0,,Ohio Northern,OHIO NOR,0,False,38,1,4,2,0,0,1,0,0,0,26.2,16,13,1,18,7,0,2,4.39,110,119,1,5,0,3,0,0,0,9,.345,29,27,1,"5,7","5,15","3,5",0,"1,7",,,,-1.3167560233220432,17,84,pitching,6.183206106870229,1.4885496183206108,0.15126050420168066
2026-27,baseball,Ohio Athletic Conference (OAC),oac,Capital,Nash Andrix,Nash,Andrix,,117,Nash Andrix,0,0CAPITAL,6,6,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0,0,.000,.000,.000,3,4,1,0,0,5,3,0,0,8,.875,8,.625,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Capital,CAPITAL,1275-3108,False,27,1,6,2,1,0,0,0,0,0,25.2,21,17,13,23,7,0,2,5.96,100,119,2,3,0,1,2,0,0,10,.270,33,16,0,"3,4","2,7","0,3",0,"1,4",,,,-1.418447880031896,18,81,pitching,8.214285714285715,1.5873015873015874,0.19327731092436976
