rank,conference_code,conference,season,team,player_name,class_year,position,gp,mpg,ppg,rpg,apg,spg,bpg,tov_pg,composite_score,z_ppg,z_rpg,z_apg,z_spg,z_bpg,z_tov_pg
1,usa_south_athletic_confe,USA South Athletic Conference,2025-26,Pfeiffer,"Smith,Doug",0,F,26,28.615384615384617,16.46,9.42,1.81,0.73,2.81,2.0,8.031882045567965,1.761841490368178,3.31036785876698,0.27003649105412453,-0.13610340148977149,6.028904401834226,1.1806056002692398
2,usa_south_athletic_confe,USA South Athletic Conference,2025-26,Brevard,"Carnes,Jadon",0,F,25,34.36,18.2,4.28,3.92,1.08,0.2,1.56,6.010166904710978,2.1644081341322754,0.40074714258673855,2.2111605259461986,0.5837323663894647,-0.2409300833265523,0.39798234132260746
3,usa_south_athletic_confe,USA South Athletic Conference,2025-26,N.C. Wesleyan,"Johnson,Nasir",0,G,27,33.81481481481482,17.26,3.85,2.11,1.85,0.07,1.0,5.671753975685362,1.9469296024436256,0.15733529278955868,0.546025690327879,2.167371055723784,-0.5532206898671275,-0.5980836246094704
4,usa_south_athletic_confe,USA South Athletic Conference,2025-26,N.C. Wesleyan,"Smith,Rashod",0,G,26,32.11538461538461,15.54,3.38,5.0,2.0,0.08,1.7692307692307692,5.622407606387616,1.5489901614814134,-0.10871951977945186,3.204721643331715,2.475872099100599,-0.5291983355178524,0.7701388560664605
5,usa_south_athletic_confe,USA South Athletic Conference,2025-26,Greensboro,"Jackson,DJ",0,G,23,33.73913043478261,18.43,4.26,2.48,1.43,0.87,2.652173913043478,4.791900200605493,2.2176209663539668,0.38942566120082295,0.8864123694321764,1.3035681342687004,1.3685676580748736,2.340620312146659
6,usa_south_athletic_confe,USA South Athletic Conference,2025-26,Southern Virginia,"Green,DJ",0,G,27,35.592592592592595,15.37,5.44,4.15,1.15,0.0,2.2962962962962963,4.092481062118512,1.5096589376653808,1.0573930629698283,2.4227522453894106,0.7276995199653116,-0.7213771703120526,1.7076246298629318
7,usa_south_athletic_confe,USA South Athletic Conference,2025-26,Southern Virginia,"Johnson,Tillman",0,F,26,35.15384615384615,14.73,4.5,4.58,1.54,0.23,2.5,4.088220473602508,1.3615884480050233,0.5252834378318071,2.8183367643484587,1.529802232745032,-0.16886302027872727,2.069950212708595
8,usa_south_athletic_confe,USA South Athletic Conference,2025-26,Methodist,"Brooks,KJ",0,G,26,32.69230769230769,15.38,5.27,2.15,1.5,0.27,1.8461538461538465,4.066546342301281,1.5119725390663243,0.9611604711895474,0.5828242502310463,1.4475352878445478,-0.0727736028816272,0.9069611041340543
9,usa_south_athletic_confe,USA South Athletic Conference,2025-26,Greensboro,"Gray,Will",0,G,24,29.916666666666668,13.17,4.75,2.92,1.96,0.38,2.2083333333333335,3.423538237600151,1.000666629457901,0.6668019551557488,1.2911965283670164,2.393605154200115,0.19147229496039792,1.5511658554523047
10,usa_south_athletic_confe,USA South Athletic Conference,2025-26,Brevard,"Wilson,Twain",0,G,22,30.045454545454547,15.0,3.55,1.36,1.36,0.36,1.7272727272727273,2.8337148588884027,1.4240556858304867,-0.012486927999171536,-0.14394730785650733,1.1596009806928536,0.14342758626184784,0.6955085389386826
11,usa_south_athletic_confe,USA South Athletic Conference,2025-26,William Peace,"Jones,Shawn",0,G,25,30.08,11.04,7.2,1.92,0.8,1.32,2.16,2.7697422080560887,0.5078695310570224,2.053683424930378,0.37123253078783447,0.007863752086075843,2.449573603792249,1.4651958762498338
12,usa_south_athletic_confe,USA South Athletic Conference,2025-26,William Peace,"Hodgson,Parker",0,G,23,31.47826086956522,12.65,7.17,2.13,1.17,0.39,2.260869565217391,2.7579816672558453,0.8803593566088603,2.036701202851505,0.5644249702794627,0.7688329924155537,0.21549464930967294,1.6446114850202074
13,usa_south_athletic_confe,USA South Athletic Conference,2025-26,Mary Baldwin,"Benton,Raymond",0,F,25,28.88,12.76,6.48,0.76,1.32,0.08,1.4,2.6601012139455027,0.9058089720192342,1.6461100950374257,-0.6959257064040166,1.0773340357923693,-0.5291983355178524,0.11339206534201357
14,usa_south_athletic_confe,USA South Athletic Conference,2025-26,Methodist,"Pettaway,Dontavious",0,G,22,27.318181818181817,11.5,4.55,1.73,1.14,0.68,1.4090909090909092,2.4595972304622062,0.6142951955004048,0.5535871412965954,0.19643937124778993,0.7071327837401905,0.9121429254386484,0.1295619673863658
15,usa_south_athletic_confe,USA South Athletic Conference,2025-26,Brevard,"Horton,KK",0,G,25,30.92,11.48,3.4,4.04,0.96,0.4,1.88,2.290740655526997,0.6096679926985187,-0.09739803839353652,2.3215562056557006,0.33693153168801215,0.23951700365894799,0.9671628932837945
16,usa_south_athletic_confe,USA South Athletic Conference,2025-26,Pfeiffer,"Robinson,Clayton",0,G,26,25.76923076923077,11.35,3.65,2.38,1.15,0.04,1.1153846153846154,2.1116439485274245,0.5795911744862583,0.0441204789304052,0.7944159696742582,0.7276995199653116,-0.6252877529149525,-0.39285025250808064
17,usa_south_athletic_confe,USA South Athletic Conference,2025-26,Pfeiffer,"Sucarichi,Sean",0,G,26,28.384615384615383,13.42,4.04,2.23,0.85,0.19,1.8461538461538465,1.9592344586188348,1.0585066644814782,0.26488936595575435,0.6564213700373809,0.11069743321168085,-0.2649524376758273,0.9069611041340543
18,usa_south_athletic_confe,USA South Athletic Conference,2025-26,Methodist,"Williams,Tre'",0,G,26,30.0,13.08,2.73,2.04,0.88,0.08,1.3076923076923077,1.8253961747276453,0.9798442168494131,-0.4766676648217003,0.4816282104973364,0.17239764188704398,-0.5291983355178524,-0.05079463233909795
19,usa_south_athletic_confe,USA South Athletic Conference,2025-26,Brevard,"Brown,Dre'Shaun",0,G,25,29.76,7.52,5.8,2.96,1.24,0.92,1.76,1.7971496860482952,-0.30651816207494553,1.261179727916304,1.3279950882701839,0.912800145991401,1.4886794298212487,0.7537201862983495
20,usa_south_athletic_confe,USA South Athletic Conference,2025-26,N.C. Wesleyan,"Jones,James",0,G,27,30.185185185185187,10.22,3.7,0.63,1.15,0.56,0.8888888888888888,1.4285003469455109,0.31815421617968925,0.0724241823951937,-0.8155210260893103,0.7276995199653116,0.6238746732473482,-0.7957157607071049
21,usa_south_athletic_confe,USA South Athletic Conference,2025-26,Mary Baldwin,"Hogarth,Rony",0,F,24,27.291666666666668,14.04,4.58,1.17,0.54,0.21,1.9166666666666667,1.382385371936155,1.2019499513399496,0.5705693633754685,-0.31874046739655204,-0.5268713897670709,-0.21690772897727734,1.0323814981960142
22,usa_south_athletic_confe,USA South Athletic Conference,2025-26,N.C. Wesleyan,"Burden,Justin",0,G,27,23.62962962962963,10.7,6.22,0.85,0.59,0.37,1.4074074074074074,1.2489275732483032,0.42920708342495734,1.4989308370205259,-0.6131289466218902,-0.42403770864146595,0.16744994061112287,0.12656754108185608
23,usa_south_athletic_confe,USA South Athletic Conference,2025-26,Mary Baldwin,"Via,DJ",0,G,25,32.24,10.32,3.36,1.64,1.56,0.0,1.32,1.1260033131486846,0.3412902301891201,-0.12004100116536721,0.11364261146566346,1.5709357051952741,-0.7213771703120526,-0.02890307264828297
24,usa_south_athletic_confe,USA South Athletic Conference,2025-26,N.C. Wesleyan,"Gilbert,Markquan",0,F,27,18.59259259259259,12.48,3.37,0.63,0.7,0.22,1.4074074074074074,0.7345268397303983,0.8410281327928277,-0.11438026047240941,-0.8155210260893103,-0.19780361016513465,-0.19288537462800232,0.12656754108185608
25,usa_south_athletic_confe,USA South Athletic Conference,2025-26,N.C. Wesleyan,"Cox,Deejayy",0,G,27,25.925925925925927,5.78,6.19,1.04,1.19,0.22,0.5555555555555556,0.7317896481426824,-0.7090848058390432,1.4819486149416534,-0.4383357870818456,0.8099664648657958,-0.19288537462800232,-1.3886121690000082
