season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,team_name,team_id,sdrm_id,games_played,games_started,uniform,year,code,shot_stats_penalty_kick_attempts,shot_stats_penalty_kick_goals,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_penalty_shot_attempts,shot_stats_penalty_shot_goals,shot_stats_avg_shots_per_game,shot_stats_avg_sog_per_game,shot_stats_avg_points_per_game,shot_stats_avg_goals_per_game,shot_stats_avg_assists_per_game,shot_stats_shots_saved_by_goalie,goal_stats_game_tying,goal_stats_hattricks,goal_stats_overtime,goal_stats_first,goal_stats_unassisted,goal_stats_game_winning,goal_stats_avg_gw_per_game,caution_stats_fouls,caution_stats_red_cards,caution_stats_yellow_cards,caution_stats_green_cards,caution_stats_avg_fouls_per_game,caution_stats_avg_yc_per_game,caution_stats_avg_rc_per_game,caution_stats_avg_gc_per_game,misc_stats_offsides,misc_stats_corner_kicks,misc_stats_minutes_played,misc_stats_defensive_saves,misc_stats_avg_corners_per_game,misc_stats_avg_offsides_per_game,goalie_stats_shots_faced,goalie_stats_ties,goalie_stats_losses,goalie_stats_wins,goalie_stats_shutouts,goalie_stats_save_percentage,goalie_stats_goals_against_avg,goalie_stats_saves,goalie_stats_goals_allowed,goalie_stats_minutes,goalie_stats_games_started,goalie_stats_games_played,goalie_stats_avg_ga_per_game,goalie_stats_save_percentage_calc,goalie_stats_avg_sho_per_game,goalie_stats_avg_saves_per_game,goalie_stats,shot_stats,goal_stats,caution_stats,misc_stats,composite_score,global_rank,rating
2026-27,msoc,Minnesota Intercollegiate Athletic Conference (MIAC),miac,Bethel,"Schmoyer, Noah",Noah,Schmoyer,,60,"Schmoyer, Noah","SCHMOYER,NOAH",Bethel,BET,1104-8166,2,0,16,0,16,0,0,0,2,0,0,0,0,0,1.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,1,0,0,0,.50,.00,.00,.00,0,,33:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,-1.3465254255216514,286,57
2026-27,msoc,Minnesota Intercollegiate Athletic Conference (MIAC),miac,Saint John's,Sebastian Fernandez,Sebastian,Fernandez,,602,Sebastian Fernandez,"FERNANDEZ,SEBASTIAN",Saint John's,SJU,0,3,1,35,0,35,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,1,0,1,0,.33,.33,.00,.00,0,,79:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,-1.3465254255216514,287,57
2026-27,msoc,Minnesota Intercollegiate Athletic Conference (MIAC),miac,Macalester,"See Shipman, Leo",Leo,See Shipman,,376,"See Shipman, Leo","SEE SHIPMAN,LEO",Macalester,MAC,1110-5589,1,0,28,0,28,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,33:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,-1.3465254255216514,288,57
2026-27,msoc,Minnesota Intercollegiate Athletic Conference (MIAC),miac,St. Scholastica,"Senich, Ben",Ben,Senich,,618,"Senich, Ben","SENICH,BEN",St. Scholastica,CSS,1402-7825,0,0,27,0,27,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,00:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,-1.3465254255216514,289,56
2026-27,msoc,Minnesota Intercollegiate Athletic Conference (MIAC),miac,Augsburg,"Sherian, Zachariah",Zachariah,Sherian,,38,"Sherian, Zachariah","SHERIAN,ZACHARIAH",Augsburg,AUG,1103-13012,2,2,21,0,21,0,0,0,1,0,0,0,0,0,.50,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,2,0,0,0,1.00,.00,.00,.00,0,,158:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,-1.3465254255216514,290,56
2026-27,msoc,Minnesota Intercollegiate Athletic Conference (MIAC),miac,Macalester,"Shinn, Matteo",Matteo,Shinn,,376,"Shinn, Matteo","SHINN,MATTEO",Macalester,MAC,1110-5590,0,0,3,0,3,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,00:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,-1.3465254255216514,291,56
2026-27,msoc,Minnesota Intercollegiate Athletic Conference (MIAC),miac,St. Olaf,"Shirmeyer, Finn",Finn,Shirmeyer,,615,"Shirmeyer, Finn","SHIRMEYER,FINN",St. Olaf,STO,1117-5671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,00:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,-1.3465254255216514,292,56
2026-27,msoc,Minnesota Intercollegiate Athletic Conference (MIAC),miac,St. Olaf,"Short, Coby",Coby,Short,,615,"Short, Coby","SHORT,COBY",St. Olaf,STO,1117-5678,0,0,24,0,24,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,00:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,-1.3465254255216514,293,56
2026-27,msoc,Minnesota Intercollegiate Athletic Conference (MIAC),miac,Carleton,"Shrock, Willan",Willan,Shrock,,118,"Shrock, Willan","SHROCK,WILLAN",Carleton,CAR,1105-1103,0,0,20,0,20,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,00:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,-1.3465254255216514,294,56
2026-27,msoc,Minnesota Intercollegiate Athletic Conference (MIAC),miac,Saint Mary's,"Singel, Jaydon",Jaydon,Singel,,612,"Singel, Jaydon","SINGEL,JAYDON",Saint Mary's,SMU,1116-7157,2,0,23,0,23,0,0,0,1,0,0,0,0,0,.50,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,2,0,0,0,1.00,.00,.00,.00,0,,78:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,-1.3465254255216514,295,56
2026-27,msoc,Minnesota Intercollegiate Athletic Conference (MIAC),miac,Saint Mary's,"Sosa, Ricardo",Ricardo,Sosa,,612,"Sosa, Ricardo","SOSA,RICARDO",Saint Mary's,SMU,1116-7278,0,0,39,0,39,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,00:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,-1.3465254255216514,296,55
2026-27,msoc,Minnesota Intercollegiate Athletic Conference (MIAC),miac,St. Olaf,"Stewart, Pablo",Pablo,Stewart,,615,"Stewart, Pablo","STEWART,PABLO",St. Olaf,STO,1117-5672,0,0,4,0,4,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,00:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,-1.3465254255216514,297,55
2026-27,msoc,Minnesota Intercollegiate Athletic Conference (MIAC),miac,Carleton,"Stiffler, Dylan",Dylan,Stiffler,,118,"Stiffler, Dylan","STIFFLER,DYLAN",Carleton,CAR,1105-1226,0,0,17,0,17,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,00:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,-1.3465254255216514,298,55
