conference_code,conference,season,team,player_name,first_name,last_name,gp,mpg,ppg,rpg,apg,spg,bpg,tov_pg
mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Fitchburg St.,J Jackson,J,Jackson,20,33.3,21.9,7.9,1.8,0.8,0.3,2.1
mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Westfield St.,K Rogers,K,Rogers,27,36.3,20.1,8.0,4.6,1.7,0.4,3.4
mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,MCLA,C Williams,C,Williams,25,35.7,19.8,5.6,2.4,1.3,0.3,2.5
mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Anna Maria,L Miglionico,L,Miglionico,25,29.2,16.4,3.9,0.8,0.5,0.3,2.5
mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Bridgewater St.,Z Taylor,Z,Taylor,25,31.1,16.4,6.1,2.8,0.6,0.4,2.6
mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Framingham St.,D Rogers,D,Rogers,18,29.2,15.6,3.8,2.0,1.6,0.4,2.8
mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Framingham St.,F Koite,F,Koite,26,27.8,15.4,4.2,1.2,1.9,0.7,2.0
mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Salem St.,A Barry,A,Barry,26,32.4,15.2,5.2,2.3,2.1,0.8,1.7
mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Worcester St.,J Okla,J,Okla,27,31.7,14.9,9.0,1.8,1.6,0.1,2.0
mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Westfield St.,X Lewis,X,Lewis,24,33.6,14.2,3.4,2.9,1.9,0.0,1.1
mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,MCLA,C Quinn,C,Quinn,24,24.8,13.5,3.1,1.5,0.5,0.0,1.6
mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Framingham St.,J Saint Jean,J Saint,Jean,24,31.3,13.4,9.2,0.8,0.8,1.3,2.8
mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Salem St.,R Orleans,R,Orleans,26,28.6,13.4,9.7,0.4,1.2,0.5,1.6
mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Westfield St.,J James,J,James,27,29.9,13.3,3.0,1.9,1.4,0.1,1.2
