conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,attack_stats_hitting_pct,attack_stats_attempts,attack_stats_errors,attack_stats_kills,set_stats_assists,set_stats_errors,set_stats_attempts,set_stats_set_pct,serve_stats_aces,serve_stats_errors,serve_stats_attempts,serve_stats_serve_pct,defense_stats_defense_pct,defense_stats_attempts,defense_stats_receptions,defense_stats_digs,block_stats_total,block_stats_errors,block_stats_assists,block_stats_solos,misc_stats_points,misc_stats_ball_handling_errors,per_set_stats_kills,per_set_stats_assists,per_set_stats_digs,per_set_stats_blocks,per_set_stats_aces,per_set_stats_points
njac,New Jersey Athletic Conference (NJAC),2025-26,mvball,Ramapo,"Ford, Caleb",0,,15,96,30,.320,284,33,124,12,1,57,0,18,28,242,0,0,4,1,43,67,12,49,18,184.5,0,1.29,0.13,0.45,0.70,0.19,1.92
njac,New Jersey Athletic Conference (NJAC),2025-26,mvball,Ramapo,"Duca, Joseph",0,,7,34,0,.000,15,3,3,48,0,125,0,6,18,102,0,0,14,1,37,0,0,0,0,9,0,0.09,1.41,1.09,0.00,0.18,0.26
njac,New Jersey Athletic Conference (NJAC),2025-26,mvball,Ramapo,"Westrich, Ryan",0,,5,80,10,-.083,12,2,1,15,2,51,0,35,66,256,0,0,81,5,105,0,0,0,0,36,0,0.01,0.19,1.31,0.00,0.44,0.45
njac,New Jersey Athletic Conference (NJAC),2025-26,mvball,Ramapo,"Amon Pulla, Christopher",0,,13,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
njac,New Jersey Athletic Conference (NJAC),2025-26,mvball,Ramapo,"Brown, Mekkhai",0,,8,49,12,.243,144,23,58,4,0,24,0,2,7,24,0,0,0,0,26,24,6,20,4,74,0,1.18,0.08,0.53,0.49,0.04,1.51
njac,New Jersey Athletic Conference (NJAC),2025-26,mvball,Ramapo,"Capers, Jonah",0,,10,4,0,.125,16,4,6,0,0,0,0,1,1,6,0,0,1,0,1,0,0,0,0,7,0,1.50,0.00,0.25,0.00,0.25,1.75
njac,New Jersey Athletic Conference (NJAC),2025-26,mvball,Ramapo,"Cascone, Brady",0,,17,89,27,.200,689,147,285,12,2,69,0,16,65,271,0,0,428,15,116,15,4,8,7,312,0,3.20,0.13,1.30,0.17,0.18,3.51
njac,New Jersey Athletic Conference (NJAC),2025-26,mvball,Ramapo,"Lindstrom, Logan",0,,2,13,0,.211,19,4,8,1,0,9,0,3,4,40,0,0,0,0,5,3,1,0,3,14,0,0.62,0.08,0.38,0.23,0.23,1.08
njac,New Jersey Athletic Conference (NJAC),2025-26,mvball,Ramapo,"Roman, Mateo",0,,14,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
njac,New Jersey Athletic Conference (NJAC),2025-26,mvball,Ramapo,"Tracz, Jan",0,,1,99,30,.391,363,41,183,4,2,37,0,47,91,408,0,0,5,1,66,64,12,48,16,270,0,1.85,0.04,0.67,0.65,0.47,2.73
njac,New Jersey Athletic Conference (NJAC),2025-26,mvball,Ramapo,"Van Valkenburgh, Trevor",0,,21,26,2,.289,83,17,41,2,1,10,0,3,12,52,0,0,50,2,34,2,1,1,1,45.5,0,1.58,0.08,1.31,0.08,0.12,1.75
njac,New Jersey Athletic Conference (NJAC),2025-26,mvball,Ramapo,"Yap, Abraham",0,,3,8,0,.000,0,0,0,2,1,9,0,0,0,5,0,0,28,0,7,0,0,0,0,0,0,0.00,0.25,0.88,0.00,0.00,0.00
njac,New Jersey Athletic Conference (NJAC),2025-26,mvball,Ramapo,"Council, Chris",0,,6,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
njac,New Jersey Athletic Conference (NJAC),2025-26,mvball,Ramapo,"Hidalgo, Justin",0,,20,7,0,.306,36,5,16,0,1,6,0,3,7,18,0,0,22,2,7,0,0,0,0,19,0,2.29,0.00,1.00,0.00,0.43,2.71
njac,New Jersey Athletic Conference (NJAC),2025-26,mvball,Ramapo,"Mamood Nasher, Shah",0,,12,11,3,.000,23,8,8,0,0,2,0,0,0,2,0,0,0,0,3,4,1,4,0,10,0,0.73,0.00,0.27,0.36,0.00,0.91
njac,New Jersey Athletic Conference (NJAC),2025-26,mvball,NJCU,"McGehee, Mike",0,,23,58,8,.054,149,42,50,5,0,30,0,8,16,170,0,0,1,1,62,16,6,16,0,66,0,0.86,0.09,1.07,0.28,0.14,1.14
