conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,shot_stats_penalty_kick_attempts,shot_stats_penalty_kick_goals,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_penalty_shot_attempts,shot_stats_penalty_shot_goals,shot_stats_avg_shots_per_game,shot_stats_avg_sog_per_game,shot_stats_avg_points_per_game,shot_stats_avg_goals_per_game,shot_stats_avg_assists_per_game,shot_stats_shots_saved_by_goalie,goal_stats_game_tying,goal_stats_hattricks,goal_stats_overtime,goal_stats_first,goal_stats_unassisted,goal_stats_game_winning,goal_stats_avg_gw_per_game,caution_stats_fouls,caution_stats_red_cards,caution_stats_yellow_cards,caution_stats_green_cards,caution_stats_avg_fouls_per_game,caution_stats_avg_yc_per_game,caution_stats_avg_rc_per_game,caution_stats_avg_gc_per_game,misc_stats_offsides,misc_stats_corner_kicks,misc_stats_minutes_played,misc_stats_defensive_saves,misc_stats_avg_corners_per_game,misc_stats_avg_offsides_per_game,goalie_stats_shots_faced,goalie_stats_ties,goalie_stats_losses,goalie_stats_wins,goalie_stats_shutouts,goalie_stats_save_percentage,goalie_stats_goals_against_avg,goalie_stats_saves,goalie_stats_goals_allowed,goalie_stats_minutes,goalie_stats_games_started,goalie_stats_games_played,goalie_stats_avg_ga_per_game,goalie_stats_save_percentage_calc,goalie_stats_avg_sho_per_game,goalie_stats_avg_saves_per_game
aec,Atlantic East Conference (AEC),2025-26,wsoc,Pratt Institute,"Hook, Claire",0,,19,16,15,0,0,9,14,9,3,3,0,0,.88,.56,.56,.188,.188,6,0,1,0,0,1,0,.000,8,0,0,0,.50,.00,.00,.00,0,,1282:00,0,.00,.00,,,,,,,,,,,,,,,,
aec,Atlantic East Conference (AEC),2025-26,wsoc,Marywood,"Galea, Addie",0,,0,2,1,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,90:00,0,.00,.00,1,0,0,1,0,1.000,0.00,1,0,90:00,1,2,.00,1.000,.000,.50
aec,Atlantic East Conference (AEC),2025-26,wsoc,Marywood,"Morrison, Genevieve",0,,1,17,14,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,1278:00,0,.00,.00,106,0,1,13,8,.863,0.49,44,7,1278:56,14,17,.41,0.863,.471,2.59
aec,Atlantic East Conference (AEC),2025-26,wsoc,Marywood,"Orr, Jenna",0,,99,6,3,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,252:00,0,.00,.00,18,0,1,2,0,.667,1.08,6,3,251:04,3,6,.50,0.667,.000,1.00
aec,Atlantic East Conference (AEC),2025-26,wsoc,Marywood,"Higgins, Britlyn",0,,2,17,17,0,0,14,25,6,2,2,0,0,1.47,.82,.35,.118,.118,12,0,0,0,1,1,1,.059,13,0,1,0,.76,.06,.00,.00,0,,1486:00,0,.00,.00,,,,,,,,,,,,,,,,
aec,Atlantic East Conference (AEC),2025-26,wsoc,Marywood,"Flores, Syenna",0,,3,12,2,0,0,1,8,1,1,0,0,0,.67,.08,.08,.000,.083,1,0,0,0,0,0,0,.000,3,0,0,0,.25,.00,.00,.00,0,,333:00,0,.00,.00,,,,,,,,,,,,,,,,
aec,Atlantic East Conference (AEC),2025-26,wsoc,Marywood,"Meals, Faith",0,,4,16,16,0,0,8,17,5,5,0,0,0,1.06,.50,.31,.000,.313,8,0,0,0,0,0,0,.000,11,0,0,0,.69,.00,.00,.00,0,,1339:00,0,.00,.00,,,,,,,,,,,,,,,,
aec,Atlantic East Conference (AEC),2025-26,wsoc,Marywood,"Mazzella, Yianna",0,,5,10,2,0,0,6,8,11,1,5,0,0,.80,.60,1.10,.500,.100,1,0,0,0,1,1,1,.100,2,0,0,0,.20,.00,.00,.00,0,,201:00,0,.00,.00,,,,,,,,,,,,,,,,
aec,Atlantic East Conference (AEC),2025-26,wsoc,Marywood,"McDonald, Kylie",0,,6,10,1,0,0,1,2,2,2,0,0,0,.20,.10,.20,.000,.200,1,0,0,0,0,0,0,.000,5,0,0,0,.50,.00,.00,.00,0,,294:00,0,.00,.00,,,,,,,,,,,,,,,,
aec,Atlantic East Conference (AEC),2025-26,wsoc,Marywood,"Alston, Rylee",0,,7,18,5,0,0,11,20,6,2,2,0,0,1.11,.61,.33,.111,.111,9,0,0,0,0,1,2,.111,6,0,0,0,.33,.00,.00,.00,0,,827:00,0,.00,.00,,,,,,,,,,,,,,,,
aec,Atlantic East Conference (AEC),2025-26,wsoc,Marywood,"Dias, Madison",0,,8,17,9,0,0,4,12,1,1,0,0,0,.71,.24,.06,.000,.059,4,0,0,0,0,0,0,.000,11,0,1,0,.65,.06,.00,.00,0,,629:00,0,.00,.00,,,,,,,,,,,,,,,,
aec,Atlantic East Conference (AEC),2025-26,wsoc,Marywood,"Kezmarsky, Sofia",0,,9,0,0,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,00:00,0,.00,.00,,,,,,,,,,,,,,,,
aec,Atlantic East Conference (AEC),2025-26,wsoc,Marywood,"De Los Santos, Elena",0,,10,14,11,0,0,2,6,2,0,1,0,0,.43,.14,.14,.071,.000,1,0,0,0,0,0,0,.000,4,0,0,0,.29,.00,.00,.00,0,,648:00,0,.00,.00,,,,,,,,,,,,,,,,
aec,Atlantic East Conference (AEC),2025-26,wsoc,Marywood,"Billie, Kendall",0,,11,5,0,0,0,2,4,0,0,0,0,0,.80,.40,.00,.000,.000,2,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,96:00,0,.00,.00,,,,,,,,,,,,,,,,
aec,Atlantic East Conference (AEC),2025-26,wsoc,Marywood,"Shore, Isabel",0,,12,3,0,0,0,2,2,2,0,1,1,1,.67,.67,.67,.333,.000,1,0,0,0,0,1,0,.000,0,0,0,0,.00,.00,.00,.00,0,,62:00,0,.00,.00,,,,,,,,,,,,,,,,
aec,Atlantic East Conference (AEC),2025-26,wsoc,Marywood,"Walters, Caroline",0,,14,12,12,0,0,19,37,21,11,5,0,0,3.08,1.58,1.75,.417,.917,14,0,0,0,1,3,1,.083,4,0,0,0,.33,.00,.00,.00,0,,977:00,0,.00,.00,,,,,,,,,,,,,,,,
aec,Atlantic East Conference (AEC),2025-26,wsoc,Marywood,"Baker, Katie",0,,15,18,12,0,0,14,29,4,0,2,0,0,1.61,.78,.22,.111,.000,12,0,0,0,1,0,0,.000,33,0,1,0,1.83,.06,.00,.00,0,,1277:00,0,.00,.00,,,,,,,,,,,,,,,,
aec,Atlantic East Conference (AEC),2025-26,wsoc,Marywood,"Menzzasalma, Mia",0,,16,18,18,0,0,0,2,1,1,0,0,0,.11,.00,.06,.000,.056,0,0,0,0,0,0,0,.000,12,0,1,0,.67,.06,.00,.00,0,,1553:00,0,.00,.00,,,,,,,,,,,,,,,,
aec,Atlantic East Conference (AEC),2025-26,wsoc,Marywood,"Bittenbender, Riley",0,,17,18,16,0,0,9,18,12,4,4,0,0,1.00,.50,.67,.222,.222,5,0,0,0,0,3,1,.056,9,0,0,0,.50,.00,.00,.00,0,,1268:00,0,.00,.00,,,,,,,,,,,,,,,,
aec,Atlantic East Conference (AEC),2025-26,wsoc,Marywood,"Marotti, Lydia",0,,18,1,1,0,0,0,1,0,0,0,0,0,1.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,19:00,0,.00,.00,,,,,,,,,,,,,,,,
