season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,linkup_name,games_played,games_started,uniform,year,team_name,team_id,sdrm_id,goal_stats_shootout_goals,goal_stats_free_positiong_goals,goal_stats_game_tying_goals,goal_stats_empty_net_goals,goal_stats_overtime_goals,goal_stats_first_goals,goal_stats_unassisted_goals,goal_stats_short_handed_goals,goal_stats_power_play_goals,goal_stats_game_winning_goals,penalty_stats_number,penalty_stats_minutes,penalty_stats_fouls,penalty_stats_green_cards,penalty_stats_yellow_cards,penalty_stats_red_cards,penalty_stats_match,penalty_stats_major,penalty_stats_minor,misc_stats_powerplay_opps,misc_stats_powerplay_goals,misc_stats_faceoffs_won,misc_stats_faceoffs_lost,misc_stats_ground_balls,misc_stats_draw_controls,misc_stats_turnovers,misc_stats_caused_turnovers,misc_stats_minutes_played,misc_stats_seconds,misc_stats_faceoffs_taken,misc_stats_penalty_killing_pct,goalie_stats,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_free_position_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_shots_on_goal_pct,avg_points_game,goalie_stats_games_played,goalie_stats_minutes,goalie_stats_goals_allowed,goalie_stats_saves,goalie_stats_shutouts,goalie_stats_win,goalie_stats_loss,goalie_stats_tie,goalie_stats_powerplay_goals_allowed,goalie_stats_shorthanded_goals_allowed,goalie_stats_emptynet_goals_allowed,goalie_stats_shots_faced,goalie_stats_goals_against_avg,goalie_stats_save_pct,goal_stats,penalty_stats,misc_stats,shot_stats
2025-26,mlax,Presidents Athletic Conference (PAC),pac,Grove City,Joshua McDermott,Joshua,McDermott,,265,Joshua McDermott,"MCDERMOTT,JOSHUA",MCDERMOTTJOSHUAGROVE CITY,20,0,,,Grove City,GROVE CITY,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,27,0,9,11,00:00,0,0,1.000,,7,12,0,6,2,4,.583,0.30,,,,,,,,,,,,,,,,,,
2025-26,mlax,Presidents Athletic Conference (PAC),pac,Grove City,Adam Budzik,Adam,Budzik,,265,Adam Budzik,"BUDZIK,ADAM",BUDZIKADAMGROVE CITY,1,0,,,Grove City,GROVE CITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:00,0,0,1.000,,0,1,0,0,0,0,.000,0.00,,,,,,,,,,,,,,,,,,
2025-26,mlax,Presidents Athletic Conference (PAC),pac,Grove City,Rigdon Greene,Rigdon,Greene,,265,Rigdon Greene,"GREENE,RIGDON",GREENERIGDONGROVE CITY,22,7,,,Grove City,GROVE CITY,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,16,0,16,2,437:00,45,2,1.000,,16,31,0,23,15,8,.516,1.05,,,,,,,,,,,,,,,,,,
2025-26,mlax,Presidents Athletic Conference (PAC),pac,Grove City,Mac Faircloth,Mac,Faircloth,,265,Mac Faircloth,"FAIRCLOTH,MAC",FAIRCLOTHMACGROVE CITY,17,4,,,Grove City,GROVE CITY,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,12,1,254:00,48,0,1.000,,16,30,0,13,5,8,.533,0.76,,,,,,,,,,,,,,,,,,
2025-26,mlax,Presidents Athletic Conference (PAC),pac,Grove City,Nolan Brown,Nolan,Brown,,265,Nolan Brown,"BROWN,NOLAN",BROWNNOLANGROVE CITY,8,0,,,Grove City,GROVE CITY,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,5,1,00:00,0,1,1.000,,10,20,0,9,4,5,.500,1.13,,,,,,,,,,,,,,,,,,
2025-26,mlax,Presidents Athletic Conference (PAC),pac,Grove City,Tyler Gladstone,Tyler,Gladstone,,265,Tyler Gladstone,"GLADSTONE,TYLER",GLADSTONETYLERGROVE CITY,11,3,,,Grove City,GROVE CITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10,0,3,0,298:00,114,0,1.000,,1,1,0,0,0,0,1.000,0.00,9,239:30,21,45,0,4,0,0,0,0,0,134,5.26,.682,,,,
2025-26,mlax,Presidents Athletic Conference (PAC),pac,Grove City,Cole Pedroso,Cole,Pedroso,,265,Cole Pedroso,"PEDROSO,COLE",PEDROSOCOLEGROVE CITY,9,3,,,Grove City,GROVE CITY,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,6,0,9,1,180:00,26,1,1.000,,23,33,0,20,5,15,.697,2.22,,,,,,,,,,,,,,,,,,
2025-26,mlax,Presidents Athletic Conference (PAC),pac,Grove City,Evan Gill,Evan,Gill,,265,Evan Gill,"GILL,EVAN",GILLEVANGROVE CITY,8,0,,,Grove City,GROVE CITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,25,61,0,0,1,00:00,0,127,1.000,,0,1,0,2,2,0,.000,0.25,0,00:00,0,0,0,0,0,0,0,0,0,0,.00,.000,,,,
2025-26,mlax,Presidents Athletic Conference (PAC),pac,Grove City,Ryan Walton,Ryan,Walton,,265,Ryan Walton,"WALTON,RYAN",WALTONRYANGROVE CITY,9,0,,,Grove City,GROVE CITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,1,4,00:00,0,0,1.000,,3,8,0,3,2,1,.375,0.33,,,,,,,,,,,,,,,,,,
2025-26,mlax,Presidents Athletic Conference (PAC),pac,Grove City,Gabe Jensen,Gabe,Jensen,,265,Gabe Jensen,"JENSEN,GABE",JENSENGABEGROVE CITY,10,1,,,Grove City,GROVE CITY,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,8,0,4,2,61:00,6,2,1.000,,10,12,0,6,1,5,.833,0.60,,,,,,,,,,,,,,,,,,
