season,sport,gender,conference,conference_code,team,school_name,player_name,position,class_year,clippd_player_id,clippd_rank,player_ranking_status,scoring_stats_scoring_average,scoring_stats_vs_par,scoring_stats_rounds,scoring_stats_adjusted_score,scoring_stats_stroke_play_events,top10_finishes,events_won,average_points,strength_of_schedule,region,data_source
2025-26,wgolf,Women,North Coast Athletic Conference,ncac,Ohio Wesleyan,Ohio Wesleyan University,Samantha Mazotas,,Second Year,4305,913,ACTIVE,100.14,28.14,14,100.20976327246,8,0,0,0.0637470147121958,-24.2301565163357,Great Lakes - (W) DIII,clippd_scoreboard
2025-26,wgolf,Women,North Coast Athletic Conference,ncac,Wooster,The College of Wooster,Alexis Neal,,,15136,957,ACTIVE,104.21,32.21,14,104.135411966195,9,0,0,0.0206479012710877,-23.6252044590927,Great Lakes - (W) DIII,clippd_scoreboard
2025-26,wgolf,Women,North Coast Athletic Conference,ncac,Wooster,The College of Wooster,Paige Nicely,,Fourth Year,11240,100000,ACTIVE,89.36,17.36,11,87.565458258488,7,0,0,1.64202842942156,-25.4924276437537,Great Lakes - (W) DIII,clippd_scoreboard
2025-26,wgolf,Women,North Coast Athletic Conference,ncac,Denison,Denison University,Anna Klass,,,11871,100000,ACTIVE,77.62,5.62,8,76.644006812157,4,0,0,19.6933711530687,-14.6377927856336,Great Lakes - (W) DIII,clippd_scoreboard
2025-26,wgolf,Women,North Coast Athletic Conference,ncac,Wooster,The College of Wooster,Serena Grenga,,Fourth Year,14475,100000,ACTIVE,105.57,33.57,7,106.230140781212,4,0,0,0.0132418254178299,-24.4794686536719,Great Lakes - (W) DIII,clippd_scoreboard
2025-26,wgolf,Women,North Coast Athletic Conference,ncac,Ohio Wesleyan,Ohio Wesleyan University,Bella Gales,,,32960,100000,ACTIVE,99.0,27.0,9,99.4063158341543,5,0,0,0.0734695033236955,-25.0090281926773,Great Lakes - (W) DIII,clippd_scoreboard
2025-26,wgolf,Women,North Coast Athletic Conference,ncac,Wittenberg,Wittenberg University,Lexi Buffkin,,Third Year,33615,100000,ACTIVE,94.0,22.0,6,92.2330510319261,3,0,0,0.362998136857933,-20.7688052721528,Great Lakes - (W) DIII,clippd_scoreboard
2025-26,wgolf,Women,North Coast Athletic Conference,ncac,Ohio Wesleyan,Ohio Wesleyan University,Tercy Ngangh,,,4310,100000,ACTIVE,143.0,71.0,1,145.450308330682,1,0,0,5.8354271371773e-07,-27.0614069292454,Great Lakes - (W) DIII,clippd_scoreboard
2025-26,wgolf,Women,North Coast Athletic Conference,ncac,Hiram,Hiram College,Kayla Weisenberger,,Second Year,7058,100000,ACTIVE,111.67,39.67,6,112.427728457683,4,0,0,0.00255747787169581,-31.9512075375785,Great Lakes - (W) DIII,clippd_scoreboard
2025-26,wgolf,Women,North Coast Athletic Conference,ncac,DePauw,DePauw University,Sophia Royer,,,7359,100000,ACTIVE,97.0,25.0,10,97.4869226356406,5,0,0,0.105196563606651,-19.1170500576579,Great Lakes - (W) DIII,clippd_scoreboard
2025-26,wgolf,Women,North Coast Athletic Conference,ncac,DePauw,DePauw University,Melanie Southern,,First Year,7360,100000,ACTIVE,81.14,9.14,7,81.3347478292001,4,0,0,5.44026172672729,-15.5712613152575,Great Lakes - (W) DIII,clippd_scoreboard
2025-26,wgolf,Women,North Coast Athletic Conference,ncac,Kenyon,Kenyon College,Molly Haag,,,7701,100000,ACTIVE,112.5,40.5,2,111.251475598984,1,0,0,0.00301414219237845,-17.9205378050457,Great Lakes - (W) DIII,clippd_scoreboard
2025-26,wgolf,Women,North Coast Athletic Conference,ncac,Kenyon,Kenyon College,Madeline Meimaridis,,Third Year,7702,100000,ACTIVE,115.18,43.18,11,115.446558645173,6,0,0,0.00159693349630849,-19.8361741732052,Great Lakes - (W) DIII,clippd_scoreboard
2025-26,wgolf,Women,North Coast Athletic Conference,ncac,Hiram,Hiram College,Alex Picoult,,Fourth Year,79633,100000,ACTIVE,152.67,80.67,3,152.516917216626,2,0,0,1.30748010255929e-07,-31.4891353879632,Great Lakes - (W) DIII,clippd_scoreboard
2025-26,wgolf,Women,North Coast Athletic Conference,ncac,Hiram,Hiram College,Ace Ades,,,79634,100000,ACTIVE,118.5,46.5,2,118.633233909005,1,0,0,0.000476101457650543,-33.1893523075006,Great Lakes - (W) DIII,clippd_scoreboard
