season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,linkup_name,games_played,games_started,uniform,year,hitting_stats_at_bats,hitting_stats_runs,hitting_stats_hits,hitting_stats_runs_batted_in,hitting_stats_doubles,hitting_stats_triples,hitting_stats_home_runs,hitting_stats_walks,hitting_stats_intentional_walks,hitting_stats_hit_by_pitch,hitting_stats_strikeouts,hitting_stats_strikeouts_looking,hitting_stats_stolen_bases,hitting_stats_caught_stealing,hitting_stats_sacrifice_hits,hitting_stats_sacrifice_flies,hitting_stats_reached_on_catchers_interference,hitting_stats_reached_on_error,hitting_stats_reached_on_fielders_choice,hitting_stats_grounded_into_doubleplay,hitting_stats_picked_off,hitting_stats_total_double_plays,hitting_stats_total_triple_plays,hitting_stats_onbase_percentage,hitting_stats_total_bases,hitting_stats_total_plate_appearances,hitting_stats_stolen_base_attempts,hitting_stats_stolen_base_percentage,hitting_stats_batting_average,hitting_stats_slugging_percentage,fielding_stats_putouts,fielding_stats_assists,fielding_stats_errors,fielding_stats_passed_balls,fielding_stats_catchers_interference,fielding_stats_stolen_bases_against,fielding_stats_caught_stealing_by,fielding_stats_involved_in_double_plays,fielding_stats_involved_in_triple_plays,fielding_stats_total_chances,fielding_stats_fielding_percentage,fielding_stats_stolen_bases_against_attempts,fielding_stats_stolen_bases_against_percentage,pitching_stats,hitting_summary_stats_times_reached_base_on_error,hitting_summary_stats_times_reached_base_on_fielders_choice,hitting_summary_stats_times_grouded_out,hitting_summary_stats_times_flied_out,hitting_summary_stats_hits_ab_with_2_outs,hitting_summary_stats_batting_avg_with_2_outs,hitting_summary_stats_hits_with_2_outs,hitting_summary_stats_ab_with_2_outs,hitting_summary_stats_hits_ab_with_runners_on_base,hitting_summary_stats_batting_avg_with_runners_on_base,hitting_summary_stats_hits_with_runners_on_base,hitting_summary_stats_ab_with_runners_on_base,hitting_summary_stats_hits_ab_with_runners_in_scoring_position,hitting_summary_stats_batting_avg_with_runners_in_scoring_position,hitting_summary_stats_hits_with_runners_in_scoring_position,hitting_summary_stats_ab_with_runners_in_scoring_position,hitting_summary_stats_hits_ab_vs_left_handed_pitchers,hitting_summary_stats_batting_avg_vs_left_handed_pitchers,hitting_summary_stats_hits_vs_left_handed_pitchers,hitting_summary_stats_ab_vs_left_handed_pitchers,hitting_summary_stats_hits_ab_vs_right_handed_pitchers,hitting_summary_stats_batting_avg_vs_right_handed_pitchers,hitting_summary_stats_hits_vs_right_handed_pitchers,hitting_summary_stats_ab_vs_right_handed_pitchers,hitting_summary_stats_success_opps_as_leadoff_batter_in_inning,hitting_summary_stats_success_opps_to_drive_in_runner_from_3rd_with_less_than_2_outs,hitting_summary_stats_number_of_runners_advanced_ab,hitting_summary_stats_hits_ab_with_bases_loaded,hitting_summary_stats_batting_avg_with_bases_loaded,hitting_summary_stats_hits_with_bases_loaded,hitting_summary_stats_ab_with_bases_loaded,hitting_summary_stats_hits_ab_as_pinch_hitter,hitting_summary_stats_batting_avg_as_pinch_hitter,hitting_summary_stats_hits_as_pinch_hitter,hitting_summary_stats_ab_as_pinch_hitter,hitting_summary_stats_times_advanced_at_least_1_runner_with_an_out,hitting_summary_stats_runners_left_on_base,hitting_summary_stats_two_out_rbis,pitching_summary_stats,team_name,team_id,sdrm_id,this_is_softball,pitching_stats_hits_allowed,pitching_stats_appearances,pitching_stats_games_started,pitching_stats_wins,pitching_stats_losses,pitching_stats_saves,pitching_stats_complete_games,pitching_stats_shutouts,pitching_stats_credit_for_combined_shutout,pitching_stats_games_finished,pitching_stats_innings_pitched,pitching_stats_runs_allowed,pitching_stats_earned_runs_allowed,pitching_stats_walks_allowed,pitching_stats_strikeouts,pitching_stats_doubles_allowed,pitching_stats_triples_allowed,pitching_stats_home_runs_allowed,pitching_stats_earned_run_average,pitching_stats_opponents_at_bats,pitching_stats_batters_faced,pitching_stats_wild_pitches,pitching_stats_hit_batters,pitching_stats_balks,pitching_stats_sacrifice_flies_allowed,pitching_stats_sacrifice_hits_allowed,pitching_stats_catchers_interference_allowed,pitching_stats_intentional_walks,pitching_stats_strikeouts_looking,pitching_stats_opponent_batting_average,pitching_summary_stats_fly_outs_allowed,pitching_summary_stats_ground_outs_allowed,pitching_summary_stats_runners_picked_off,pitching_summary_stats_success_opps_vs_leadoff_batters,pitching_summary_stats_hits_ab_with_runners_on_base,pitching_summary_stats_hits_ab_vs_left_handed_batters,pitching_summary_stats_hits_ab_vs_right_handed_batters,pitching_summary_stats_hits_ab_with_2_outs,hitting_stats,hitting_summary_stats
2026-27,baseball,USA South Athletic Conference,usa_south_athletic_confe,William Peace,Brady Donovan,Brady,Donovan,,17094,Brady Donovan,0,0WILLIAM,4,0,,,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.250,1,4,0,.000,.250,.250,0,0,0,0,0,0,0,0,0,0,0.000,0,.000,,0,0,1,1,"1,2",0.50,1,2,"0,2",0,0,2,"0,1",0,0,1,"1,2",0.50,1,2,0,0,0,0,"0,1",0,"0,2",0,0,0,0,15,0,0,0,0,1,0,,William Peace,WILLIAM,1183-1722,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,baseball,USA South Athletic Conference,usa_south_athletic_confe,William Peace,Maddax Brown,Maddax,Brown,,17094,Maddax Brown,0,0WILLIAM,9,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0,0,.000,.000,.000,1,4,0,0,0,3,0,0,0,5,1.000,3,1.000,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,William Peace,WILLIAM,1183-1731,False,20,1,1,0,0,1,0,0,0,0,26.2,10,10,14,19,3,0,0,3.37,91,112,3,1,0,4,2,0,0,2,.220,33,24,0,"1,5","2,7","0,2",0,"2,7",,
2026-27,baseball,USA South Athletic Conference,usa_south_athletic_confe,William Peace,Grady Swinson,Grady,Swinson,,17094,Grady Swinson,0,0WILLIAM,6,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0,0,.000,.000,.000,1,0,0,0,0,3,0,0,0,1,1.000,3,1.000,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,William Peace,WILLIAM,1183-1613,False,8,1,0,0,1,0,0,0,0,0,4.1,6,4,3,3,1,0,0,8.31,21,25,0,0,0,1,0,0,0,1,.381,9,1,0,"2,2","1,4","0,3",0,"0,1",,
2026-27,baseball,USA South Athletic Conference,usa_south_athletic_confe,William Peace,Collin Jordan,Collin,Jordan,,17094,Collin Jordan,0,0WILLIAM,5,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0,0,.000,.000,.000,0,0,0,0,0,0,0,0,0,0,0.000,0,.000,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,William Peace,WILLIAM,1183-1628,False,4,1,0,0,0,0,0,0,0,0,4.1,4,2,8,2,1,0,0,4.15,16,27,2,2,0,1,0,0,0,0,.250,7,3,0,"2,4","1,7","0,3",0,"0,3",,
2026-27,baseball,USA South Athletic Conference,usa_south_athletic_confe,William Peace,Jacob Essick,Jacob,Essick,,17094,Jacob Essick,0,0WILLIAM,1,0,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.000,0,1,0,.000,.000,.000,0,0,0,0,0,0,0,0,0,0,0.000,0,.000,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,1",0,0,0,0,0,0,0,0,0,0,0,0,0,,William Peace,WILLIAM,1183-1626,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,baseball,USA South Athletic Conference,usa_south_athletic_confe,William Peace,Justin Long,Justin,Long,,17094,Justin Long,0,0WILLIAM,2,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0,0,.000,.000,.000,0,0,0,0,0,0,0,0,0,0,0.000,0,.000,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,William Peace,WILLIAM,1183-1608,False,3,1,0,0,0,0,0,0,0,0,1.2,2,2,2,2,0,0,0,10.80,7,11,0,1,0,1,0,0,0,0,.429,1,2,0,"1,2","1,4","0,1",0,"0,2",,
2026-27,baseball,USA South Athletic Conference,usa_south_athletic_confe,William Peace,Dante McCullum,Dante,McCullum,,17094,Dante McCullum,0,0WILLIAM,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0,0,.000,.000,.000,0,0,0,0,0,0,0,0,0,0,0.000,0,.000,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,William Peace,WILLIAM,1183-1631,False,1,1,0,0,0,0,0,0,0,0,1.0,1,1,0,1,0,0,1,9.00,4,4,0,0,0,0,0,0,0,1,.250,2,0,0,"0,1",0,"1,2",0,"0,1",,
2026-27,baseball,USA South Athletic Conference,usa_south_athletic_confe,Mary Baldwin,Isiah Brooks,Isiah,Brooks,,389,Isiah Brooks,0,0MARY BAL,22,22,,,82,27,23,12,5,3,1,18,0,1,14,6,6,1,1,1,0,0,0,0,0,0,0,0.412,37,103,7,.857,.280,.451,69,1,4,0,0,0,0,0,0,74,.946,0,.000,,1,4,24,20,"8,26",0.31,8,26,"9,34",0.26,9,34,"8,28",0.29,8,28,"5,9",0.56,5,9,0,0,0,0,"18,39","5,10","19,40",25,0,0,0,0,0,0,0,4,19,0,,Mary Baldwin,MARY BAL,51-1211,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,baseball,USA South Athletic Conference,usa_south_athletic_confe,Mary Baldwin,Will Earnesty,Will,Earnesty,,389,Will Earnesty,0,0MARY BAL,24,24,,,80,26,21,11,3,0,0,11,0,15,11,4,0,0,1,1,0,0,0,1,0,1,0,0.439,24,108,0,.000,.263,.300,34,68,7,0,0,0,0,3,0,109,.936,0,.000,,8,3,21,20,"7,24",0.29,7,24,"14,42",0.33,14,42,"11,29",0.38,11,29,"3,9",0.33,3,9,0,0,0,0,"6,15","6,9","33,55",3,0,0,0,0,0,0,0,5,15,0,,Mary Baldwin,MARY BAL,51-904,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,baseball,USA South Athletic Conference,usa_south_athletic_confe,Mary Baldwin,Michael Muller,Michael,Muller,,389,Michael Muller,0,0MARY BAL,13,10,,,35,4,11,9,1,0,1,4,0,1,10,5,0,0,0,1,0,0,0,2,1,2,0,0.390,15,41,0,.000,.314,.429,22,5,0,2,0,12,2,0,0,27,1.000,14,.857,,0,0,7,8,"6,20",0.30,6,20,"5,23",0.22,5,23,"3,13",0.23,3,13,"3,8",0.38,3,8,0,0,0,0,"1,3","1,2","9,27","1,1",1.00,1,1,24,0,0,0,2,15,0,,Mary Baldwin,MARY BAL,51-1131,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,baseball,USA South Athletic Conference,usa_south_athletic_confe,Mary Baldwin,Jacob Barber,Jacob,Barber,,389,Jacob Barber,0,0MARY BAL,24,24,,,85,17,25,17,3,0,2,11,0,3,14,6,1,0,1,0,0,0,0,1,0,1,0,0.394,34,100,1,1.000,.294,.400,183,12,0,0,0,0,0,10,0,195,1.000,0,.000,,0,1,27,20,"8,27",0.30,8,27,"15,40",0.38,15,40,"11,31",0.35,11,31,"3,11",0.27,3,11,0,0,0,0,"4,22","4,7","25,46",24,0,0,0,0,0,0,0,6,18,0,,Mary Baldwin,MARY BAL,51-1203,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,baseball,USA South Athletic Conference,usa_south_athletic_confe,Mary Baldwin,Trevor Hebner,Trevor,Hebner,,389,Trevor Hebner,0,0MARY BAL,11,6,,,19,4,3,3,0,0,1,8,0,0,4,4,0,0,0,1,0,0,0,0,0,0,0,0.393,6,28,0,.000,.158,.316,5,8,8,0,0,0,0,0,0,21,.619,0,.000,,1,0,5,7,"1,7",0.14,1,7,"1,9",0.11,1,9,"1,7",0.14,1,7,"0,1",0,0,1,0,0,0,0,"4,6","2,4","5,11",0,0,0,0,3,0,0,0,2,3,0,,Mary Baldwin,MARY BAL,51-1210,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,baseball,USA South Athletic Conference,usa_south_athletic_confe,Mary Baldwin,Patrick Sido,Patrick,Sido,,389,Patrick Sido,0,0MARY BAL,25,25,,,94,24,38,40,14,1,7,13,0,2,25,3,3,1,1,2,0,0,0,1,0,1,0,0.477,75,112,4,.750,.404,.798,56,0,5,0,0,0,0,0,0,61,.918,0,.000,,3,3,12,19,"16,35",0.46,16,35,"26,55",0.47,26,55,"21,36",0.58,21,36,"3,11",0.27,3,11,0,0,0,0,"4,11","5,9","41,66",156,0,0,0,0,0,0,0,10,9,0,,Mary Baldwin,MARY BAL,51-1316,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,baseball,USA South Athletic Conference,usa_south_athletic_confe,Mary Baldwin,Conner Michael,Conner,Michael,,389,Conner Michael,0,0MARY BAL,22,22,,,80,17,24,12,6,0,1,6,0,1,12,5,4,0,0,1,0,0,0,2,0,4,0,0.352,33,88,4,1.000,.300,.413,20,50,11,0,0,0,0,2,0,81,.864,0,.000,,1,6,23,17,"9,26",0.35,9,26,"10,45",0.22,10,45,"7,27",0.26,7,27,"5,14",0.36,5,14,0,0,0,0,"9,24","4,7","23,49",34,0,0,0,0,0,0,0,7,23,0,,Mary Baldwin,MARY BAL,51-1197,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,baseball,USA South Athletic Conference,usa_south_athletic_confe,Mary Baldwin,Carter Attard,Carter,Attard,,389,Carter Attard,0,0MARY BAL,19,11,,,41,10,8,0,2,0,0,5,0,1,7,0,2,0,0,0,0,0,0,1,0,2,0,0.298,10,47,2,1.000,.195,.244,25,11,6,0,0,0,0,1,0,42,.857,0,.000,,3,3,11,13,"0,9",0,0,9,"2,21",0.10,2,21,"1,11",0.09,1,11,"4,9",0.44,4,9,0,0,0,0,"6,11","0,1","5,21",6,0,0,0,22,0,0,0,4,14,0,,Mary Baldwin,MARY BAL,51-1129,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
