conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,hitting_stats_at_bats,hitting_stats_runs,hitting_stats_hits,hitting_stats_runs_batted_in,hitting_stats_doubles,hitting_stats_triples,hitting_stats_home_runs,hitting_stats_walks,hitting_stats_intentional_walks,hitting_stats_hit_by_pitch,hitting_stats_strikeouts,hitting_stats_strikeouts_looking,hitting_stats_stolen_bases,hitting_stats_caught_stealing,hitting_stats_sacrifice_hits,hitting_stats_sacrifice_flies,hitting_stats_reached_on_catchers_interference,hitting_stats_reached_on_error,hitting_stats_reached_on_fielders_choice,hitting_stats_grounded_into_doubleplay,hitting_stats_picked_off,hitting_stats_total_double_plays,hitting_stats_total_triple_plays,hitting_stats_onbase_percentage,hitting_stats_total_bases,hitting_stats_total_plate_appearances,hitting_stats_stolen_base_attempts,hitting_stats_stolen_base_percentage,hitting_stats_batting_average,hitting_stats_slugging_percentage,fielding_stats_putouts,fielding_stats_assists,fielding_stats_errors,fielding_stats_passed_balls,fielding_stats_catchers_interference,fielding_stats_stolen_bases_against,fielding_stats_caught_stealing_by,fielding_stats_involved_in_double_plays,fielding_stats_involved_in_triple_plays,fielding_stats_total_chances,fielding_stats_fielding_percentage,fielding_stats_stolen_bases_against_attempts,fielding_stats_stolen_bases_against_percentage,hitting_summary_stats_times_reached_base_on_error,hitting_summary_stats_times_reached_base_on_fielders_choice,hitting_summary_stats_times_grouded_out,hitting_summary_stats_times_flied_out,hitting_summary_stats_hits_ab_with_2_outs,hitting_summary_stats_batting_avg_with_2_outs,hitting_summary_stats_hits_with_2_outs,hitting_summary_stats_ab_with_2_outs,hitting_summary_stats_hits_ab_with_runners_on_base,hitting_summary_stats_batting_avg_with_runners_on_base,hitting_summary_stats_hits_with_runners_on_base,hitting_summary_stats_ab_with_runners_on_base,hitting_summary_stats_hits_ab_with_runners_in_scoring_position,hitting_summary_stats_batting_avg_with_runners_in_scoring_position,hitting_summary_stats_hits_with_runners_in_scoring_position,hitting_summary_stats_ab_with_runners_in_scoring_position,hitting_summary_stats_hits_ab_vs_left_handed_pitchers,hitting_summary_stats_batting_avg_vs_left_handed_pitchers,hitting_summary_stats_hits_vs_left_handed_pitchers,hitting_summary_stats_ab_vs_left_handed_pitchers,hitting_summary_stats_hits_ab_vs_right_handed_pitchers,hitting_summary_stats_batting_avg_vs_right_handed_pitchers,hitting_summary_stats_hits_vs_right_handed_pitchers,hitting_summary_stats_ab_vs_right_handed_pitchers,hitting_summary_stats_success_opps_as_leadoff_batter_in_inning,hitting_summary_stats_success_opps_to_drive_in_runner_from_3rd_with_less_than_2_outs,hitting_summary_stats_number_of_runners_advanced_ab,hitting_summary_stats_hits_ab_with_bases_loaded,hitting_summary_stats_batting_avg_with_bases_loaded,hitting_summary_stats_hits_with_bases_loaded,hitting_summary_stats_ab_with_bases_loaded,hitting_summary_stats_hits_ab_as_pinch_hitter,hitting_summary_stats_batting_avg_as_pinch_hitter,hitting_summary_stats_hits_as_pinch_hitter,hitting_summary_stats_ab_as_pinch_hitter,hitting_summary_stats_times_advanced_at_least_1_runner_with_an_out,hitting_summary_stats_runners_left_on_base,hitting_summary_stats_two_out_rbis,pitching_stats_hits_allowed,pitching_stats_appearances,pitching_stats_games_started,pitching_stats_wins,pitching_stats_losses,pitching_stats_saves,pitching_stats_complete_games,pitching_stats_shutouts,pitching_stats_credit_for_combined_shutout,pitching_stats_games_finished,pitching_stats_innings_pitched,pitching_stats_runs_allowed,pitching_stats_earned_runs_allowed,pitching_stats_walks_allowed,pitching_stats_strikeouts,pitching_stats_doubles_allowed,pitching_stats_triples_allowed,pitching_stats_home_runs_allowed,pitching_stats_earned_run_average,pitching_stats_opponents_at_bats,pitching_stats_batters_faced,pitching_stats_wild_pitches,pitching_stats_hit_batters,pitching_stats_balks,pitching_stats_sacrifice_flies_allowed,pitching_stats_sacrifice_hits_allowed,pitching_stats_catchers_interference_allowed,pitching_stats_intentional_walks,pitching_stats_strikeouts_looking,pitching_stats_opponent_batting_average,pitching_summary_stats_fly_outs_allowed,pitching_summary_stats_ground_outs_allowed,pitching_summary_stats_runners_picked_off,pitching_summary_stats_success_opps_vs_leadoff_batters,pitching_summary_stats_hits_ab_with_runners_on_base,pitching_summary_stats_hits_ab_vs_left_handed_batters,pitching_summary_stats_hits_ab_vs_right_handed_batters,pitching_summary_stats_hits_ab_with_2_outs,z_hitting_stats_hits,z_hitting_stats_runs,z_hitting_stats_runs_batted_in,z_hitting_stats_home_runs,z_hitting_stats_stolen_bases,z_hitting_stats_strikeouts,composite_score,rank,rating
mac,Middle Atlantic Conferences (MAC),2025-26,softball,Delaware Valley,"Funston, Ame",,,,37,37,116,15,44,25,10,0,0,7,0,2,8,5,1,1,0,0,0,0,0,2,0,2,0,0.424,54,125,2,0.5,0.379,0.466,113,23,4,4,1,37,10,0,0,140,0.971,47,0.787,5,3,29,28,"15,38",0.39,15,38,"29,72",0.4,29,72,"22,53",0.42,22,53,"2,3",0.67,2,3,0,0.0,0,0,"7,17","8,15","43,75",12,0.0,0,0,"0,1",0.0,0,1,6,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8680921193513182,0.5955230427465508,1.7652764153722675,-0.416528069838206,-0.2296376262403415,0.13194649554857113,2.031380102064211,58,75
mac,Middle Atlantic Conferences (MAC),2025-26,softball,DeSales,Abigayle Freideman,,,,28,26,71,14,24,17,8,0,3,5,0,2,19,10,0,0,2,1,0,0,0,1,0,1,0,0.392,41,81,0,0.0,0.338,0.577,23,37,7,0,0,0,0,0,0,67,0.896,0,0.0,2,4,15,13,"7,21",0.33,7,21,"13,34",0.38,13,34,"10,20",0.5,10,20,"2,3",0.67,2,3,0,0.0,0,0,"2,13","6,8","27,43",27,0.0,0,0,"1,1",1.0,1,1,4,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5827865964639569,0.4936931484143161,0.9307595310035276,1.929060167016049,-0.442194767884294,1.8252598550885684,1.9582366513744494,59,74
mac,Middle Atlantic Conferences (MAC),2025-26,softball,Stevenson,Sahara Ward,,,,34,33,86,21,31,13,2,1,1,11,0,1,10,2,7,0,1,1,0,0,0,0,1,0,0,0.434,38,100,7,1.0,0.36,0.442,40,0,5,0,0,0,0,0,0,45,0.889,0,0.0,7,1,23,18,"7,28",0.25,7,28,"19,46",0.41,19,46,"12,28",0.43,12,28,"2,3",0.67,2,3,0,0.0,0,0,"7,15","7,9","31,51",13,0.0,0,0,0,0.0,0,0,6,21,0,2.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,4.0,4.0,1.0,0.0,0.0,0.0,9.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.222,0.0,1.0,0.0,"2,2","2,8",0,0,"2,3",1.0326435294745333,1.2065024087399585,0.5135010888191577,0.36533467577987905,1.0457052236233735,0.4398216518285706,1.8917692442394114,60,74
mac,Middle Atlantic Conferences (MAC),2025-26,softball,Hood,Sam Larkin,,,,30,27,88,15,28,15,9,0,2,3,0,1,11,3,2,0,0,1,0,0,0,0,0,0,0,0.344,43,93,2,1.0,0.318,0.489,18,43,7,0,0,0,0,2,0,68,0.897,0,0.0,1,5,25,24,"5,19",0.26,5,19,"12,49",0.24,12,49,"8,29",0.28,8,29,"1,2",0.5,1,2,0,0.0,0,0,"4,12","5,6","21,50",12,0.0,0,0,1,0.0,0,0,10,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8398477010414293,0.5955230427465508,0.7221303099113426,1.147197421397964,-0.017080484596389025,0.5937592299685703,1.8545582272762273,61,74
mac,Middle Atlantic Conferences (MAC),2025-26,softball,Stevenson,Mckenzie Tobler,,,,33,33,105,29,36,20,8,2,0,17,0,0,13,6,1,0,0,3,0,0,0,1,0,2,0,0.424,48,125,1,1.0,0.343,0.457,68,57,3,0,0,0,0,3,0,128,0.977,0,0.0,4,2,22,34,"9,25",0.36,9,25,"17,46",0.37,17,46,"12,30",0.4,12,30,"1,3",0.33,1,3,0,0.0,0,0,"21,48","7,10","29,55",20,0.0,0,0,0,0.0,0,0,6,21,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3539699101963736,2.021141563397835,1.243703362641805,-0.416528069838206,-0.2296376262403415,0.9016343862485697,1.8262727750534806,62,74
mac,Middle Atlantic Conferences (MAC),2025-26,softball,Eastern,Ainsley O'donnell,,,,33,33,93,23,35,17,8,1,0,19,0,6,4,2,3,1,0,1,0,0,0,0,0,0,0,0.504,45,119,4,0.75,0.376,0.484,55,0,2,0,0,0,0,0,0,57,0.965,0,0.0,3,0,17,35,"6,22",0.27,6,22,"15,43",0.35,15,43,"10,30",0.33,10,30,"3,5",0.6,3,5,0,0.0,0,0,"21,42","7,11","32,52",3,0.0,0,0,"0,1",0.0,0,1,14,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2897046340520055,1.4101621974044276,0.9307595310035276,-0.416528069838206,0.19547665704756345,-0.4838038170114278,1.760177489624901,63,74
mac,Middle Atlantic Conferences (MAC),2025-26,softball,Albright,J. Licata,,,,37,37,112,18,43,12,6,1,1,15,0,1,14,5,2,0,2,0,0,0,0,0,0,0,0,0.461,54,130,2,1.0,0.384,0.482,72,2,6,0,0,0,0,0,0,80,0.925,0,0.0,3,5,29,24,"16,37",0.43,16,37,"19,46",0.41,19,46,"11,29",0.38,11,29,0,0.0,0,0,0,0.0,0,0,"12,35","2,4","39,57","0,1",0.0,0,1,0,0.0,0,0,9,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8038268432069502,0.9010127257432545,0.4091864782730652,0.36533467577987905,-0.017080484596389025,1.0555719643885695,1.7277088179745956,64,73
mac,Middle Atlantic Conferences (MAC),2025-26,softball,Misericordia,Rylie Nasso,,,,36,32,104,23,34,16,3,2,0,17,0,2,7,5,4,1,1,2,0,0,0,0,0,0,0,0.424,41,126,5,0.8,0.327,0.394,37,2,3,1,0,2,0,0,0,42,0.929,2,1.0,7,5,20,37,"10,30",0.33,10,30,"19,61",0.31,19,61,"13,39",0.33,13,39,"1,1",1.0,1,1,0,0.0,0,0,"7,16","5,10","32,69",54,0.0,0,0,"0,1",0.0,0,1,4,28,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2254393579076375,1.4101621974044276,0.8264449204574351,-0.416528069838206,0.40803379869151596,-0.021991082591428592,1.6304341532198108,65,73
mac,Middle Atlantic Conferences (MAC),2025-26,softball,DeSales,Gianna Angermeier,,,,37,37,119,25,34,12,4,2,0,4,0,0,10,1,8,2,6,0,0,0,0,0,0,1,0,0.309,42,129,10,0.8,0.286,0.353,92,82,8,0,0,0,0,1,0,182,0.956,0,0.0,5,9,49,23,"7,26",0.27,7,26,"16,55",0.29,16,55,"12,38",0.32,12,38,"2,3",0.67,2,3,0,0.0,0,0,"7,20","5,13","35,62",49,0.0,0,0,0,0.0,0,0,10,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2254393579076375,1.613821986068897,0.4091864782730652,-0.416528069838206,1.258262365267326,0.4398216518285706,1.6242490264637197,66,73
mac,Middle Atlantic Conferences (MAC),2025-26,softball,Arcadia,Grace Caldwell,,,,36,35,106,15,36,17,1,4,0,12,0,1,19,1,11,1,0,1,0,0,0,0,0,0,0,0.408,45,120,12,0.917,0.34,0.425,66,2,1,0,0,0,0,0,0,69,0.986,0,0.0,3,6,27,21,"14,25",0.56,14,25,"22,40",0.55,22,40,"16,28",0.57,16,28,"4,13",0.31,4,13,0,0.0,0,0,"15,47","5,11","33,44",44,0.0,0,0,0,0.0,0,0,7,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3539699101963736,0.5955230427465508,0.9307595310035276,-0.416528069838206,1.8959337901991835,1.8252598550885684,1.521205398973858,67,73
