rank,conference_code,conference,season,team,player_name,gp,mpg,ppg,rpg,apg,spg,bpg,tov_pg,composite_score,z_ppg,z_rpg,z_apg,z_spg,z_bpg,z_tov_pg
1,mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Westfield St.,K Rogers,27,36.3,20.1,8.0,4.6,1.7,0.4,3.4,6.7694555627144375,2.336925710980567,1.8462717862109246,2.937539365236753,1.476031964461069,0.2194756406530736,2.626021834771425
2,mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Fitchburg St.,J Jackson,20,33.3,21.9,7.9,1.8,0.8,0.3,2.1,6.105778194088347,2.703737338351714,1.8012407670350485,0.36245881670508756,-0.1032190184937811,-0.07901123063510652,0.9064638333359144
3,mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Salem St.,A Barry,26,32.4,15.2,5.2,2.3,2.1,0.8,1.7,5.15593136700468,1.3383829475813296,0.5854032492863909,0.8222946289428849,2.1779212902187806,1.4134231258057937,0.37736906366344936
4,mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Worcester St.,J Annan,26,27.4,11.5,6.2,3.0,2.0,1.6,2.1,5.096719743953614,0.5843812690961918,1.0357134410451532,1.4660647660758015,2.0024489587793526,3.8013180961112343,0.9064638333359144
5,mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,MCLA,C Williams,25,35.7,19.8,5.6,2.4,1.3,0.3,2.5,4.926552083297743,2.2757904397520416,0.7655273259898956,0.9142617913904444,0.774142638703358,-0.07901123063510652,1.4355586030083791
6,mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Westfield St.,J Thomson,27,27.6,10.1,11.6,1.1,1.0,1.3,1.2,4.632411764730657,0.29908333669640985,3.4673884765424683,-0.28131132042782886,0.24772564438507447,2.905857482246694,-0.28399939842713173
7,mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Worcester St.,J Okla,27,31.7,14.9,9.0,1.8,1.6,0.1,2.0,4.108759126148801,1.2772476763528051,2.2965819779696868,0.36245881670508756,1.3005596330216416,-0.6759849732114666,0.774190140917798
8,mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Bridgewater St.,D Kikuba,26,29.3,13.1,4.5,5.6,2.1,0.1,2.8,3.9951144855941116,0.9104360489816568,0.2701861150552573,3.8572109897123474,2.1779212902187806,-0.6759849732114666,1.8323796802627275
9,mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Westfield St.,X Lewis,24,33.6,14.2,3.4,2.9,1.9,0.0,1.1,3.832728039826367,1.1345987101529138,-0.22515509587938107,1.374097603628242,1.8269766273399246,-0.9744718444996465,-0.4162730908452478
10,mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Framingham St.,F Koite,26,27.8,15.4,4.2,1.2,1.9,0.7,2.0,3.571908148011707,1.3791397950670128,0.13509305752762876,-0.1893441579802695,1.8269766273399246,1.1149362545176134,0.774190140917798
