season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,team_name,team_id,sdrm_id,games_played,games_started,uniform,code,year,offensive_position,defensive_position,active,rush_stats,pass_stats,receiving_stats,punt_stats,kickoff_stats,fieldgoal_stats,pat_stats,defense_stats_interception_return_yards,defense_stats_unassisted_tackles,defense_stats_assisted_tackles,defense_stats_tackles,defense_stats_total_tackles,defense_stats_tackles_for_loss,defense_stats_tackles_for_loss_per_game,defense_stats_tackles_per_game,defense_stats_unassisted_tackles_for_loss,defense_stats_assisted_tackles_for_loss,defense_stats_tackle_yards_for_loss,defense_stats_sacks,defense_stats_unassisted_sacks,defense_stats_assisted_sacks,defense_stats_sack_yards_for_loss,defense_stats_pass_breakups,defense_stats_fumbles_forced,defense_stats_quarterback_hurries,defense_stats_safeties_scored,defense_stats_blocked_kicks,defense_stats_fumbles_recovered,defense_stats_fumble_return_yards,defense_stats_interceptions,defense_stats_passes_defended,kickreturn_stats,puntreturn_stats,interception_return_stats,fumblereturn_stats,fumble_stats,scoring_stats,receiving_stats_number,receiving_stats_yards,receiving_stats_touchdowns,receiving_stats_longest_reception,receiving_stats_avg_per_reception,defense_stats,interception_return_stats_number,interception_return_stats_yards,interception_return_stats_touchdowns,interception_return_stats_longest,interception_return_stats_avg_per_return,scoring_stats_pat_kicks,scoring_stats_touchdowns,scoring_stats_fieldgoals,scoring_stats_safeties,scoring_stats_pat_rushes,scoring_stats_pat_receptions,scoring_stats_pat_kick_returns,scoring_stats_pat_fumble_returns,scoring_stats_rouges,scoring_stats_points,scoring_stats_all_points,scoring_stats_points_per_game,rush_stats_attempts,rush_stats_net_yards,rush_stats_yards_gained,rush_stats_yards_lost,rush_stats_touchdowns,rush_stats_longest_rush,rush_stats_avg_per_play,rush_stats_avg_per_game,fumble_stats_number,fumble_stats_number_lost,puntreturn_stats_number,puntreturn_stats_yards,puntreturn_stats_touchdowns,puntreturn_stats_longest_punt_return,puntreturn_stats_avg_per_return,pass_stats_yards_lost_by_sacks,pass_stats_sacked,pass_stats_longest_pass,pass_stats_touchdowns,pass_stats_yards,pass_stats_interceptions,pass_stats_attempts,pass_stats_completions,pass_stats_efficiency,pass_stats_avg_per_pass,pass_stats_avg_per_catch,pass_stats_avg_per_game,kickreturn_stats_number,kickreturn_stats_yards,kickreturn_stats_touchdowns,kickreturn_stats_longest_kickoff_return,kickreturn_stats_avg_per_return,kickoff_stats_number,kickoff_stats_yards,kickoff_stats_out_of_bounds,kickoff_stats_touchbacks,kickoff_stats_avg_per_kickoff,fieldgoal_stats_made,fieldgoal_stats_attempts,fieldgoal_stats_longest_fieldgoal,fieldgoal_stats_blocked,fieldgoal_stats_percentage,pat_stats_kick_attempts,pat_stats_kicks_made,pat_stats_rush_attempts,pat_stats_rushes_made,pat_stats_pass_attempts,pat_stats_passes_made,pat_stats_reception_attempts,pat_stats_receptions_made,pat_stats_defensive_return_attempts,pat_stats_defensive_returns_made,pat_stats_defensive_blocked_kick_return_attempts,pat_stats_devensive_blocked_kick_returns_made,punt_stats_number,punt_stats_yards,punt_stats_longest_punt,punt_stats_blocked,punt_stats_touchbacks,punt_stats_fair_catches,punt_stats_fifty_plus_yards,punt_stats_inside_twenty,punt_stats_avg_per_punt
2026-27,football,American Rivers Conference (ARC),arc,Coe,"Dengler,Ryker",Ryker,Dengler,,150,"Dengler,Ryker","DENGLER,RYKER",Coe,COE,1042-7148,1,0,7,7A,0,0,DB,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,football,American Rivers Conference (ARC),arc,Coe,"Senters,Jeron",Jeron,Senters,,150,"Senters,Jeron","SENTERS,JERON",Coe,COE,1042-6538,1,1,8,8,0,WR,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,38,0,28,12.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,football,American Rivers Conference (ARC),arc,Coe,"Roberts,Darius",Darius,Roberts,,150,"Roberts,Darius","ROBERTS,DARIUS",Coe,COE,1042-7183,1,0,8,8A,0,0,LB,0,,,,,,,,0,5,0,5,5,.0,.0,.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,football,American Rivers Conference (ARC),arc,Coe,"Smith,Christopher",Christopher,Smith,,150,"Smith,Christopher","SMITH,CHRISTOPHER",Coe,COE,1042-7455,1,0,9,9,0,0,CB,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,football,American Rivers Conference (ARC),arc,Coe,"Axsom,Seth",Seth,Axsom,,150,"Axsom,Seth","AXSOM,SETH",Coe,COE,1042-7136,1,0,10,10,0,WR,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,football,American Rivers Conference (ARC),arc,Coe,"Jones,Champ",Champ,Jones,,150,"Jones,Champ","JONES,CHAMP",Coe,COE,1042-7453,1,0,11,1B,0,0,LB,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,football,American Rivers Conference (ARC),arc,Coe,"Anassi,Andrew",Andrew,Anassi,,150,"Anassi,Andrew","ANASSI,ANDREW",Coe,COE,1042-7135,1,0,12,1C,0,0,LB,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,football,American Rivers Conference (ARC),arc,Coe,"Smith,Luke",Luke,Smith,,150,"Smith,Luke","SMITH,LUKE",Coe,COE,1042-6796,1,0,12,12,0,QB,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,9,0,0,9,9.0,9.0,,,,,,,,0,0,25,0,36,0,2,2,251.2,18.00,18.00,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,football,American Rivers Conference (ARC),arc,Coe,"Dykstra,Brayden",Brayden,Dykstra,,150,"Dykstra,Brayden","DYKSTRA,BRAYDEN",Coe,COE,1042-6515,1,0,13,13,0,QB,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,football,American Rivers Conference (ARC),arc,Coe,"Schumacher,Brody",Brody,Schumacher,,150,"Schumacher,Brody","SCHUMACHER,BRODY",Coe,COE,1042-7445,1,0,14,14,0,0,DB,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,football,American Rivers Conference (ARC),arc,Coe,"Waghorn,Zachary",Zachary,Waghorn,,150,"Waghorn,Zachary","WAGHORN,ZACHARY",Coe,COE,1042-7448,1,0,15,1E,0,0,LB,0,,,,,,,,0,2,0,2,2,.0,.0,.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,football,American Rivers Conference (ARC),arc,Coe,"Baethke,Jackson",Jackson,Baethke,,150,"Baethke,Jackson","BAETHKE,JACKSON",Coe,COE,1042-6813,1,1,16,16,0,WR,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,35,0,14,11.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,football,American Rivers Conference (ARC),arc,Coe,"Barnes,Cole",Cole,Barnes,,150,"Barnes,Cole","BARNES,COLE",Coe,COE,1042-7137,1,0,17,17,0,WR,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,11,0,11,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,football,American Rivers Conference (ARC),arc,Coe,"Bopp,Chase",Chase,Bopp,,150,"Bopp,Chase","BOPP,CHASE",Coe,COE,1042-7143,1,0,18,18,0,WR,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,football,American Rivers Conference (ARC),arc,Coe,"Clarahan,Jack",Jack,Clarahan,,150,"Clarahan,Jack","CLARAHAN,JACK",Coe,COE,1042-6510,1,1,22,22,0,0,LB,0,,,,,,,,0,4,2,6,6,1.0,.0,.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,football,American Rivers Conference (ARC),arc,Coe,"Mitchell,Joshua",Joshua,Mitchell,,150,"Mitchell,Joshua","MITCHELL,JOSHUA",Coe,COE,1042-6827,1,0,22,2C,0,RB,0,0,,,,,,,,0,0,0,0,0,.0,.0,.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,6,6,6,7,43,44,1,1,19,6.1,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,football,American Rivers Conference (ARC),arc,Coe,"Honeycutt,Noah",Noah,Honeycutt,,150,"Honeycutt,Noah","HONEYCUTT,NOAH",Coe,COE,1042-7416,1,0,24,2E,0,RB,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,16,0,16,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,football,American Rivers Conference (ARC),arc,Coe,"Williams,Jordan",Jordan,Williams,,150,"Williams,Jordan","WILLIAMS,JORDAN",Coe,COE,1042-7197,1,1,24,24,0,0,DB,0,,,,,,,,20,2,1,3,3,.0,.0,.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,1,20,0,20,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,football,American Rivers Conference (ARC),arc,Coe,"Quaid,Kenan",Kenan,Quaid,,150,"Quaid,Kenan","QUAID,KENAN",Coe,COE,1042-7443,1,0,26,2F,0,0,0,0,,,,,,,,0,0,0,0,0,.0,.0,.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,2,0,0,0,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,181,1,0,60.3,0,0,0,0,.0,2,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
2026-27,football,American Rivers Conference (ARC),arc,Coe,"White,Andrew",Andrew,White,,150,"White,Andrew","WHITE,ANDREW",Coe,COE,1042-6545,1,0,28,28,0,RB,0,0,,,,,,,,0,1,0,1,1,.0,.0,.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,1,5,0,5,5.0,,,,,,,0,1,0,0,0,0,0,0,0,6,6,6,8,23,23,0,1,6,2.9,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,football,American Rivers Conference (ARC),arc,Coe,"Charters,Leighton",Leighton,Charters,,150,"Charters,Leighton","CHARTERS,LEIGHTON",Coe,COE,1042-6507,1,1,29,29,0,0,DB,0,,,,,,,,43,3,0,3,3,.0,.0,.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,1,43,0,43,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
