season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,linkup_name,games_played,games_started,uniform,year,hitting_stats_at_bats,hitting_stats_runs,hitting_stats_hits,hitting_stats_runs_batted_in,hitting_stats_doubles,hitting_stats_triples,hitting_stats_home_runs,hitting_stats_walks,hitting_stats_intentional_walks,hitting_stats_hit_by_pitch,hitting_stats_strikeouts,hitting_stats_strikeouts_looking,hitting_stats_stolen_bases,hitting_stats_caught_stealing,hitting_stats_sacrifice_hits,hitting_stats_sacrifice_flies,hitting_stats_reached_on_catchers_interference,hitting_stats_reached_on_error,hitting_stats_reached_on_fielders_choice,hitting_stats_grounded_into_doubleplay,hitting_stats_picked_off,hitting_stats_total_double_plays,hitting_stats_total_triple_plays,hitting_stats_onbase_percentage,hitting_stats_total_bases,hitting_stats_total_plate_appearances,hitting_stats_stolen_base_attempts,hitting_stats_stolen_base_percentage,hitting_stats_batting_average,hitting_stats_slugging_percentage,fielding_stats_putouts,fielding_stats_assists,fielding_stats_errors,fielding_stats_passed_balls,fielding_stats_catchers_interference,fielding_stats_stolen_bases_against,fielding_stats_caught_stealing_by,fielding_stats_involved_in_double_plays,fielding_stats_involved_in_triple_plays,fielding_stats_total_chances,fielding_stats_fielding_percentage,fielding_stats_stolen_bases_against_attempts,fielding_stats_stolen_bases_against_percentage,pitching_stats,hitting_summary_stats_times_reached_base_on_error,hitting_summary_stats_times_reached_base_on_fielders_choice,hitting_summary_stats_times_grouded_out,hitting_summary_stats_times_flied_out,hitting_summary_stats_hits_ab_with_2_outs,hitting_summary_stats_batting_avg_with_2_outs,hitting_summary_stats_hits_with_2_outs,hitting_summary_stats_ab_with_2_outs,hitting_summary_stats_hits_ab_with_runners_on_base,hitting_summary_stats_batting_avg_with_runners_on_base,hitting_summary_stats_hits_with_runners_on_base,hitting_summary_stats_ab_with_runners_on_base,hitting_summary_stats_hits_ab_with_runners_in_scoring_position,hitting_summary_stats_batting_avg_with_runners_in_scoring_position,hitting_summary_stats_hits_with_runners_in_scoring_position,hitting_summary_stats_ab_with_runners_in_scoring_position,hitting_summary_stats_hits_ab_vs_left_handed_pitchers,hitting_summary_stats_batting_avg_vs_left_handed_pitchers,hitting_summary_stats_hits_vs_left_handed_pitchers,hitting_summary_stats_ab_vs_left_handed_pitchers,hitting_summary_stats_hits_ab_vs_right_handed_pitchers,hitting_summary_stats_batting_avg_vs_right_handed_pitchers,hitting_summary_stats_hits_vs_right_handed_pitchers,hitting_summary_stats_ab_vs_right_handed_pitchers,hitting_summary_stats_success_opps_as_leadoff_batter_in_inning,hitting_summary_stats_success_opps_to_drive_in_runner_from_3rd_with_less_than_2_outs,hitting_summary_stats_number_of_runners_advanced_ab,hitting_summary_stats_hits_ab_with_bases_loaded,hitting_summary_stats_batting_avg_with_bases_loaded,hitting_summary_stats_hits_with_bases_loaded,hitting_summary_stats_ab_with_bases_loaded,hitting_summary_stats_hits_ab_as_pinch_hitter,hitting_summary_stats_batting_avg_as_pinch_hitter,hitting_summary_stats_hits_as_pinch_hitter,hitting_summary_stats_ab_as_pinch_hitter,hitting_summary_stats_times_advanced_at_least_1_runner_with_an_out,hitting_summary_stats_runners_left_on_base,hitting_summary_stats_two_out_rbis,pitching_summary_stats,team_name,team_id,sdrm_id,this_is_softball,pitching_stats_hits_allowed,pitching_stats_appearances,pitching_stats_games_started,pitching_stats_wins,pitching_stats_losses,pitching_stats_saves,pitching_stats_complete_games,pitching_stats_shutouts,pitching_stats_credit_for_combined_shutout,pitching_stats_games_finished,pitching_stats_innings_pitched,pitching_stats_runs_allowed,pitching_stats_earned_runs_allowed,pitching_stats_walks_allowed,pitching_stats_strikeouts,pitching_stats_doubles_allowed,pitching_stats_triples_allowed,pitching_stats_home_runs_allowed,pitching_stats_earned_run_average,pitching_stats_opponents_at_bats,pitching_stats_batters_faced,pitching_stats_wild_pitches,pitching_stats_hit_batters,pitching_stats_balks,pitching_stats_sacrifice_flies_allowed,pitching_stats_sacrifice_hits_allowed,pitching_stats_catchers_interference_allowed,pitching_stats_intentional_walks,pitching_stats_strikeouts_looking,pitching_stats_opponent_batting_average,pitching_summary_stats_fly_outs_allowed,pitching_summary_stats_ground_outs_allowed,pitching_summary_stats_runners_picked_off,pitching_summary_stats_success_opps_vs_leadoff_batters,pitching_summary_stats_hits_ab_with_runners_on_base,pitching_summary_stats_hits_ab_vs_left_handed_batters,pitching_summary_stats_hits_ab_vs_right_handed_batters,pitching_summary_stats_hits_ab_with_2_outs,global_rank,rating,composite_score,ranking_segment,pitching_stats_k_per_9,pitching_stats_whip
2026-27,baseball,New England Small College Athletic Conference (NESCAC),nescac,Trinity,William Sawyer,William,Sawyer,,713,William Sawyer,0,0TRINITY,12,11,,,29,10,5,5,2,0,1,5,0,4,11,4,3,0,3,0,0,0,0,0,0,0,0,0.368,10,41,3,1.0,0.172,0.345,13,0,0,0,0,0,0,0,0,13,1.0,0,0.0,,1,0,8,7,"0,7",0.0,0,7,"2,16",0.13,2,16,"2,9",0.22,2,9,"2,2",1.0,2,2,0,0.0,0,0,"4,8","3,5","11,22",4,0.0,0,0,"1,1",1.0,1,1,9,9,0,,Trinity,TRINITY,1127-4750,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,59,19.0,batting,,
2026-27,baseball,New England Small College Athletic Conference (NESCAC),nescac,Bowdoin,Finn Cahill,Finn,Cahill,,69,Finn Cahill,0,0BOWDOIN,12,12,,,33,4,7,5,1,0,0,13,0,0,8,4,0,1,0,0,0,0,0,1,0,1,0,0.435,8,46,1,0.0,0.212,0.242,94,10,1,5,0,17,6,4,0,105,0.99,23,0.739,,0,1,10,8,"3,13",0.23,3,13,"3,14",0.21,3,14,"3,9",0.33,3,9,"1,6",0.17,1,6,0,0.0,0,0,"5,10","1,1","7,15",0,0.0,0,0,0,0.0,0,0,3,3,0,,Bowdoin,BOWDOIN,1121-4616,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,59,18.0,batting,,
2026-27,baseball,New England Small College Athletic Conference (NESCAC),nescac,Bowdoin,Will Bordes,Will,Bordes,,69,Will Bordes,0,0BOWDOIN,13,12,,,40,7,7,4,2,0,2,3,0,2,7,1,0,0,0,0,0,0,0,0,1,2,0,0.267,15,45,0,0.0,0.175,0.375,30,25,0,0,0,1,1,9,0,55,1.0,2,0.5,,2,2,8,16,"1,9",0.11,1,9,"4,21",0.19,4,21,"4,11",0.36,4,11,"1,8",0.13,1,8,0,0.0,0,0,"2,8","1,3","5,22","0,1",0.0,0,1,0,0.0,0,0,0,7,0,,Bowdoin,BOWDOIN,1121-4233,False,18.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,11.0,9.0,9.0,1.0,18.0,5.0,0.0,0.0,7.36,51.0,54.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,4.0,0.353,3.0,11.0,0.0,"4,10","11,30","4,8",0,"7,19",88,58,17.0,batting,,
2026-27,baseball,New England Small College Athletic Conference (NESCAC),nescac,Wesleyan,Sam Hensinger,Sam,Hensinger,,764,Sam Hensinger,0,0WESLEYAN,13,13,,,46,10,11,4,2,0,0,11,0,1,12,1,6,0,0,0,0,0,0,5,0,5,0,0.397,13,58,6,1.0,0.239,0.283,28,1,1,0,0,0,0,0,0,30,0.967,0,0.0,,1,3,15,6,"3,14",0.21,3,14,"8,27",0.3,8,27,"2,13",0.15,2,13,"1,13",0.08,1,13,0,0.0,0,0,"7,13","2,4","13,28",22,0.0,0,0,0,0.0,0,0,3,7,0,,Wesleyan,WESLEYAN,1130-6756,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,58,16.0,batting,,
2026-27,baseball,New England Small College Athletic Conference (NESCAC),nescac,Wesleyan,Matthew DeBenedictis,Matthew,DeBenedictis,,764,Matthew DeBenedictis,0,0WESLEYAN,9,8,,,26,3,6,4,1,0,0,6,0,0,9,4,2,2,0,1,0,0,0,0,0,0,0,0.364,7,33,4,0.5,0.231,0.269,1,0,0,0,0,0,0,0,0,1,1.0,0,0.0,,0,2,6,6,"2,8",0.25,2,8,"1,13",0.08,1,13,"1,9",0.11,1,9,"1,8",0.13,1,8,0,0.0,0,0,"1,6","3,5","7,18",0,0.0,0,0,2,0.0,0,0,1,6,0,,Wesleyan,WESLEYAN,1130-7233,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,57,15.0,batting,,
2026-27,baseball,New England Small College Athletic Conference (NESCAC),nescac,Colby,Duncan Cullinane,Duncan,Cullinane,,151,Duncan Cullinane,0,0COLBY,12,8,,,22,4,4,4,1,0,0,4,0,2,8,2,0,0,0,0,0,0,0,0,0,1,0,0.357,5,28,0,0.0,0.182,0.227,36,1,0,0,0,5,0,0,0,37,1.0,5,1.0,,0,1,5,5,"3,11",0.27,3,11,"4,18",0.22,4,18,"3,12",0.25,3,12,"0,3",0.0,0,3,0,0.0,0,0,"3,6","1,2","6,19","0,2",0.0,0,2,0,0.0,0,0,0,10,0,,Colby,COLBY,1123-2737,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,57,14.0,batting,,
2026-27,baseball,New England Small College Athletic Conference (NESCAC),nescac,Williams,Will Scott,Will,Scott,,789,Will Scott,0,0WILLIAMS,9,9,,,25,6,6,3,2,0,0,7,0,1,7,2,1,1,0,0,0,0,0,1,0,1,0,0.424,8,33,2,0.5,0.24,0.32,44,2,3,0,0,0,0,5,0,49,0.939,0,0.0,,0,3,10,2,"0,10",0.0,0,10,"3,17",0.18,3,17,"3,15",0.2,3,15,"0,1",0.0,0,1,0,0.0,0,0,"3,5","2,8","7,18","0,1",0.0,0,1,0,0.0,0,0,2,11,0,,Williams,WILLIAMS,1131-5448,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,56,13.0,batting,,
2026-27,baseball,New England Small College Athletic Conference (NESCAC),nescac,Bowdoin,Reuben Siegel,Reuben,Siegel,,69,Reuben Siegel,0,0BOWDOIN,12,9,,,35,8,8,3,3,0,0,2,0,0,5,0,9,0,0,0,0,0,0,1,0,2,0,0.27,11,37,9,1.0,0.229,0.314,16,0,0,0,0,0,0,0,0,16,1.0,0,0.0,,1,2,11,11,"2,8",0.25,2,8,"3,15",0.2,3,15,"2,12",0.17,2,12,"0,1",0.0,0,1,0,0.0,0,0,"3,11","1,4","7,16","0,1",0.0,0,1,1,0.0,0,0,3,6,0,,Bowdoin,BOWDOIN,1121-4400,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93,56,12.0,batting,,
2026-27,baseball,New England Small College Athletic Conference (NESCAC),nescac,Middlebury,W. Ashley,W.,Ashley,,420,W. Ashley,0,0MIDBASE,9,7,,,30,6,6,3,2,0,0,2,0,0,8,1,0,0,0,0,0,0,0,0,0,1,0,0.25,8,32,0,0.0,0.2,0.267,14,7,1,0,0,0,0,3,0,22,0.955,0,0.0,,1,1,9,6,"2,10",0.2,2,10,"3,15",0.2,3,15,"3,11",0.27,3,11,"0,3",0.0,0,3,0,0.0,0,0,"3,7","1,2","6,15",0,0.0,0,0,0,0.0,0,0,3,10,0,,Middlebury,MIDBASE,1126-5936,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94,55,11.0,batting,,
2026-27,baseball,New England Small College Athletic Conference (NESCAC),nescac,Bowdoin,Cal Thompson,Cal,Thompson,,69,Cal Thompson,0,0BOWDOIN,9,8,,,22,4,4,3,1,0,0,0,0,3,4,0,4,0,0,0,0,0,0,0,1,1,0,0.28,5,25,4,1.0,0.182,0.227,18,0,0,0,0,0,0,0,0,18,1.0,0,0.0,,0,0,5,9,"1,7",0.14,1,7,"2,13",0.15,2,13,"2,11",0.18,2,11,"2,6",0.33,2,6,0,0.0,0,0,"1,3","2,3","5,14",0,0.0,0,0,0,0.0,0,0,3,9,0,,Bowdoin,BOWDOIN,1121-4396,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,55,10.0,batting,,
