season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,team_name,team_id,sdrm_id,games_played,games_started,uniform,year,stats_stats_field_goals_made,stats_stats_field_goals_attempted,stats_stats_three_points_made,stats_stats_three_points_attempted,stats_stats_free_throws_attempted,stats_stats_free_throws_made,stats_stats_points_scored,stats_stats_blocked_shots,stats_stats_steals,stats_stats_assists,stats_stats_minutes_played,stats_stats_offensive_rebounds,stats_stats_defensive_rebounds,stats_stats_total_rebounds,stats_stats_personal_fouls,stats_stats_technical_fouls,stats_stats_turnovers,stats_stats_disqualifications,stats_stats_deadballs,stats_stats_games_played,stats_stats_field_goals_pct,stats_stats_three_points_pct,stats_stats_free_throws_pct,stats_stats_points_per_game,stats_stats_rebounds_per_game,stats_stats_assists_per_game,stats_stats_steals_per_game,stats_stats_blocked_shots_per_game,code
2025-26,wbball,Wisconsin Intercollegiate Athletic Conference (WIAC),wiac,UW-Stout,"Schisel,Grace",Grace,Schisel,G,803,"Schisel,Grace","SCHISEL,GRACE",UW-Stout,Stout,1436-5780,23,7,01,0,33,127,19,79,43,37,122,0,14,16,339,4,31,35,35,0,31,0,0,23,0.26,0.24,0.86,5.30,1.52,0.70,0.61,0.00,01
2025-26,wbball,Wisconsin Intercollegiate Athletic Conference (WIAC),wiac,UW-Stout,"Berg,Mary",Mary,Berg,G,803,"Berg,Mary","BERG,MARY",UW-Stout,Stout,1436-5400,24,24,02,0,74,201,45,126,35,31,224,2,42,64,777,12,53,65,34,0,50,0,0,24,0.37,0.36,0.89,9.33,2.71,2.67,1.75,0.08,02
2025-26,wbball,Wisconsin Intercollegiate Athletic Conference (WIAC),wiac,UW-Stout,"Verhagen,Addy",Addy,Verhagen,G,803,"Verhagen,Addy","VERHAGEN,ADDY",UW-Stout,Stout,1436-5838,25,21,04,0,103,247,24,62,86,64,294,4,32,102,764,14,76,90,46,1,70,1,0,25,0.42,0.39,0.74,11.76,3.60,4.08,1.28,0.16,04
2025-26,wbball,Wisconsin Intercollegiate Athletic Conference (WIAC),wiac,UW-Stout,"Derlein,Jordyn",Jordyn,Derlein,G,803,"Derlein,Jordyn","DERLEIN,JORDYN",UW-Stout,Stout,1436-5839,10,0,05,0,0,2,0,2,2,1,1,0,1,3,27,2,4,6,4,0,1,0,0,10,0.00,0.00,0.50,0.10,0.60,0.30,0.10,0.00,05
2025-26,wbball,Wisconsin Intercollegiate Athletic Conference (WIAC),wiac,UW-Stout,"Rybacki,Julia",Julia,Rybacki,G,803,"Rybacki,Julia","RYBACKI,JULIA",UW-Stout,Stout,1436-5398,24,7,10,0,89,178,3,8,55,30,211,6,32,23,387,42,33,75,59,0,41,3,0,24,0.50,0.38,0.55,8.79,3.13,0.96,1.33,0.25,10
2025-26,wbball,Wisconsin Intercollegiate Athletic Conference (WIAC),wiac,UW-Stout,"Coonrod,Emily",Emily,Coonrod,F,803,"Coonrod,Emily","COONROD,EMILY",UW-Stout,Stout,1436-5840,15,0,13,0,7,23,4,18,2,2,20,0,4,2,91,5,8,13,15,0,6,0,0,15,0.30,0.22,1.00,1.33,0.87,0.13,0.27,0.00,13
2025-26,wbball,Wisconsin Intercollegiate Athletic Conference (WIAC),wiac,UW-Stout,"Garber,Molly",Molly,Garber,G,803,"Garber,Molly","GARBER,MOLLY",UW-Stout,Stout,1436-5315,10,0,15,0,5,11,0,2,4,3,13,0,3,0,23,5,2,7,1,0,0,0,0,10,0.45,0.00,0.75,1.30,0.70,0.00,0.30,0.00,15
2025-26,wbball,Wisconsin Intercollegiate Athletic Conference (WIAC),wiac,UW-Stout,"Malecha,Madison",Madison,Malecha,G,803,"Malecha,Madison","MALECHA,MADISON",UW-Stout,Stout,1436-5399,21,1,20,0,19,50,0,2,17,9,47,4,7,6,189,10,11,21,23,0,18,0,0,21,0.38,0.00,0.53,2.24,1.00,0.29,0.33,0.19,20
2025-26,wbball,Wisconsin Intercollegiate Athletic Conference (WIAC),wiac,UW-Stout,"Wille,Rosella",Rosella,Wille,F,803,"Wille,Rosella","WILLE,ROSELLA",UW-Stout,Stout,1436-4829,25,24,22,0,59,132,13,36,33,23,154,5,45,61,696,43,97,140,87,0,62,6,0,25,0.45,0.36,0.70,6.16,5.60,2.44,1.80,0.20,22
2025-26,wbball,Wisconsin Intercollegiate Athletic Conference (WIAC),wiac,UW-Stout,"Birt,Brooklyn",Brooklyn,Birt,F,803,"Birt,Brooklyn","BIRT,BROOKLYN",UW-Stout,Stout,1436-5842,25,4,23,0,84,165,2,12,64,43,213,15,22,13,444,41,91,132,61,0,34,3,0,25,0.51,0.17,0.67,8.52,5.28,0.52,0.88,0.60,23
