rank,conference_code,conference,season,team,player_name,class_year,position,gp,mpg,ppg,rpg,apg,spg,bpg,tov_pg,composite_score,z_ppg,z_rpg,z_apg,z_spg,z_bpg,z_tov_pg
1,uaa,University Athletic Association (UAA),2025-26,Emory,"Pearce,Ben",0,G,24,37.041666666666664,24.04,4.0,7.25,1.25,0.17,2.7083333333333335,6.549458253993995,2.656068117715463,-0.08019153662094076,4.114402191776619,1.041466684268942,-0.5291228128913197,2.303496719668396
2,uaa,University Athletic Association (UAA),2025-26,Emory,"Fauss,Ethan",0,F,21,30.428571428571427,14.9,8.14,2.19,1.38,2.05,1.3333333333333333,5.753381990128355,0.9585777523557277,1.9347050557875791,0.28252655571452073,1.3220020200060332,3.447433628395227,0.12569183354400046
3,uaa,University Athletic Association (UAA),2025-26,Rochester,Tomiwa Adetosoye,0,g,25,32.36,17.52,5.24,4.92,2.36,0.84,2.32,5.713277045515395,1.4451668942859799,0.5233040611052826,2.349921908767787,3.4368068586394918,0.8880542167161198,1.6884318245568999
4,uaa,University Athletic Association (UAA),2025-26,Emory,"Knight,Jair",0,G,25,33.52,18.96,6.36,2.28,1.6,0.84,1.48,5.474577271029671,1.7126052013010808,1.068396859051549,0.3506824464745184,1.7967541266380345,0.8880542167161198,0.3579910213972694
5,uaa,University Athletic Association (UAA),2025-26,Chicago,"Regan,Shane",0,G,25,32.4,19.56,4.64,5.12,0.8,0.12,1.76,4.637517549892024,1.824037829224039,0.2312900622054969,2.5013794437900043,0.07038282979439452,-0.6348822927127704,0.8014712891171463
6,uaa,University Athletic Association (UAA),2025-26,Washington St. Louis,"May,Connor",0,F,25,32.6,17.2,7.04,2.0,1.4,0.92,1.68,4.519469117932145,1.3857361593937354,1.3993460578046388,0.13864189744341435,1.365161302427124,1.057269384430441,0.6747626411971813
7,uaa,University Athletic Association (UAA),2025-26,Brandeis,Elias Rodl,0,*,25,35.48,23.28,7.56,2.04,0.4,0.2,2.52,4.071393300303662,2.514920122346383,1.6524248568511193,0.16893340444785784,-0.7928028186274255,-0.46566712499844926,2.005203444356812
8,uaa,University Athletic Association (UAA),2025-26,Case Western Reserve,"Edwards,Ethan",0,G,21,26.61904761904762,20.1,3.62,1.33,1.71,0.38,1.6666666666666667,3.8566251467337858,1.9243271943547022,-0.26513373592413814,-0.36874084488101355,2.034130179954035,-0.08493299764122669,0.6536445332105207
9,uaa,University Athletic Association (UAA),2025-26,Carnegie Mellon,"Dimitrijevic,Nikola",0,F,23,29.565217391304348,17.13,7.57,2.78,0.74,1.48,2.8260869565217392,3.515442871803494,1.372735686136057,1.6572917568327827,0.7293262840300617,-0.05909501746887859,2.2417755584306893,2.490001749441895
10,uaa,University Athletic Association (UAA),2025-26,Brandeis,Alex Zakheim,0,*,25,34.68,18.2,4.76,3.84,1.28,0.16,2.32,3.3453552588842506,1.5714572059319996,0.289692861985454,1.5320512196478135,1.1062056079005784,-0.5502747088556098,1.6884318245568999
11,uaa,University Athletic Association (UAA),2025-26,Chicago,"Roper,Nick",0,G,21,30.142857142857142,15.71,7.48,1.52,0.76,0.67,1.4285714285714286,3.2251067848965596,1.109011800051722,1.613489656997815,-0.22485618660990717,-0.01593573504778755,0.5284719853231875,0.2765354620201492
12,uaa,University Athletic Association (UAA),2025-26,New York,"Johnson,Carnegie",0,G,23,32.391304347826086,15.83,4.57,4.22,1.48,0.13,2.130434782608696,3.0260103421583917,1.1312983256363134,0.19722176233385555,1.8198205361900264,1.5377984321114884,-0.6137303967484803,1.3881874197030706
13,uaa,University Athletic Association (UAA),2025-26,Rochester,Corvin Oprea,0,g,25,31.52,17.84,6.16,1.8,1.0,0.16,1.76,3.0146389549252177,1.5045976291782246,0.9710588594182868,-0.012815637578802924,0.5019756540053044,-0.5502747088556098,0.8014712891171463
14,uaa,University Athletic Association (UAA),2025-26,New York,"Kolaja,Luke",0,F,22,23.772727272727273,13.95,5.64,1.91,0.45,0.91,1.2272727272727273,2.3256526942530487,0.7821427581443764,0.717980060371806,0.07048600668341651,-0.684904612574698,1.036117488466151,-0.04229311634989214
15,uaa,University Athletic Association (UAA),2025-26,Emory,"Harris,AJ",0,F,25,29.56,10.24,5.36,2.56,1.68,0.16,0.84,2.2214370537517896,0.09311767548741601,0.5817068608852397,0.5627229955056229,1.9693912563223983,-0.5502747088556098,-0.6556781619624492
16,uaa,University Athletic Association (UAA),2025-26,Emory,"Awasum,Mario",0,F,25,25.36,8.8,7.36,1.92,0.76,2.16,1.6,2.188201935256843,-0.17432063152768448,1.5550868572178578,0.07805888343452737,-0.01593573504778755,3.6801044840024195,0.5480539932772168
17,uaa,University Athletic Association (UAA),2025-26,Chicago,"Cochran,Daniel",0,F,25,26.68,10.48,7.52,2.04,0.68,0.88,1.2,1.9971407812524768,0.13769072665659948,1.632957256924467,0.16893340444785784,-0.18857286473215146,0.9726618005732806,-0.08548924632260753
18,uaa,University Athletic Association (UAA),2025-26,Carnegie Mellon,"DeJardin,Buckley",0,G,25,33.52,13.8,3.44,1.84,1.4,0.72,1.48,1.9871893226774364,0.754284601163637,-0.35273793559407385,0.017475869425640566,1.365161302427124,0.6342314651446381,0.3579910213972694
19,uaa,University Athletic Association (UAA),2025-26,Brandeis,Aedan Using,0,0,18,27.61111111111111,6.44,7.0,2.94,1.39,1.22,1.3333333333333333,1.7531654316847602,-0.6126223013579883,1.3798784578779864,0.8504923120478357,1.3435816612165787,1.6918262633591454,0.12569183354400046
20,uaa,University Athletic Association (UAA),2025-26,Washington St. Louis,"Oliff,Yogi",0,G,22,24.454545454545453,7.77,7.18,4.64,1.09,0.09,1.6363636363636365,1.306936348729646,-0.3656133094620969,1.4674826575479218,2.1378813597366824,0.696192424900214,-0.6983379806056409,0.6056488332408372
21,uaa,University Athletic Association (UAA),2025-26,New York,"Waldman,Andrew",0,F,18,22.666666666666668,6.94,6.33,3.11,1.11,0.33,0.8333333333333334,1.1909149946625206,-0.5197617780888562,1.0537961591065594,0.9792312168167203,0.7393517073213051,-0.1906924774626774,-0.6662372159557794
22,uaa,University Athletic Association (UAA),2025-26,Carnegie Mellon,"Mirazimi,Evan",0,F,25,31.52,11.84,6.72,1.88,0.92,0.8,2.2,1.0522010407207174,0.3902713499486388,1.2436052583914199,0.047767376430083885,0.3293385243209405,0.8034466328589595,1.4983688526769532
23,uaa,University Athletic Association (UAA),2025-26,Chicago,"Kenah,Eamonn",0,G,21,31.142857142857142,11.38,4.14,1.57,0.67,0.57,0.8571428571428571,1.0265679262078562,0.30483966854103745,-0.012054936877657645,-0.18699180285435282,-0.21015250594269697,0.31695302568028594,-0.6285263088367424
24,uaa,University Athletic Association (UAA),2025-26,Rochester,Jordan Owusu,0,0,25,25.84,11.92,3.2,1.52,1.24,0.64,1.36,0.9322874927391722,0.4051290336717,-0.46954353515398795,-0.22485618660990717,1.0198870430583964,0.4650162974303171,0.16792804951732235
25,uaa,University Athletic Association (UAA),2025-26,Case Western Reserve,"Vincent,Alex",0,F,24,23.875,10.42,7.42,1.67,0.25,1.58,2.0833333333333335,0.9017427973728758,0.12654746386430354,1.5842882571078363,-0.11126303534324426,-1.116497436785608,2.453294518073591,1.313585407793671
26,uaa,University Athletic Association (UAA),2025-26,Case Western Reserve,"Fox,Andrew",0,F,25,23.12,8.92,6.16,1.36,0.68,1.08,1.2,0.8054122640887903,-0.1520341059430929,0.9710588594182868,-0.34602221462768096,-0.18857286473215146,1.3956997198590835,-0.08548924632260753
27,uaa,University Athletic Association (UAA),2025-26,New York,"Rubin,Darren",0,G,25,26.8,14.48,2.92,3.64,0.56,0.0,1.92,0.7914660208717073,0.8805749128096567,-0.6058167346405546,1.3805936846255964,-0.44752855925869744,-0.8887050442842521,1.0548885849570757
28,uaa,University Athletic Association (UAA),2025-26,Chicago,"Berry,Joe",0,G,25,31.4,9.36,3.48,3.36,0.96,0.52,1.28,0.7245140652495289,-0.07031684546625672,-0.3332703356674215,1.168553135594492,0.41565708916312233,0.21119354585883535,0.04121940159735741
