season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,linkup_name,games_played,games_started,uniform,year,hitting_stats_at_bats,hitting_stats_runs,hitting_stats_hits,hitting_stats_runs_batted_in,hitting_stats_doubles,hitting_stats_triples,hitting_stats_home_runs,hitting_stats_walks,hitting_stats_intentional_walks,hitting_stats_hit_by_pitch,hitting_stats_strikeouts,hitting_stats_strikeouts_looking,hitting_stats_stolen_bases,hitting_stats_caught_stealing,hitting_stats_sacrifice_hits,hitting_stats_sacrifice_flies,hitting_stats_reached_on_catchers_interference,hitting_stats_reached_on_error,hitting_stats_reached_on_fielders_choice,hitting_stats_grounded_into_doubleplay,hitting_stats_picked_off,hitting_stats_total_double_plays,hitting_stats_total_triple_plays,hitting_stats_onbase_percentage,hitting_stats_total_bases,hitting_stats_total_plate_appearances,hitting_stats_stolen_base_attempts,hitting_stats_stolen_base_percentage,hitting_stats_batting_average,hitting_stats_slugging_percentage,fielding_stats_putouts,fielding_stats_assists,fielding_stats_errors,fielding_stats_passed_balls,fielding_stats_catchers_interference,fielding_stats_stolen_bases_against,fielding_stats_caught_stealing_by,fielding_stats_involved_in_double_plays,fielding_stats_involved_in_triple_plays,fielding_stats_total_chances,fielding_stats_fielding_percentage,fielding_stats_stolen_bases_against_attempts,fielding_stats_stolen_bases_against_percentage,pitching_stats_hits_allowed,pitching_stats_appearances,pitching_stats_games_started,pitching_stats_wins,pitching_stats_losses,pitching_stats_saves,pitching_stats_complete_games,pitching_stats_shutouts,pitching_stats_credit_for_combined_shutout,pitching_stats_games_finished,pitching_stats_innings_pitched,pitching_stats_runs_allowed,pitching_stats_earned_runs_allowed,pitching_stats_walks_allowed,pitching_stats_strikeouts,pitching_stats_doubles_allowed,pitching_stats_triples_allowed,pitching_stats_home_runs_allowed,pitching_stats_earned_run_average,pitching_stats_opponents_at_bats,pitching_stats_batters_faced,pitching_stats_wild_pitches,pitching_stats_hit_batters,pitching_stats_balks,pitching_stats_sacrifice_flies_allowed,pitching_stats_sacrifice_hits_allowed,pitching_stats_catchers_interference_allowed,pitching_stats_intentional_walks,pitching_stats_strikeouts_looking,pitching_stats_opponent_batting_average,hitting_summary_stats_times_reached_base_on_error,hitting_summary_stats_times_reached_base_on_fielders_choice,hitting_summary_stats_times_grouded_out,hitting_summary_stats_times_flied_out,hitting_summary_stats_hits_ab_with_2_outs,hitting_summary_stats_batting_avg_with_2_outs,hitting_summary_stats_hits_with_2_outs,hitting_summary_stats_ab_with_2_outs,hitting_summary_stats_hits_ab_with_runners_on_base,hitting_summary_stats_batting_avg_with_runners_on_base,hitting_summary_stats_hits_with_runners_on_base,hitting_summary_stats_ab_with_runners_on_base,hitting_summary_stats_hits_ab_with_runners_in_scoring_position,hitting_summary_stats_batting_avg_with_runners_in_scoring_position,hitting_summary_stats_hits_with_runners_in_scoring_position,hitting_summary_stats_ab_with_runners_in_scoring_position,hitting_summary_stats_hits_ab_vs_left_handed_pitchers,hitting_summary_stats_batting_avg_vs_left_handed_pitchers,hitting_summary_stats_hits_vs_left_handed_pitchers,hitting_summary_stats_ab_vs_left_handed_pitchers,hitting_summary_stats_hits_ab_vs_right_handed_pitchers,hitting_summary_stats_batting_avg_vs_right_handed_pitchers,hitting_summary_stats_hits_vs_right_handed_pitchers,hitting_summary_stats_ab_vs_right_handed_pitchers,hitting_summary_stats_success_opps_as_leadoff_batter_in_inning,hitting_summary_stats_success_opps_to_drive_in_runner_from_3rd_with_less_than_2_outs,hitting_summary_stats_number_of_runners_advanced_ab,hitting_summary_stats_hits_ab_with_bases_loaded,hitting_summary_stats_batting_avg_with_bases_loaded,hitting_summary_stats_hits_with_bases_loaded,hitting_summary_stats_ab_with_bases_loaded,hitting_summary_stats_hits_ab_as_pinch_hitter,hitting_summary_stats_batting_avg_as_pinch_hitter,hitting_summary_stats_hits_as_pinch_hitter,hitting_summary_stats_ab_as_pinch_hitter,hitting_summary_stats_times_advanced_at_least_1_runner_with_an_out,hitting_summary_stats_runners_left_on_base,hitting_summary_stats_two_out_rbis,pitching_summary_stats_fly_outs_allowed,pitching_summary_stats_ground_outs_allowed,pitching_summary_stats_runners_picked_off,pitching_summary_stats_success_opps_vs_leadoff_batters,pitching_summary_stats_hits_ab_with_runners_on_base,pitching_summary_stats_hits_ab_vs_left_handed_batters,pitching_summary_stats_hits_ab_vs_right_handed_batters,pitching_summary_stats_hits_ab_with_2_outs,team_name,team_id,sdrm_id,this_is_softball,pitching_stats,pitching_summary_stats,composite_score,global_rank,rating
2025-26,softball,New England Small College Athletic Conference (NESCAC),nescac,Trinity,Taylor Mikolajczak,Taylor,Mikolajczak,,713,Taylor Mikolajczak,0,0TRINITY,34,34,,,113,31,47,18,9,7,1,17,0,0,5,3,17,1,0,1,0,0,0,0,1,0,0,0.489,73,131,18,.944,.416,.646,63,98,4,0,0,0,0,9,0,165,.976,0,.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,41,17,"10,27",0.37,10,27,"16,43",0.37,16,43,"12,29",0.41,12,29,"3,7",0.43,3,7,0,0,0,0,"29,54","6,9","31,50",45,0,0,0,0,0,0,0,6,17,0,,,,,,,,,Trinity,TRINITY,0,True,,,7.967318275261611,11,96
2025-26,softball,New England Small College Athletic Conference (NESCAC),nescac,Tufts,Kaitlyn Perucci,Kaitlyn,Perucci,,717,Kaitlyn Perucci,0,0TUFTS,44,44,,,155,35,59,27,13,2,4,6,0,0,7,2,6,2,0,0,0,0,0,0,0,2,0,0.404,88,161,8,.750,.381,.568,332,7,7,0,0,0,0,7,0,346,.980,0,.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,11,39,43,"24,51",0.47,24,51,"33,86",0.38,33,86,"18,46",0.39,18,46,"4,10",0.40,4,10,0,0,0,0,"6,21","3,8","46,87",83,0,0,0,0,0,0,0,6,26,0,,,,,,,,,Tufts,TUFTS,0,True,,,7.869280923763926,12,96
2025-26,softball,New England Small College Athletic Conference (NESCAC),nescac,Bowdoin,Chloe Garcia,Chloe,Garcia,,69,Chloe Garcia,0,0BOWDOIN,32,31,,,102,15,33,38,9,0,6,12,0,0,16,4,1,0,1,4,0,0,0,0,0,1,0,0.381,60,119,1,1.000,.324,.588,17,31,7,3,0,2,0,1,0,55,.873,2,1.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2,23,29,"13,36",0.36,13,36,"24,68",0.35,24,68,"19,52",0.37,19,52,"1,2",0.50,1,2,0,0,0,0,"6,17","8,11","45,78",76,0,0,0,1,0,0,0,16,30,0,,,,,,,,,Bowdoin,BOWDOIN,0,True,,,7.352741691111344,13,95
2025-26,softball,New England Small College Athletic Conference (NESCAC),nescac,Wesleyan,R. Cassel-Si,R.,Cassel-Si,,764,R. Cassel-Si,0,0WESLEYAN,41,41,,,127,36,43,20,10,5,2,16,0,1,27,6,17,1,1,0,0,0,0,1,0,3,0,0.417,69,145,18,.944,.339,.543,60,1,2,0,0,0,0,0,0,63,.968,0,.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,7,28,27,"15,35",0.43,15,35,"25,69",0.36,25,69,"14,38",0.37,14,38,"5,23",0.22,5,23,0,0,0,0,"7,16","5,10","38,76",52,0,0,0,0,0,0,0,3,18,0,,,,,,,,,Wesleyan,WESLEYAN,0,True,,,7.262756426758491,14,95
2025-26,softball,New England Small College Athletic Conference (NESCAC),nescac,Middlebury,J. Westphal,J.,Westphal,,420,J. Westphal,0,0MIDSOFT,37,37,,,101,25,37,25,8,0,4,20,0,1,18,7,5,0,1,4,0,0,0,0,0,2,0,0.460,57,127,5,1.000,.366,.564,82,12,0,5,0,22,4,0,0,94,1.000,26,.846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,22,26,"14,35",0.40,14,35,"19,54",0.35,19,54,"11,37",0.30,11,37,"4,6",0.67,4,6,0,0,0,0,"14,26","11,14","39,65",0,0,0,0,0,0,0,0,13,23,0,,,,,,,,,Middlebury,MIDSOFT,1126-5721,True,,,7.165391222545587,15,94
2025-26,softball,New England Small College Athletic Conference (NESCAC),nescac,Middlebury,O. Scholes,O.,Scholes,,420,O. Scholes,0,0MIDSOFT,39,39,,,139,23,48,39,12,1,4,5,0,0,11,2,4,0,0,2,0,0,0,3,0,5,0,0.363,74,146,4,1.000,.345,.532,35,94,11,0,0,0,0,5,0,140,.921,0,.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,9,38,41,"14,45",0.31,14,45,"30,94",0.32,30,94,"21,68",0.31,21,68,"2,7",0.29,2,7,0,0,0,0,"8,20","20,27","52,97",174,0,0,0,"0,1",0,0,1,20,35,0,,,,,,,,,Middlebury,MIDSOFT,1126-5942,True,,,7.1607082971984735,16,94
2025-26,softball,New England Small College Athletic Conference (NESCAC),nescac,Colby,Caroline Des,Caroline,Des,,151,Caroline Des,0,0COLBY,33,33,,,102,28,34,20,3,3,4,13,0,0,23,4,10,0,5,0,0,0,0,0,0,0,0,0.409,55,120,10,1.000,.333,.539,59,11,3,0,0,0,0,1,0,73,.959,0,.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,27,21,"8,20",0.40,8,20,"20,49",0.41,20,49,"13,29",0.45,13,29,"2,6",0.33,2,6,0,0,0,0,"9,25","3,5","32,58",59,0,0,0,0,0,0,0,12,8,0,,,,,,,,,Colby,COLBY,0,True,,,6.7677930719183035,17,94
2025-26,softball,New England Small College Athletic Conference (NESCAC),nescac,Tufts,Lauryn Horita,Lauryn,Horita,,717,Lauryn Horita,0,0TUFTS,42,41,,,123,27,36,24,12,2,6,11,0,7,22,6,1,0,2,0,0,0,0,0,0,0,0,0.383,70,143,1,1.000,.293,.569,22,3,0,0,0,0,0,0,0,25,1.000,0,.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,4,31,31,"17,51",0.33,17,51,"17,66",0.26,17,66,"12,39",0.31,12,39,"1,7",0.14,1,7,0,0,0,0,"13,30","3,7","29,74",57,0,0,0,0,0,0,0,4,40,0,,,,,,,,,Tufts,TUFTS,0,True,,,6.614453398337348,18,94
2025-26,softball,New England Small College Athletic Conference (NESCAC),nescac,Colby,T. Silva,T.,Silva,,151,T. Silva,0,0COLBY,1,1,,,3,2,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.800,2,5,0,.000,.667,.667,0,0,0,0,0,0,0,0,0,0,0.000,0,.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,0,0,0,0,0,"1,2",0.50,1,2,"1,1",1.00,1,1,0,0,0,0,0,0,0,0,"2,2","1,1","1,2",0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,Colby,COLBY,0,True,,,6.580386449286884,19,93
2025-26,softball,New England Small College Athletic Conference (NESCAC),nescac,Hamilton,E. Tansky,E.,Tansky,,267,E. Tansky,0,0HAMILTON,29,21,,,63,22,28,2,0,0,0,6,0,0,10,2,21,1,2,0,0,0,0,0,1,0,0,0.493,28,71,22,.955,.444,.444,42,34,1,0,0,8,4,2,0,77,.987,12,.667,85,1,10,7,4,1,4,1,0,0,83.2,46,42,38,69,10,5,1,3.51,320,376,5,8,0,3,7,0,2,24,.266,2,5,19,5,"7,12",0.58,7,12,"11,32",0.34,11,32,"9,19",0.47,9,19,"2,9",0.22,2,9,0,0,0,0,"15,21","0,4","25,35",8,0,0,0,17,0,0,0,11,4,0,79,91,1,"4,5","4,13","2,3",0,"1,4",Hamilton,HAMILTON,0,True,,,6.421056581985343,20,93
