rank,conference_code,conference,season,team,player_name,class_year,position,gp,mpg,ppg,rpg,apg,spg,bpg,tov_pg,composite_score,z_ppg,z_rpg,z_apg,z_spg,z_bpg,z_tov_pg
78,nac,North Atlantic Conference (NAC),2025-26,Maine Maritime,Hill Wade,0,0,15,16.733333333333334,2.73,3.6,0.73,0.13,1.13,1.2666666666666666,-2.2925277745398773,-1.1054312395186925,-0.08048538924167031,-0.8406101060253387,-1.451302578859729,2.0412873225268555,-0.33513647418856374
79,nac,North Atlantic Conference (NAC),2025-26,VTSU Johnson,"Chisholm,Jordan",0,G,13,16.0,6.85,0.77,0.46,0.23,0.0,0.4615384615384615,-2.335349289614319,-0.3269053067294596,-1.3544736097975272,-1.0855360721694123,-1.2582376026340998,-0.8478676973501607,-1.3494009390169848
80,nac,North Atlantic Conference (NAC),2025-26,SUNY Cobleskill,"Fabian,Fermin",0,C,11,15.363636363636363,3.91,3.45,0.55,0.64,0.55,1.3636363636363635,-2.355018264366036,-0.8824553655644948,-0.14801126665629166,-1.003894083454721,-0.46667120010902063,0.5583581972802457,-0.21297839156881185
81,nac,North Atlantic Conference (NAC),2025-26,Thomas,"Minihan,Spencer",0,F,25,18.28,2.44,3.72,1.16,0.72,0.16,0.88,-2.372074096730101,-1.1602303949820125,-0.02646468730997315,-0.4505428266107031,-0.31221921912851747,-0.4387838007304061,-0.8222418286348244
82,nac,North Atlantic Conference (NAC),2025-26,UMaine-Presque Isle,"Creech,AJ",0,G,28,20.071428571428573,5.14,1.79,0.96,0.89,0.07,1.25,-2.4106949111708227,-0.6500313613580005,-0.8952976433781018,-0.6319694681989056,0.015991240455051993,-0.6688934925790181,-0.3561323946388335
83,nac,North Atlantic Conference (NAC),2025-26,Lesley,Aaron Feaster,0,0,25,15.44,5.24,3.04,0.68,0.48,0.16,1.44,-2.6290106971774785,-0.6311351008534074,-0.33258199825625684,-0.8859667664223893,-0.7755751620700272,-0.4387838007304061,-0.11677890150575715
84,nac,North Atlantic Conference (NAC),2025-26,VTSU Lyndon,"Martin,Chad",0,G,22,19.454545454545453,1.55,3.59,1.91,1.0,0.18,1.5454545454545454,-2.6479374618355176,-1.3284071134728905,-0.08498711440264517,0.22980707934505673,0.22836271430324392,-0.38764831365293684,0.0160680133432231
85,nac,North Atlantic Conference (NAC),2025-26,Maine Maritime,"Dancy,Josiah",0,G,25,17.04,3.56,1.4,2.68,0.76,0.0,1.68,-2.686860592675393,-0.9485922773305703,-1.0708649246561175,0.928299649459637,-0.2349932286382658,-0.8478676973501607,0.18556235297812887
86,nac,North Atlantic Conference (NAC),2025-26,SUNY Delhi,"Germain,Giovanni",0,G,22,15.409090909090908,4.77,2.0,0.64,0.36,0.09,0.7727272727272727,-2.6926067107611775,-0.7199475252249947,-0.8007614149976319,-0.9222520947400299,-1.007253133540782,-0.6177580055015488,-0.957379207532925
87,nac,North Atlantic Conference (NAC),2025-26,SUNY Cobleskill,"Poissant,Zander",0,F,26,12.615384615384617,3.08,2.19,0.69,0.65,0.19,0.6923076923076923,-2.750847586246275,-1.039294327752617,-0.7152286369391114,-0.8768954343429792,-0.4473647024864577,-0.36208057011420214,-1.0586881943209405
88,nac,North Atlantic Conference (NAC),2025-26,VTSU Lyndon,"Hathorn,Christian",0,G,17,13.176470588235292,3.82,1.82,1.53,0.82,0.12,1.5294117647058822,-2.823402143380144,-0.8994620000186284,-0.8817924678951775,-0.11490353967252816,-0.11915424290288847,-0.5410547748853448,-0.00414196356078006
89,nac,North Atlantic Conference (NAC),2025-26,UMaine-Farmington,Tristan Robbins,0,0,26,11.923076923076923,2.85,2.35,0.96,0.23,0.31,0.9230769230769232,-3.1005030710618833,-1.0827557269131811,-0.6432010343635153,-0.6319694681989056,-1.2582376026340998,-0.05526764764938625,-0.7679754496248961
90,nac,North Atlantic Conference (NAC),2025-26,VTSU Lyndon,"Traynor,Owen",0,G,14,12.5,4.79,1.07,0.86,0.14,0.0,0.7857142857142857,-3.1789266862833525,-0.716168273124076,-1.2194218549682845,-0.722682788993007,-1.431996081237166,-0.8478676973501607,-0.9410187500392083
91,nac,North Atlantic Conference (NAC),2025-26,Thomas,"Hebert,Nate",0,G,25,12.2,5.12,0.76,0.4,0.24,0.08,0.76,-3.2192772689653957,-0.653810613458919,-1.3589753349585019,-1.1399640646458729,-1.2389311050115368,-0.6433257490402834,-0.9734124558767675
92,nac,North Atlantic Conference (NAC),2025-26,UMaine-Farmington,Braden Camire,0,0,25,10.68,2.96,1.48,0.48,0.4,0.04,0.56,-3.453031984780366,-1.0619698403581286,-1.0348511233683193,-1.067393408010592,-0.9300271430505304,-0.7455967231952221,-1.2253635012800057
93,nac,North Atlantic Conference (NAC),2025-26,Maine Maritime,"Russman,Vince",0,F,22,11.545454545454543,1.91,1.36,0.45,0.23,0.36,0.4090909090909091,-3.509652264406209,-1.2603805756563555,-1.0888718253000165,-1.0946074042488223,-1.2582376026340998,0.07257107004428702,-1.4154720173569948
94,nac,North Atlantic Conference (NAC),2025-26,Thomas,"Kim,Jayden",0,G,21,11.571428571428571,3.57,0.86,1.14,0.33,0.0,0.9523809523809524,-3.512928329893124,-0.9467026512801111,-1.3139580833487545,-0.46868549076952337,-1.0651726264084709,-0.8478676973501607,-0.7310595455365095
95,nac,North Atlantic Conference (NAC),2025-26,Thomas,"Cureton,Faron",0,G,11,10.545454545454543,2.73,1.0,0.18,0.64,0.18,0.8181818181818182,-3.731255261916033,-1.1054312395186925,-1.2509339310951078,-1.339533370392896,-0.46667120010902063,-0.38764831365293684,-0.9001176063049162
96,nac,North Atlantic Conference (NAC),2025-26,VTSU Johnson,"Bradley,Tre",0,G,13,14.615384615384617,3.0,1.77,1.46,0.23,0.0,1.4615384615384617,-3.8480515232539942,-1.0544113361562915,-0.9043010937000513,-0.17840286422839913,-1.2582376026340998,-0.8478676973501607,-0.08964571200079277
97,nac,North Atlantic Conference (NAC),2025-26,VTSU Johnson,"Matlock,Chase",0,G,12,12.166666666666666,2.5,1.67,0.08,0.42,0.0,0.5833333333333334,-3.8763463553643502,-1.1488926386792566,-0.949318345309799,-1.430246691186997,-0.8914141478054046,-0.8478676973501607,-1.195969212649628
98,nac,North Atlantic Conference (NAC),2025-26,Thomas,"Adams,Brady",0,G,21,11.333333333333334,3.62,0.57,0.29,0.24,0.0,0.6666666666666666,-3.924096536293339,-0.9372545210278146,-1.4445081130170225,-1.2397487175193844,-1.2389311050115368,-0.8478676973501607,-1.0909896103982788
99,nac,North Atlantic Conference (NAC),2025-26,Lesley,Mateo Duran,0,0,21,10.714285714285714,3.14,1.1,0.33,0.43,0.0,1.1904761904761905,-4.257572604892501,-1.027956571449861,-1.2059166794853602,-1.203463389201744,-0.8721076501828416,-0.8478676973501607,-0.43111782481836874
