conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,hitting_stats_at_bats,hitting_stats_runs,hitting_stats_hits,hitting_stats_runs_batted_in,hitting_stats_doubles,hitting_stats_triples,hitting_stats_home_runs,hitting_stats_walks,hitting_stats_intentional_walks,hitting_stats_hit_by_pitch,hitting_stats_strikeouts,hitting_stats_strikeouts_looking,hitting_stats_stolen_bases,hitting_stats_caught_stealing,hitting_stats_sacrifice_hits,hitting_stats_sacrifice_flies,hitting_stats_reached_on_catchers_interference,hitting_stats_reached_on_error,hitting_stats_reached_on_fielders_choice,hitting_stats_grounded_into_doubleplay,hitting_stats_picked_off,hitting_stats_total_double_plays,hitting_stats_total_triple_plays,hitting_stats_onbase_percentage,hitting_stats_total_bases,hitting_stats_total_plate_appearances,hitting_stats_stolen_base_attempts,hitting_stats_stolen_base_percentage,hitting_stats_batting_average,hitting_stats_slugging_percentage,fielding_stats_putouts,fielding_stats_assists,fielding_stats_errors,fielding_stats_passed_balls,fielding_stats_catchers_interference,fielding_stats_stolen_bases_against,fielding_stats_caught_stealing_by,fielding_stats_involved_in_double_plays,fielding_stats_involved_in_triple_plays,fielding_stats_total_chances,fielding_stats_fielding_percentage,fielding_stats_stolen_bases_against_attempts,fielding_stats_stolen_bases_against_percentage,hitting_summary_stats_times_reached_base_on_error,hitting_summary_stats_times_reached_base_on_fielders_choice,hitting_summary_stats_times_grouded_out,hitting_summary_stats_times_flied_out,hitting_summary_stats_hits_ab_with_2_outs,hitting_summary_stats_batting_avg_with_2_outs,hitting_summary_stats_hits_with_2_outs,hitting_summary_stats_ab_with_2_outs,hitting_summary_stats_hits_ab_with_runners_on_base,hitting_summary_stats_batting_avg_with_runners_on_base,hitting_summary_stats_hits_with_runners_on_base,hitting_summary_stats_ab_with_runners_on_base,hitting_summary_stats_hits_ab_with_runners_in_scoring_position,hitting_summary_stats_batting_avg_with_runners_in_scoring_position,hitting_summary_stats_hits_with_runners_in_scoring_position,hitting_summary_stats_ab_with_runners_in_scoring_position,hitting_summary_stats_hits_ab_vs_left_handed_pitchers,hitting_summary_stats_batting_avg_vs_left_handed_pitchers,hitting_summary_stats_hits_vs_left_handed_pitchers,hitting_summary_stats_ab_vs_left_handed_pitchers,hitting_summary_stats_hits_ab_vs_right_handed_pitchers,hitting_summary_stats_batting_avg_vs_right_handed_pitchers,hitting_summary_stats_hits_vs_right_handed_pitchers,hitting_summary_stats_ab_vs_right_handed_pitchers,hitting_summary_stats_success_opps_as_leadoff_batter_in_inning,hitting_summary_stats_success_opps_to_drive_in_runner_from_3rd_with_less_than_2_outs,hitting_summary_stats_number_of_runners_advanced_ab,hitting_summary_stats_hits_ab_with_bases_loaded,hitting_summary_stats_batting_avg_with_bases_loaded,hitting_summary_stats_hits_with_bases_loaded,hitting_summary_stats_ab_with_bases_loaded,hitting_summary_stats_hits_ab_as_pinch_hitter,hitting_summary_stats_batting_avg_as_pinch_hitter,hitting_summary_stats_hits_as_pinch_hitter,hitting_summary_stats_ab_as_pinch_hitter,hitting_summary_stats_times_advanced_at_least_1_runner_with_an_out,hitting_summary_stats_runners_left_on_base,hitting_summary_stats_two_out_rbis,pitching_stats_hits_allowed,pitching_stats_appearances,pitching_stats_games_started,pitching_stats_wins,pitching_stats_losses,pitching_stats_saves,pitching_stats_complete_games,pitching_stats_shutouts,pitching_stats_credit_for_combined_shutout,pitching_stats_games_finished,pitching_stats_innings_pitched,pitching_stats_runs_allowed,pitching_stats_earned_runs_allowed,pitching_stats_walks_allowed,pitching_stats_strikeouts,pitching_stats_doubles_allowed,pitching_stats_triples_allowed,pitching_stats_home_runs_allowed,pitching_stats_earned_run_average,pitching_stats_opponents_at_bats,pitching_stats_batters_faced,pitching_stats_wild_pitches,pitching_stats_hit_batters,pitching_stats_balks,pitching_stats_sacrifice_flies_allowed,pitching_stats_sacrifice_hits_allowed,pitching_stats_catchers_interference_allowed,pitching_stats_intentional_walks,pitching_stats_strikeouts_looking,pitching_stats_opponent_batting_average,pitching_summary_stats_fly_outs_allowed,pitching_summary_stats_ground_outs_allowed,pitching_summary_stats_runners_picked_off,pitching_summary_stats_success_opps_vs_leadoff_batters,pitching_summary_stats_hits_ab_with_runners_on_base,pitching_summary_stats_hits_ab_vs_left_handed_batters,pitching_summary_stats_hits_ab_vs_right_handed_batters,pitching_summary_stats_hits_ab_with_2_outs,z_hitting_stats_hits,z_hitting_stats_runs,z_hitting_stats_runs_batted_in,z_hitting_stats_home_runs,z_hitting_stats_stolen_bases,z_hitting_stats_strikeouts,composite_score,rank,rating
lec,Little East Conference (LEC),2025-26,softball,Rhode Island College,Rylie Forcier,,,,21,6,14,10,2,0,0,0,0,2,0,0,5,2,0,1,0,0,0,0,0,0,0,0,0,0.25,2,16,1,0.0,0.143,0.143,3,0,1,0,0,0,0,0,0,4,0.75,0,0.0,1,0,3,3,"0,4",0.0,0,4,"1,6",0.17,1,6,"0,4",0.0,0,4,"0,2",0.0,0,2,0,0,0,0,"3,5","0,1","1,6",0,0.0,0,0,5,0.0,0,0,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.8240114317067971,0.07420479577790692,-0.8679988726484257,-0.39391805831620774,-0.5119325678896532,-0.35717906886050826,-1.3434108617181106,141,48
lec,Little East Conference (LEC),2025-26,softball,Western Connecticut,Madison Mandra,,,,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,6,0,0,0,7,1,0,0,6,1.0,8,0.875,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,25.0,1.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,21.0,14.0,12.0,7.0,3.0,6.0,0.0,2.0,4.0,86.0,97.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.291,23.0,35.0,0.0,0,0,"0,1",0.0,0,-0.9524734056369106,-0.9536690420345806,-0.8679988726484257,-0.39391805831620774,-0.5119325678896532,-1.0707740034429338,-1.3511348754277508,142,48
lec,Little East Conference (LEC),2025-26,softball,Rhode Island College,Olvia Brett,,,,9,2,7,2,2,0,0,0,0,2,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0.444,2,9,1,1.0,0.286,0.286,2,0,0,0,0,0,0,0,0,2,1.0,0,0.0,0,1,2,1,"1,5",0.2,1,5,"1,6",0.17,1,6,"1,5",0.2,1,5,"1,1",1.0,1,1,0,0,0,0,0,"0,1","3,8",0,0.0,0,0,"1,1",1.0,1,1,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.8240114317067971,-0.7480942744720831,-0.8679988726484257,-0.39391805831620774,-0.35103947512433364,-0.7853360296099636,-1.3845880528547578,143,47
lec,Little East Conference (LEC),2025-26,softball,Southern Maine,Hannah Garcia,,,,18,4,23,0,5,3,2,0,0,3,0,0,3,0,0,0,0,0,0,0,0,1,0,1,0,0.308,7,26,0,0.0,0.217,0.304,4,0,0,0,0,0,0,0,0,4,1.0,0,0.0,0,1,10,5,"0,9",0.0,0,9,"1,14",0.07,1,14,"1,10",0.1,1,10,"3,6",0.5,3,6,0,0,0,0,"3,4","1,3","5,17",0,0.0,0,0,58,0.0,0,0,1,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.631318470811627,-0.9536690420345806,-0.5433672942779144,-0.39391805831620774,-0.5119325678896532,-0.6426170426934785,-1.3870780785171029,144,47
lec,Little East Conference (LEC),2025-26,softball,Western Connecticut,Amber Roggendorf,,,,13,2,16,0,5,2,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.353,5,17,0,0.0,0.313,0.313,7,1,0,0,0,0,0,0,0,8,1.0,0,0.0,0,3,6,4,"1,6",0.17,1,6,"2,10",0.2,2,10,"1,7",0.14,1,7,"3,7",0.43,3,7,0,0,0,0,"1,1","2,2","3,10",33,0.0,0,0,75,0.0,0,0,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.631318470811627,-0.9536690420345806,-0.6515778204014182,-0.39391805831620774,-0.5119325678896532,-0.9280550165264487,-1.394916799424611,145,47
lec,Little East Conference (LEC),2025-26,softball,Southern Maine,Aislin Davis,,,,25,0,4,8,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0,4,1,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,1,0,"0,1",0.0,0,1,"0,2",0.0,0,2,"0,2",0.0,0,2,0,0.0,0,0,0,0,0,0,"0,2",0,"0,2",0,0.0,0,0,2,0.0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9524734056369106,-0.1313699717845906,-0.8679988726484257,-0.39391805831620774,-0.35103947512433364,-0.6426170426934785,-1.3973624305049877,146,47
lec,Little East Conference (LEC),2025-26,softball,Plymouth State,Marin Agbay,,,,18,13,29,4,4,3,2,0,0,4,0,0,8,1,0,0,1,1,0,0,0,0,0,0,0,0.235,6,35,0,0.0,0.138,0.207,22,16,1,0,0,0,0,0,0,39,0.974,0,0.0,1,1,6,12,"2,9",0.22,2,9,"3,20",0.15,3,20,"2,9",0.22,2,9,"0,3",0.0,0,3,0,0,0,0,"1,5","1,3","8,23",4,0.0,0,0,0,0.0,0,0,3,7,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,-0.6955494577766838,-0.5425195069095856,-0.5433672942779144,-0.39391805831620774,-0.5119325678896532,0.07097789188894711,-1.403875843562624,147,47
lec,Little East Conference (LEC),2025-26,softball,VTSU Castleton,Jensen Vinna,,,,10,10,29,3,6,2,2,0,0,1,0,2,7,3,0,0,0,0,0,0,0,0,0,0,0,0.281,8,32,0,0.0,0.207,0.276,8,12,6,0,0,0,0,0,0,26,0.769,0,0.0,2,2,8,6,"1,10",0.1,1,10,"4,15",0.27,4,15,"1,7",0.14,1,7,"0,2",0.0,0,2,0,0,0,0,"4,11",0,"7,17",0,0.0,0,0,0,0.0,0,0,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5670874838465703,-0.6453068906908344,-0.6515778204014182,-0.39391805831620774,-0.5119325678896532,-0.071741095027538,-1.4042961310078608,148,47
lec,Little East Conference (LEC),2025-26,softball,Plymouth State,Eva Zuber,,,,10,9,26,5,4,1,0,0,0,1,0,2,6,0,0,0,1,0,0,0,0,0,0,0,0,0.241,4,30,0,0.0,0.154,0.154,8,14,2,0,0,0,0,0,0,24,0.917,0,0.0,2,1,8,8,"2,8",0.25,2,8,"3,17",0.18,3,17,"1,9",0.11,1,9,"1,5",0.2,1,5,0,0,0,0,"2,4",0,"9,19",0,0.0,0,0,0,0.0,0,0,5,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.6955494577766838,-0.4397321231283368,-0.7597883465249219,-0.39391805831620774,-0.5119325678896532,-0.21446008194402313,-1.4355259266317348,149,46
lec,Little East Conference (LEC),2025-26,softball,UMass Dartmouth,Jessica Keefe,,,,17,14,22,1,4,3,1,0,0,0,0,0,7,1,1,0,1,0,0,0,0,0,0,0,0,0.182,5,23,1,1.0,0.182,0.227,107,3,3,0,0,0,0,6,0,113,0.973,0,0.0,1,0,6,5,"1,10",0.1,1,10,"2,15",0.13,2,15,"2,12",0.17,2,12,"0,3",0.0,0,3,0,0,0,0,"1,4","2,3","6,16",1,0.0,0,0,0,0.0,0,0,3,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.6955494577766838,-0.8508816582533318,-0.5433672942779144,-0.39391805831620774,-0.35103947512433364,-0.071741095027538,-1.4504089788872296,150,46
