season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,team_name,team_id,sdrm_id,games_played,games_started,uniform,code,year,offensive_position,defensive_position,active,rush_stats,pass_stats,receiving_stats,punt_stats,kickoff_stats,fieldgoal_stats,pat_stats,defense_stats_interception_return_yards,defense_stats_unassisted_tackles,defense_stats_assisted_tackles,defense_stats_tackles,defense_stats_total_tackles,defense_stats_tackles_for_loss,defense_stats_tackles_for_loss_per_game,defense_stats_tackles_per_game,defense_stats_unassisted_tackles_for_loss,defense_stats_assisted_tackles_for_loss,defense_stats_tackle_yards_for_loss,defense_stats_sacks,defense_stats_unassisted_sacks,defense_stats_assisted_sacks,defense_stats_sack_yards_for_loss,defense_stats_pass_breakups,defense_stats_fumbles_forced,defense_stats_quarterback_hurries,defense_stats_safeties_scored,defense_stats_blocked_kicks,defense_stats_fumbles_recovered,defense_stats_fumble_return_yards,defense_stats_interceptions,defense_stats_passes_defended,kickreturn_stats,puntreturn_stats,interception_return_stats,fumblereturn_stats,fumble_stats_number,fumble_stats_number_lost,scoring_stats,fumble_stats,rush_stats_attempts,rush_stats_net_yards,rush_stats_yards_gained,rush_stats_yards_lost,rush_stats_touchdowns,rush_stats_longest_rush,rush_stats_avg_per_play,rush_stats_avg_per_game,pass_stats_yards_lost_by_sacks,pass_stats_sacked,pass_stats_longest_pass,pass_stats_touchdowns,pass_stats_yards,pass_stats_interceptions,pass_stats_attempts,pass_stats_completions,pass_stats_efficiency,pass_stats_avg_per_pass,pass_stats_avg_per_catch,pass_stats_avg_per_game,defense_stats,receiving_stats_number,receiving_stats_yards,receiving_stats_touchdowns,receiving_stats_longest_reception,receiving_stats_avg_per_reception,kickreturn_stats_number,kickreturn_stats_yards,kickreturn_stats_touchdowns,kickreturn_stats_longest_kickoff_return,kickreturn_stats_avg_per_return,scoring_stats_pat_kicks,scoring_stats_touchdowns,scoring_stats_fieldgoals,scoring_stats_safeties,scoring_stats_pat_rushes,scoring_stats_pat_receptions,scoring_stats_pat_kick_returns,scoring_stats_pat_fumble_returns,scoring_stats_rouges,scoring_stats_points,scoring_stats_all_points,scoring_stats_points_per_game,punt_stats_number,punt_stats_yards,punt_stats_longest_punt,punt_stats_blocked,punt_stats_touchbacks,punt_stats_fair_catches,punt_stats_fifty_plus_yards,punt_stats_inside_twenty,punt_stats_avg_per_punt,puntreturn_stats_number,puntreturn_stats_yards,puntreturn_stats_touchdowns,puntreturn_stats_longest_punt_return,puntreturn_stats_avg_per_return,interception_return_stats_number,interception_return_stats_yards,interception_return_stats_touchdowns,interception_return_stats_longest,interception_return_stats_avg_per_return,fieldgoal_stats_made,fieldgoal_stats_attempts,fieldgoal_stats_longest_fieldgoal,fieldgoal_stats_blocked,fieldgoal_stats_percentage,pat_stats_kick_attempts,pat_stats_kicks_made,pat_stats_rush_attempts,pat_stats_rushes_made,pat_stats_pass_attempts,pat_stats_passes_made,pat_stats_reception_attempts,pat_stats_receptions_made,pat_stats_defensive_return_attempts,pat_stats_defensive_returns_made,pat_stats_defensive_blocked_kick_return_attempts,pat_stats_devensive_blocked_kick_returns_made,kickoff_stats_number,kickoff_stats_yards,kickoff_stats_out_of_bounds,kickoff_stats_touchbacks,kickoff_stats_avg_per_kickoff
2026-27,football,Southern California Intercollegiate Athletic Conference (SCIAC),sciac,Pomona-Pitzer,"Larsen,Marco",Marco,Larsen,,549,"Larsen,Marco","LARSEN,MARCO",Pomona-Pitzer,PPU,1159-3134,1,0,50,50,0,0,LB,0,,,,,,,,0,1,1,2,2,.0,.0,.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,football,Southern California Intercollegiate Athletic Conference (SCIAC),sciac,Pomona-Pitzer,"Lee,Lance",Lance,Lee,,549,"Lee,Lance","LEE,LANCE",Pomona-Pitzer,PPU,1159-3135,1,0,22,22,0,0,DB,0,,,,,,,,0,1,0,1,1,.0,.0,.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,football,Southern California Intercollegiate Athletic Conference (SCIAC),sciac,Pomona-Pitzer,"Lim,Danner",Danner,Lim,,549,"Lim,Danner","LIM,DANNER",Pomona-Pitzer,PPU,1159-2904,1,0,94,94,0,0,DL,0,,,,,,,,0,3,0,3,3,.0,.0,.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,football,Southern California Intercollegiate Athletic Conference (SCIAC),sciac,Pomona-Pitzer,"Martinez,Coen",Coen,Martinez,,549,"Martinez,Coen","MARTINEZ,COEN",Pomona-Pitzer,PPU,1159-2664,1,0,2,2D,0,0,DB,0,,,,,,,,0,1,0,1,1,.0,.0,.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,football,Southern California Intercollegiate Athletic Conference (SCIAC),sciac,Pomona-Pitzer,"Matthews,Nick",Nick,Matthews,,549,"Matthews,Nick","MATTHEWS,NICK",Pomona-Pitzer,PPU,1159-2666,1,0,82,82,0,WR,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,football,Southern California Intercollegiate Athletic Conference (SCIAC),sciac,Pomona-Pitzer,"Merkel,Hunter",Hunter,Merkel,,549,"Merkel,Hunter","MERKEL,HUNTER",Pomona-Pitzer,PPU,1159-2916,1,0,15,15,0,QB,0,0,,,,,,,,0,3,0,3,3,.0,.0,.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,football,Southern California Intercollegiate Athletic Conference (SCIAC),sciac,Pomona-Pitzer,"Miller,Colin",Colin,Miller,,549,"Miller,Colin","MILLER,COLIN",Pomona-Pitzer,PPU,1159-2905,1,0,12,12,0,0,LB,0,,,,,,,,0,2,0,2,2,.0,.0,.0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,football,Southern California Intercollegiate Athletic Conference (SCIAC),sciac,Pomona-Pitzer,"Molinelli,Bo",Bo,Molinelli,,549,"Molinelli,Bo","MOLINELLI,BO",Pomona-Pitzer,PPU,1159-2901,1,0,1,1D,0,0,DB,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,football,Southern California Intercollegiate Athletic Conference (SCIAC),sciac,Pomona-Pitzer,"Palagi,Mario",Mario,Palagi,,549,"Palagi,Mario","PALAGI,MARIO",Pomona-Pitzer,PPU,1159-2906,1,0,99,99,0,0,DL,0,,,,,,,,0,1,1,2,2,.0,.0,.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,football,Southern California Intercollegiate Athletic Conference (SCIAC),sciac,Pomona-Pitzer,"Pickett,Kalani",Kalani,Pickett,,549,"Pickett,Kalani","PICKETT,KALANI",Pomona-Pitzer,PPU,1159-2636,1,0,3,3,0,0,DB,0,,,,,,,,4,1,1,2,2,.0,.0,.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,0,4,4.0,,,,,,,,,,,,,,,,,,,,,,
2026-27,football,Southern California Intercollegiate Athletic Conference (SCIAC),sciac,Pomona-Pitzer,"Rodenbaugh,Mitchell",Mitchell,Rodenbaugh,,549,"Rodenbaugh,Mitchell","RODENBAUGH,MITCHELL",Pomona-Pitzer,PPU,1159-2917,1,0,17,17,0,RB,0,0,,,,,,,,0,0,0,0,0,.0,.0,.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,5,47,48,1,0,28,9.4,47.0,,,,,,,,,,,,,,1,38,1,38,38.0,,,,,,0,1,0,0,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,football,Southern California Intercollegiate Athletic Conference (SCIAC),sciac,Pomona-Pitzer,"Ryals,Leo",Leo,Ryals,,549,"Ryals,Leo","RYALS,LEO",Pomona-Pitzer,PPU,1159-2910,1,0,11,11,0,0,LB,0,,,,,,,,0,5,1,6,6,.0,.0,.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,football,Southern California Intercollegiate Athletic Conference (SCIAC),sciac,Pomona-Pitzer,"Sansbury,Cooper",Cooper,Sansbury,,549,"Sansbury,Cooper","SANSBURY,COOPER",Pomona-Pitzer,PPU,1159-2915,1,0,27,27,0,0,LB,0,,,,,,,,0,0,0,0,0,.0,.0,.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
