season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,linkup_name,games_played,games_started,uniform,year,team_name,team_id,sdrm_id,goal_stats_shootout_goals,goal_stats_free_positiong_goals,goal_stats_game_tying_goals,goal_stats_empty_net_goals,goal_stats_overtime_goals,goal_stats_first_goals,goal_stats_unassisted_goals,goal_stats_short_handed_goals,goal_stats_power_play_goals,goal_stats_game_winning_goals,goal_stats_hat_tricks,penalty_stats_number,penalty_stats_minutes,penalty_stats_fouls,penalty_stats_misc10,penalty_stats_miscgame,penalty_stats_miscgross,penalty_stats_match,penalty_stats_major,penalty_stats_minor,misc_stats_faceoffs_won,misc_stats_faceoffs_lost,misc_stats_total_faceoffs,misc_stats_faceoff_win_pct,misc_stats_faceoffs_won_pct,misc_stats_plus,misc_stats_minus,misc_stats_plusminus,misc_stats_blocks,goalie_stats,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_shots_pct,shot_stats_penalty_shot_goals,shot_stats_penalty_shots_attempted,is_goalie,game,goalie_stats_games_played,goalie_stats_minutes,goalie_stats_goals_allowed,goalie_stats_saves,goalie_stats_saves_by_prd,goalie_stats_shutouts,goalie_stats_win,goalie_stats_loss,goalie_stats_tie,goalie_stats_powerplay_goals_allowed,goalie_stats_shorthanded_goals_allowed,goalie_stats_emptynet_goals_allowed,goalie_stats_save_pct,goalie_stats_games_started,goalie_stats_penalty_shot_goals_allowed,goalie_stats_shootout_goals_allowed,goalie_stats_goals_against_avg
2025-26,whockey,Minnesota Intercollegiate Athletic Conference (MIAC),miac,Augsburg,"Milota, Adelyn",Adelyn,Milota,0,38,"Milota, Adelyn","Milota,Adelyn",MilotaAdelynAUG,27,6,2,,Augsburg,AUG,1103-13266,0,,0,0,0,0,1,0,0,1,0,6,12:00,0,0,0,0,0,0,6,144,159,303,.475,1.10,17,9,8,6,,0,60,6,3,3,0.05,0,0,False,,,,,,,,,,,,,,,,,,
2025-26,whockey,Minnesota Intercollegiate Athletic Conference (MIAC),miac,Augsburg,"Olson, Ella",Ella,Olson,0,38,"Olson, Ella","Olson,Ella",OlsonEllaAUG,27,7,3,,Augsburg,AUG,1103-13104,0,,0,1,0,2,1,0,0,3,0,2,04:00,0,0,0,0,0,0,2,7,4,11,.636,0.57,26,5,21,24,,0,96,23,11,12,0.13,0,0,False,,,,,,,,,,,,,,,,,,
2025-26,whockey,Minnesota Intercollegiate Athletic Conference (MIAC),miac,Augsburg,"Wold, Lilli",Lilli,Wold,0,38,"Wold, Lilli","Wold,Lilli",WoldLilliAUG,26,1,5,,Augsburg,AUG,1103-13271,0,,0,0,0,1,0,0,0,1,0,3,06:00,0,0,0,0,0,0,3,0,1,1,.000,0,11,9,2,5,,0,21,3,2,1,0.05,0,0,False,,,,,,,,,,,,,,,,,,
2025-26,whockey,Minnesota Intercollegiate Athletic Conference (MIAC),miac,Augsburg,"Behr, Payton",Payton,Behr,0,38,"Behr, Payton","Behr,Payton",BehrPaytonAUG,27,13,6,,Augsburg,AUG,1103-13450,0,,0,0,0,2,0,0,3,1,0,1,02:00,0,0,0,0,0,0,1,0,0,0,NaN,0,34,10,24,17,,0,37,6,3,3,0.08,0,0,False,,,,,,,,,,,,,,,,,,
2025-26,whockey,Minnesota Intercollegiate Athletic Conference (MIAC),miac,Augsburg,"Mielke, Annika",Annika,Mielke,0,38,"Mielke, Annika","Mielke,Annika",MielkeAnnikaAUG,19,2,7,,Augsburg,AUG,1103-13265,0,,0,0,0,0,0,0,1,0,0,3,06:00,0,0,0,0,0,0,3,5,4,9,.556,0.80,6,6,0,8,,0,23,6,5,1,0.04,0,0,False,,,,,,,,,,,,,,,,,,
2025-26,whockey,Minnesota Intercollegiate Athletic Conference (MIAC),miac,Augsburg,"Simons, Abby",Abby,Simons,0,38,"Simons, Abby","Simons,Abby",SimonsAbbyAUG,23,0,8,,Augsburg,AUG,1103-13269,0,,0,0,0,0,0,0,0,0,0,2,04:00,0,0,0,0,0,0,2,0,0,0,NaN,0,8,2,6,4,,0,16,3,3,0,0.00,0,0,False,,,,,,,,,,,,,,,,,,
2025-26,whockey,Minnesota Intercollegiate Athletic Conference (MIAC),miac,Augsburg,"Brehm, Livia",Livia,Brehm,0,38,"Brehm, Livia","Brehm,Livia",BrehmLiviaAUG,20,2,9,,Augsburg,AUG,1103-13102,0,,0,0,0,0,0,0,0,0,0,0,00:00,0,0,0,0,0,0,0,87,90,177,.492,1.03,4,7,-3,5,,0,5,1,1,0,0.00,0,0,False,,,,,,,,,,,,,,,,,,
2025-26,whockey,Minnesota Intercollegiate Athletic Conference (MIAC),miac,Augsburg,"Allen, Jenna",Jenna,Allen,0,38,"Allen, Jenna","Allen,Jenna",AllenJennaAUG,25,5,10,,Augsburg,AUG,1103-13260,0,,0,1,1,3,2,0,1,1,0,0,00:00,0,0,0,0,0,0,0,0,0,0,NaN,0,20,7,13,19,,0,63,18,10,8,0.13,0,0,False,,,,,,,,,,,,,,,,,,
2025-26,whockey,Minnesota Intercollegiate Athletic Conference (MIAC),miac,Augsburg,"Eskin, Ruby",Ruby,Eskin,0,38,"Eskin, Ruby","Eskin,Ruby",EskinRubyAUG,27,10,11,,Augsburg,AUG,1103-13272,0,,0,0,0,0,0,0,1,1,0,5,10:00,0,0,0,0,0,0,5,241,182,423,.570,0.76,24,5,19,23,,0,54,13,10,3,0.06,0,0,False,,,,,,,,,,,,,,,,,,
2025-26,whockey,Minnesota Intercollegiate Athletic Conference (MIAC),miac,Augsburg,"Ries, Kelsi",Kelsi,Ries,0,38,"Ries, Kelsi","Ries,Kelsi",RiesKelsiAUG,26,1,12,,Augsburg,AUG,1103-13267,0,,0,0,0,0,0,0,0,0,0,0,00:00,0,0,0,0,0,0,0,0,0,0,NaN,0,10,17,-7,5,,0,21,4,4,0,0.00,0,0,False,,,,,,,,,,,,,,,,,,
