season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,team_name,team_id,sdrm_id,games_played,games_started,uniform,code,year,offensive_position,defensive_position,active,rush_stats,pass_stats,receiving_stats,punt_stats_number,punt_stats_yards,punt_stats_longest_punt,punt_stats_blocked,punt_stats_touchbacks,punt_stats_fair_catches,punt_stats_fifty_plus_yards,punt_stats_inside_twenty,punt_stats_avg_per_punt,kickoff_stats_number,kickoff_stats_yards,kickoff_stats_out_of_bounds,kickoff_stats_touchbacks,kickoff_stats_avg_per_kickoff,fieldgoal_stats_made,fieldgoal_stats_attempts,fieldgoal_stats_longest_fieldgoal,fieldgoal_stats_blocked,fieldgoal_stats_percentage,pat_stats_kick_attempts,pat_stats_kicks_made,pat_stats_rush_attempts,pat_stats_rushes_made,pat_stats_pass_attempts,pat_stats_passes_made,pat_stats_reception_attempts,pat_stats_receptions_made,pat_stats_defensive_return_attempts,pat_stats_defensive_returns_made,pat_stats_defensive_blocked_kick_return_attempts,pat_stats_devensive_blocked_kick_returns_made,defense_stats_interception_return_yards,defense_stats_unassisted_tackles,defense_stats_assisted_tackles,defense_stats_tackles,defense_stats_total_tackles,defense_stats_tackles_for_loss,defense_stats_tackles_for_loss_per_game,defense_stats_tackles_per_game,defense_stats_unassisted_tackles_for_loss,defense_stats_assisted_tackles_for_loss,defense_stats_tackle_yards_for_loss,defense_stats_sacks,defense_stats_unassisted_sacks,defense_stats_assisted_sacks,defense_stats_sack_yards_for_loss,defense_stats_pass_breakups,defense_stats_fumbles_forced,defense_stats_quarterback_hurries,defense_stats_safeties_scored,defense_stats_blocked_kicks,defense_stats_fumbles_recovered,defense_stats_fumble_return_yards,defense_stats_interceptions,defense_stats_passes_defended,kickreturn_stats,puntreturn_stats,interception_return_stats,fumblereturn_stats,fumble_stats,scoring_stats_pat_kicks,scoring_stats_touchdowns,scoring_stats_fieldgoals,scoring_stats_safeties,scoring_stats_pat_rushes,scoring_stats_pat_receptions,scoring_stats_pat_kick_returns,scoring_stats_pat_fumble_returns,scoring_stats_rouges,scoring_stats_points,scoring_stats_all_points,scoring_stats_points_per_game,punt_stats,kickoff_stats,fieldgoal_stats,pat_stats,scoring_stats,receiving_stats_number,receiving_stats_yards,receiving_stats_touchdowns,receiving_stats_longest_reception,receiving_stats_avg_per_reception,defense_stats,interception_return_stats_number,interception_return_stats_yards,interception_return_stats_touchdowns,interception_return_stats_longest,interception_return_stats_avg_per_return,rush_stats_attempts,rush_stats_net_yards,rush_stats_yards_gained,rush_stats_yards_lost,rush_stats_touchdowns,rush_stats_longest_rush,rush_stats_avg_per_play,rush_stats_avg_per_game,kickreturn_stats_number,kickreturn_stats_yards,kickreturn_stats_touchdowns,kickreturn_stats_longest_kickoff_return,kickreturn_stats_avg_per_return,puntreturn_stats_number,puntreturn_stats_yards,puntreturn_stats_touchdowns,puntreturn_stats_longest_punt_return,puntreturn_stats_avg_per_return,pass_stats_yards_lost_by_sacks,pass_stats_sacked,pass_stats_longest_pass,pass_stats_touchdowns,pass_stats_yards,pass_stats_interceptions,pass_stats_attempts,pass_stats_completions,pass_stats_efficiency,pass_stats_avg_per_pass,pass_stats_avg_per_catch,pass_stats_avg_per_game,fumble_stats_number,fumble_stats_number_lost,fumblereturn_stats_number,fumblereturn_stats_yards,fumblereturn_stats_touchdowns,fumblereturn_stats_longest_interception_return,composite_score,global_rank,rating
2026-27,football,Landmark Conference,landmark_conference,Lycoming,"Barlett,Aiden",Aiden,Barlett,,373,"Barlett,Aiden","BARLETT,AIDEN",Lycoming,LYC,996-9199,1,1,9,9,0,0,DB,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,2,2,.0,.0,.0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,1,1,,,,,,0,1,0,0,0,0,0,0,0,6,6,6,,,,,,,,,,,,1,0,0,0,.0,,,,,,,,,2,33,0,24,16.5,1,5,0,5,5.0,,,,,,,,,,,,,0,0,1,20,1,20,3.8642335507035175,11,96
2026-27,football,Landmark Conference,landmark_conference,Juniata,Ivan Foreman,Ivan,Foreman,,325,Ivan Foreman,"FOREMAN,IVAN",Juniata,JUNIATA,0,1,1,14,14,0,RB,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,2,2,.0,.0,.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,1,0,0,0,0,0,0,0,6,6,6,,,,,,2,13,0,13,6.5,,,,,,,19,208,208,0,1,98,10.9,208.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7194197343617996,12,96
2026-27,football,Landmark Conference,landmark_conference,Lycoming,"Shakur,Nasir",Nasir,Shakur,,373,"Shakur,Nasir","SHAKUR,NASIR",Lycoming,LYC,996-9236,1,0,45,45,0,0,DL,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,1,1.0,.0,.0,1,0,5,1,1,0,5,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3424285502226625,13,95
2026-27,football,Landmark Conference,landmark_conference,Catholic,"Turner,Billy",Billy,Turner,,124,"Turner,Billy","TURNER,BILLY",Catholic,CUA,1049-3770,1,0,32,32,0,0,LB,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,4,9,9,.5,.0,.0,0,1,1,0,0,0,0,1,0,2,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.398534933235795,14,95
2026-27,football,Landmark Conference,landmark_conference,Susquehanna,"Wright,Tommy",Tommy,Wright,,685,"Wright,Tommy","WRIGHT,TOMMY",Susquehanna,SUS,1054-4009,1,1,11,1A,0,QB,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,.0,.0,.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,36,39,3,0,10,3.3,36.0,,,,,,,,,,,2,1,34,2,305,1,45,20,111.6,6.78,15.25,305.0,1,1,,,,,1.9448976014122132,15,95
2026-27,football,Landmark Conference,landmark_conference,Susquehanna,"Limantour,Galen",Galen,Limantour,,685,"Limantour,Galen","LIMANTOUR,GALEN",Susquehanna,SUS,1054-3978,1,1,0,0,0,0,DE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,8,8,1.5,.0,.0,1,1,2,0,0,0,0,0,0,5,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9411553498180094,16,94
2026-27,football,Landmark Conference,landmark_conference,Lycoming,"Story,JayVon",JayVon,Story,,373,"Story,JayVon","STORY,JAYVON",Lycoming,LYC,996-9238,1,1,4,4D,0,0,LB,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,7,8,8,1.5,.0,.0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9411553498180094,17,94
2026-27,football,Landmark Conference,landmark_conference,Lycoming,"Clark,Brendan",Brendan,Clark,,373,"Clark,Brendan","CLARK,BRENDAN",Lycoming,LYC,996-8885,1,1,88,88,0,TE,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,71,0,25,11.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7484928077043322,18,94
2026-27,football,Landmark Conference,landmark_conference,Juniata,Canyon King,Canyon,King,,325,Canyon King,"KING,CANYON",Juniata,JUNIATA,0,1,1,12,12,0,0,LB,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,5,8,8,.0,.0,.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6598474861370551,19,94
2026-27,football,Landmark Conference,landmark_conference,Catholic,"Fresen,Adrian",Adrian,Fresen,,124,"Fresen,Adrian","FRESEN,ADRIAN",Catholic,CUA,1049-3180,1,0,87,87,0,WR,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,68,0,31,9.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6244813719122013,20,94
