season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,linkup_name,games_played,games_started,uniform,year,team_name,team_id,sdrm_id,goal_stats,penalty_stats,misc_stats,goalie_stats,shot_stats,avg_points_game,goal_stats_shootout_goals,goal_stats_free_positiong_goals,goal_stats_game_tying_goals,goal_stats_empty_net_goals,goal_stats_overtime_goals,goal_stats_first_goals,goal_stats_unassisted_goals,goal_stats_short_handed_goals,goal_stats_power_play_goals,goal_stats_game_winning_goals,penalty_stats_number,penalty_stats_minutes,penalty_stats_fouls,penalty_stats_green_cards,penalty_stats_yellow_cards,penalty_stats_red_cards,penalty_stats_match,penalty_stats_major,penalty_stats_minor,misc_stats_powerplay_opps,misc_stats_powerplay_goals,misc_stats_faceoffs_won,misc_stats_faceoffs_lost,misc_stats_ground_balls,misc_stats_draw_controls,misc_stats_turnovers,misc_stats_caused_turnovers,misc_stats_minutes_played,misc_stats_seconds,misc_stats_faceoffs_taken,misc_stats_penalty_killing_pct,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_free_position_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_shots_on_goal_pct,goalie_stats_games_played,goalie_stats_minutes,goalie_stats_goals_allowed,goalie_stats_saves,goalie_stats_shutouts,goalie_stats_win,goalie_stats_loss,goalie_stats_tie,goalie_stats_powerplay_goals_allowed,goalie_stats_shorthanded_goals_allowed,goalie_stats_emptynet_goals_allowed,goalie_stats_shots_faced,goalie_stats_goals_against_avg,goalie_stats_save_pct,composite_score,global_rank,rating
2026-27,mlax,Southern Athletic Association (SAA),saa,Rhodes,Gavin Nagle,Gavin,Nagle,,573,Gavin Nagle,"NAGLE,GAVIN",NAGLEGAVINRHODES,19,19,,,Rhodes,RHODES,1390-4740,,,,,,5.05,0,0,0,0,0,1,29,5,1,2,0,0,0,0,0,0,1,3,0,0,0,0,0,42,0,48,23,1073:00,275,0,1.000,88,166,0,96,47,49,.530,,,,,,,,,,,,,,,24.97431038000818,1,99
2026-27,mlax,Southern Athletic Association (SAA),saa,Rhodes,Griffin Galloway,Griffin,Galloway,,573,Griffin Galloway,"GALLOWAY,GRIFFIN",GALLOWAYGRIFFINRHODES,19,19,,,Rhodes,RHODES,1390-5111,,,,,,3.47,0,0,0,0,0,4,22,1,4,1,0,0,0,0,0,0,0,1,3,0,0,0,0,25,0,47,11,1073:00,275,0,1.000,49,105,0,66,30,36,.467,,,,,,,,,,,,,,,15.43473595020539,2,99
2026-27,mlax,Southern Athletic Association (SAA),saa,Sewanee,Will Kennedy,Will,Kennedy,,652,Will Kennedy,"KENNEDY,WILL",KENNEDYWILLSEWANEE,17,14,,,Sewanee,SEWANEE,1321-3256,,,,,,3.12,0,0,0,0,0,0,13,0,5,3,0,0,0,0,0,0,0,2,0,0,0,0,0,37,0,29,12,840:00,0,0,1.000,70,124,0,53,19,34,.565,,,,,,,,,,,,,,,12.65012581579443,3,99
2026-27,mlax,Southern Athletic Association (SAA),saa,Southwestern,Keaten Cox,Keaten,Cox,,8746,Keaten Cox,"COX,KEATEN",COXKEATENSOUTHWES,16,14,,,Southwestern,SOUTHWES,1322-2904,,,,,,3.38,0,0,0,0,0,2,20,1,5,2,0,0,0,0,0,0,0,2,3,0,0,1,0,39,0,50,6,824:00,57,1,1.000,60,102,0,54,26,28,.588,,,,,,,,,,,,,,,12.594335215153807,4,98
2026-27,mlax,Southern Athletic Association (SAA),saa,Rhodes,Andrew Murphy,Andrew,Murphy,,573,Andrew Murphy,"MURPHY,ANDREW",MURPHYANDREWRHODES,19,19,,,Rhodes,RHODES,1390-4497,,,,,,3.37,0,0,0,0,1,1,4,0,2,3,0,0,0,0,0,0,0,0,1,0,0,0,0,26,0,22,1,1073:00,275,0,1.000,97,150,0,64,6,58,.647,,,,,,,,,,,,,,,12.369623480983144,5,98
2026-27,mlax,Southern Athletic Association (SAA),saa,Centre,Ryan Black,Ryan,Black,,132,Ryan Black,"BLACK,RYAN",BLACKRYANCENTRE,13,13,,,Centre,CENTRE,1268-2748,,,,,,4.54,0,0,0,0,0,3,17,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,28,1,749:00,122,0,1.000,70,114,0,59,20,39,.614,,,,,,,,,,,,,,,11.617866298665938,6,98
2026-27,mlax,Southern Athletic Association (SAA),saa,Sewanee,Manoli Loupassi,Manoli,Loupassi,,652,Manoli Loupassi,"LOUPASSI,MANOLI",LOUPASSIMANOLISEWANEE,16,16,,,Sewanee,SEWANEE,1321-3258,,,,,,3.50,0,0,0,0,0,1,21,0,6,1,0,0,0,0,0,0,0,3,0,0,0,0,0,28,0,28,3,960:00,0,0,1.000,90,134,0,56,16,40,.672,,,,,,,,,,,,,,,11.604536433820623,7,97
2026-27,mlax,Southern Athletic Association (SAA),saa,Rhodes,John Mori,John,Mori,,573,John Mori,"MORI,JOHN",MORIJOHNRHODES,19,19,,,Rhodes,RHODES,1390-4491,,,,,,2.79,0,0,0,0,0,2,22,2,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,16,4,1073:00,275,0,1.000,68,117,0,53,7,46,.581,,,,,,,,,,,,,,,9.964349958125439,8,97
2026-27,mlax,Southern Athletic Association (SAA),saa,Sewanee,Robert Freeman,Robert,Freeman,,652,Robert Freeman,"FREEMAN,ROBERT",FREEMANROBERTSEWANEE,18,10,,,Sewanee,SEWANEE,1321-3360,,,,,,2.11,0,0,0,0,0,3,10,0,4,4,0,0,0,0,0,0,0,1,1,0,0,0,0,41,0,25,10,600:00,0,0,1.000,39,59,0,38,17,21,.661,,,,,,,,,,,,,,,9.272812437607056,9,97
2026-27,mlax,Southern Athletic Association (SAA),saa,Southwestern,Matthew Houtz,Matthew,Houtz,,8746,Matthew Houtz,"HOUTZ,MATTHEW",HOUTZMATTHEWSOUTHWES,14,3,,,Southwestern,SOUTHWES,1322-1129,,,,,,3.00,0,0,0,0,0,2,18,1,3,0,0,0,0,0,0,0,0,1,3,0,0,0,0,31,0,26,7,175:00,10,0,1.000,57,116,0,42,10,32,.491,,,,,,,,,,,,,,,8.92239729789445,10,96
2026-27,mlax,Southern Athletic Association (SAA),saa,Sewanee,Charles Moran,Charles,Moran,,652,Charles Moran,"MORAN,CHARLES",MORANCHARLESSEWANEE,14,14,,,Sewanee,SEWANEE,1321-3023,,,,,,2.71,0,0,0,0,0,1,7,1,1,1,0,0,0,0,0,0,0,1,2,0,0,0,0,21,0,21,6,840:00,0,0,1.000,44,68,0,38,15,23,.647,,,,,,,,,,,,,,,7.84455222790175,11,96
2026-27,mlax,Southern Athletic Association (SAA),saa,Oglethorpe,Gannon Johnson,Gannon,Johnson,,2713,Gannon Johnson,"JOHNSON,GANNON",JOHNSONGANNONOGL,9,8,,,Oglethorpe,OGL,1284-2883,,,,,,4.22,0,0,0,0,0,1,24,1,2,1,0,0,0,0,0,0,0,4,2,0,0,0,0,15,0,27,6,480:00,0,0,1.000,47,96,0,38,11,27,.490,,,,,,,,,,,,,,,7.36752170754771,12,96
2026-27,mlax,Southern Athletic Association (SAA),saa,Berry,Michael Beirne,Michael,Beirne,,973,Michael Beirne,"BEIRNE,MICHAEL",BEIRNEMICHAELBRY,14,13,,,Berry,BRY,838-3029,,,,,,2.71,0,0,0,0,0,0,15,0,3,3,0,0,0,0,0,0,0,2,0,0,0,0,0,19,0,27,3,763:00,153,0,1.000,60,103,0,38,13,25,.583,,,,,,,,,,,,,,,7.266088149638638,13,95
2026-27,mlax,Southern Athletic Association (SAA),saa,Rhodes,Wyatt Bounds,Wyatt,Bounds,,573,Wyatt Bounds,"BOUNDS,WYATT",BOUNDSWYATTRHODES,19,17,,,Rhodes,RHODES,1390-4494,,,,,,1.89,0,0,0,0,0,0,9,2,2,2,0,0,0,0,0,0,0,3,0,0,0,0,0,14,0,13,4,975:00,226,0,1.000,48,94,0,36,20,16,.511,,,,,,,,,,,,,,,7.182726679965395,14,95
2026-27,mlax,Southern Athletic Association (SAA),saa,Centre,Ben Hubbs,Ben,Hubbs,,132,Ben Hubbs,"HUBBS,BEN",HUBBSBENCENTRE,13,8,,,Centre,CENTRE,1268-2741,,,,,,3.08,0,0,0,0,0,0,16,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,15,3,466:00,82,0,1.000,64,105,0,40,9,31,.610,,,,,,,,,,,,,,,6.97023930899235,15,95
2026-27,mlax,Southern Athletic Association (SAA),saa,Hendrix,Zachary Cox,Zachary,Cox,,1124,Zachary Cox,"COX,ZACHARY",COXZACHARYHENDRIX,12,12,,,Hendrix,HENDRIX,1280-2819,,,,,,2.67,0,0,0,0,3,1,6,0,2,2,0,0,0,0,0,0,0,0,2,0,0,1,9,19,0,21,7,715:00,10,10,1.000,37,75,0,32,15,17,.493,,,,,,,,,,,,,,,6.624281431181811,16,94
2026-27,mlax,Southern Athletic Association (SAA),saa,Centre,Graysen Jolly,Graysen,Jolly,,132,Graysen Jolly,"JOLLY,GRAYSEN",JOLLYGRAYSENCENTRE,12,10,,,Centre,CENTRE,1268-3018,,,,,,2.25,0,0,0,0,0,1,7,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,20,0,9,9,600:00,59,0,1.000,22,42,0,27,12,15,.524,,,,,,,,,,,,,,,5.685337500550523,17,94
2026-27,mlax,Southern Athletic Association (SAA),saa,Southwestern,Jackson Strauser,Jackson,Strauser,,8746,Jackson Strauser,"STRAUSER,JACKSON",STRAUSERJACKSONSOUTHWES,16,16,,,Southwestern,SOUTHWES,1322-1136,,,,,,2.00,0,0,0,0,0,2,2,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,19,0,14,3,939:00,67,0,1.000,44,61,0,32,5,27,.721,,,,,,,,,,,,,,,5.527452297853796,18,94
2026-27,mlax,Southern Athletic Association (SAA),saa,Berry,Finn McClendon,Finn,McClendon,,973,Finn McClendon,"MCCLENDON,FINN",MCCLENDONFINNBRY,14,2,,,Berry,BRY,838-3235,,,,,,2.14,0,0,0,0,0,0,14,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,18,2,120:00,0,0,1.000,63,124,0,30,8,22,.508,,,,,,,,,,,,,,,4.8743331912988435,19,94
2026-27,mlax,Southern Athletic Association (SAA),saa,Berry,Owen Morini,Owen,Morini,,973,Owen Morini,"MORINI,OWEN",MORINIOWENBRY,14,7,,,Berry,BRY,838-3286,,,,,,2.14,0,0,0,0,0,2,10,0,6,0,0,0,0,0,0,0,0,1,1,0,0,0,0,10,0,28,3,418:00,53,0,1.000,47,75,0,30,7,23,.627,,,,,,,,,,,,,,,4.861696562462544,20,94
2026-27,mlax,Southern Athletic Association (SAA),saa,Southwestern,Marshall Mohun,Marshall,Mohun,,8746,Marshall Mohun,"MOHUN,MARSHALL",MOHUNMARSHALLSOUTHWES,16,15,,,Southwestern,SOUTHWES,1322-2995,,,,,,1.69,0,0,0,0,0,0,12,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,25,0,26,1,874:00,116,0,1.000,37,59,0,27,7,20,.627,,,,,,,,,,,,,,,4.577540183691084,21,94
2026-27,mlax,Southern Athletic Association (SAA),saa,Rhodes,Charlie Carmouche,Charlie,Carmouche,,573,Charlie Carmouche,"CARMOUCHE,CHARLIE",CARMOUCHECHARLIERHODES,19,16,,,Rhodes,RHODES,1390-4772,,,,,,1.26,0,0,0,0,0,0,8,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,27,0,15,2,906:00,214,0,1.000,20,46,0,24,13,11,.435,,,,,,,,,,,,,,,4.505274201699503,22,93
2026-27,mlax,Southern Athletic Association (SAA),saa,Southwestern,Matthew Swandal,Matthew,Swandal,,8746,Matthew Swandal,"SWANDAL,MATTHEW",SWANDALMATTHEWSOUTHWES,13,0,,,Southwestern,SOUTHWES,1322-1137,,,,,,2.00,0,0,0,0,0,2,10,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,10,2,00:00,0,0,1.000,41,65,0,26,8,18,.631,,,,,,,,,,,,,,,4.311111688588752,23,93
2026-27,mlax,Southern Athletic Association (SAA),saa,Centre,Thomas Tyack,Thomas,Tyack,,132,Thomas Tyack,"TYACK,THOMAS",TYACKTHOMASCENTRE,13,8,,,Centre,CENTRE,1268-3536,,,,,,2.23,0,0,0,0,0,4,8,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,9,1,479:00,68,0,1.000,38,54,0,29,8,21,.704,,,,,,,,,,,,,,,4.255319249274119,24,93
2026-27,mlax,Southern Athletic Association (SAA),saa,Sewanee,Tyler Clary,Tyler,Clary,,652,Tyler Clary,"CLARY,TYLER",CLARYTYLERSEWANEE,18,18,,,Sewanee,SEWANEE,1321-3653,,,,,,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,4,0,0,0,0,51,0,19,25,1080:00,0,0,1.000,7,14,0,5,4,1,.500,,,,,,,,,,,,,,,3.8416395732087922,25,93
