season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,linkup_name,games_played,games_started,uniform,year,team_name,team_id,sdrm_id,goal_stats_shootout_goals,goal_stats_free_positiong_goals,goal_stats_game_tying_goals,goal_stats_empty_net_goals,goal_stats_overtime_goals,goal_stats_first_goals,goal_stats_unassisted_goals,goal_stats_short_handed_goals,goal_stats_power_play_goals,goal_stats_game_winning_goals,penalty_stats_number,penalty_stats_minutes,penalty_stats_fouls,penalty_stats_green_cards,penalty_stats_yellow_cards,penalty_stats_red_cards,penalty_stats_match,penalty_stats_major,penalty_stats_minor,misc_stats_powerplay_opps,misc_stats_powerplay_goals,misc_stats_faceoffs_won,misc_stats_faceoffs_lost,misc_stats_ground_balls,misc_stats_draw_controls,misc_stats_turnovers,misc_stats_caused_turnovers,misc_stats_minutes_played,misc_stats_seconds,misc_stats_faceoffs_taken,misc_stats_penalty_killing_pct,goalie_stats_games_played,goalie_stats_minutes,goalie_stats_goals_allowed,goalie_stats_saves,goalie_stats_shutouts,goalie_stats_win,goalie_stats_loss,goalie_stats_tie,goalie_stats_powerplay_goals_allowed,goalie_stats_shorthanded_goals_allowed,goalie_stats_emptynet_goals_allowed,goalie_stats_shots_faced,goalie_stats_goals_against_avg,goalie_stats_save_pct,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_free_position_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_shots_on_goal_pct,avg_points_game,goalie_stats,goal_stats,penalty_stats,misc_stats,shot_stats,composite_score,global_rank,rating
2025-26,mlax,New England Women's and Men's Athletic Conference (NEWMAC),newmac,Clark,Matthew Minkwitz,Matthew,Minkwitz,,145,Matthew Minkwitz,"MINKWITZ,MATTHEW",MINKWITZMATTHEWCLARK UNIVERSITY,15,15,,,Clark,CLARK UNIVERSITY,0,0,0,0,0,0,2,20,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,32,4,900:00,0,0,1.000,,,,,,,,,,,,,,,95,152,0,77,28,49,.625,5.13,,,,,,17.23734446098103,1,99
2025-26,mlax,New England Women's and Men's Athletic Conference (NEWMAC),newmac,Salve Regina,Daniel Naglieri,Daniel,Naglieri,,623,Daniel Naglieri,"NAGLIERI,DANIEL",NAGLIERIDANIELSALVE REGINA,17,17,,,Salve Regina,SALVE REGINA,0,0,0,0,0,1,3,10,0,4,3,0,0,0,0,0,0,1,1,0,0,0,0,0,21,0,41,5,1024:00,81,0,1.000,,,,,,,,,,,,,,,70,114,0,72,41,31,.614,4.24,,,,,,16.323804519903266,2,99
2025-26,mlax,New England Women's and Men's Athletic Conference (NEWMAC),newmac,Babson,Seamus Rooney,Seamus,Rooney,,45,Seamus Rooney,"ROONEY,SEAMUS",ROONEYSEAMUSBABSON,20,20,,,Babson,BABSON,0,0,0,0,0,0,5,16,1,4,2,0,0,0,0,0,0,0,2,3,0,0,0,0,24,0,30,4,1200:00,0,0,1.000,,,,,,,,,,,,,,,75,140,0,63,28,35,.536,3.15,,,,,,13.848069449565537,3,99
2025-26,mlax,New England Women's and Men's Athletic Conference (NEWMAC),newmac,Coast Guard,Eric Key,Eric,Key,,722,Eric Key,"KEY,ERIC",KEYERICCGA-ML~1,15,15,,,Coast Guard,CGA-ML~1,0,0,0,0,0,0,1,9,0,5,2,0,0,0,0,0,0,0,1,0,0,0,1,0,22,0,25,9,900:00,32,1,1.000,,,,,,,,,,,,,,,72,127,0,59,20,39,.567,3.93,,,,,,13.16950281309744,4,98
2025-26,mlax,New England Women's and Men's Athletic Conference (NEWMAC),newmac,Salve Regina,Chris Koltzan,Chris,Koltzan,,623,Chris Koltzan,"KOLTZAN,CHRIS",KOLTZANCHRISSALVE REGINA,16,12,,,Salve Regina,SALVE REGINA,0,0,0,0,0,0,2,15,1,1,3,0,0,0,0,0,0,0,2,2,0,0,0,0,9,0,27,2,723:00,42,0,1.000,,,,,,,,,,,,,,,87,143,0,64,18,46,.608,4.00,,,,,,12.781040188814186,5,98
2025-26,mlax,New England Women's and Men's Athletic Conference (NEWMAC),newmac,MIT,Garrett Campagna,Garrett,Campagna,,398,Garrett Campagna,"CAMPAGNA,GARRETT",CAMPAGNAGARRETTMIT,15,0,,,MIT,MIT,0,0,0,0,0,0,0,11,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,13,0,30,4,00:00,0,0,1.000,,,,,,,,,,,,,,,54,93,0,57,37,20,.581,3.80,,,,,,12.435301153591283,6,98
2025-26,mlax,New England Women's and Men's Athletic Conference (NEWMAC),newmac,Coast Guard,Ezekiel Christian,Ezekiel,Christian,,722,Ezekiel Christian,"CHRISTIAN,EZEKIEL",CHRISTIANEZEKIELCGA-ML~1,15,15,,,Coast Guard,CGA-ML~1,0,0,0,0,0,0,4,9,0,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,18,0,28,4,900:00,32,0,1.000,,,,,,,,,,,,,,,60,103,0,57,22,35,.583,3.80,,,,,,12.043479695947008,7,97
2025-26,mlax,New England Women's and Men's Athletic Conference (NEWMAC),newmac,Springfield,Jake Degnan,Jake,Degnan,,673,Jake Degnan,"DEGNAN,JAKE",DEGNANJAKESCMLX25,17,17,,,Springfield,SCMLX25,0,0,0,0,0,0,3,14,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,20,0,15,4,1020:00,0,0,1.000,,,,,,,,,,,,,,,84,139,0,55,15,40,.604,3.24,,,,,,11.411034522586018,8,97
2025-26,mlax,New England Women's and Men's Athletic Conference (NEWMAC),newmac,Wheaton,Emmett Edwards,Emmett,Edwards,,779,Emmett Edwards,"EDWARDS,EMMETT",EDWARDSEMMETTWHEATON (MASS.),15,15,,,Wheaton,WHEATON (MASS.),0,0,0,0,0,0,2,11,0,11,1,0,0,0,0,0,0,0,2,1,0,0,0,0,30,0,26,5,930:00,51,0,1.000,,,,,,,,,,,,,,,59,91,0,48,10,38,.648,3.20,,,,,,10.232831853221107,9,97
2025-26,mlax,New England Women's and Men's Athletic Conference (NEWMAC),newmac,Emerson,Jack Burns,Jack,Burns,,214,Jack Burns,"BURNS,JACK",BURNSJACKEMERSON,14,14,,,Emerson,EMERSON,0,0,0,0,0,0,3,18,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,18,0,30,6,836:00,108,0,1.000,,,,,,,,,,,,,,,69,122,0,49,14,35,.566,3.50,,,,,,10.21935902323788,10,96
