season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,linkup_name,games_played,games_started,uniform,year,team_name,team_id,sdrm_id,goal_stats_shootout_goals,goal_stats_free_positiong_goals,goal_stats_game_tying_goals,goal_stats_empty_net_goals,goal_stats_overtime_goals,goal_stats_first_goals,goal_stats_unassisted_goals,goal_stats_short_handed_goals,goal_stats_power_play_goals,goal_stats_game_winning_goals,penalty_stats_number,penalty_stats_minutes,penalty_stats_fouls,penalty_stats_green_cards,penalty_stats_yellow_cards,penalty_stats_red_cards,penalty_stats_match,penalty_stats_major,penalty_stats_minor,misc_stats_powerplay_opps,misc_stats_powerplay_goals,misc_stats_faceoffs_won,misc_stats_faceoffs_lost,misc_stats_ground_balls,misc_stats_draw_controls,misc_stats_turnovers,misc_stats_caused_turnovers,misc_stats_minutes_played,misc_stats_seconds,misc_stats_faceoffs_taken,misc_stats_penalty_killing_pct,goalie_stats,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_free_position_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_shots_on_goal_pct,avg_points_game,goalie_stats_games_played,goalie_stats_minutes,goalie_stats_goals_allowed,goalie_stats_saves,goalie_stats_shutouts,goalie_stats_win,goalie_stats_loss,goalie_stats_tie,goalie_stats_powerplay_goals_allowed,goalie_stats_shorthanded_goals_allowed,goalie_stats_emptynet_goals_allowed,goalie_stats_shots_faced,goalie_stats_goals_against_avg,goalie_stats_save_pct,goal_stats,penalty_stats,misc_stats,shot_stats,composite_score,global_rank,rating
2026-27,wlax,North Eastern Athletic Conference,north_eastern_athletic_c,Wilson College,Chantel Cannon,Chantel,Cannon,,12973,Chantel Cannon,"CANNON,CHANTEL",CANNONCHANTELWILSON,13,0,,,Wilson College,WILSON,1246-1059,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,7,66:00,80,0,1.000,,1,1,0,1,0,1,1.000,0.08,,,,,,,,,,,,,,,,,,,-2.6414342521416105,58,64
2026-27,wlax,North Eastern Athletic Conference,north_eastern_athletic_c,Wilson College,Ella Pollock,Ella,Pollock,,12973,Ella Pollock,"POLLOCK,ELLA",POLLOCKELLAWILSON,13,10,,,Wilson College,WILSON,1246-1077,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,8,1,7,3,600:00,0,0,1.000,,2,2,0,1,0,1,1.000,0.08,,,,,,,,,,,,,,,,,,,-2.7101615528951344,59,64
2026-27,wlax,North Eastern Athletic Conference,north_eastern_athletic_c,Wilson College,Ryn Koffman,Ryn,Koffman,,12973,Ryn Koffman,"KOFFMAN,RYN",KOFFMANRYNWILSON,14,8,,,Wilson College,WILSON,1246-984,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,6,0,493:00,15,0,1.000,,4,5,1,3,0,3,.800,0.21,,,,,,,,,,,,,,,,,,,-2.711675478513134,60,63
2026-27,wlax,North Eastern Athletic Conference,north_eastern_athletic_c,Notre Dame of Maryland,Madison Perryman,Madison,Perryman,,8600,Madison Perryman,"PERRYMAN,MADISON",PERRYMANMADISONNOTRE DA,11,10,,,Notre Dame of Maryland,NOTRE DA,48-700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,14,8,600:00,0,0,1.000,,0,0,0,0,0,0,.000,0.00,,,,,,,,,,,,,,,,,,,-2.728263775701004,61,62
2026-27,wlax,North Eastern Athletic Conference,north_eastern_athletic_c,Notre Dame of Maryland,Isabelle Salazar,Isabelle,Salazar,,8600,Isabelle Salazar,"SALAZAR,ISABELLE",SALAZARISABELLENOTRE DA,10,10,,,Notre Dame of Maryland,NOTRE DA,48-854,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,10,0,4,3,600:00,0,0,1.000,,0,0,0,0,0,0,.000,0.00,,,,,,,,,,,,,,,,,,,-2.777713406054815,62,62
2026-27,wlax,North Eastern Athletic Conference,north_eastern_athletic_c,Cedar Crest College,Adriana Dias,Adriana,Dias,,14795,Adriana Dias,"DIAS,ADRIANA",DIASADRIANACCC,14,9,,,Cedar Crest College,CCC,1303-703,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,6,4,533:00,45,0,1.000,,1,2,0,1,0,1,.500,0.07,,,,,,,,,,,,,,,,,,,-2.778051884078971,63,61
2026-27,wlax,North Eastern Athletic Conference,north_eastern_athletic_c,Wilson College,Lydia Hampton,Lydia,Hampton,,12973,Lydia Hampton,"HAMPTON,LYDIA",HAMPTONLYDIAWILSON,11,0,,,Wilson College,WILSON,1246-1078,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,1,1,02:00,49,0,1.000,,2,4,0,1,0,1,.500,0.09,,,,,,,,,,,,,,,,,,,-2.9632821768004565,64,60
2026-27,wlax,North Eastern Athletic Conference,north_eastern_athletic_c,St. Mary's (Md.),Bri Anderson,Bri,Anderson,,611,Bri Anderson,"ANDERSON,BRI",ANDERSONBRIST. MARY,7,0,,,St. Mary's (Md.),ST. MARY,659-3846,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,00:00,0,0,1.000,,4,7,0,3,1,2,.571,0.43,,,,,,,,,,,,,,,,,,,-2.9704483005076217,65,60
2026-27,wlax,North Eastern Athletic Conference,north_eastern_athletic_c,St. Mary's (Md.),Maura Brownlee,Maura,Brownlee,,611,Maura Brownlee,"BROWNLEE,MAURA",BROWNLEEMAURAST. MARY,11,2,,,St. Mary's (Md.),ST. MARY,659-4176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,1,2,120:00,0,0,1.000,,0,0,0,0,0,0,.000,0.00,,,,,,,,,,,,,,,,,,,-3.0501117003598495,66,59
2026-27,wlax,North Eastern Athletic Conference,north_eastern_athletic_c,Notre Dame of Maryland,Leah Hasberry,Leah,Hasberry,,8600,Leah Hasberry,"HASBERRY,LEAH",HASBERRYLEAHNOTRE DA,11,11,,,Notre Dame of Maryland,NOTRE DA,48-634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,38,6,660:00,0,0,1.000,,0,0,0,0,0,0,.000,0.00,11,660:00,215,132,0,0,11,0,0,0,0,463,19.55,.380,,,,,-3.0911662094105092,67,58
2026-27,wlax,North Eastern Athletic Conference,north_eastern_athletic_c,Notre Dame of Maryland,Keylinn Yanes,Keylinn,Yanes,,8600,Keylinn Yanes,"YANES,KEYLINN",YANESKEYLINNNOTRE DA,10,7,,,Notre Dame of Maryland,NOTRE DA,48-857,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,1,0,2,4,420:00,0,0,1.000,,0,0,0,0,0,0,.000,0.00,,,,,,,,,,,,,,,,,,,-3.137279701943399,68,58
