conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,goal_stats_shootout_goals,goal_stats_free_positiong_goals,goal_stats_game_tying_goals,goal_stats_empty_net_goals,goal_stats_overtime_goals,goal_stats_first_goals,goal_stats_unassisted_goals,goal_stats_short_handed_goals,goal_stats_power_play_goals,goal_stats_game_winning_goals,goal_stats_hat_tricks,penalty_stats_number,penalty_stats_minutes,penalty_stats_fouls,penalty_stats_misc10,penalty_stats_miscgame,penalty_stats_miscgross,penalty_stats_match,penalty_stats_major,penalty_stats_minor,misc_stats_faceoffs_won,misc_stats_faceoffs_lost,misc_stats_total_faceoffs,misc_stats_faceoff_win_pct,misc_stats_faceoffs_won_pct,misc_stats_plus,misc_stats_minus,misc_stats_plusminus,misc_stats_blocks,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_shots_pct,shot_stats_penalty_shot_goals,shot_stats_penalty_shots_attempted,goalie_stats_games_played,goalie_stats_minutes,goalie_stats_goals_allowed,goalie_stats_saves,goalie_stats_saves_by_prd,goalie_stats_shutouts,goalie_stats_win,goalie_stats_loss,goalie_stats_tie,goalie_stats_powerplay_goals_allowed,goalie_stats_shorthanded_goals_allowed,goalie_stats_emptynet_goals_allowed,goalie_stats_save_pct,goalie_stats_games_started,goalie_stats_penalty_shot_goals_allowed,goalie_stats_shootout_goals_allowed,goalie_stats_goals_against_avg,z_shot_stats_points,z_shot_stats_goals,z_shot_stats_assists,z_misc_stats_plusminus,z_penalty_stats_minutes,composite_score,rank,rating
lec,Little East Conference (LEC),2025-26,whockey,Keene State,"Adamic, Madelyn",,0,32,0,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00:00,0.0,0.0,"0,0,0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8098935067279791,-0.6751909098440829,-0.8140925385675789,0.0193329180460066,0.0,-0.0,1,99
lec,Little East Conference (LEC),2025-26,whockey,UMass Boston,Jamie Case,,0,16,1,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,-0.8098935067279791,-0.6751909098440829,-0.8140925385675789,0.0193329180460066,0.0,-0.1766149437247883,2,95
lec,Little East Conference (LEC),2025-26,whockey,VTSU Castleton,"Ward, Megan",,0,9,1,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,3.0,8.0,11.0,0.273,27.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,-0.8098935067279791,-0.6751909098440829,-0.8140925385675789,0.0193329180460066,0.0,-0.1766149437247883,3,93
lec,Little East Conference (LEC),2025-26,whockey,VTSU Castleton,Chevy Irizarry,,0,5,1,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,-0.8098935067279791,-0.6751909098440829,-0.8140925385675789,0.0193329180460066,0.0,-0.1766149437247883,4,92
lec,Little East Conference (LEC),2025-26,whockey,VTSU Castleton,Eryn O'Connor,,0,30,1,1,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,59:50,3.0,18.0,"6,5,7",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.857,1.0,0.0,0.0,3.01,-0.8098935067279791,-0.6751909098440829,-0.8140925385675789,0.0193329180460066,0.0,-0.1766149437247883,5,91
lec,Little East Conference (LEC),2025-26,whockey,Keene State,"Demeo, Caroline",,0,2,26,4,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,30:00,0,0,0,0,0,0,15,0.0,3.0,3.0,0.0,0.0,12.0,14.0,-2.0,26.0,0.0,21.0,3.0,3.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,-0.38409583652410934,-0.6751909098440829,-0.10160854240768274,-0.178066350423745,,,6,90
lec,Little East Conference (LEC),2025-26,whockey,Keene State,"Goode, Kenzley",,0,3,26,12,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,10:00,0,0,0,0,0,0,5,0.0,0.0,0.0,,0.0,16.0,15.0,1.0,24.0,0.0,20.0,3.0,3.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,-0.38409583652410934,-0.6751909098440829,-0.10160854240768274,0.1180325522808824,,,7,89
lec,Little East Conference (LEC),2025-26,whockey,Keene State,"DeSouza, Maddie",,0,6,24,9,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,27,62:00,0,0,1,0,0,0,26,11.0,29.0,40.0,0.275,2.64,10.0,19.0,-9.0,37.0,0.0,36.0,4.0,3.0,1.0,0.03,0.0,0.0,,,,,,,,,,,,,,,,,,-0.2421632797894861,-0.3788401485098022,-0.10160854240768274,-0.8689637900678756,,,8,88
lec,Little East Conference (LEC),2025-26,whockey,Keene State,"Edmunds, Emily",,0,7,26,10,0.0,,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,9,18:00,0,0,0,0,0,0,9,13.0,14.0,27.0,0.481,1.08,20.0,19.0,1.0,17.0,0.0,55.0,6.0,3.0,3.0,0.05,0.0,0.0,,,,,,,,,,,,,,,,,,0.041701833679760415,0.21386137415875933,-0.10160854240768274,0.1180325522808824,,,9,87
lec,Little East Conference (LEC),2025-26,whockey,Keene State,"Jones, Tabby",,0,9,26,6,0.0,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,3,06:00,0,0,0,0,0,0,3,7.0,5.0,12.0,0.583,0.71,12.0,23.0,-11.0,9.0,0.0,38.0,9.0,6.0,3.0,0.08,0.0,0.0,,,,,,,,,,,,,,,,,,0.46749950388363015,0.21386137415875933,0.6108754537522134,-1.0663630585376271,,,10,86
