conference_code,conference,season,team,player_name,first_name,last_name,class_year,position,gp,mp_total,mpg,pts_total,ppg,reb_total,rpg,ast_total,apg,stl_total,spg,blk_total,bpg,tov_total,tov_pg,fgm,fga,fg_pct,tpm,tpa,tp_pct,ftm,fta,ft_pct
newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,Springfield,"Rodriguez,Cedric",Cedric,Rodriguez,0,G,25,570.0,22.8,136.0,5.44,70.0,2.8,23.0,0.92,10.0,0.4,5.0,0.2,35.0,1.4,52.0,131.0,0.4,11.0,39.0,0.28,21.0,28.0,0.75
newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,Springfield,"Campbell,Zachary",Zachary,Campbell,0,G,25,558.0,22.32,245.0,9.8,90.0,3.6,21.0,0.84,23.0,0.92,14.0,0.56,28.0,1.12,92.0,174.0,0.53,11.0,33.0,0.33,50.0,79.0,0.63
newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,Springfield,"Lopes,Ajay",Ajay,Lopes,0,G,23,386.0,16.782608695652176,139.0,6.04,28.0,1.22,37.0,1.61,5.0,0.22,4.0,0.17,28.0,1.2173913043478262,45.0,92.0,0.49,6.0,21.0,0.29,43.0,55.0,0.78
newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,Springfield,"Livingston,Xoren",Xoren,Livingston,0,G,25,484.0,19.36,160.0,6.4,54.0,2.16,21.0,0.84,14.0,0.56,1.0,0.04,16.0,0.64,56.0,168.0,0.33,20.0,66.0,0.3,28.0,33.0,0.85
newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,Springfield,"Hutt,RJ",RJ,Hutt,0,F,17,139.0,8.176470588235293,35.0,2.06,35.0,2.06,2.0,0.12,4.0,0.24,6.0,0.35,5.0,0.2941176470588235,14.0,47.0,0.3,4.0,27.0,0.15,3.0,4.0,0.75
newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,Springfield,"Holder,Michael",Michael,Holder,0,G,2,10.0,5.0,3.0,1.5,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,1.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,Springfield,"Evely,Josiah",Josiah,Evely,0,F,24,610.0,25.416666666666668,248.0,10.33,126.0,5.25,45.0,1.88,38.0,1.58,18.0,0.75,40.0,1.6666666666666667,91.0,228.0,0.4,26.0,95.0,0.27,40.0,55.0,0.73
newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,Springfield,"Rodriguez,Robinson",Robinson,Rodriguez,0,F,15,101.0,6.733333333333333,26.0,1.73,14.0,0.93,0.0,0.0,2.0,0.13,4.0,0.27,5.0,0.3333333333333333,10.0,23.0,0.43,3.0,5.0,0.6,3.0,7.0,0.43
newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,Springfield,"Glynn,Sean",Sean,Glynn,0,G,2,17.0,8.5,3.0,1.5,5.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,1.0,4.0,0.25,1.0,3.0,0.33,0.0,0.0,0.0
newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,Springfield,"Nanson,Azaiah",Azaiah,Nanson,0,F,2,7.0,3.5,1.0,0.5,2.0,1.0,1.0,0.5,1.0,0.5,0.0,0.0,1.0,0.5,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5
newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,Springfield,"Hartley,Josh",Josh,Hartley,0,C,23,478.0,20.782608695652176,219.0,9.52,138.0,6.0,16.0,0.7,19.0,0.83,39.0,1.7,42.0,1.826086956521739,88.0,155.0,0.57,2.0,8.0,0.25,41.0,64.0,0.64
newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,Springfield,Aziah Nanson,Aziah Nanson,,0,0,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
