season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,team_name,team_id,sdrm_id,games_played,games_started,uniform,year,stats_stats_field_goals_made,stats_stats_field_goals_attempted,stats_stats_three_points_made,stats_stats_three_points_attempted,stats_stats_free_throws_attempted,stats_stats_free_throws_made,stats_stats_points_scored,stats_stats_blocked_shots,stats_stats_steals,stats_stats_assists,stats_stats_minutes_played,stats_stats_offensive_rebounds,stats_stats_defensive_rebounds,stats_stats_total_rebounds,stats_stats_personal_fouls,stats_stats_technical_fouls,stats_stats_turnovers,stats_stats_disqualifications,stats_stats_deadballs,stats_stats_games_played,stats_stats_field_goals_pct,stats_stats_three_points_pct,stats_stats_free_throws_pct,stats_stats_points_per_game,stats_stats_rebounds_per_game,stats_stats_assists_per_game,stats_stats_steals_per_game,stats_stats_blocked_shots_per_game,code,composite_score,global_rank,rating
2025-26,wbball,American Southwest Conference (ASC),asc,Hardin-Simmons,"Buchanan,Allie",Allie,Buchanan,F,271,"Buchanan,Allie","BUCHANAN,ALLIE",Hardin-Simmons,HSU,637-3527,7,0,31,0,1,4,0,0,4,1,3,0,6,0,29,6,5,11,2,0,3,0,0,7,0.25,0.00,0.25,0.43,1.57,0.00,0.86,0.00,31,51.0,15,93
2025-26,wbball,American Southwest Conference (ASC),asc,Hardin-Simmons,"Cathey,Avery",Avery,Cathey,G,271,"Cathey,Avery","CATHEY,AVERY",Hardin-Simmons,HSU,637-3794,30,0,33,0,65,163,56,137,12,10,196,2,9,9,435,9,32,41,29,0,19,0,0,30,0.40,0.41,0.83,6.53,1.37,0.30,0.30,0.07,33,50.0,16,92
2025-26,wbball,American Southwest Conference (ASC),asc,Hardin-Simmons,"Sacco,Angie",Angie,Sacco,C,271,"Sacco,Angie","SACCO,ANGIE",Hardin-Simmons,HSU,637-3104,27,0,50,0,44,73,0,0,27,18,106,0,5,8,218,17,37,54,34,0,11,0,0,27,0.60,0.00,0.67,3.93,2.00,0.30,0.19,0.00,50,49.0,17,92
2025-26,wbball,American Southwest Conference (ASC),asc,Hardin-Simmons,"Baker,Kendall",Kendall,Baker,G,271,"Baker,Kendall","BAKER,KENDALL",Hardin-Simmons,HSU,637-3839,2,0,00,0,0,0,0,0,0,0,0,0,0,0,4,0,1,1,1,0,0,0,0,2,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00,00,48.0,18,91
2025-26,wbball,American Southwest Conference (ASC),asc,East Texas Baptist,"Keith,Marley",Marley,Keith,G,1062,"Keith,Marley","KEITH,MARLEY",East Texas Baptist,ETBU,636-4872,25,24,02,0,81,194,31,87,67,46,239,3,37,60,779,9,50,59,45,0,85,1,0,25,0.42,0.36,0.69,9.56,2.36,2.40,1.48,0.12,02,47.0,19,90
2025-26,wbball,American Southwest Conference (ASC),asc,East Texas Baptist,"Riddle,Quinn",Quinn,Riddle,G,1062,"Riddle,Quinn","RIDDLE,QUINN",East Texas Baptist,ETBU,636-4865,18,0,04,0,8,19,6,13,0,0,22,0,5,2,114,6,6,12,7,0,10,0,0,18,0.42,0.46,0.00,1.22,0.67,0.11,0.28,0.00,04,46.0,20,89
2025-26,wbball,American Southwest Conference (ASC),asc,East Texas Baptist,"Cowan,Sara",Sara,Cowan,G,1062,"Cowan,Sara","COWAN,SARA",East Texas Baptist,ETBU,636-4042,24,24,05,0,58,141,43,112,24,16,175,1,39,34,712,14,40,54,27,0,43,0,0,24,0.41,0.38,0.67,7.29,2.25,1.42,1.63,0.04,05,45.0,21,88
2025-26,wbball,American Southwest Conference (ASC),asc,East Texas Baptist,"Gibson,Conley",Conley,Gibson,G,1062,"Gibson,Conley","GIBSON,CONLEY",East Texas Baptist,ETBU,636-5149,21,0,11,0,12,39,8,30,2,2,34,1,4,18,159,4,5,9,13,0,3,0,0,21,0.31,0.27,1.00,1.62,0.43,0.86,0.19,0.05,11,44.0,22,87
2025-26,wbball,American Southwest Conference (ASC),asc,East Texas Baptist,"Jones,Macey",Macey,Jones,F,1062,"Jones,Macey","JONES,MACEY",East Texas Baptist,ETBU,636-4869,25,24,13,0,121,247,1,6,109,60,303,41,13,16,453,58,68,126,74,0,69,3,0,25,0.49,0.17,0.55,12.12,5.04,0.64,0.52,1.64,13,43.0,23,87
2025-26,wbball,American Southwest Conference (ASC),asc,East Texas Baptist,"Eilers,Reagan",Reagan,Eilers,F,1062,"Eilers,Reagan","EILERS,REAGAN",East Texas Baptist,ETBU,636-5147,20,0,14,0,16,34,0,4,11,6,38,2,4,3,113,10,17,27,18,0,9,0,0,20,0.47,0.00,0.55,1.90,1.35,0.15,0.20,0.10,14,42.0,24,86
2025-26,wbball,American Southwest Conference (ASC),asc,East Texas Baptist,"Ayala,Hannah",Hannah,Ayala,F,1062,"Ayala,Hannah","AYALA,HANNAH",East Texas Baptist,ETBU,636-4368,24,18,22,0,69,164,12,43,68,51,201,11,30,37,652,75,171,246,43,0,51,1,0,24,0.42,0.28,0.75,8.38,10.25,1.54,1.25,0.46,22,41.0,25,85
2025-26,wbball,American Southwest Conference (ASC),asc,East Texas Baptist,"Smith,Tristan",Tristan,Smith,F,1062,"Smith,Tristan","SMITH,TRISTAN",East Texas Baptist,ETBU,636-4385,25,25,23,0,47,111,10,36,72,61,165,10,34,42,675,64,89,153,53,0,48,0,0,25,0.42,0.28,0.85,6.60,6.12,1.68,1.36,0.40,23,40.0,26,84
2025-26,wbball,American Southwest Conference (ASC),asc,East Texas Baptist,"Barnett,Dana",Dana,Barnett,G,1062,"Barnett,Dana","BARNETT,DANA",East Texas Baptist,ETBU,636-5164,17,0,30,0,5,11,4,9,4,3,17,0,2,8,90,0,7,7,17,0,12,1,0,17,0.45,0.44,0.75,1.00,0.41,0.47,0.12,0.00,30,39.0,27,83
2025-26,wbball,American Southwest Conference (ASC),asc,East Texas Baptist,"Beamesderfer,Anna",Anna,Beamesderfer,G,1062,"Beamesderfer,Anna","BEAMESDERFER,ANNA",East Texas Baptist,ETBU,636-4870,25,1,32,0,69,168,10,45,89,66,214,4,26,35,529,38,55,93,59,0,67,2,0,25,0.41,0.22,0.74,8.56,3.72,1.40,1.04,0.16,32,38.0,28,82
2025-26,wbball,American Southwest Conference (ASC),asc,East Texas Baptist,"Bickford,Tiffany",Tiffany,Bickford,G,1062,"Bickford,Tiffany","BICKFORD,TIFFANY",East Texas Baptist,ETBU,636-4014,25,9,33,0,80,237,25,107,59,52,237,4,38,42,744,22,82,104,31,0,46,0,0,25,0.34,0.23,0.88,9.48,4.16,1.68,1.52,0.16,33,37.0,29,81
2025-26,wbball,American Southwest Conference (ASC),asc,East Texas Baptist,"McClendon,Sarai",Sarai,McClendon,G,1062,"McClendon,Sarai","MCCLENDON,SARAI",East Texas Baptist,ETBU,0,1,0,01,0,0,1,0,0,2,1,1,0,0,1,2,0,3,3,0,0,0,0,0,1,0.00,0.00,0.50,1.00,3.00,1.00,0.00,0.00,01,36.0,30,81
2025-26,wbball,American Southwest Conference (ASC),asc,East Texas Baptist,"Reed,Ansley",Ansley,Reed,G,1062,"Reed,Ansley","REED,ANSLEY",East Texas Baptist,ETBU,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10,35.0,31,80
2025-26,wbball,American Southwest Conference (ASC),asc,East Texas Baptist,"Strong,Kat",Kat,Strong,G,1062,"Strong,Kat","STRONG,KAT",East Texas Baptist,ETBU,0,2,0,12,0,1,2,0,1,0,0,2,0,0,0,3,1,0,1,1,0,1,0,0,2,0.50,0.00,0.00,1.00,0.50,0.00,0.00,0.00,12,34.0,32,79
2025-26,wbball,American Southwest Conference (ASC),asc,East Texas Baptist,"Pletcher,Noelle",Noelle,Pletcher,G,1062,"Pletcher,Noelle","PLETCHER,NOELLE",East Texas Baptist,ETBU,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21,33.0,33,78
2025-26,wbball,American Southwest Conference (ASC),asc,Howard Payne,"Panuco,Caitlyn",Caitlyn,Panuco,G,2741,"Panuco,Caitlyn","PANUCO,CAITLYN",Howard Payne,HPU,0,27,27,00,0,111,238,19,57,202,148,389,2,39,104,882,30,94,124,57,0,89,0,0,27,0.47,0.33,0.73,14.41,4.59,3.85,1.44,0.07,00,32.0,34,77
2025-26,wbball,American Southwest Conference (ASC),asc,Howard Payne,"Thomas,Raven",Raven,Thomas,G,2741,"Thomas,Raven","THOMAS,RAVEN",Howard Payne,HPU,0,2,0,02,0,0,2,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,02,31.0,35,76
2025-26,wbball,American Southwest Conference (ASC),asc,Howard Payne,"Santos,Azaylee",Azaylee,Santos,G,2741,"Santos,Azaylee","SANTOS,AZAYLEE",Howard Payne,HPU,0,25,24,03,0,38,130,18,69,49,33,127,3,39,48,742,16,41,57,36,1,52,1,0,25,0.29,0.26,0.67,5.08,2.28,1.92,1.56,0.12,03,30.0,36,75
2025-26,wbball,American Southwest Conference (ASC),asc,Howard Payne,"Clay,Madison",Madison,Clay,G,2741,"Clay,Madison","CLAY,MADISON",Howard Payne,HPU,0,4,4,04,0,10,38,3,16,6,4,27,2,3,1,109,2,13,15,8,0,9,0,0,4,0.26,0.19,0.67,6.75,3.75,0.25,0.75,0.50,04,29.0,37,75
2025-26,wbball,American Southwest Conference (ASC),asc,Howard Payne,"Parsons,Caitlyn",Caitlyn,Parsons,F,2741,"Parsons,Caitlyn","PARSONS,CAITLYN",Howard Payne,HPU,0,27,26,10,0,120,266,2,11,115,60,302,31,37,26,792,86,177,263,72,0,49,1,0,27,0.45,0.18,0.52,11.19,9.74,0.96,1.37,1.15,10,28.0,38,74
2025-26,wbball,American Southwest Conference (ASC),asc,Howard Payne,"McAfee,Taylor",Taylor,McAfee,G,2741,"McAfee,Taylor","MCAFEE,TAYLOR",Howard Payne,HPU,0,27,22,11,0,61,190,14,71,51,38,174,4,34,39,692,20,76,96,42,0,97,0,0,27,0.32,0.20,0.75,6.44,3.56,1.44,1.26,0.15,11,27.0,39,73
2025-26,wbball,American Southwest Conference (ASC),asc,Howard Payne,"Ambriz,Amaris",Amaris,Ambriz,G,2741,"Ambriz,Amaris","AMBRIZ,AMARIS",Howard Payne,HPU,0,23,1,13,0,48,136,33,94,28,16,145,0,15,16,441,11,29,40,39,0,49,0,0,23,0.35,0.35,0.57,6.30,1.74,0.70,0.65,0.00,13,26.0,40,72
