season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,team_name,team_id,sdrm_id,games_played,games_started,uniform,code,year,offensive_position,defensive_position,active,rush_stats,pass_stats,receiving_stats_number,receiving_stats_yards,receiving_stats_touchdowns,receiving_stats_longest_reception,receiving_stats_avg_per_reception,punt_stats,kickoff_stats,fieldgoal_stats,pat_stats,defense_stats,kickreturn_stats,puntreturn_stats,interception_return_stats,fumblereturn_stats,fumble_stats,scoring_stats_pat_kicks,scoring_stats_touchdowns,scoring_stats_fieldgoals,scoring_stats_safeties,scoring_stats_pat_rushes,scoring_stats_pat_receptions,scoring_stats_pat_kick_returns,scoring_stats_pat_fumble_returns,scoring_stats_rouges,scoring_stats_points,scoring_stats_all_points,scoring_stats_points_per_game,receiving_stats,defense_stats_interception_return_yards,defense_stats_unassisted_tackles,defense_stats_assisted_tackles,defense_stats_tackles,defense_stats_total_tackles,defense_stats_tackles_for_loss,defense_stats_tackles_for_loss_per_game,defense_stats_tackles_per_game,defense_stats_unassisted_tackles_for_loss,defense_stats_assisted_tackles_for_loss,defense_stats_tackle_yards_for_loss,defense_stats_sacks,defense_stats_unassisted_sacks,defense_stats_assisted_sacks,defense_stats_sack_yards_for_loss,defense_stats_pass_breakups,defense_stats_fumbles_forced,defense_stats_quarterback_hurries,defense_stats_safeties_scored,defense_stats_blocked_kicks,defense_stats_fumbles_recovered,defense_stats_fumble_return_yards,defense_stats_interceptions,defense_stats_passes_defended,scoring_stats,rush_stats_attempts,rush_stats_net_yards,rush_stats_yards_gained,rush_stats_yards_lost,rush_stats_touchdowns,rush_stats_longest_rush,rush_stats_avg_per_play,rush_stats_avg_per_game,pass_stats_yards_lost_by_sacks,pass_stats_sacked,pass_stats_longest_pass,pass_stats_touchdowns,pass_stats_yards,pass_stats_interceptions,pass_stats_attempts,pass_stats_completions,pass_stats_efficiency,pass_stats_avg_per_pass,pass_stats_avg_per_catch,pass_stats_avg_per_game,puntreturn_stats_number,puntreturn_stats_yards,puntreturn_stats_touchdowns,puntreturn_stats_longest_punt_return,puntreturn_stats_avg_per_return,fumble_stats_number,fumble_stats_number_lost,kickreturn_stats_number,kickreturn_stats_yards,kickreturn_stats_touchdowns,kickreturn_stats_longest_kickoff_return,kickreturn_stats_avg_per_return,kickoff_stats_number,kickoff_stats_yards,kickoff_stats_out_of_bounds,kickoff_stats_touchbacks,kickoff_stats_avg_per_kickoff,fieldgoal_stats_made,fieldgoal_stats_attempts,fieldgoal_stats_longest_fieldgoal,fieldgoal_stats_blocked,fieldgoal_stats_percentage,pat_stats_kick_attempts,pat_stats_kicks_made,pat_stats_rush_attempts,pat_stats_rushes_made,pat_stats_pass_attempts,pat_stats_passes_made,pat_stats_reception_attempts,pat_stats_receptions_made,pat_stats_defensive_return_attempts,pat_stats_defensive_returns_made,pat_stats_defensive_blocked_kick_return_attempts,pat_stats_devensive_blocked_kick_returns_made,punt_stats_number,punt_stats_yards,punt_stats_longest_punt,punt_stats_blocked,punt_stats_touchbacks,punt_stats_fair_catches,punt_stats_fifty_plus_yards,punt_stats_inside_twenty,punt_stats_avg_per_punt,fumblereturn_stats_number,fumblereturn_stats_yards,fumblereturn_stats_touchdowns,fumblereturn_stats_longest_interception_return,interception_return_stats_number,interception_return_stats_yards,interception_return_stats_touchdowns,interception_return_stats_longest,interception_return_stats_avg_per_return,composite_score,global_rank,rating
2026-27,football,Southern Athletic Association (SAA),saa,Centre,"Sapone,Brooks",Brooks,Sapone,,132,"Sapone,Brooks","SAPONE,BROOKS",Centre,CEN,1268-2877,1,1,13,1C,0,0,DB,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,2,2,.0,.0,.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,.0,5.591393372328256,11,96
2026-27,football,Southern Athletic Association (SAA),saa,Millsaps,"Johnson,Myles",Myles,Johnson,,426,"Johnson,Myles","JOHNSON,MYLES",Millsaps,MC,1282-2675,1,1,5,5D,0,0,DL,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,6,6,1.0,.0,.0,1,0,6,1,1,0,6,0,1,2,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.439930295928251,12,96
2026-27,football,Southern Athletic Association (SAA),saa,Millsaps,"Veal Jr.,Kyle",Kyle,Veal Jr.,,426,"Veal Jr.,Kyle","VEAL JR.,KYLE",Millsaps,MC,1282-2714,1,0,10,1A,0,0,LB,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,1,3,3,.0,.0,.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,.0,5.0494516152848785,13,95
2026-27,football,Southern Athletic Association (SAA),saa,Sewanee,"Copeland,Isaiah",Isaiah,Copeland,,652,"Copeland,Isaiah","COPELAND,ISAIAH",Sewanee,SEW,1321-3172,1,1,2,1B,0,0,LB,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,9,6,15,15,2.0,.0,.0,2,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.981549011143456,14,95
2026-27,football,Southern Athletic Association (SAA),saa,Berry,Gabe Bauman,Gabe,Bauman,,973,Gabe Bauman,"BAUMAN,GABE",Berry,BERRY,838-3582,1,0,T1,T1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,5,10,10,3.0,.0,.0,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.779380970616926,15,95
2026-27,football,Southern Athletic Association (SAA),saa,Sewanee,"Holman,Na'Zaiyah",Na'Zaiyah,Holman,,652,"Holman,Na'Zaiyah","HOLMAN,NA'ZAIYAH",Sewanee,SEW,1321-3750,1,1,20,20,0,WR,0,0,,,3,97,2,41,32.3,,,,,,,,,,,0,2,0,0,0,0,0,0,0,12,12,12,,0,0,0,0,0,.0,.0,.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.638223757031221,16,95
2026-27,football,Southern Athletic Association (SAA),saa,Centre,"Brown-Hamlin,Nehemiah",Nehemiah,Brown-Hamlin,,132,"Brown-Hamlin,Nehemiah","BROWN-HAMLIN,NEHEMIAH",Centre,CEN,1268-3154,1,1,18,1H,0,0,DB,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,1,1,.0,.0,.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,.0,4.494741111332691,17,94
2026-27,football,Southern Athletic Association (SAA),saa,Millsaps,"Airhart,Jacques",Jacques,Airhart,,426,"Airhart,Jacques","AIRHART,JACQUES",Millsaps,MC,1282-3176,1,0,0,0D,0,0,DL,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,1,1.0,.0,.0,1,0,15,1,1,0,15,0,0,2,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.053154036047781,18,94
2026-27,football,Southern Athletic Association (SAA),saa,Sewanee,"Sanderson,Brody",Brody,Sanderson,,652,"Sanderson,Brody","SANDERSON,BRODY",Sewanee,SEW,1321-3178,1,1,32,32,0,0,LB,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,3,9,9,1.0,.0,.0,1,0,5,0,0,0,0,2,0,0,0,0,1,4,0,2,,,,,,,,,,,,,,,,,,,,,,0,4,0,4,.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,0,4,,,,,,3.9566996027587904,19,94
2026-27,football,Southern Athletic Association (SAA),saa,Maryville College,"Dabrowski,Jaxon",Jaxon,Dabrowski,,396,"Dabrowski,Jaxon","DABROWSKI,JAXON",Maryville College,MAR,1027-2645,1,0,11,11,0,QB,0,0,,,,,,,,,,,,,,,,,,0,2,0,0,0,0,0,0,0,12,12,12,,0,0,0,0,0,.0,.0,.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,82,106,24,2,20,5.1,82.0,24,4,29,0,146,0,29,19,107.8,5.03,7.68,146.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7638096548797413,20,94
