season,sport,gender,conference,conference_code,team,school_name,player_name,position,class_year,clippd_player_id,clippd_rank,player_ranking_status,scoring_stats_scoring_average,scoring_stats_vs_par,scoring_stats_rounds,scoring_stats_adjusted_score,scoring_stats_stroke_play_events,top10_finishes,events_won,average_points,strength_of_schedule,region,data_source
2025-26,wgolf,Women,Middle Atlantic Conferences,mac,Stevenson,Stevenson University,Emma Groth,,,21792,100000,ACTIVE,117.56,45.56,9,116.008153431372,7,0,0,0.00232090350475477,-30.3387619629857,East - (W) DIII,clippd_scoreboard
2025-26,wgolf,Women,Middle Atlantic Conferences,mac,Albright,Albright College,Braidan Wastler,,,24155,100000,ACTIVE,98.1,26.1,10,99.3704438272056,9,1,0,0.0869587066927178,-37.8419705923875,East - (W) DIII,clippd_scoreboard
2025-26,wgolf,Women,Middle Atlantic Conferences,mac,York (PA),York College of Pennsylvania,Rachel Koengetter,,Fourth Year,24295,100000,ACTIVE,92.96,20.96,8,93.6050202849607,5,0,0,0.280524892392008,-29.1840609246601,East - (W) DIII,clippd_scoreboard
2025-26,wgolf,Women,Middle Atlantic Conferences,mac,FDU-Florham,"Fairleigh Dickinson, Florham",Emma Letizia,,,28441,100000,ACTIVE,113.0,41.0,5,116.11952921363,5,0,0,0.00121857391723956,-39.7369506772333,East - (W) DIII,clippd_scoreboard
2025-26,wgolf,Women,Middle Atlantic Conferences,mac,FDU-Florham,"Fairleigh Dickinson, Florham",Juliana Polanco,,,28483,100000,ACTIVE,111.62,39.62,8,113.215979021429,7,0,0,0.00299006703461527,-39.1598676243801,East - (W) DIII,clippd_scoreboard
2025-26,wgolf,Women,Middle Atlantic Conferences,mac,Eastern (PA),Eastern University,Jessie Schreiber,,,30189,100000,ACTIVE,105.33,33.33,6,109.588345342844,5,0,0,0.0139149723751517,-41.2772156180356,East - (W) DIII,clippd_scoreboard
2025-26,wgolf,Women,Middle Atlantic Conferences,mac,Eastern (PA),Eastern University,Kylie Smith,,,30412,100000,ACTIVE,123.17,51.17,6,127.421678676177,5,0,0,0.000102018120242357,-41.2772156180356,East - (W) DIII,clippd_scoreboard
2025-26,wgolf,Women,Middle Atlantic Conferences,mac,King's (PA),King's College (PA),Allison Chocallo,,,31702,100000,ACTIVE,131.75,59.75,4,135.155568156451,3,0,0,3.51547024114469e-05,-44.9892435792812,East - (W) DIII,clippd_scoreboard
2025-26,wgolf,Women,Middle Atlantic Conferences,mac,Stevenson,Stevenson University,Gabriela Simpson,,Fourth Year,32909,100000,ACTIVE,92.12,20.12,8,93.4733833304674,6,1,0,0.718223153971244,-30.6538839269985,East - (W) DIII,clippd_scoreboard
2025-26,wgolf,Women,Middle Atlantic Conferences,mac,Stevenson,Stevenson University,Olivia McClymonds,,,32910,100000,ACTIVE,156.5,84.5,2,154.042255056927,2,0,0,8.27393583158997e-08,-34.3033761104776,East - (W) DIII,clippd_scoreboard
