season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,linkup_name,games_played,games_started,uniform,year,team_name,team_id,sdrm_id,goal_stats_shootout_goals,goal_stats_free_positiong_goals,goal_stats_game_tying_goals,goal_stats_empty_net_goals,goal_stats_overtime_goals,goal_stats_first_goals,goal_stats_unassisted_goals,goal_stats_short_handed_goals,goal_stats_power_play_goals,goal_stats_game_winning_goals,penalty_stats_number,penalty_stats_minutes,penalty_stats_fouls,penalty_stats_green_cards,penalty_stats_yellow_cards,penalty_stats_red_cards,penalty_stats_match,penalty_stats_major,penalty_stats_minor,misc_stats_powerplay_opps,misc_stats_powerplay_goals,misc_stats_faceoffs_won,misc_stats_faceoffs_lost,misc_stats_ground_balls,misc_stats_draw_controls,misc_stats_turnovers,misc_stats_caused_turnovers,misc_stats_minutes_played,misc_stats_seconds,misc_stats_faceoffs_taken,misc_stats_penalty_killing_pct,goalie_stats_games_played,goalie_stats_minutes,goalie_stats_goals_allowed,goalie_stats_saves,goalie_stats_shutouts,goalie_stats_win,goalie_stats_loss,goalie_stats_tie,goalie_stats_powerplay_goals_allowed,goalie_stats_shorthanded_goals_allowed,goalie_stats_emptynet_goals_allowed,goalie_stats_shots_faced,goalie_stats_goals_against_avg,goalie_stats_save_pct,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_free_position_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_shots_on_goal_pct,avg_points_game,goalie_stats,goal_stats,penalty_stats,misc_stats,shot_stats
2026-27,wlax,Southern California Intercollegiate Athletic Conference (SCIAC),sciac,California Lutheran,Bella Bravo,Bella,Bravo,,105,Bella Bravo,"BRAVO,BELLA",BRAVOBELLACLU,15,15,,,California Lutheran,CLU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,15,3,900:00,0,0,1.000,15,900:00,265,151,0,0,7,0,0,0,0,485,17.67,.363,0,0,0,0,0,0,.000,0.00,,,,,
2026-27,wlax,Southern California Intercollegiate Athletic Conference (SCIAC),sciac,California Lutheran,Marina Markrud,Marina,Markrud,,105,Marina Markrud,"MARKRUD,MARINA",MARKRUDMARINACLU,15,15,,,California Lutheran,CLU,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15,3,17,2,900:00,0,0,1.000,,,,,,,,,,,,,,,8,9,0,5,1,4,.889,0.33,,,,,
2026-27,wlax,Southern California Intercollegiate Athletic Conference (SCIAC),sciac,California Lutheran,Sydnee Hill,Sydnee,Hill,,105,Sydnee Hill,"HILL,SYDNEE",HILLSYDNEECLU,15,15,,,California Lutheran,CLU,0,0,3,0,0,0,0,8,0,3,1,0,0,0,6,1,0,0,0,0,0,0,0,0,25,14,34,7,900:00,0,0,1.000,,,,,,,,,,,,,,,30,34,6,20,4,16,.882,1.33,,,,,
2026-27,wlax,Southern California Intercollegiate Athletic Conference (SCIAC),sciac,California Lutheran,Sydney Shin,Sydney,Shin,,105,Sydney Shin,"SHIN,SYDNEY",SHINSYDNEYCLU,15,15,,,California Lutheran,CLU,0,0,5,0,0,0,0,12,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,28,40,50,4,896:00,39,0,1.000,,,,,,,,,,,,,,,37,55,15,38,22,16,.673,2.53,,,,,
2026-27,wlax,Southern California Intercollegiate Athletic Conference (SCIAC),sciac,California Lutheran,Josie Oparanaku,Josie,Oparanaku,,105,Josie Oparanaku,"OPARANAKU,JOSIE",OPARANAKUJOSIECLU,15,15,,,California Lutheran,CLU,0,0,13,0,0,0,1,35,1,3,1,0,0,0,11,11,0,0,0,0,0,0,0,0,43,46,35,27,899:00,10,0,1.000,,,,,,,,,,,,,,,74,84,24,48,10,38,.881,3.20,,,,,
2026-27,wlax,Southern California Intercollegiate Athletic Conference (SCIAC),sciac,California Lutheran,Marley Hunter,Marley,Hunter,,105,Marley Hunter,"HUNTER,MARLEY",HUNTERMARLEYCLU,13,8,,,California Lutheran,CLU,0,0,1,0,0,0,0,2,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,13,2,10,4,508:00,10,0,1.000,,,,,,,,,,,,,,,7,10,3,8,4,4,.700,0.62,,,,,
2026-27,wlax,Southern California Intercollegiate Athletic Conference (SCIAC),sciac,California Lutheran,Nicki-Jean Henderson,Nicki-Jean,Henderson,,105,Nicki-Jean Henderson,"HENDERSON,NICKI-JEAN",HENDERSONNICKI-JEANCLU,15,15,,,California Lutheran,CLU,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,18,6,14,8,900:00,0,0,1.000,,,,,,,,,,,,,,,2,3,0,3,1,2,.667,0.20,,,,,
2026-27,wlax,Southern California Intercollegiate Athletic Conference (SCIAC),sciac,California Lutheran,Miller Holland,Miller,Holland,,105,Miller Holland,"HOLLAND,MILLER",HOLLANDMILLERCLU,13,12,,,California Lutheran,CLU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,5,720:00,0,0,1.000,,,,,,,,,,,,,,,0,0,0,0,0,0,.000,0.00,,,,,
2026-27,wlax,Southern California Intercollegiate Athletic Conference (SCIAC),sciac,California Lutheran,Sarah Castro,Sarah,Castro,,105,Sarah Castro,"CASTRO,SARAH",CASTROSARAHCLU,1,0,,,California Lutheran,CLU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:00,0,0,1.000,,,,,,,,,,,,,,,0,0,0,0,0,0,.000,0.00,,,,,
2026-27,wlax,Southern California Intercollegiate Athletic Conference (SCIAC),sciac,California Lutheran,Gracie Wolsfeld,Gracie,Wolsfeld,,105,Gracie Wolsfeld,"WOLSFELD,GRACIE",WOLSFELDGRACIECLU,1,0,,,California Lutheran,CLU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,00:00,0,0,1.000,,,,,,,,,,,,,,,0,0,0,0,0,0,.000,0.00,,,,,
