season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,linkup_name,games_played,games_started,uniform,year,team_name,team_id,sdrm_id,goal_stats,penalty_stats,misc_stats,goalie_stats,shot_stats,avg_points_game,goal_stats_shootout_goals,goal_stats_free_positiong_goals,goal_stats_game_tying_goals,goal_stats_empty_net_goals,goal_stats_overtime_goals,goal_stats_first_goals,goal_stats_unassisted_goals,goal_stats_short_handed_goals,goal_stats_power_play_goals,goal_stats_game_winning_goals,penalty_stats_number,penalty_stats_minutes,penalty_stats_fouls,penalty_stats_green_cards,penalty_stats_yellow_cards,penalty_stats_red_cards,penalty_stats_match,penalty_stats_major,penalty_stats_minor,misc_stats_powerplay_opps,misc_stats_powerplay_goals,misc_stats_faceoffs_won,misc_stats_faceoffs_lost,misc_stats_ground_balls,misc_stats_draw_controls,misc_stats_turnovers,misc_stats_caused_turnovers,misc_stats_minutes_played,misc_stats_seconds,misc_stats_faceoffs_taken,misc_stats_penalty_killing_pct,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_free_position_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_shots_on_goal_pct,goalie_stats_games_played,goalie_stats_minutes,goalie_stats_goals_allowed,goalie_stats_saves,goalie_stats_shutouts,goalie_stats_win,goalie_stats_loss,goalie_stats_tie,goalie_stats_powerplay_goals_allowed,goalie_stats_shorthanded_goals_allowed,goalie_stats_emptynet_goals_allowed,goalie_stats_shots_faced,goalie_stats_goals_against_avg,goalie_stats_save_pct
2025-26,mlax,Middle Atlantic Conferences (MAC),mac,Albright,Nikolas Falco,Nikolas,Falco,,16,Nikolas Falco,"FALCO,NIKOLAS",FALCONIKOLASALBMLA~5,0,0,,,Albright,ALBMLA~5,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-26,mlax,Middle Atlantic Conferences (MAC),mac,Albright,Luke Williams,Luke,Williams,,16,Luke Williams,"WILLIAMS,LUKE",WILLIAMSLUKEALBMLA~5,17,9,,,Albright,ALBMLA~5,0,,,,,,0.59,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,54,0,28,8,513:00,78,0,1.000,8,18,0,10,8,2,.444,,,,,,,,,,,,,,
2025-26,mlax,Middle Atlantic Conferences (MAC),mac,Albright,Liam Ferry,Liam,Ferry,,16,Liam Ferry,"FERRY,LIAM",FERRYLIAMALBMLA~5,17,17,,,Albright,ALBMLA~5,0,,,,,,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,24,0,23,11,972:00,131,0,1.000,1,2,0,1,1,0,.500,,,,,,,,,,,,,,
2025-26,mlax,Middle Atlantic Conferences (MAC),mac,Albright,Colton Lehrer,Colton,Lehrer,,16,Colton Lehrer,"LEHRER,COLTON",LEHRERCOLTONALBMLA~5,17,1,,,Albright,ALBMLA~5,0,,,,,,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,8,0,13,1,60:00,0,1,1.000,5,10,0,3,1,2,.500,,,,,,,,,,,,,,
2025-26,mlax,Middle Atlantic Conferences (MAC),mac,Albright,James Elko,James,Elko,,16,James Elko,"ELKO,JAMES",ELKOJAMESALBMLA~5,17,17,,,Albright,ALBMLA~5,0,,,,,,2.94,0,0,0,0,0,1,11,0,3,0,0,0,0,0,0,0,0,3,2,0,0,0,0,17,0,50,13,972:00,131,0,1.000,79,120,0,50,18,32,.658,,,,,,,,,,,,,,
2025-26,mlax,Middle Atlantic Conferences (MAC),mac,Albright,Brandon Jones,Brandon,Jones,,16,Brandon Jones,"JONES,BRANDON",JONESBRANDONALBMLA~5,17,1,,,Albright,ALBMLA~5,0,,,,,,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,17,0,6,15,60:00,0,0,1.000,0,0,0,0,0,0,.000,,,,,,,,,,,,,,
2025-26,mlax,Middle Atlantic Conferences (MAC),mac,Albright,Peter Alessi,Peter,Alessi,,16,Peter Alessi,"ALESSI,PETER",ALESSIPETERALBMLA~5,5,0,,,Albright,ALBMLA~5,0,,,,,,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,00:00,0,0,1.000,0,1,0,0,0,0,.000,,,,,,,,,,,,,,
2025-26,mlax,Middle Atlantic Conferences (MAC),mac,Albright,Justin Moroney,Justin,Moroney,,16,Justin Moroney,"MORONEY,JUSTIN",MORONEYJUSTINALBMLA~5,17,17,,,Albright,ALBMLA~5,0,,,,,,2.47,0,0,0,0,0,1,7,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,30,0,25,8,972:00,131,0,1.000,58,91,0,42,10,32,.637,,,,,,,,,,,,,,
2025-26,mlax,Middle Atlantic Conferences (MAC),mac,Albright,Kraig Sullivan,Kraig,Sullivan,,16,Kraig Sullivan,"SULLIVAN,KRAIG",SULLIVANKRAIGALBMLA~5,16,0,,,Albright,ALBMLA~5,0,,,,,,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,4,00:00,0,0,1.000,0,0,0,1,1,0,.000,,,,,,,,,,,,,,
2025-26,mlax,Middle Atlantic Conferences (MAC),mac,Albright,Nick Genovesi,Nick,Genovesi,,16,Nick Genovesi,"GENOVESI,NICK",GENOVESINICKALBMLA~5,1,0,,,Albright,ALBMLA~5,0,,,,,,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.000,0,0,0,0,0,0,.000,1,15:00,4,4,0,0,0,0,0,0,0,17,16.00,.500
2025-26,mlax,Middle Atlantic Conferences (MAC),mac,Albright,Jack Burke,Jack,Burke,,16,Jack Burke,"BURKE,JACK",BURKEJACKALBMLA~5,17,17,,,Albright,ALBMLA~5,0,,,,,,2.76,0,0,0,0,0,1,13,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,50,0,35,5,972:00,131,0,1.000,72,103,0,47,19,28,.699,,,,,,,,,,,,,,
2025-26,mlax,Middle Atlantic Conferences (MAC),mac,Albright,Matthew Ho,Matthew,Ho,,16,Matthew Ho,"HO,MATTHEW",HOMATTHEWALBMLA~5,1,0,,,Albright,ALBMLA~5,0,,,,,,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:00,0,0,1.000,0,0,0,0,0,0,.000,,,,,,,,,,,,,,
2025-26,mlax,Middle Atlantic Conferences (MAC),mac,Albright,Ryan Conover,Ryan,Conover,,16,Ryan Conover,"CONOVER,RYAN",CONOVERRYANALBMLA~5,17,16,,,Albright,ALBMLA~5,0,,,,,,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,26,0,14,9,912:00,131,1,1.000,0,1,0,0,0,0,.000,,,,,,,,,,,,,,
2025-26,mlax,Middle Atlantic Conferences (MAC),mac,Albright,Ryan Houghtaling,Ryan,Houghtaling,,16,Ryan Houghtaling,"HOUGHTALING,RYAN",HOUGHTALINGRYANALBMLA~5,17,17,,,Albright,ALBMLA~5,0,,,,,,2.06,0,0,0,0,0,1,13,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10,0,23,0,972:00,131,0,1.000,53,84,0,35,11,24,.631,,,,,,,,,,,,,,
2025-26,mlax,Middle Atlantic Conferences (MAC),mac,Albright,Nick Antonio,Nick,Antonio,,16,Nick Antonio,"ANTONIO,NICK",ANTONIONICKALBMLA~5,17,16,,,Albright,ALBMLA~5,0,,,,,,2.24,0,0,0,0,0,3,18,0,2,1,0,0,0,0,0,0,0,2,3,0,0,0,0,30,0,36,8,912:00,131,0,1.000,71,122,0,38,11,27,.582,,,,,,,,,,,,,,
2025-26,mlax,Middle Atlantic Conferences (MAC),mac,Albright,Liam Orr,Liam,Orr,,16,Liam Orr,"ORR,LIAM",ORRLIAMALBMLA~5,17,0,,,Albright,ALBMLA~5,0,,,,,,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,16,0,4,7,00:00,0,0,1.000,1,2,0,0,0,0,.500,,,,,,,,,,,,,,
2025-26,mlax,Middle Atlantic Conferences (MAC),mac,Albright,Hunter Fitterling,Hunter,Fitterling,,16,Hunter Fitterling,"FITTERLING,HUNTER",FITTERLINGHUNTERALBMLA~5,17,17,,,Albright,ALBMLA~5,0,,,,,,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,7,15,67,0,24,46,972:00,131,22,1.000,1,3,0,0,0,0,.333,,,,,,,,,,,,,,
2025-26,mlax,Middle Atlantic Conferences (MAC),mac,Albright,Joost Van der Horst,Joost Van der,Horst,,16,Joost Van der Horst,"HORST,JOOST VAN DER",HORSTJOOSTVANDERALBMLA~5,11,7,,,Albright,ALBMLA~5,0,,,,,,2.64,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11,0,13,2,399:00,53,0,1.000,39,66,0,29,11,18,.591,,,,,,,,,,,,,,
2025-26,mlax,Middle Atlantic Conferences (MAC),mac,Albright,Joaquin Johnson,Joaquin,Johnson,,16,Joaquin Johnson,"JOHNSON,JOAQUIN",JOHNSONJOAQUINALBMLA~5,1,0,,,Albright,ALBMLA~5,0,,,,,,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:00,0,0,1.000,0,0,0,0,0,0,.000,,,,,,,,,,,,,,
2025-26,mlax,Middle Atlantic Conferences (MAC),mac,Albright,Justinus Park,Justinus,Park,,16,Justinus Park,"PARK,JUSTINUS",PARKJUSTINUSALBMLA~5,17,0,,,Albright,ALBMLA~5,0,,,,,,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,240,230,96,0,25,1,00:00,0,470,1.000,0,1,0,0,0,0,.000,,,,,,,,,,,,,,
2025-26,mlax,Middle Atlantic Conferences (MAC),mac,Albright,Abe Babatunde,Abe,Babatunde,,16,Abe Babatunde,"BABATUNDE,ABE",BABATUNDEABEALBMLA~5,8,0,,,Albright,ALBMLA~5,0,,,,,,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,00:00,0,0,1.000,0,0,0,0,0,0,.000,,,,,,,,,,,,,,
2025-26,mlax,Middle Atlantic Conferences (MAC),mac,Albright,Sean McNicholas,Sean,McNicholas,,16,Sean McNicholas,"MCNICHOLAS,SEAN",MCNICHOLASSEANALBMLA~5,17,17,,,Albright,ALBMLA~5,0,,,,,,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,19,4,972:00,131,0,1.000,0,3,0,1,1,0,.000,17,959:11,269,222,0,2,16,0,2,0,0,798,16.83,.452
2025-26,mlax,Middle Atlantic Conferences (MAC),mac,Albright,Jessyn Robinson,Jessyn,Robinson,,16,Jessyn Robinson,"ROBINSON,JESSYN",ROBINSONJESSYNALBMLA~5,0,0,,,Albright,ALBMLA~5,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-26,mlax,Middle Atlantic Conferences (MAC),mac,Albright,Owen Kahl,Owen,Kahl,,16,Owen Kahl,"KAHL,OWEN",KAHLOWENALBMLA~5,3,0,,,Albright,ALBMLA~5,0,,,,,,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:00,0,0,1.000,0,0,0,0,0,0,.000,,,,,,,,,,,,,,
2025-26,mlax,Middle Atlantic Conferences (MAC),mac,Albright,Easton Sherwood,Easton,Sherwood,,16,Easton Sherwood,"SHERWOOD,EASTON",SHERWOODEASTONALBMLA~5,0,0,,,Albright,ALBMLA~5,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:00,0,0,1.000,0,0,0,0,0,0,.000,,,,,,,,,,,,,,
2025-26,mlax,Middle Atlantic Conferences (MAC),mac,Alvernia,Charles Oberman,Charles,Oberman,,938,Charles Oberman,"OBERMAN,CHARLES",OBERMANCHARLESALVERNIA,16,13,,,Alvernia,ALVERNIA,0,,,,,,2.13,0,0,0,0,0,2,7,0,4,0,0,0,0,0,0,0,0,1,1,0,0,0,8,25,0,39,0,780:00,0,8,1.000,48,67,0,34,11,23,.716,,,,,,,,,,,,,,
2025-26,mlax,Middle Atlantic Conferences (MAC),mac,Alvernia,Jack Keenan,Jack,Keenan,,938,Jack Keenan,"KEENAN,JACK",KEENANJACKALVERNIA,11,11,,,Alvernia,ALVERNIA,0,,,,,,3.27,0,0,0,0,0,0,7,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,20,0,32,6,660:00,0,0,1.000,20,37,0,36,25,11,.541,,,,,,,,,,,,,,
2025-26,mlax,Middle Atlantic Conferences (MAC),mac,Alvernia,James Sparacio,James,Sparacio,,938,James Sparacio,"SPARACIO,JAMES",SPARACIOJAMESALVERNIA,14,13,,,Alvernia,ALVERNIA,0,,,,,,2.71,0,0,0,0,0,0,10,0,2,3,0,0,0,0,0,0,0,2,0,0,0,0,0,36,0,30,11,780:00,0,0,1.000,64,93,0,38,4,34,.688,,,,,,,,,,,,,,
2025-26,mlax,Middle Atlantic Conferences (MAC),mac,Alvernia,Colin McFadyen,Colin,McFadyen,,938,Colin McFadyen,"MCFADYEN,COLIN",MCFADYENCOLINALVERNIA,16,8,,,Alvernia,ALVERNIA,0,,,,,,1.25,0,0,0,0,0,1,2,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,21,0,24,1,480:00,0,0,1.000,28,46,0,20,4,16,.609,,,,,,,,,,,,,,
2025-26,mlax,Middle Atlantic Conferences (MAC),mac,Alvernia,Ethan McManus,Ethan,McManus,,938,Ethan McManus,"MCMANUS,ETHAN",MCMANUSETHANALVERNIA,16,0,,,Alvernia,ALVERNIA,0,,,,,,1.38,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,6,3,0,0,1,2,37,0,16,5,00:00,0,3,1.000,40,76,0,22,8,14,.526,,,,,,,,,,,,,,
2025-26,mlax,Middle Atlantic Conferences (MAC),mac,Alvernia,Jacob Yarnall,Jacob,Yarnall,,938,Jacob Yarnall,"YARNALL,JACOB",YARNALLJACOBALVERNIA,9,0,,,Alvernia,ALVERNIA,0,,,,,,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,00:00,0,0,1.000,0,0,0,0,0,0,.000,,,,,,,,,,,,,,
2025-26,mlax,Middle Atlantic Conferences (MAC),mac,Alvernia,Kyle Patton,Kyle,Patton,,938,Kyle Patton,"PATTON,KYLE",PATTONKYLEALVERNIA,0,0,,,Alvernia,ALVERNIA,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-26,mlax,Middle Atlantic Conferences (MAC),mac,Alvernia,Ryan Gilman,Ryan,Gilman,,938,Ryan Gilman,"GILMAN,RYAN",GILMANRYANALVERNIA,7,4,,,Alvernia,ALVERNIA,0,,,,,,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,15,2,0,8,0,240:00,0,19,1.000,3,8,0,2,1,1,.375,,,,,,,,,,,,,,
2025-26,mlax,Middle Atlantic Conferences (MAC),mac,Alvernia,Jack Kenney,Jack,Kenney,,938,Jack Kenney,"KENNEY,JACK",KENNEYJACKALVERNIA,14,14,,,Alvernia,ALVERNIA,0,,,,,,0.14,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,193,108,117,0,18,3,840:00,0,301,1.000,6,9,0,2,0,2,.667,,,,,,,,,,,,,,
2025-26,mlax,Middle Atlantic Conferences (MAC),mac,Alvernia,Alex Johns,Alex,Johns,,938,Alex Johns,"JOHNS,ALEX",JOHNSALEXALVERNIA,8,7,,,Alvernia,ALVERNIA,0,,,,,,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,6,420:00,0,0,1.000,0,0,0,0,0,0,.000,,,,,,,,,,,,,,
2025-26,mlax,Middle Atlantic Conferences (MAC),mac,Alvernia,Bryan Pilpel,Bryan,Pilpel,,938,Bryan Pilpel,"PILPEL,BRYAN",PILPELBRYANALVERNIA,3,0,,,Alvernia,ALVERNIA,0,,,,,,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,00:00,0,0,1.000,0,0,0,0,0,0,.000,,,,,,,,,,,,,,
2025-26,mlax,Middle Atlantic Conferences (MAC),mac,Alvernia,Jack Mancha,Jack,Mancha,,938,Jack Mancha,"MANCHA,JACK",MANCHAJACKALVERNIA,8,0,,,Alvernia,ALVERNIA,0,,,,,,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,00:00,0,0,1.000,0,0,0,0,0,0,.000,7,68:21,10,12,0,1,0,0,0,0,0,40,8.78,.545
2025-26,mlax,Middle Atlantic Conferences (MAC),mac,Alvernia,Connor Stockton,Connor,Stockton,,938,Connor Stockton,"STOCKTON,CONNOR",STOCKTONCONNORALVERNIA,7,0,,,Alvernia,ALVERNIA,0,,,,,,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,00:00,0,0,1.000,1,2,0,1,0,1,.500,,,,,,,,,,,,,,
2025-26,mlax,Middle Atlantic Conferences (MAC),mac,Alvernia,Kenny Howley,Kenny,Howley,,938,Kenny Howley,"HOWLEY,KENNY",HOWLEYKENNYALVERNIA,16,2,,,Alvernia,ALVERNIA,0,,,,,,0.38,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,14,0,5,6,120:00,0,0,1.000,7,8,0,6,2,4,.875,,,,,,,,,,,,,,
2025-26,mlax,Middle Atlantic Conferences (MAC),mac,Alvernia,Kyle Moats,Kyle,Moats,,938,Kyle Moats,"MOATS,KYLE",MOATSKYLEALVERNIA,13,1,,,Alvernia,ALVERNIA,0,,,,,,0.92,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,18,0,15,3,60:00,0,0,1.000,16,43,0,12,8,4,.372,,,,,,,,,,,,,,
