season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,team_name,team_id,sdrm_id,games_played,games_started,uniform,year,code,shot_stats_penalty_kick_attempts,shot_stats_penalty_kick_goals,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_penalty_shot_attempts,shot_stats_penalty_shot_goals,shot_stats_avg_shots_per_game,shot_stats_avg_sog_per_game,shot_stats_avg_points_per_game,shot_stats_avg_goals_per_game,shot_stats_avg_assists_per_game,shot_stats_shots_saved_by_goalie,goal_stats_game_tying,goal_stats_hattricks,goal_stats_overtime,goal_stats_first,goal_stats_unassisted,goal_stats_game_winning,goal_stats_avg_gw_per_game,caution_stats_fouls,caution_stats_red_cards,caution_stats_yellow_cards,caution_stats_green_cards,caution_stats_avg_fouls_per_game,caution_stats_avg_yc_per_game,caution_stats_avg_rc_per_game,caution_stats_avg_gc_per_game,misc_stats_offsides,misc_stats_corner_kicks,misc_stats_minutes_played,misc_stats_defensive_saves,misc_stats_avg_corners_per_game,misc_stats_avg_offsides_per_game,goalie_stats,goalie_stats_shots_faced,goalie_stats_ties,goalie_stats_losses,goalie_stats_wins,goalie_stats_shutouts,goalie_stats_save_percentage,goalie_stats_goals_against_avg,goalie_stats_saves,goalie_stats_goals_allowed,goalie_stats_minutes,goalie_stats_games_started,goalie_stats_games_played,goalie_stats_avg_ga_per_game,goalie_stats_save_percentage_calc,goalie_stats_avg_sho_per_game,goalie_stats_avg_saves_per_game,shot_stats,goal_stats,caution_stats,misc_stats
2026-27,msoc,North Eastern Athletic Conference,north_eastern_athletic_c,Notre Dame of Maryland,"Vega, Carlo",Carlo,Vega,,8600,"Vega, Carlo","VEGA,CARLO",Notre Dame of Maryland,NDM,48-900,0,0,17,0,17,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,00:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
2026-27,msoc,North Eastern Athletic Conference,north_eastern_athletic_c,Notre Dame of Maryland,"Monte, CJ",CJ,Monte,,8600,"Monte, CJ","MONTE,CJ",Notre Dame of Maryland,NDM,48-818,0,0,18,0,18,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,00:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
2026-27,msoc,North Eastern Athletic Conference,north_eastern_athletic_c,Notre Dame of Maryland,"Lima, Pedro",Pedro,Lima,,8600,"Lima, Pedro","LIMA,PEDRO",Notre Dame of Maryland,NDM,48-814,1,1,19,0,19,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,1,0,1,0,1.00,1.00,.00,.00,0,,45:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
2026-27,msoc,North Eastern Athletic Conference,north_eastern_athletic_c,Notre Dame of Maryland,"Rovani, Matteo",Matteo,Rovani,,8600,"Rovani, Matteo","ROVANI,MATTEO",Notre Dame of Maryland,NDM,48-817,1,0,22,0,22,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,16:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
2026-27,msoc,North Eastern Athletic Conference,north_eastern_athletic_c,Notre Dame of Maryland,"Ismaeel, Nadim",Nadim,Ismaeel,,8600,"Ismaeel, Nadim","ISMAEEL,NADIM",Notre Dame of Maryland,NDM,48-894,1,1,23,0,23,0,0,0,1,0,0,0,0,0,1.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,2,0,0,0,2.00,.00,.00,.00,0,,77:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
2026-27,msoc,North Eastern Athletic Conference,north_eastern_athletic_c,Notre Dame of Maryland,"Thompson, Cooper",Cooper,Thompson,,8600,"Thompson, Cooper","THOMPSON,COOPER",Notre Dame of Maryland,NDM,48-813,1,1,24,0,24,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,90:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
2026-27,msoc,North Eastern Athletic Conference,north_eastern_athletic_c,Notre Dame of Maryland,"Ziliaskopoulos, Athanasios",Athanasios,Ziliaskopoulos,,8600,"Ziliaskopoulos, Athanasios","ZILIASKOPOULOS,ATHANASIOS",Notre Dame of Maryland,NDM,48-819,1,1,25,0,25,0,0,3,4,3,1,1,1,1,4.00,3.00,3.00,1.000,1.000,2,0,0,0,0,1,0,.000,4,0,0,0,4.00,.00,.00,.00,0,,90:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
2026-27,msoc,North Eastern Athletic Conference,north_eastern_athletic_c,Notre Dame of Maryland,"Gertenbach, Johan",Johan,Gertenbach,,8600,"Gertenbach, Johan","GERTENBACH,JOHAN",Notre Dame of Maryland,NDM,48-896,0,0,26,0,26,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,00:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
2026-27,msoc,North Eastern Athletic Conference,north_eastern_athletic_c,Notre Dame of Maryland,"Morgese, Giuseppe",Giuseppe,Morgese,,8600,"Morgese, Giuseppe","MORGESE,GIUSEPPE",Notre Dame of Maryland,NDM,48-897,0,0,27,0,27,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,00:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
2026-27,msoc,North Eastern Athletic Conference,north_eastern_athletic_c,Penn State Abington,"Ortiz, Hector",Hector,Ortiz,,30114,"Ortiz, Hector","ORTIZ,HECTOR",Penn State Abington,PSA,2032-1978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,00:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
2026-27,msoc,North Eastern Athletic Conference,north_eastern_athletic_c,Penn State Abington,"D'Asti, Angelo",Angelo,D'Asti,,30114,"D'Asti, Angelo","D'ASTI,ANGELO",Penn State Abington,PSA,2032-1975,3,3,1,0,1,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,270:00,0,.00,.00,,38,1,2,0,0,.556,2.67,10,8,270:00,3,3,2.67,0.556,.000,3.33,,,,
2026-27,msoc,North Eastern Athletic Conference,north_eastern_athletic_c,Penn State Abington,"Nungessor, Hugh",Hugh,Nungessor,,30114,"Nungessor, Hugh","NUNGESSOR,HUGH",Penn State Abington,PSA,2032-1517,3,3,2,0,2,0,0,2,3,1,1,0,0,0,1.00,.67,.33,.000,.333,2,0,0,0,0,0,0,.000,4,0,0,0,1.33,.00,.00,.00,0,,137:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
2026-27,msoc,North Eastern Athletic Conference,north_eastern_athletic_c,Penn State Abington,"Lachawiec, Nick",Nick,Lachawiec,,30114,"Lachawiec, Nick","LACHAWIEC,NICK",Penn State Abington,PSA,2032-1809,3,3,4,0,4,0,0,2,3,0,0,0,0,0,1.00,.67,.00,.000,.000,2,0,0,0,0,0,0,.000,3,0,2,0,1.00,.67,.00,.00,0,,185:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
2026-27,msoc,North Eastern Athletic Conference,north_eastern_athletic_c,Penn State Abington,"Dixon, Shawn",Shawn,Dixon,,30114,"Dixon, Shawn","DIXON,SHAWN",Penn State Abington,PSA,2032-1800,3,3,5,0,5,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,1,0,0,0,.33,.00,.00,.00,0,,235:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
2026-27,msoc,North Eastern Athletic Conference,north_eastern_athletic_c,Penn State Abington,"Anagnostopoulos, Nico",Nico,Anagnostopoulos,,30114,"Anagnostopoulos, Nico","ANAGNOSTOPOULOS,NICO",Penn State Abington,PSA,2032-1644,3,3,6,0,6,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,3,0,0,0,1.00,.00,.00,.00,0,,201:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
2026-27,msoc,North Eastern Athletic Conference,north_eastern_athletic_c,Penn State Abington,"Temirov, Temur",Temur,Temirov,,30114,"Temirov, Temur","TEMIROV,TEMUR",Penn State Abington,PSA,2032-1648,0,0,7,0,7,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,00:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
2026-27,msoc,North Eastern Athletic Conference,north_eastern_athletic_c,Penn State Abington,"Thompson, Joseph",Joseph,Thompson,,30114,"Thompson, Joseph","THOMPSON,JOSEPH",Penn State Abington,PSA,2032-1647,0,0,8,0,8,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,00:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
2026-27,msoc,North Eastern Athletic Conference,north_eastern_athletic_c,Penn State Abington,"Mahon, Joe",Joe,Mahon,,30114,"Mahon, Joe","MAHON,JOE",Penn State Abington,PSA,2032-1806,3,3,9,0,9,0,0,0,0,1,1,0,0,0,.00,.00,.33,.000,.333,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,88:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
2026-27,msoc,North Eastern Athletic Conference,north_eastern_athletic_c,Penn State Abington,"Abreu, Anthony",Anthony,Abreu,,30114,"Abreu, Anthony","ABREU,ANTHONY",Penn State Abington,PSA,2032-1799,3,0,10,0,10,0,0,2,2,0,0,0,0,0,.67,.67,.00,.000,.000,2,0,0,0,0,0,0,.000,0,0,1,0,.00,.33,.00,.00,0,,101:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
2026-27,msoc,North Eastern Athletic Conference,north_eastern_athletic_c,Penn State Abington,"Omer, Ahmed",Ahmed,Omer,,30114,"Omer, Ahmed","OMER,AHMED",Penn State Abington,PSA,2032-1682,3,0,11,0,11,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,1,0,0,0,.33,.00,.00,.00,0,,82:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
