season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,linkup_name,games_played,games_started,uniform,year,hitting_stats_at_bats,hitting_stats_runs,hitting_stats_hits,hitting_stats_runs_batted_in,hitting_stats_doubles,hitting_stats_triples,hitting_stats_home_runs,hitting_stats_walks,hitting_stats_intentional_walks,hitting_stats_hit_by_pitch,hitting_stats_strikeouts,hitting_stats_strikeouts_looking,hitting_stats_stolen_bases,hitting_stats_caught_stealing,hitting_stats_sacrifice_hits,hitting_stats_sacrifice_flies,hitting_stats_reached_on_catchers_interference,hitting_stats_reached_on_error,hitting_stats_reached_on_fielders_choice,hitting_stats_grounded_into_doubleplay,hitting_stats_picked_off,hitting_stats_total_double_plays,hitting_stats_total_triple_plays,hitting_stats_onbase_percentage,hitting_stats_total_bases,hitting_stats_total_plate_appearances,hitting_stats_stolen_base_attempts,hitting_stats_stolen_base_percentage,hitting_stats_batting_average,hitting_stats_slugging_percentage,fielding_stats_putouts,fielding_stats_assists,fielding_stats_errors,fielding_stats_passed_balls,fielding_stats_catchers_interference,fielding_stats_stolen_bases_against,fielding_stats_caught_stealing_by,fielding_stats_involved_in_double_plays,fielding_stats_involved_in_triple_plays,fielding_stats_total_chances,fielding_stats_fielding_percentage,fielding_stats_stolen_bases_against_attempts,fielding_stats_stolen_bases_against_percentage,pitching_stats_hits_allowed,pitching_stats_appearances,pitching_stats_games_started,pitching_stats_wins,pitching_stats_losses,pitching_stats_saves,pitching_stats_complete_games,pitching_stats_shutouts,pitching_stats_credit_for_combined_shutout,pitching_stats_games_finished,pitching_stats_innings_pitched,pitching_stats_runs_allowed,pitching_stats_earned_runs_allowed,pitching_stats_walks_allowed,pitching_stats_strikeouts,pitching_stats_doubles_allowed,pitching_stats_triples_allowed,pitching_stats_home_runs_allowed,pitching_stats_earned_run_average,pitching_stats_opponents_at_bats,pitching_stats_batters_faced,pitching_stats_wild_pitches,pitching_stats_hit_batters,pitching_stats_balks,pitching_stats_sacrifice_flies_allowed,pitching_stats_sacrifice_hits_allowed,pitching_stats_catchers_interference_allowed,pitching_stats_intentional_walks,pitching_stats_strikeouts_looking,pitching_stats_opponent_batting_average,hitting_summary_stats_times_reached_base_on_error,hitting_summary_stats_times_reached_base_on_fielders_choice,hitting_summary_stats_times_grouded_out,hitting_summary_stats_times_flied_out,hitting_summary_stats_hits_ab_with_2_outs,hitting_summary_stats_batting_avg_with_2_outs,hitting_summary_stats_hits_with_2_outs,hitting_summary_stats_ab_with_2_outs,hitting_summary_stats_hits_ab_with_runners_on_base,hitting_summary_stats_batting_avg_with_runners_on_base,hitting_summary_stats_hits_with_runners_on_base,hitting_summary_stats_ab_with_runners_on_base,hitting_summary_stats_hits_ab_with_runners_in_scoring_position,hitting_summary_stats_batting_avg_with_runners_in_scoring_position,hitting_summary_stats_hits_with_runners_in_scoring_position,hitting_summary_stats_ab_with_runners_in_scoring_position,hitting_summary_stats_hits_ab_vs_left_handed_pitchers,hitting_summary_stats_batting_avg_vs_left_handed_pitchers,hitting_summary_stats_hits_vs_left_handed_pitchers,hitting_summary_stats_ab_vs_left_handed_pitchers,hitting_summary_stats_hits_ab_vs_right_handed_pitchers,hitting_summary_stats_batting_avg_vs_right_handed_pitchers,hitting_summary_stats_hits_vs_right_handed_pitchers,hitting_summary_stats_ab_vs_right_handed_pitchers,hitting_summary_stats_success_opps_as_leadoff_batter_in_inning,hitting_summary_stats_success_opps_to_drive_in_runner_from_3rd_with_less_than_2_outs,hitting_summary_stats_number_of_runners_advanced_ab,hitting_summary_stats_hits_ab_with_bases_loaded,hitting_summary_stats_batting_avg_with_bases_loaded,hitting_summary_stats_hits_with_bases_loaded,hitting_summary_stats_ab_with_bases_loaded,hitting_summary_stats_hits_ab_as_pinch_hitter,hitting_summary_stats_batting_avg_as_pinch_hitter,hitting_summary_stats_hits_as_pinch_hitter,hitting_summary_stats_ab_as_pinch_hitter,hitting_summary_stats_times_advanced_at_least_1_runner_with_an_out,hitting_summary_stats_runners_left_on_base,hitting_summary_stats_two_out_rbis,pitching_summary_stats_fly_outs_allowed,pitching_summary_stats_ground_outs_allowed,pitching_summary_stats_runners_picked_off,pitching_summary_stats_success_opps_vs_leadoff_batters,pitching_summary_stats_hits_ab_with_runners_on_base,pitching_summary_stats_hits_ab_vs_left_handed_batters,pitching_summary_stats_hits_ab_vs_right_handed_batters,pitching_summary_stats_hits_ab_with_2_outs,team_name,team_id,sdrm_id,this_is_softball,pitching_stats,pitching_summary_stats,composite_score,global_rank,rating,ranking_segment
2025-26,baseball,Presidents Athletic Conference (PAC),pac,Thiel,Calvin Cackowski,Calvin,Cackowski,,707,Calvin Cackowski,0,0THIEL,38,38,,,133,37,46,37,15,0,9,11,0,9,35,7,2,0,0,2,0,0,0,1,0,1,0,0.426,88,155,2,1.000,.346,.662,158,17,4,9,0,45,8,1,0,179,.978,53,.849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,16,36,"12,48",0.25,12,48,"25,79",0.32,25,79,"14,45",0.31,14,45,"2,12",0.17,2,12,0,0,0,0,"14,32","8,11","39,87",147,0,0,0,0,0,0,0,9,42,0,,,,,,,,,Thiel,THIEL,0,False,,,11.182573966532493,1,99,batting
2025-26,baseball,Presidents Athletic Conference (PAC),pac,Grove City,Colin Marinpetro,Colin,Marinpetro,,265,Colin Marinpetro,0,0GRO,45,45,,,167,52,67,45,17,2,3,33,2,8,23,12,0,0,0,1,0,0,0,2,0,3,0,0.517,97,209,0,.000,.401,.581,359,12,4,0,0,0,0,32,0,375,.989,0,.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,45,27,"21,62",0.34,21,62,"43,105",0.41,43,105,"25,68",0.37,25,68,"6,9",0.67,6,9,0,0,0,0,"19,31","12,16","80,123",110,0,0,0,0,0,0,0,20,35,0,,,,,,,,,Grove City,GRO,0,False,,,11.146561174934291,2,99,batting
2025-26,baseball,Presidents Athletic Conference (PAC),pac,Grove City,Sam Bevin,Sam,Bevin,,265,Sam Bevin,0,0GRO,44,44,,,186,51,69,44,11,1,7,24,0,4,22,4,7,3,1,5,0,0,0,5,1,6,0,0.443,103,220,10,.700,.371,.554,23,60,17,0,0,3,1,2,0,100,.830,4,.750,41,1,6,4,1,0,1,0,0,0,43.1,13,9,6,29,10,0,1,1.87,167,180,0,2,1,2,3,0,0,9,.246,5,11,45,51,"22,61",0.36,22,61,"36,93",0.39,36,93,"24,55",0.44,24,55,"4,13",0.31,4,13,0,0,0,0,"38,73","15,20","55,107",159,0,0,0,4,0,0,0,13,41,0,48,50,1,0,0,0,0,0,Grove City,GRO,0,False,,,10.515279442884282,3,99,batting
2025-26,baseball,Presidents Athletic Conference (PAC),pac,Allegheny,Tyson Bryant-dawson,Tyson,Bryant-dawson,,19,Tyson Bryant-dawson,0,0ALL,38,36,,,139,41,49,32,10,2,7,24,0,6,23,4,18,1,2,2,0,0,0,0,0,0,0,0.462,84,173,19,.947,.353,.604,63,3,6,0,0,1,0,0,0,72,.917,1,1.000,6,1,0,0,1,2,0,0,0,0,11.2,3,3,3,16,0,0,1,2.31,41,45,3,1,0,0,0,0,0,6,.146,2,3,32,37,"21,46",0.46,21,46,"23,63",0.37,23,63,"15,40",0.38,15,40,"3,14",0.21,3,14,0,0,0,0,"20,48","7,12","44,76",56,0,0,0,"1,1",1.00,1,1,13,24,0,9,10,0,"0,1","0,2",0,0,"0,1",Allegheny,ALL,0,False,,,9.965175791499346,4,98,batting
2025-26,baseball,Presidents Athletic Conference (PAC),pac,Geneva,Eric Gonzalez,Eric,Gonzalez,,30084,Eric Gonzalez,0,0GENEVA,33,33,,,99,31,42,33,12,1,0,24,0,4,9,2,11,1,4,1,0,0,0,2,1,3,0,0.547,56,132,12,.917,.424,.566,70,71,9,0,0,0,0,6,0,150,.940,0,.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5,27,20,"14,33",0.42,14,33,"34,65",0.52,34,65,"27,46",0.59,27,46,"3,8",0.38,3,8,0,0,0,0,"5,21","14,18","61,85","1,1",1.00,1,1,0,0,0,0,9,21,0,,,,,,,,,Geneva,GENEVA,0,False,,,9.495886783953589,5,98,batting
2025-26,baseball,Presidents Athletic Conference (PAC),pac,Geneva,Aaron Babu,Aaron,Babu,,30084,Aaron Babu,0,0GENEVA,38,38,,,138,51,54,30,9,4,3,23,1,10,27,6,13,2,0,0,0,0,0,2,0,2,0,0.509,80,171,15,.867,.391,.580,87,5,4,0,0,0,0,0,0,96,.958,0,.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2,17,34,"16,42",0.38,16,42,"33,71",0.46,33,71,"21,46",0.46,21,46,"6,14",0.43,6,14,0,0,0,0,"21,39","6,16","50,82",54,0,0,0,0,0,0,0,2,19,0,,,,,,,,,Geneva,GENEVA,0,False,,,9.340387685387888,6,98,batting
2025-26,baseball,Presidents Athletic Conference (PAC),pac,W&J,Drew Garth,Drew,Garth,,751,Drew Garth,0,0WASH. &,42,41,,,149,31,55,34,11,1,6,16,0,4,19,2,10,3,0,1,0,0,0,6,1,6,0,0.441,86,170,13,.769,.369,.577,37,1,2,0,0,0,0,0,0,40,.950,0,.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,36,36,"9,26",0.35,9,26,"35,76",0.46,35,76,"22,48",0.46,22,48,"3,20",0.15,3,20,0,0,0,0,"15,31","11,13","53,83",2,0,0,0,0,0,0,0,13,19,0,,,,,,,,,W&J,WASH. &,0,False,,,9.263383437489898,7,97,batting
2025-26,baseball,Presidents Athletic Conference (PAC),pac,Thiel,Nathen Prunty,Nathen,Prunty,,707,Nathen Prunty,0,0THIEL,41,40,,,155,30,55,44,12,0,6,12,0,5,16,1,1,0,1,3,0,0,0,10,1,13,0,0.411,85,176,1,1.000,.355,.548,95,4,1,5,0,21,2,2,0,100,.990,23,.913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,1,46,33,"16,47",0.34,16,47,"37,86",0.43,37,86,"22,49",0.45,22,49,"5,16",0.31,5,16,0,0,0,0,"11,34","13,16","58,93",145,0,0,0,"0,1",0,0,1,13,16,0,,,,,,,,,Thiel,THIEL,0,False,,,8.945398968763202,8,97,batting
2025-26,baseball,Presidents Athletic Conference (PAC),pac,Grove City,Josh Minnich,Josh,Minnich,,265,Josh Minnich,0,0GRO,45,45,,,177,45,64,49,10,0,4,25,1,9,17,4,0,1,1,1,0,0,0,6,1,7,0,0.462,86,213,1,.000,.362,.486,95,1,2,0,0,0,0,1,0,98,.980,0,.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,44,49,"23,63",0.37,23,63,"45,116",0.39,45,116,"34,78",0.44,34,78,"6,11",0.55,6,11,0,0,0,0,"19,38","13,19","74,132",256,0,0,0,0,0,0,0,12,38,0,,,,,,,,,Grove City,GRO,0,False,,,8.9350509914904,9,97,batting
2025-26,baseball,Presidents Athletic Conference (PAC),pac,Bethany,Jaden Nestor-fox,Jaden,Nestor-fox,,59,Jaden Nestor-fox,0,0BETHANY,36,36,,,131,37,52,26,11,1,3,24,0,5,9,3,8,2,1,0,0,0,0,0,1,2,0,0.506,74,161,10,.800,.397,.565,68,79,10,0,0,0,0,14,0,157,.936,0,.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,4,36,29,"9,33",0.27,9,33,"27,66",0.41,27,66,"15,40",0.38,15,40,"7,18",0.39,7,18,0,0,0,0,"16,24","9,9","40,72",1,0,0,0,0,0,0,0,8,21,0,,,,,,,,,Bethany,BETHANY,0,False,,,8.859045394413373,10,96,batting
