season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,linkup_name,games_played,games_started,uniform,year,hitting_stats_at_bats,hitting_stats_runs,hitting_stats_hits,hitting_stats_runs_batted_in,hitting_stats_doubles,hitting_stats_triples,hitting_stats_home_runs,hitting_stats_walks,hitting_stats_intentional_walks,hitting_stats_hit_by_pitch,hitting_stats_strikeouts,hitting_stats_strikeouts_looking,hitting_stats_stolen_bases,hitting_stats_caught_stealing,hitting_stats_sacrifice_hits,hitting_stats_sacrifice_flies,hitting_stats_reached_on_catchers_interference,hitting_stats_reached_on_error,hitting_stats_reached_on_fielders_choice,hitting_stats_grounded_into_doubleplay,hitting_stats_picked_off,hitting_stats_total_double_plays,hitting_stats_total_triple_plays,hitting_stats_onbase_percentage,hitting_stats_total_bases,hitting_stats_total_plate_appearances,hitting_stats_stolen_base_attempts,hitting_stats_stolen_base_percentage,hitting_stats_batting_average,hitting_stats_slugging_percentage,fielding_stats_putouts,fielding_stats_assists,fielding_stats_errors,fielding_stats_passed_balls,fielding_stats_catchers_interference,fielding_stats_stolen_bases_against,fielding_stats_caught_stealing_by,fielding_stats_involved_in_double_plays,fielding_stats_involved_in_triple_plays,fielding_stats_total_chances,fielding_stats_fielding_percentage,fielding_stats_stolen_bases_against_attempts,fielding_stats_stolen_bases_against_percentage,pitching_stats_hits_allowed,pitching_stats_appearances,pitching_stats_games_started,pitching_stats_wins,pitching_stats_losses,pitching_stats_saves,pitching_stats_complete_games,pitching_stats_shutouts,pitching_stats_credit_for_combined_shutout,pitching_stats_games_finished,pitching_stats_innings_pitched,pitching_stats_runs_allowed,pitching_stats_earned_runs_allowed,pitching_stats_walks_allowed,pitching_stats_strikeouts,pitching_stats_doubles_allowed,pitching_stats_triples_allowed,pitching_stats_home_runs_allowed,pitching_stats_earned_run_average,pitching_stats_opponents_at_bats,pitching_stats_batters_faced,pitching_stats_wild_pitches,pitching_stats_hit_batters,pitching_stats_balks,pitching_stats_sacrifice_flies_allowed,pitching_stats_sacrifice_hits_allowed,pitching_stats_catchers_interference_allowed,pitching_stats_intentional_walks,pitching_stats_strikeouts_looking,pitching_stats_opponent_batting_average,hitting_summary_stats_times_reached_base_on_error,hitting_summary_stats_times_reached_base_on_fielders_choice,hitting_summary_stats_times_grouded_out,hitting_summary_stats_times_flied_out,hitting_summary_stats_hits_ab_with_2_outs,hitting_summary_stats_batting_avg_with_2_outs,hitting_summary_stats_hits_with_2_outs,hitting_summary_stats_ab_with_2_outs,hitting_summary_stats_hits_ab_with_runners_on_base,hitting_summary_stats_batting_avg_with_runners_on_base,hitting_summary_stats_hits_with_runners_on_base,hitting_summary_stats_ab_with_runners_on_base,hitting_summary_stats_hits_ab_with_runners_in_scoring_position,hitting_summary_stats_batting_avg_with_runners_in_scoring_position,hitting_summary_stats_hits_with_runners_in_scoring_position,hitting_summary_stats_ab_with_runners_in_scoring_position,hitting_summary_stats_hits_ab_vs_left_handed_pitchers,hitting_summary_stats_batting_avg_vs_left_handed_pitchers,hitting_summary_stats_hits_vs_left_handed_pitchers,hitting_summary_stats_ab_vs_left_handed_pitchers,hitting_summary_stats_hits_ab_vs_right_handed_pitchers,hitting_summary_stats_batting_avg_vs_right_handed_pitchers,hitting_summary_stats_hits_vs_right_handed_pitchers,hitting_summary_stats_ab_vs_right_handed_pitchers,hitting_summary_stats_success_opps_as_leadoff_batter_in_inning,hitting_summary_stats_success_opps_to_drive_in_runner_from_3rd_with_less_than_2_outs,hitting_summary_stats_number_of_runners_advanced_ab,hitting_summary_stats_hits_ab_with_bases_loaded,hitting_summary_stats_batting_avg_with_bases_loaded,hitting_summary_stats_hits_with_bases_loaded,hitting_summary_stats_ab_with_bases_loaded,hitting_summary_stats_hits_ab_as_pinch_hitter,hitting_summary_stats_batting_avg_as_pinch_hitter,hitting_summary_stats_hits_as_pinch_hitter,hitting_summary_stats_ab_as_pinch_hitter,hitting_summary_stats_times_advanced_at_least_1_runner_with_an_out,hitting_summary_stats_runners_left_on_base,hitting_summary_stats_two_out_rbis,pitching_summary_stats_fly_outs_allowed,pitching_summary_stats_ground_outs_allowed,pitching_summary_stats_runners_picked_off,pitching_summary_stats_success_opps_vs_leadoff_batters,pitching_summary_stats_hits_ab_with_runners_on_base,pitching_summary_stats_hits_ab_vs_left_handed_batters,pitching_summary_stats_hits_ab_vs_right_handed_batters,pitching_summary_stats_hits_ab_with_2_outs,team_name,team_id,sdrm_id,this_is_softball,pitching_stats,pitching_summary_stats,composite_score,global_rank,rating,ranking_segment
2025-26,baseball,Presidents Athletic Conference (PAC),pac,Franciscan,John Fusco,John,Fusco,,30069,John Fusco,0,0FUS,36,36,,,114,23,39,32,13,0,4,23,0,6,25,6,2,1,0,0,0,0,0,0,0,1,0,0.476,64,143,3,.667,.342,.561,105,4,3,0,0,0,0,0,0,112,.973,0,.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,16,31,"10,35",0.29,10,35,"25,70",0.36,25,70,"16,53",0.30,16,53,"1,6",0.17,1,6,0,0,0,0,"12,26","8,12","46,83",148,0,0,0,0,0,0,0,2,30,0,,,,,,,,,Franciscan,FUS,0,False,,,8.054292922461523,11,96,batting
2025-26,baseball,Presidents Athletic Conference (PAC),pac,Grove City,Luke Vittone,Luke,Vittone,,265,Luke Vittone,0,0GRO,43,43,,,159,41,51,48,6,2,6,21,0,4,23,7,13,1,1,7,0,0,0,5,0,6,0,0.398,79,192,14,.929,.321,.497,93,131,6,0,0,0,0,29,0,230,.974,0,.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,12,38,50,"11,42",0.26,11,42,"32,96",0.33,32,96,"21,59",0.36,21,59,"2,10",0.20,2,10,0,0,0,0,"15,36","19,31","62,116",234,0,0,0,0,0,0,0,11,31,0,,,,,,,,,Grove City,GRO,0,False,,,7.730191870443056,12,96,batting
2025-26,baseball,Presidents Athletic Conference (PAC),pac,Allegheny,William Wolff,William,Wolff,,19,William Wolff,0,0ALL,31,26,,,86,16,32,22,9,0,4,7,0,5,33,8,1,0,1,2,0,0,0,0,0,0,0,0.440,53,101,1,1.000,.372,.616,102,4,2,0,0,0,0,9,0,108,.981,0,.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,14,7,"8,24",0.33,8,24,"16,44",0.36,16,44,"9,26",0.35,9,26,"4,12",0.33,4,12,0,0,0,0,"12,21","9,11","24,47","1,1",1.00,1,1,11,0,0,0,7,15,0,,,,,,,,,Allegheny,ALL,0,False,,,7.646098060162419,13,95,batting
2025-26,baseball,Presidents Athletic Conference (PAC),pac,Franciscan,Josiah Bodie,Josiah,Bodie,,30069,Josiah Bodie,0,0FUS,38,38,,,142,38,56,24,14,2,2,15,0,8,14,2,0,1,0,1,0,0,0,1,1,2,0,0.476,80,166,1,.000,.394,.563,119,1,0,0,0,0,0,0,0,120,1.000,0,.000,6,1,0,0,0,0,0,0,0,0,1.1,2,2,3,0,2,0,0,13.50,10,15,3,2,0,0,0,0,0,0,.600,8,8,28,37,"17,46",0.37,17,46,"30,75",0.40,30,75,"17,40",0.43,17,40,"5,10",0.50,5,10,0,0,0,0,"14,26","4,8","55,90",72,0,0,0,0,0,0,0,8,19,0,2,2,0,"1,2","1,1","1,1",0,"1,1",Franciscan,FUS,0,False,,,7.469730186791198,14,95,batting
2025-26,baseball,Presidents Athletic Conference (PAC),pac,Franciscan,Wade Stoehr,Wade,Stoehr,,30069,Wade Stoehr,0,0FUS,38,38,,,141,33,53,36,17,0,2,14,1,4,15,6,0,1,0,3,0,0,0,2,0,7,0,0.438,76,162,1,.000,.376,.539,80,37,3,0,0,7,0,11,0,120,.975,7,1.000,37,1,1,4,3,2,0,0,0,0,22.2,31,22,4,18,6,2,3,8.74,114,124,2,5,0,0,1,0,1,8,.325,5,8,39,33,"14,44",0.32,14,44,"31,89",0.35,31,89,"20,55",0.36,20,55,"4,8",0.50,4,8,0,0,0,0,"12,28","13,20","59,103",40,0,0,0,0,0,0,0,13,30,0,26,23,0,0,0,"2,2",0,0,Franciscan,FUS,0,False,,,7.1446968577652825,15,94,batting
2025-26,baseball,Presidents Athletic Conference (PAC),pac,Geneva,Zack Sackett,Zack,Sackett,,30084,Zack Sackett,0,0GENEVA,38,38,,,160,43,55,41,4,5,5,13,0,1,15,6,15,6,0,5,0,0,0,4,0,4,0,0.385,84,179,21,.714,.344,.525,205,33,6,4,0,64,20,0,0,244,.975,84,.762,3,1,0,0,0,0,0,0,0,0,1.2,1,1,1,3,0,0,0,5.40,9,10,1,0,0,0,0,0,0,1,.333,9,8,49,38,"17,45",0.38,17,45,"31,81",0.38,31,81,"21,55",0.38,21,55,"9,18",0.50,9,18,0,0,0,0,"19,50","17,15","52,91",29,0,0,0,0,0,0,0,20,32,0,1,1,0,"0,1","2,7",0,0,"2,5",Geneva,GENEVA,0,False,,,7.130669033413124,16,94,batting
2025-26,baseball,Presidents Athletic Conference (PAC),pac,W&J,Jacob Laduca,Jacob,Laduca,,751,Jacob Laduca,0,0WASH. &,43,43,,,156,49,55,24,14,1,4,28,0,8,13,5,16,2,0,3,0,0,0,1,0,1,0,0.467,83,195,18,.889,.353,.532,58,171,7,0,0,0,0,23,0,236,.970,0,.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,7,40,48,"15,48",0.31,15,48,"23,62",0.37,23,62,"15,45",0.33,15,45,"4,18",0.22,4,18,0,0,0,0,"37,76","10,17","39,69",19,0,0,0,0,0,0,0,9,33,0,,,,,,,,,W&J,WASH. &,0,False,,,7.0191304851720036,17,94,batting
2025-26,baseball,Presidents Athletic Conference (PAC),pac,Allegheny,Tommy Landsnes,Tommy,Landsnes,,19,Tommy Landsnes,0,0ALL,38,37,,,136,28,47,38,8,2,3,23,0,3,24,8,9,5,2,4,0,0,0,2,1,2,0,0.440,68,168,14,.643,.346,.500,201,13,2,0,0,0,0,14,0,216,.991,0,.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,40,26,"11,38",0.29,11,38,"22,65",0.34,22,65,"18,39",0.46,18,39,"4,25",0.16,4,25,0,0,0,0,"22,47","16,16","48,78",132,0,0,0,1,0,0,0,21,25,0,,,,,,,,,Allegheny,ALL,0,False,,,6.7671515608553205,18,93,batting
2025-26,baseball,Presidents Athletic Conference (PAC),pac,Allegheny,Tyler Skaggs,Tyler,Skaggs,,19,Tyler Skaggs,0,0ALL,36,33,,,114,30,38,21,8,0,5,20,1,6,15,4,2,3,2,0,0,0,0,0,1,1,0,0.457,61,142,5,.400,.333,.535,210,23,5,7,0,40,10,1,0,238,.979,50,.800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,24,36,"9,31",0.29,9,31,"21,63",0.33,21,63,"14,41",0.34,14,41,"5,13",0.38,5,13,0,0,0,0,"11,32","5,11","32,70","0,1",0,0,1,0,0,0,0,5,24,0,,,,,,,,,Allegheny,ALL,0,False,,,6.620499179174836,19,93,batting
2025-26,baseball,Presidents Athletic Conference (PAC),pac,Chatham,Cooper Baxter,Cooper,Baxter,,10972,Cooper Baxter,0,0CHATHAM,34,30,,,89,25,32,21,6,2,2,10,0,7,24,6,8,0,5,1,0,0,0,1,1,2,0,0.458,48,112,8,1.000,.360,.539,25,48,11,0,0,10,2,7,0,84,.869,12,.833,52,1,6,2,3,0,0,0,0,0,36.0,31,27,12,25,8,3,3,6.75,156,172,4,2,0,0,2,0,0,7,.333,5,3,20,15,"7,21",0.33,7,21,"19,51",0.37,19,51,"13,34",0.38,13,34,"3,8",0.38,3,8,0,0,0,0,"9,25","5,13","34,61",43,0,0,0,55,0,0,0,12,15,0,34,43,0,"0,2","5,6","0,5",0,"2,4",Chatham,CHATHAM,0,False,,,5.8018511016448215,20,93,batting
2025-26,baseball,Presidents Athletic Conference (PAC),pac,Saint Vincent,J. Auld,J.,Auld,,30064,J. Auld,0,0ST. VINC,28,14,,,59,7,21,13,7,0,2,10,0,1,17,6,0,1,2,0,0,0,0,0,0,1,0,0.457,34,72,1,.000,.356,.576,9,2,3,0,0,0,0,0,0,14,.786,0,.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,9,11,"4,18",0.22,4,18,"13,36",0.36,13,36,"8,25",0.32,8,25,"4,11",0.36,4,11,0,0,0,0,"6,13","2,6","24,43",45,0,0,0,166,0,0,0,6,16,0,,,,,,,,,Saint Vincent,ST. VINC,0,False,,,5.366450056242944,21,92,batting
2025-26,baseball,Presidents Athletic Conference (PAC),pac,Geneva,Michael Twigg,Michael,Twigg,,30084,Michael Twigg,0,0GENEVA,37,37,,,125,40,38,35,7,2,3,30,0,4,20,5,24,2,1,3,0,0,0,1,0,1,0,0.444,58,163,26,.923,.304,.464,90,2,2,0,0,0,0,0,0,94,.979,0,.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,5,35,27,"11,45",0.24,11,45,"25,72",0.35,25,72,"16,49",0.33,16,49,"4,13",0.31,4,13,0,0,0,0,"15,30","10,11","46,83",55,0,0,0,0,0,0,0,11,27,0,,,,,,,,,Geneva,GENEVA,0,False,,,5.245328816673456,22,92,batting
2025-26,baseball,Presidents Athletic Conference (PAC),pac,Allegheny,Matt Jennings,Matt,Jennings,,19,Matt Jennings,0,0ALL,40,40,,,172,38,62,36,10,0,1,4,0,8,13,2,22,2,0,3,0,0,0,3,0,4,0,0.396,75,187,24,.917,.360,.436,34,3,1,0,0,6,4,1,0,38,.974,10,.600,36,1,6,3,1,0,0,0,0,0,34.2,19,15,9,23,5,1,1,3.89,131,145,2,1,0,1,3,0,0,5,.275,5,14,62,32,"22,61",0.36,22,61,"37,96",0.39,37,96,"26,60",0.43,26,60,"8,23",0.35,8,23,0,0,0,0,"13,24","8,13","55,104",86,0,0,0,0,0,0,0,10,35,0,25,45,0,"2,7","3,12","1,6",0,"4,9",Allegheny,ALL,0,False,,,4.252761911160512,23,91,batting
2025-26,baseball,Presidents Athletic Conference (PAC),pac,W&J,Knox Meier,Knox,Meier,,751,Knox Meier,0,0WASH. &,38,35,,,125,25,42,20,11,2,2,13,1,9,22,7,4,3,3,2,0,0,0,0,1,0,0,0.430,63,152,7,.571,.336,.504,38,7,9,0,0,0,0,0,0,54,.833,0,.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3,29,32,"17,48",0.35,17,48,"19,61",0.31,19,61,"11,41",0.27,11,41,"5,18",0.28,5,18,0,0,0,0,"14,31","8,12","38,72",60,0,0,0,33,0,0,0,11,22,0,,,,,,,,,W&J,WASH. &,0,False,,,4.204553560060323,24,91,batting
2025-26,baseball,Presidents Athletic Conference (PAC),pac,Thiel,Nick Jacobs,Nick,Jacobs,,707,Nick Jacobs,0,0THIEL,37,35,,,127,30,46,19,9,1,1,19,0,0,23,6,1,0,0,1,0,0,0,5,0,6,0,0.442,60,147,1,1.000,.362,.472,58,3,2,0,0,0,0,3,0,63,.968,0,.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,31,26,"14,45",0.31,14,45,"33,73",0.45,33,73,"16,43",0.37,16,43,"4,11",0.36,4,11,0,0,0,0,"8,21","8,16","54,83",37,0,0,0,1,0,0,0,10,27,0,,,,,,,,,Thiel,THIEL,0,False,,,4.064887803906254,25,91,batting
2025-26,baseball,Presidents Athletic Conference (PAC),pac,Saint Vincent,D. Nicklow,D.,Nicklow,,30064,D. Nicklow,0,0ST. VINC,31,27,,,95,27,33,9,13,2,1,10,1,7,20,4,4,0,2,0,0,0,0,1,0,2,0,0.446,53,114,4,1.000,.347,.558,54,4,0,0,0,0,0,5,0,58,1.000,0,.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,22,21,"8,31",0.26,8,31,"17,49",0.35,17,49,"7,28",0.25,7,28,"4,15",0.27,4,15,0,0,0,0,"16,25","3,10","28,56",26,0,0,0,25,0,0,0,7,16,0,,,,,,,,,Saint Vincent,ST. VINC,0,False,,,3.869923428599789,26,90,batting
