conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,goal_stats_shootout_goals,goal_stats_free_positiong_goals,goal_stats_game_tying_goals,goal_stats_empty_net_goals,goal_stats_overtime_goals,goal_stats_first_goals,goal_stats_unassisted_goals,goal_stats_short_handed_goals,goal_stats_power_play_goals,goal_stats_game_winning_goals,penalty_stats_number,penalty_stats_minutes,penalty_stats_fouls,penalty_stats_green_cards,penalty_stats_yellow_cards,penalty_stats_red_cards,penalty_stats_match,penalty_stats_major,penalty_stats_minor,misc_stats_powerplay_opps,misc_stats_powerplay_goals,misc_stats_faceoffs_won,misc_stats_faceoffs_lost,misc_stats_ground_balls,misc_stats_draw_controls,misc_stats_turnovers,misc_stats_caused_turnovers,misc_stats_minutes_played,misc_stats_seconds,misc_stats_faceoffs_taken,misc_stats_penalty_killing_pct,goalie_stats_games_played,goalie_stats_minutes,goalie_stats_goals_allowed,goalie_stats_saves,goalie_stats_shutouts,goalie_stats_win,goalie_stats_loss,goalie_stats_tie,goalie_stats_powerplay_goals_allowed,goalie_stats_shorthanded_goals_allowed,goalie_stats_emptynet_goals_allowed,goalie_stats_shots_faced,goalie_stats_goals_against_avg,goalie_stats_save_pct,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_free_position_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_shots_on_goal_pct,z_shot_stats_points,z_shot_stats_goals,z_shot_stats_assists,z_misc_stats_ground_balls,z_misc_stats_caused_turnovers,z_misc_stats_turnovers,z_penalty_stats_minutes,composite_score,rank,rating
aec,Atlantic East Conference (AEC),2025-26,mlax,Immaculata,David Azzarano,,,,20,20,0.0,0.0,0.0,0.0,0.0,5.0,22.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,53.0,0.0,33.0,20.0,1126:00,310.0,0.0,1.0,,,,,,,,,,,,,,,95.0,151.0,0.0,97.0,52.0,45.0,0.629,4.845411174998752,3.4758677799536555,6.474632485915477,1.5851772808038822,2.393176812234167,2.0213272573346326,0.0,12.543323464080071,1,99
aec,Atlantic East Conference (AEC),2025-26,mlax,Marymount (VA),Bryan Maguire,,,,17,17,0.0,0.0,0.0,0.0,0.0,0.0,16.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,16.0,0.0,33.0,8.0,1006:00,190.0,0.0,1.0,,,,,,,,,,,,,,,73.0,100.0,0.0,90.0,49.0,41.0,0.73,4.456566296963417,3.1177511522517127,6.073340555810609,-0.17396969475761764,0.43411114268433726,2.0213272573346326,0.0,10.471617139276375,2,95
aec,Atlantic East Conference (AEC),2025-26,mlax,Neumann,Brendan Boschi,,,,13,13,0.0,0.0,0.0,0.0,0.0,2.0,32.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,26.0,0.0,38.0,4.0,761:00,19.0,0.0,1.0,,,,,,,,,,,,,,,81.0,127.0,0.0,80.0,34.0,46.0,0.638,3.901073614055796,3.565396936879141,4.0668809052862676,0.3014754337725174,-0.21891074716560593,2.4801273570133726,0.0,8.632926260436221,3,93
aec,Atlantic East Conference (AEC),2025-26,mlax,Immaculata,Bailey Manion,,,,20,20,0.0,0.0,0.0,0.0,0.0,2.0,14.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,28.0,0.0,26.0,11.0,1126:00,310.0,1.0,1.0,,,,,,,,,,,,,,,101.0,151.0,0.0,73.0,20.0,53.0,0.669,3.512228736020461,4.19210103535754,2.1941852314635497,0.3965644594785444,0.9238775600717947,1.3790071177843959,0.0,8.246368985082322,4,91
aec,Atlantic East Conference (AEC),2025-26,mlax,Marywood,John Scibello,,,,18,18,0.0,0.0,0.0,0.0,0.0,0.0,15.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,57.0,0.0,31.0,13.0,1084:00,44.0,0.0,1.0,,,,,,,,,,,,,,,79.0,157.0,0.0,55.0,23.0,32.0,0.503,2.5123419067867423,2.311988739922342,2.595477161568418,1.775355332215936,1.2503885049967662,1.8378072174631364,0.0,6.351367176001065,5,90
aec,Atlantic East Conference (AEC),2025-26,mlax,Marymount (VA),Gavin Taylorson,,,,17,17,0.0,0.0,0.0,0.0,0.0,3.0,11.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,22.0,0.0,30.0,3.0,1006:00,190.0,0.0,1.0,,,,,,,,,,,,,,,74.0,118.0,0.0,60.0,24.0,36.0,0.627,2.7900882482405533,2.6701053676242843,2.729241138270041,0.11129738236046338,-0.3821662196280917,1.7460471975273884,0.0,6.056961808937764,6,89
aec,Atlantic East Conference (AEC),2025-26,mlax,Gwynedd Mercy Univ.,Josh Devine,,,,16,15,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,52.0,0.0,26.0,14.0,899:00,27.0,0.0,1.0,,,,,,,,,,,,,,,73.0,174.0,0.0,51.0,19.0,32.0,0.42,2.290144833623694,2.311988739922342,2.060421254761927,1.5376327679508688,1.4136439774592522,1.3790071177843959,0.0,5.9158108804041944,7,88
aec,Atlantic East Conference (AEC),2025-26,mlax,Immaculata,Connor Teears,,,,19,19,0.0,0.0,0.0,0.0,0.0,3.0,5.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,11.0,7.0,1066:00,310.0,0.0,1.0,,,,,,,,,,,,,,,60.0,86.0,0.0,46.0,17.0,29.0,0.698,2.012398492169883,2.043401269145885,1.7928933013586816,1.2523656908327876,0.2708556702218514,0.002606818748174735,0.0,5.358068499254791,8,87
aec,Atlantic East Conference (AEC),2025-26,mlax,Neumann,Connor Hurley,,,,17,16,0.0,0.0,0.0,0.0,0.0,2.0,18.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,27.0,0.0,40.0,4.0,941:00,19.0,0.0,1.0,,,,,,,,,,,,,,,98.0,165.0,0.0,57.0,14.0,43.0,0.594,2.6234404433682665,3.296809466102684,1.3916013712538133,0.34901994662553093,-0.21891074716560593,2.663647396884869,0.0,5.208582777212113,9,87
aec,Atlantic East Conference (AEC),2025-26,mlax,Gwynedd Mercy Univ.,Gunnar Seaman,,,,14,13,0.0,0.0,0.0,0.0,0.0,1.0,18.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,34.0,0.0,27.0,7.0,779:00,27.0,0.0,1.0,,,,,,,,,,,,,,,69.0,118.0,0.0,49.0,13.0,36.0,0.585,2.1790462970421696,2.6701053676242843,1.2578373945521908,0.6818315365966254,0.2708556702218514,1.4707671377201441,0.0,4.893116074285616,10,86
