conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,goal_stats_shootout_goals,goal_stats_free_positiong_goals,goal_stats_game_tying_goals,goal_stats_empty_net_goals,goal_stats_overtime_goals,goal_stats_first_goals,goal_stats_unassisted_goals,goal_stats_short_handed_goals,goal_stats_power_play_goals,goal_stats_game_winning_goals,goal_stats_hat_tricks,penalty_stats_number,penalty_stats_minutes,penalty_stats_fouls,penalty_stats_misc10,penalty_stats_miscgame,penalty_stats_miscgross,penalty_stats_match,penalty_stats_major,penalty_stats_minor,misc_stats_faceoffs_won,misc_stats_faceoffs_lost,misc_stats_total_faceoffs,misc_stats_faceoff_win_pct,misc_stats_faceoffs_won_pct,misc_stats_plus,misc_stats_minus,misc_stats_plusminus,misc_stats_blocks,goalie_stats_games_played,goalie_stats_minutes,goalie_stats_goals_allowed,goalie_stats_saves,goalie_stats_saves_by_prd,goalie_stats_shutouts,goalie_stats_win,goalie_stats_loss,goalie_stats_tie,goalie_stats_powerplay_goals_allowed,goalie_stats_shorthanded_goals_allowed,goalie_stats_emptynet_goals_allowed,goalie_stats_save_pct,goalie_stats_games_started,goalie_stats_penalty_shot_goals_allowed,goalie_stats_shootout_goals_allowed,goalie_stats_goals_against_avg,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_shots_pct,shot_stats_penalty_shot_goals,shot_stats_penalty_shots_attempted,z_shot_stats_points,z_shot_stats_goals,z_shot_stats_assists,z_misc_stats_plusminus,z_penalty_stats_minutes,composite_score,rank,rating
wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,whockey,Beloit,"Chapman, Naiya",,0,2,19,0,0,,0,0,0,0,0,0,0,0,0,0,00:00,0,0,0,0,0,0,0,1,0,1,1.0,100.0,3,12,-9,6,0.0,00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0.0,0,0,-0.5602028221217673,-0.5757753967901494,-0.5102824134196771,-0.5790524458894061,,,1,99
wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,whockey,Beloit,"Sinclair, Avery",,0,3,23,8,0,,0,0,0,0,0,0,0,0,0,3,06:00,0,0,0,0,0,0,3,0,1,1,0.0,0.0,2,25,-23,14,,,,,,,,,,,,,,,,,,0,9,2,2,0,0.0,0,0,-0.4619473533203055,-0.5757753967901494,-0.34144823218946296,-1.526133865670161,,,2,94
wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,whockey,Beloit,"Fussy, Julia",,0,4,25,2,0,,0,0,0,1,0,0,1,0,0,5,10:00,0,0,0,0,0,0,5,2,0,2,1.0,200.0,4,19,-15,13,,,,,,,,,,,,,,,,,,0,32,5,2,3,0.09,0,0,-0.1671809469159201,0.06896474111971147,-0.34144823218946296,-0.9849444829383011,,,3,92
wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,whockey,Beloit,"Chady, Hannah",,0,5,25,3,0,,0,0,0,0,0,0,0,0,0,4,08:00,0,0,0,0,0,0,4,0,0,0,,0.0,2,35,-33,29,,,,,,,,,,,,,,,,,,0,8,1,1,0,0.0,0,0,-0.5602028221217673,-0.5757753967901494,-0.5102824134196771,-2.202620594084986,,,4,90
wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,whockey,Beloit,"Detsch, Britni",,0,6,25,8,0,,0,0,0,0,0,0,0,0,0,0,00:00,0,0,0,0,0,0,0,0,0,0,,0.0,2,22,-20,7,,,,,,,,,,,,,,,,,,0,17,1,1,0,0.0,0,0,-0.5602028221217673,-0.5757753967901494,-0.5102824134196771,-1.3231878471457137,,,5,89
wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,whockey,Beloit,"Fussy, Rachel",,0,7,22,2,0,,0,0,0,1,1,0,0,1,0,10,20:00,0,0,0,0,0,0,10,139,159,298,0.466,1.14,4,19,-15,17,,,,,,,,,,,,,,,,,,0,25,3,2,1,0.04,0,0,-0.3636918845188437,-0.3608620174868625,-0.34144823218946296,-0.9849444829383011,,,6,88
wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,whockey,Beloit,"Fairnington, Kiera",,0,8,21,0,0,,0,0,0,0,0,0,0,0,0,0,00:00,0,0,0,0,0,0,0,36,61,97,0.371,1.69,2,16,-14,7,,,,,,,,,,,,,,,,,,0,6,0,0,0,0.0,0,0,-0.6584582909232292,-0.5757753967901494,-0.6791165946498913,-0.9172958100968186,,,7,86
wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,whockey,Beloit,"Daly, Evie",,0,9,25,1,0,,0,0,0,0,0,0,0,0,0,3,06:00,0,0,0,0,0,0,3,2,1,3,0.667,0.5,5,33,-28,4,,,,,,,,,,,,,,,,,,0,15,1,0,1,0.07,0,0,-0.5602028221217673,-0.3608620174868625,-0.6791165946498913,-1.8643772298775736,,,8,85
wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,whockey,Beloit,"Schryer, Kylie",,0,11,25,15,0,,0,0,0,1,1,1,0,0,0,3,06:00,0,0,0,0,0,0,3,193,248,441,0.438,1.28,8,25,-17,10,,,,,,,,,,,,,,,,,,0,35,6,2,4,0.11,0,0,-0.06892547811445829,0.2838781204229985,-0.34144823218946296,-1.120241828621266,,,9,85
wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,whockey,Beloit,"Kostiuk, Makenzee",,0,12,18,9,0,,0,0,0,0,0,0,1,1,0,1,02:00,0,0,0,0,0,0,1,0,0,0,,0.0,4,11,-7,10,,,,,,,,,,,,,,,,,,0,33,5,3,2,0.06,0,0,-0.1671809469159201,-0.1459486381835755,-0.17261405095924884,-0.44375510020644116,,,10,84
wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,whockey,Beloit,"Ludwig, Natasha",,0,13,23,9,0,,0,0,0,0,1,1,1,0,0,1,02:00,0,0,0,0,0,0,1,53,98,151,0.351,1.85,5,22,-17,16,,,,,,,,,,,,,,,,,,0,23,4,1,3,0.13,0,0,-0.2654364157173819,0.06896474111971147,-0.5102824134196771,-1.120241828621266,,,11,83
wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,whockey,Beloit,"Gurr, Natalie",,0,14,24,6,0,,0,0,0,0,0,0,0,0,0,7,14:00,0,0,0,0,0,0,7,43,60,103,0.417,1.4,2,29,-27,33,,,,,,,,,,,,,,,,,,0,22,1,1,0,0.0,0,0,-0.5602028221217673,-0.5757753967901494,-0.5102824134196771,-1.7967285570360911,,,12,82
wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,whockey,Beloit,"Hoffman, Madi",,0,16,25,12,0,,0,0,0,0,0,0,2,0,0,4,08:00,0,0,0,0,0,0,4,1,4,5,0.2,4.0,2,33,-31,8,,,,,,,,,,,,,,,,,,0,40,6,3,3,0.08,0,0,-0.06892547811445829,0.06896474111971147,-0.17261405095924884,-2.067323248402021,,,13,81
wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,whockey,Beloit,"Hutchinson, Tate",,0,17,22,12,0,,0,0,0,0,0,0,0,0,0,8,16:00,0,0,0,0,0,0,8,0,0,0,,0.0,10,18,-8,26,,,,,,,,,,,,,,,,,,0,11,1,1,0,0.0,0,0,-0.5602028221217673,-0.5757753967901494,-0.5102824134196771,-0.5114037730479236,,,14,81
wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,whockey,Beloit,"Rutz, Bre",,0,19,1,0,0,,0,0,0,0,0,0,0,0,0,0,00:00,0,0,0,0,0,0,0,0,0,0,,0.0,0,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.0,0,0,-0.6584582909232292,-0.5757753967901494,-0.6791165946498913,0.029785609683936322,,,15,80
wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,whockey,Beloit,"Gruhlke, Addison",,0,20,25,12,0,,0,0,0,0,0,0,0,0,0,6,12:00,0,0,0,0,0,0,6,27,23,50,0.54,0.85,5,20,-15,13,,,,,,,,,,,,,,,,,,0,33,5,3,2,0.06,0,0,-0.1671809469159201,-0.1459486381835755,-0.17261405095924884,-0.9849444829383011,,,16,79
