conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,goal_stats_shootout_goals,goal_stats_free_positiong_goals,goal_stats_game_tying_goals,goal_stats_empty_net_goals,goal_stats_overtime_goals,goal_stats_first_goals,goal_stats_unassisted_goals,goal_stats_short_handed_goals,goal_stats_power_play_goals,goal_stats_game_winning_goals,goal_stats_hat_tricks,penalty_stats_number,penalty_stats_minutes,penalty_stats_fouls,penalty_stats_misc10,penalty_stats_miscgame,penalty_stats_miscgross,penalty_stats_match,penalty_stats_major,penalty_stats_minor,misc_stats_faceoffs_won,misc_stats_faceoffs_lost,misc_stats_total_faceoffs,misc_stats_faceoff_win_pct,misc_stats_faceoffs_won_pct,misc_stats_plus,misc_stats_minus,misc_stats_plusminus,misc_stats_blocks,goalie_stats_games_played,goalie_stats_minutes,goalie_stats_goals_allowed,goalie_stats_saves,goalie_stats_saves_by_prd,goalie_stats_shutouts,goalie_stats_win,goalie_stats_loss,goalie_stats_tie,goalie_stats_powerplay_goals_allowed,goalie_stats_shorthanded_goals_allowed,goalie_stats_emptynet_goals_allowed,goalie_stats_save_pct,goalie_stats_games_started,goalie_stats_penalty_shot_goals_allowed,goalie_stats_shootout_goals_allowed,goalie_stats_goals_against_avg,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_shots_pct,shot_stats_penalty_shot_goals,shot_stats_penalty_shots_attempted,z_shot_stats_points,z_shot_stats_goals,z_shot_stats_assists,z_misc_stats_plusminus,z_penalty_stats_minutes,composite_score,rank,rating
wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,whockey,Beloit,"Gruhlke, Kennedy",,0,21,25,2,0,,0,0,0,1,0,0,2,0,0,2,04:00,0,0,0,0,0,0,2,75,104,179,0.419,1.39,5,27,-22,29,,,,,,,,,,,,,,,,,,0,19,6,2,4,0.21,0,0,-0.06892547811445829,0.2838781204229985,-0.34144823218946296,-1.4584851928286786,,,17,79
wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,whockey,Beloit,"Meschke, Corah",,0,22,17,0,0,,0,0,0,0,0,0,0,0,0,0,00:00,0,0,0,0,0,0,0,0,0,0,,0.0,1,8,-7,6,,,,,,,,,,,,,,,,,,0,7,0,0,0,0.0,0,0,-0.6584582909232292,-0.5757753967901494,-0.6791165946498913,-0.44375510020644116,,,18,78
wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,whockey,Beloit,"Dixon, Claire",,0,23,25,14,0,,0,0,0,0,0,0,0,0,0,10,20:00,0,0,0,0,0,0,10,9,18,27,0.333,2.0,9,27,-18,15,,,,,,,,,,,,,,,,,,0,19,4,4,0,0.0,0,0,-0.2654364157173819,-0.5757753967901494,-0.003779869729034712,-1.1878905014627488,,,19,77
wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,whockey,Beloit,"Makela, Fianne",,0,24,21,7,0,,0,0,0,0,0,0,0,0,0,6,12:00,0,0,0,0,0,0,6,0,0,0,,0.0,3,24,-21,20,,,,,,,,,,,,,,,,,,0,16,0,0,0,0.0,0,0,-0.6584582909232292,-0.5757753967901494,-0.6791165946498913,-1.3908365199871962,,,20,77
wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,whockey,Beloit,"Vocke, April",,0,26,24,3,0,,0,0,0,0,0,0,0,0,0,4,08:00,0,0,0,0,0,0,4,0,0,0,,0.0,1,32,-31,14,,,,,,,,,,,,,,,,,,0,10,0,0,0,0.0,0,0,-0.6584582909232292,-0.5757753967901494,-0.6791165946498913,-2.067323248402021,,,21,76
wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,whockey,Beloit,"Bliss, Maddy",,0,1,13,11,0,,0,0,0,0,0,0,0,0,0,0,00:00,0,0,0,0,0,0,0,0,0,0,,0.0,0,0,0,0,13.0,710:57,56.0,476.0,19131721152115.0,0.0,1.0,1.0,0.0,11.0,2.0,0.0,0.895,11.0,0.0,0.0,4.73,0,0,0,0,0,0.0,0,0,-0.6584582909232292,-0.5757753967901494,-0.6791165946498913,0.029785609683936322,,,22,76
wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,whockey,Beloit,"Soost, Zoey",,0,25,2,2,0,,0,0,0,0,0,0,0,0,0,0,00:00,0,0,0,0,0,0,0,0,0,0,,0.0,0,0,0,0,2.0,120:00,18.0,85.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,0.0,0.825,2.0,0.0,0.0,9.0,0,0,0,0,0,0.0,0,0,-0.6584582909232292,-0.5757753967901494,-0.6791165946498913,0.029785609683936322,,,23,75
wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,whockey,Beloit,"Quast, Janelle",,0,30,12,12,0,,0,0,0,0,0,0,0,0,0,0,00:00,0,0,0,0,0,0,0,0,0,0,,0.0,0,0,0,0,12.0,668:08,44.0,417.0,0.0,0.0,1.0,1.0,0.0,10.0,0.0,0.0,0.905,12.0,0.0,0.0,3.95,0,0,0,0,0,0.0,0,0,-0.6584582909232292,-0.5757753967901494,-0.6791165946498913,0.029785609683936322,,,24,74
wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,whockey,Beloit,"Laming, Zoe",,0,33,0,0,0,,0,0,0,0,0,0,0,0,0,0,00:00,0,0,0,0,0,0,0,0,0,0,,0.0,0,0,0,0,0.0,00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,-0.6584582909232292,-0.5757753967901494,-0.6791165946498913,0.029785609683936322,,,25,74
wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,whockey,UW-Eau Claire,"Thoreson, Ella",,0,2,4,1,0,,0,0,0,0,0,0,0,0,0,0,00:00,0,0,0,0,0,0,0,0,0,0,,0.0,3,0,3,1,,,,,,,,,,,,,,,,,,0,6,2,2,0,0.0,0,0,-0.4619473533203055,-0.5757753967901494,-0.34144823218946296,0.2327316282083838,,,26,73
wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,whockey,UW-Eau Claire,"Krumholz, Madisyn",,0,3,27,10,0,,0,1,0,4,2,0,1,4,0,4,08:00,0,0,0,0,0,0,4,26,20,46,0.565,0.77,30,8,22,6,,,,,,,,,,,,,,,,,,0,119,25,11,14,0.12,0,0,1.797928429113316,2.4330119134558683,1.1780593988824641,1.5180564121965512,,,27,73
wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,whockey,UW-Eau Claire,"Pioske, Gretta",,0,4,20,1,0,,0,0,0,0,1,0,0,1,0,1,02:00,0,0,0,0,0,0,1,8,6,14,0.571,0.75,9,3,6,4,,,,,,,,,,,,,,,,,,0,21,4,2,2,0.1,0,0,-0.2654364157173819,-0.1459486381835755,-0.34144823218946296,0.43567764673283127,,,28,72
wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,whockey,UW-Eau Claire,"Hulter, Maddie",,0,5,27,9,0,,0,1,0,2,0,0,3,1,0,2,04:00,0,0,0,0,0,0,2,2,4,6,0.333,2.0,35,5,30,12,,,,,,,,,,,,,,,,,,0,66,30,20,10,0.15,0,0,2.289205773120625,1.5733583962427204,2.6975670299543912,2.0592457949284113,,,29,72
wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,whockey,UW-Eau Claire,"Eykyn, Jess",,0,6,8,0,0,,0,0,0,0,0,0,0,0,0,1,02:00,0,0,0,0,0,0,1,0,0,0,,0.0,2,1,1,3,,,,,,,,,,,,,,,,,,0,9,1,1,0,0.0,0,0,-0.5602028221217673,-0.5757753967901494,-0.5102824134196771,0.09743428252541882,,,30,71
wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,whockey,UW-Eau Claire,"Bullert, Ava",,0,7,27,11,0,,0,1,0,1,1,1,0,1,0,4,08:00,0,0,0,0,0,0,4,4,2,6,0.667,0.5,20,6,14,9,,,,,,,,,,,,,,,,,,0,50,7,3,4,0.08,0,0,0.029329990687003524,0.2838781204229985,-0.17261405095924884,0.9768670294646913,,,31,71
wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,whockey,UW-Eau Claire,"Bolt, Keira",,0,8,27,13,0,,0,0,0,1,0,0,0,1,0,4,08:00,0,0,0,0,0,0,4,0,0,0,,0.0,26,6,20,16,,,,,,,,,,,,,,,,,,0,64,7,5,2,0.03,0,0,0.029329990687003524,-0.1459486381835755,0.1650543115011794,1.3827590665135863,,,32,71
wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,whockey,UW-Eau Claire,"Wiltse, Kylie",,0,9,27,7,0,,0,0,0,1,1,0,1,0,0,5,10:00,0,0,0,0,0,0,5,0,0,0,,0.0,34,8,26,52,,,,,,,,,,,,,,,,,,0,57,18,13,5,0.09,0,0,1.1101401475030834,0.49879149972628545,1.5157277613428923,1.7886511035624812,,,33,70
wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,whockey,UW-Eau Claire,"Moehle, Sam",,0,10,27,12,0,,0,0,0,0,0,0,0,0,0,3,06:00,0,0,0,0,0,0,3,0,1,1,0.0,0.0,27,4,23,19,,,,,,,,,,,,,,,,,,0,33,8,7,1,0.03,0,0,0.12758545948846534,-0.3608620174868625,0.5027226739616076,1.5857050850380336,,,34,70
wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,whockey,UW-Eau Claire,"Carstensen, Nora",,0,11,26,4,0,,0,1,0,1,1,0,0,1,0,4,08:00,0,0,0,0,0,0,4,71,81,152,0.467,1.14,18,3,15,5,,,,,,,,,,,,,,,,,,0,44,16,10,6,0.14,0,0,0.9136292099001598,0.7137048790295725,1.00922521765225,1.0445157023061737,,,35,69
wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,whockey,UW-Eau Claire,"Bullert, Gabi",,0,12,1,1,0,,0,0,0,0,0,0,0,0,0,0,00:00,0,0,0,0,0,0,0,0,0,0,,0.0,2,0,2,0,,,,,,,,,,,,,,,,,,0,1,1,1,0,0.0,0,0,-0.5602028221217673,-0.5757753967901494,-0.5102824134196771,0.1650829553669013,,,36,69
wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,whockey,UW-Eau Claire,"Ballinger, Lauren",,0,13,27,6,0,,0,0,0,1,0,0,3,1,0,1,02:00,0,0,0,0,0,0,1,237,181,418,0.567,0.76,10,5,5,10,,,,,,,,,,,,,,,,,,0,55,10,5,5,0.09,0,0,0.32409639709138893,0.49879149972628545,0.1650543115011794,0.3680289738913488,,,37,68
wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,whockey,UW-Eau Claire,"Hansen, Adrienne",,0,14,27,12,0,,0,0,0,2,0,0,1,2,0,14,28:00,0,0,0,0,0,0,14,240,148,388,0.619,0.62,31,8,23,9,,,,,,,,,,,,,,,,,,0,80,23,12,11,0.14,0,0,1.6014174915103923,1.7882717755460074,1.3468935801126782,1.5857050850380336,,,38,68
wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,whockey,UW-Eau Claire,"Sandberg, McKenna",,0,15,21,3,0,,0,0,0,1,0,0,0,1,0,2,04:00,0,0,0,0,0,0,2,3,2,5,0.6,0.67,10,3,7,9,,,,,,,,,,,,,,,,,,0,34,5,3,2,0.06,0,0,-0.1671809469159201,-0.1459486381835755,-0.17261405095924884,0.5033263195743137,,,39,67
wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,whockey,UW-Eau Claire,"Johansson, Ava",,0,16,25,4,0,,0,0,0,1,0,0,1,0,0,6,12:00,0,0,0,0,0,0,6,0,0,0,,0.0,14,3,11,6,,,,,,,,,,,,,,,,,,0,32,9,4,5,0.16,0,0,0.22584092828992713,0.49879149972628545,-0.003779869729034712,0.7739210109402438,,,40,67
wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,whockey,UW-Eau Claire,"Hancock, Jordan",,0,17,26,4,0,,0,0,0,0,0,0,0,1,0,7,14:00,0,0,0,0,0,0,7,2,2,4,0.5,1.0,16,8,8,15,,,,,,,,,,,,,,,,,,0,46,14,9,5,0.11,0,0,0.7171182722972361,0.49879149972628545,0.8403910364220359,0.5709749924157963,,,41,67
wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,whockey,UW-Eau Claire,"Wagenbach, Ashley",,0,18,26,3,0,,0,0,0,0,0,0,0,0,0,6,12:00,0,0,0,0,0,0,6,0,0,0,,0.0,32,12,20,19,,,,,,,,,,,,,,,,,,0,84,13,10,3,0.04,0,0,0.6188628034957744,0.06896474111971147,1.00922521765225,1.3827590665135863,,,42,66
wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,whockey,UW-Eau Claire,"LeClaire, Allie",,0,19,1,0,0,,0,0,0,0,0,0,0,0,0,0,00:00,0,0,0,0,0,0,0,0,0,0,,0.0,2,0,2,0,,,,,,,,,,,,,,,,,,0,3,1,0,1,0.33,0,0,-0.5602028221217673,-0.3608620174868625,-0.6791165946498913,0.1650829553669013,,,43,66
wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,whockey,UW-Eau Claire,"Grossman, Josie",,0,20,24,3,0,,0,0,0,0,1,0,0,1,0,3,06:00,0,0,0,0,0,0,3,65,54,119,0.546,0.83,15,5,10,10,,,,,,,,,,,,,,,,,,0,39,10,7,3,0.08,0,0,0.32409639709138893,0.06896474111971147,0.5027226739616076,0.7062723380987613,,,44,65
wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,whockey,UW-Eau Claire,"Keller, Kenzie",,0,21,27,3,0,,0,0,0,3,0,0,4,3,0,9,18:00,0,0,0,0,0,0,9,180,147,327,0.55,0.82,23,7,16,6,,,,,,,,,,,,,,,,,,0,81,23,10,13,0.16,0,0,1.6014174915103923,2.218098534152581,1.00922521765225,1.1121643751476562,,,45,65
wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,whockey,UW-Eau Claire,"Mirwald, Rachel",,0,22,27,12,0,,0,0,0,0,0,0,0,0,0,2,04:00,0,0,0,0,0,0,2,0,0,0,,0.0,30,5,25,22,,,,,,,,,,,,,,,,,,0,18,8,7,1,0.06,0,0,0.12758545948846534,-0.3608620174868625,0.5027226739616076,1.7210024307209986,,,46,65
wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,whockey,UW-Eau Claire,"Lesch, Jana",,0,24,23,6,0,,0,1,0,2,1,0,0,2,0,3,06:00,0,0,0,0,0,0,3,1,0,1,1.0,100.0,22,5,17,12,,,,,,,,,,,,,,,,,,0,56,15,8,7,0.13,0,0,0.815373741098698,0.9286182583328595,0.6715568551918218,1.1798130479891387,,,47,64
wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,whockey,UW-Eau Claire,"Poehling, Harper",,0,25,18,3,0,,0,0,0,1,0,0,0,0,0,2,04:00,0,0,0,0,0,0,2,0,0,0,,0.0,15,5,10,11,,,,,,,,,,,,,,,,,,0,27,5,4,1,0.04,0,0,-0.1671809469159201,-0.3608620174868625,-0.003779869729034712,0.7062723380987613,,,48,64
wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,whockey,UW-Eau Claire,"Vetter, Mathilde",,0,26,5,3,0,,0,0,0,0,0,0,0,0,0,0,00:00,0,0,0,0,0,0,0,0,0,0,,0.0,4,2,2,4,,,,,,,,,,,,,,,,,,0,3,0,0,0,0.0,0,0,-0.6584582909232292,-0.5757753967901494,-0.6791165946498913,0.1650829553669013,,,49,64
wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,whockey,UW-Eau Claire,"Schipper, Gracyn",,0,27,3,1,0,,0,0,0,0,0,0,0,0,0,1,02:00,0,0,0,0,0,0,1,4,5,9,0.444,1.25,1,0,1,0,,,,,,,,,,,,,,,,,,0,8,1,0,1,0.13,0,0,-0.5602028221217673,-0.3608620174868625,-0.6791165946498913,0.09743428252541882,,,50,63
wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,whockey,UW-Eau Claire,"Bradford, Julianne",,0,28,4,1,0,,0,0,0,0,0,0,0,0,0,0,00:00,0,0,0,0,0,0,0,12,12,24,0.5,1.0,2,0,2,1,,,,,,,,,,,,,,,,,,0,5,2,1,1,0.2,0,0,-0.4619473533203055,-0.3608620174868625,-0.5102824134196771,0.1650829553669013,,,51,63
wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,whockey,UW-Eau Claire,"Schmidt, Tori",,0,44,6,2,0,,0,0,0,0,0,0,0,0,0,0,00:00,0,0,0,0,0,0,0,0,0,0,,0.0,5,1,4,2,,,,,,,,,,,,,,,,,,0,17,1,1,0,0.0,0,0,-0.5602028221217673,-0.5757753967901494,-0.5102824134196771,0.3003803010498663,,,52,62
wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,whockey,UW-Eau Claire,"Burke, Kara",,0,53,1,0,0,,0,0,0,0,0,0,0,0,0,0,00:00,0,0,0,0,0,0,0,3,3,6,0.5,1.0,2,0,2,0,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.0,0,0,-0.6584582909232292,-0.5757753967901494,-0.6791165946498913,0.1650829553669013,,,53,62
wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,whockey,UW-Eau Claire,"Backmann, Alexa",,0,1,4,3,0,,0,0,0,0,0,0,0,0,0,0,00:00,0,0,0,0,0,0,0,0,0,0,,0.0,0,0,0,1,4.0,180:00,1.0,35.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.972,3.0,0.0,0.0,0.33,0,0,0,0,0,0.0,0,0,-0.6584582909232292,-0.5757753967901494,-0.6791165946498913,0.029785609683936322,,,54,62
wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,whockey,UW-Eau Claire,"Freije, Kambelle",,0,29,21,21,0,,0,0,0,0,0,0,0,0,0,0,00:00,0,0,0,0,0,0,0,0,0,0,,0.0,0,0,0,0,21.0,1258:25,30.0,441.0,55631263126.0,9.0,1.0,1.0,0.0,11.0,0.0,0.0,0.936,21.0,0.0,0.0,1.43,0,0,0,0,0,0.0,0,0,-0.6584582909232292,-0.5757753967901494,-0.6791165946498913,0.029785609683936322,,,55,61
wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,whockey,UW-Eau Claire,"Swanson, Tegan",,0,30,4,2,0,,0,0,0,0,0,0,0,0,0,0,00:00,0,0,0,0,0,0,0,0,0,0,,0.0,0,0,0,0,4.0,119:07,2.0,17.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.895,2.0,0.0,0.0,1.01,0,0,0,0,0,0.0,0,0,-0.6584582909232292,-0.5757753967901494,-0.6791165946498913,0.029785609683936322,,,56,61
wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,whockey,UW-Eau Claire,"Moudry, Addison",,0,34,2,1,0,,0,0,0,0,0,0,0,0,0,0,00:00,0,0,0,0,0,0,0,0,0,0,,0.0,0,0,0,0,2.0,60:00,0.0,9.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,-0.6584582909232292,-0.5757753967901494,-0.6791165946498913,0.029785609683936322,,,57,61
