conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,field_goals_made,field_goals_attempted,three_points_made,three_points_attempted,free_throws_attempted,free_throws_made,points_scored,blocked_shots,steals,assists,minutes_played,offensive_rebounds,defensive_rebounds,total_rebounds,personal_fouls,technical_fouls,turnovers,disqualifications,deadballs,field_goals_pct,three_points_pct,free_throws_pct,points_per_game,rebounds_per_game,assists_per_game,steals_per_game,blocked_shots_per_game
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wbball,Hamilton,"Kendall,Parker",0,G,05,6,0,2,8,1,6,0,0,5,0,0,0,16,0,0,0,1,0,0,0,0,0.25,0.17,0.00,0.83,0.00,0.00,0.00,0.00
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wbball,Hamilton,"Schwoebel,Abbey",0,F,10,25,2,43,92,0,1,49,32,118,2,10,19,336,19,52,71,30,0,20,0,0,0.47,0.00,0.65,4.72,2.84,0.76,0.40,0.08
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wbball,Hamilton,"Prybyla,Alexis",0,F,11,13,0,5,14,0,1,3,0,10,1,2,3,57,2,12,14,14,0,7,1,0,0.36,0.00,0.00,0.77,1.08,0.23,0.15,0.08
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wbball,Hamilton,"Hill,Althea",0,G,12,25,14,33,78,12,39,14,9,87,3,6,29,525,8,26,34,21,0,18,0,0,0.42,0.31,0.64,3.48,1.36,1.16,0.24,0.12
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wbball,Hamilton,"Semioli,Mia",0,G,13,16,0,4,15,1,4,4,1,10,1,4,5,92,4,8,12,10,0,12,0,0,0.27,0.25,0.25,0.63,0.75,0.31,0.25,0.06
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wbball,Hamilton,"Dowd,Reagan",0,G,15,22,0,14,50,9,38,11,5,42,6,7,16,257,2,17,19,38,0,18,1,0,0.28,0.24,0.45,1.91,0.86,0.73,0.32,0.27
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wbball,Hamilton,"Harris,Kendall",0,G,21,24,24,134,300,34,93,32,29,331,20,25,58,732,15,143,158,43,0,79,1,0,0.45,0.37,0.91,13.79,6.58,2.42,1.04,0.83
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wbball,Hamilton,"Myslewicz,Zoe",0,F,22,25,5,29,78,0,0,35,15,73,21,11,9,291,45,67,112,31,0,19,0,0,0.37,0.00,0.43,2.92,4.48,0.36,0.44,0.84
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wbball,Hamilton,"Manning,Jaylen",0,F,31,14,0,9,39,1,15,7,2,21,0,0,2,86,7,15,22,6,0,12,0,0,0.23,0.07,0.29,1.50,1.57,0.14,0.00,0.00
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wbball,Hamilton,"Kernodle,Maggie",0,G,32,24,15,58,177,21,81,30,25,162,3,11,19,506,7,32,39,41,0,41,2,0,0.33,0.26,0.83,6.75,1.63,0.79,0.46,0.13
