rank,conference_code,conference,season,team,player_name,class_year,position,gp,mpg,ppg,rpg,apg,spg,bpg,tov_pg,composite_score,z_ppg,z_rpg,z_apg,z_spg,z_bpg,z_tov_pg
1,odac,Old Dominion Athletic Conference (ODAC),2025-26,Lynchburg,"Brown,Jamarcus",0,F,26,31.76923076923077,20.73,7.42,1.38,1.12,1.73,2.076923076923077,9.741993264229288,2.990137280136368,2.4232479380332617,0.0033802237713095955,0.7348980838557936,5.424159413484037,1.2705621974707044
2,odac,Old Dominion Athletic Conference (ODAC),2025-26,Guilford College,"SALTERS, Braylen",0,g,26,26.5,23.77,3.62,1.96,2.0,0.15,2.1923076923076925,7.827726911793832,3.694427422734637,0.054717790096717706,0.5714311621601458,2.6810569509295643,-0.36442051289635735,1.4471880240898118
3,odac,Old Dominion Athletic Conference (ODAC),2025-26,Virginia Wesleyan,"Deveaux,Omari",0,G,27,34.74074074074074,21.19,4.59,2.7,1.04,0.26,1.8888888888888888,7.07436266132733,3.096707499082159,0.659316275227888,1.29618580769073,0.5579745504854506,0.038581887041518194,0.982727517054381
4,odac,Old Dominion Athletic Conference (ODAC),2025-26,Virginia Wesleyan,"Moorer,Amari",0,F,27,31.48148148148148,14.44,7.52,2.33,1.26,1.0,1.9259259259259256,6.52494488382487,1.532905373247187,2.4855776787684336,0.9338084849254379,1.0445142672538934,2.7496889411690444,1.0394222268333533
5,odac,Old Dominion Athletic Conference (ODAC),2025-26,Shenandoah,"Davis,Dorian",0,G,25,31.48,14.52,7.24,0.96,1.36,0.68,1.2,5.913968598235307,1.551439324368194,2.311054404709952,-0.4079670074757786,1.265668683966822,1.5773183231679522,-0.07179408483451195
6,odac,Old Dominion Athletic Conference (ODAC),2025-26,Roanoke College,"Bell,Jackson",0,G,28,30.214285714285715,16.0,5.39,1.64,1.18,0.39,1.1785714285714286,5.554720315998816,1.894317420106825,1.1579542011092656,0.25802374787664994,0.8675907338835503,0.514857450604462,-0.10459602406377463
7,odac,Old Dominion Athletic Conference (ODAC),2025-26,Averett University,"Sellars,Jackson",0,G,25,31.28,14.76,6.16,2.72,1.36,0.68,2.36,5.340035361772966,1.6070411777312155,1.637893204770092,1.3157737710834485,1.265668683966822,1.5773183231679522,1.703884225442914
8,odac,Old Dominion Athletic Conference (ODAC),2025-26,Guilford College,"PROCTOR, Gabe",0,g,26,27.192307692307693,16.81,4.19,1.88,1.31,0.08,1.6538461538461535,4.564861096813521,2.081973675207021,0.4099973122871995,0.49307930858927174,1.1550914756103576,-0.6208765855840962,0.6229341665339766
9,odac,Old Dominion Athletic Conference (ODAC),2025-26,Roanoke College,"Morgan,Marcus",0,G,26,27.346153846153847,11.69,5.77,3.46,1.12,0.35,1.8076923076923077,4.061192938337834,0.8958008034625687,1.39480721590292,2.040528416614032,0.7348980838557936,0.3683111233543253,0.858435268692787
10,odac,Old Dominion Athletic Conference (ODAC),2025-26,Shenandoah,"Wright,Ellis",0,F,25,27.64,17.28,3.72,0.84,0.44,0.64,1.64,3.945326965376837,2.1908606380429383,0.11704753083188998,-0.5254947878320895,-0.7689519497921207,1.4307719959178153,0.6017390673396841
11,odac,Old Dominion Athletic Conference (ODAC),2025-26,Eastern Mennonite University,"BROOKS, Aaron",0,g,25,35.8,14.08,3.92,4.0,2.44,0.4,3.72,3.941026528389365,1.4495025932026553,0.24170701230223424,2.569403428217431,3.65413638446645,0.5514940324169961,3.7857139685267938
12,odac,Old Dominion Athletic Conference (ODAC),2025-26,Guilford College,"AXSELLE, Rival",0,g,26,21.807692307692307,9.54,5.15,0.77,1.5,0.88,0.8846153846153846,3.4717433375176174,0.3977008670855035,1.0083628233448527,-0.5940526597066041,1.5752848673649218,2.3100499594186346,-0.5545713442600722
13,odac,Old Dominion Athletic Conference (ODAC),2025-26,Guilford College,"EDWARDS, Ke",0,0,14,13.571428571428571,12.07,3.93,0.71,1.71,0.29,0.7142857142857143,3.4306047014805703,0.9838370712873525,0.2479399863757516,-0.6528165498847597,2.0397091424620717,0.1484916324791205,-0.8153047073644687
14,odac,Old Dominion Athletic Conference (ODAC),2025-26,Washington and Lee,"Amorosi,Connor",0,F,26,29.846153846153847,16.5,4.27,1.35,0.77,0.46,2.3461538461538463,3.3439450710440104,2.010154614613119,0.45986110487533677,-0.026001721317767942,-0.03914237463945644,0.7713135232922009,1.6826891262486217
15,odac,Old Dominion Athletic Conference (ODAC),2025-26,Guilford College,"EDWARDS, Dawson",0,g,26,23.153846153846153,8.81,4.88,2.54,2.04,0.15,1.0384615384615383,3.3006506589890368,0.22857856310631428,0.8400725233598875,1.139482100548982,2.769518717614736,-0.36442051289635735,-0.31907024210126245
16,odac,Old Dominion Athletic Conference (ODAC),2025-26,Randolph-Macon College,"Robinson,Jabril",0,G,26,24.5,12.58,2.92,2.19,1.04,0.23,0.9230769230769232,3.1344338626773682,1.1019910096837726,-0.3815903950494879,0.7966927411764083,0.5579745504854506,-0.07132785839608421,-0.49569606872036936
17,odac,Old Dominion Athletic Conference (ODAC),2025-26,Averett University,"Mitchell,Mason",0,G,26,31.192307692307693,11.62,5.12,1.46,0.73,0.62,1.3076923076923077,3.0496463735326493,0.8795835962316875,0.9896639011243009,0.08173207734218361,-0.12760414132462794,1.357498832292747,0.09305668667665502
18,odac,Old Dominion Athletic Conference (ODAC),2025-26,Washington and Lee,"Ryan,Colin",0,F,25,29.16,9.8,5.56,5.12,0.64,0.28,2.24,3.0434945879985875,0.4579362082287769,1.2639147603590584,3.6663293782096664,-0.32664311636626353,0.11185505066658653,1.520193365759043
19,odac,Old Dominion Athletic Conference (ODAC),2025-26,Hampden-Sydney College,"Lynch,Santana",0,G,19,23.31578947368421,11.68,7.53,1.79,0.95,0.05,1.736842105263158,3.0287789786697528,0.8934840595724429,2.4918106528419512,0.4049334733220387,0.35893557544381477,-0.7307863310216988,0.7499808137512299
20,odac,Old Dominion Athletic Conference (ODAC),2025-26,Bridgewater College,"Brown,Jahmir",0,G,25,29.08,13.48,3.68,1.92,1.08,0.16,1.64,2.7359904677006277,1.3104979597951023,0.09211563453782107,0.5322552353747088,0.6464363171706221,-0.3277839310838232,0.6017390673396841
21,odac,Old Dominion Athletic Conference (ODAC),2025-26,Washington and Lee,"Newkirk,Addison",0,F,25,25.88,9.28,7.24,0.84,1.24,0.44,1.36,2.6354830063596646,0.33746552594223056,2.311054404709952,-0.5254947878320895,1.0002833839113077,0.6980403596671326,0.17312706141065048
22,odac,Old Dominion Athletic Conference (ODAC),2025-26,Hampden-Sydney College,"Stickney,Travis",0,G,27,33.925925925925924,10.37,5.85,4.22,1.41,0.11,2.962962962962963,2.471800889324502,0.589990609965952,1.444671008491058,2.7848710255373343,1.3762458923232859,-0.510966840146494,2.6268741006445904
23,odac,Old Dominion Athletic Conference (ODAC),2025-26,Randolph-Macon College,"Pulley Jr.,Keishawn",0,G,28,25.392857142857142,10.36,3.75,1.79,0.96,0.04,0.5714285714285714,2.1878251745352024,0.5876738660758262,0.1357464530524415,0.4049334733220387,0.38105101711510764,-0.7674229128342328,-1.0339843022262207
24,odac,Old Dominion Athletic Conference (ODAC),2025-26,Randolph-Macon College,"Joyce,Liam",0,F,28,18.357142857142858,7.43,4.46,1.32,1.0,0.79,0.8571428571428571,1.885985418098834,-0.09113209373105796,0.5782876122721642,-0.0553836664068457,0.46951278380027917,1.9803207231058277,-0.5966251125027168
25,odac,Old Dominion Athletic Conference (ODAC),2025-26,Lynchburg,"Young,Piercen",0,G,26,25.73076923076923,8.42,5.35,1.85,0.92,0.5,1.3461538461538465,1.8778338513166335,0.13822555139140466,1.1330223048151968,0.4636973635001942,0.2925892504299364,0.9178598505423374,0.15193196221635796
26,odac,Old Dominion Athletic Conference (ODAC),2025-26,Randolph College,"Miller,Trey",0,F,13,26.076923076923077,9.85,7.85,1.0,0.38,0.23,1.4615384615384617,1.815439714935371,0.46951992767940604,2.691265823194502,-0.36879108069034156,-0.9016445998198778,-0.07132785839608421,0.32855778883546505
