season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,linkup_name,games_played,games_started,uniform,year,team_name,team_id,sdrm_id,goal_stats_shootout_goals,goal_stats_free_positiong_goals,goal_stats_game_tying_goals,goal_stats_empty_net_goals,goal_stats_overtime_goals,goal_stats_first_goals,goal_stats_unassisted_goals,goal_stats_short_handed_goals,goal_stats_power_play_goals,goal_stats_game_winning_goals,goal_stats_hat_tricks,penalty_stats_number,penalty_stats_minutes,penalty_stats_fouls,penalty_stats_misc10,penalty_stats_miscgame,penalty_stats_miscgross,penalty_stats_match,penalty_stats_major,penalty_stats_minor,misc_stats_faceoffs_won,misc_stats_faceoffs_lost,misc_stats_total_faceoffs,misc_stats_faceoff_win_pct,misc_stats_faceoffs_won_pct,misc_stats_plus,misc_stats_minus,misc_stats_plusminus,misc_stats_blocks,goalie_stats_games_played,goalie_stats_minutes,goalie_stats_goals_allowed,goalie_stats_saves,goalie_stats_saves_by_prd,goalie_stats_shutouts,goalie_stats_win,goalie_stats_loss,goalie_stats_tie,goalie_stats_powerplay_goals_allowed,goalie_stats_shorthanded_goals_allowed,goalie_stats_emptynet_goals_allowed,goalie_stats_save_pct,goalie_stats_games_started,goalie_stats_penalty_shot_goals_allowed,goalie_stats_shootout_goals_allowed,goalie_stats_goals_against_avg,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_shots_pct,shot_stats_penalty_shot_goals,shot_stats_penalty_shots_attempted,is_goalie,game,goalie_stats,composite_score,global_rank,rating
2025-26,whockey,New England Small College Athletic Conference (NESCAC),nescac,Williams,"Bond, Lucie",Lucie,Bond,0,789,"Bond, Lucie","Bond,Lucie",BondLucieWIL,28,11,4,,Williams,WIL,1131-5040,0,,0,1,0,0,0,0,3,0,0,3,06:00,0,0,0,0,0,0,3,1,2,3,.333,2.00,18,12,6,8,,,,,,,,,,,,,,,,,,0,89,19,11,8,0.09,0,0,False,,,6.170196977521666,11,96
2025-26,whockey,New England Small College Athletic Conference (NESCAC),nescac,Williams,"Littlewood, Savana",Savana,Littlewood,0,789,"Littlewood, Savana","Littlewood,Savana",LittlewoodSavanaWIL,26,5,2,,Williams,WIL,1131-5797,0,,0,1,1,1,0,1,0,2,0,5,10:00,0,0,0,0,0,0,5,1,2,3,.333,2.00,15,10,5,14,,,,,,,,,,,,,,,,,,0,73,19,13,6,0.08,0,0,False,,,5.971686284267777,12,96
2025-26,whockey,New England Small College Athletic Conference (NESCAC),nescac,Colby,Emily Olsthoorn,Emily,Olsthoorn,0,151,Emily Olsthoorn,"OLSTHOORN,EMILY",OLSTHOORNEMILYCOLBY,22,0,12,,Colby,COLBY,0,0,,0,0,1,0,0,0,0,2,0,2,04:00,0,0,0,0,0,0,2,50,38,88,.568,0.76,19,3,16,3,,,,,,,,,,,,,,,,,,0,59,18,9,9,0.15,0,1,False,,,5.829726600029298,13,95
2025-26,whockey,New England Small College Athletic Conference (NESCAC),nescac,Hamilton,"Myziuk, Sarah",Sarah,Myziuk,0,267,"Myziuk, Sarah","Myziuk,Sarah",MyziukSarahHAM,23,0,25,,Hamilton,HAM,0,0,,1,0,0,0,1,0,2,3,1,7,17:00,0,0,0,0,0,1,6,0,1,1,.000,0,17,4,13,7,,,,,,,,,,,,,,,,,,0,50,18,9,9,0.18,0,0,False,,,5.829726600029298,14,95
2025-26,whockey,New England Small College Athletic Conference (NESCAC),nescac,Amherst,Bea Flynn,Bea,Flynn,lw,24,Bea Flynn,"FLYNN,BEA",FLYNNBEAAMHERST,29,12,22,,Amherst,AMHERST,0,0,,0,1,0,0,1,0,3,2,0,6,12:00,0,0,0,0,0,0,6,8,11,19,.421,1.38,17,3,14,22,,,,,,,,,,,,,,,,,,0,145,18,10,8,0.06,0,0,False,,,5.730471253402354,15,95
2025-26,whockey,New England Small College Athletic Conference (NESCAC),nescac,Bowdoin,"Lu, Luna",Luna,Lu,0,69,"Lu, Luna","Lu,Luna",LuLunaBOW,24,14,7,,Bowdoin,BOW,1121-4329,0,,0,0,0,1,1,1,1,3,0,7,14:00,0,0,0,0,0,0,7,12,56,68,.176,4.67,21,12,9,18,,,,,,,,,,,,,,,,,,0,93,17,5,12,0.13,0,0,False,,,5.687766915790819,16,94
2025-26,whockey,New England Small College Athletic Conference (NESCAC),nescac,Middlebury,"Flynn, Kate",Kate,Flynn,0,420,"Flynn, Kate","Flynn,Kate",FlynnKateMID,26,8,6,,Middlebury,MID,1126-5884,0,,0,0,0,1,0,0,1,3,0,3,06:00,0,0,0,0,0,0,3,4,3,7,.571,0.75,15,16,-1,5,,,,,,,,,,,,,,,,,,0,69,18,11,7,0.10,0,0,False,,,5.6312159067754095,17,94
2025-26,whockey,New England Small College Athletic Conference (NESCAC),nescac,Colby,Courtney Schumacher,Courtney,Schumacher,lw,151,Courtney Schumacher,"SCHUMACHER,COURTNEY",SCHUMACHERCOURTNEYCOLBY,25,11,36,,Colby,COLBY,0,0,,0,1,0,1,0,0,5,4,0,2,04:00,0,0,0,0,0,0,2,0,1,1,.000,0,14,6,8,6,,,,,,,,,,,,,,,,,,0,89,16,3,13,0.15,0,0,False,,,5.347296538298451,18,94
2025-26,whockey,New England Small College Athletic Conference (NESCAC),nescac,Colby,Sophia Kennedy,Sophia,Kennedy,0,151,Sophia Kennedy,"KENNEDY,SOPHIA",KENNEDYSOPHIACOLBY,26,14,9,,Colby,COLBY,0,0,,0,2,0,0,1,1,2,3,0,8,16:00,0,0,0,0,0,0,8,3,6,9,.333,2.00,18,3,15,19,,,,,,,,,,,,,,,,,,0,82,17,10,7,0.09,0,0,False,,,5.191490182656097,19,94
2025-26,whockey,New England Small College Athletic Conference (NESCAC),nescac,Middlebury,"McManus, Olivia",Olivia,McManus,0,420,"McManus, Olivia","McManus,Olivia",McManusOliviaMID,26,14,18,,Middlebury,MID,1126-5885,0,,0,0,0,0,0,0,1,1,0,2,04:00,0,0,0,0,0,0,2,0,0,0,NaN,0,26,15,11,37,,,,,,,,,,,,,,,,,,0,69,18,16,2,0.03,0,0,False,,,5.134939173640687,20,94
