season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,linkup_name,games_played,games_started,uniform,year,hitting_stats_at_bats,hitting_stats_runs,hitting_stats_hits,hitting_stats_runs_batted_in,hitting_stats_doubles,hitting_stats_triples,hitting_stats_home_runs,hitting_stats_walks,hitting_stats_intentional_walks,hitting_stats_hit_by_pitch,hitting_stats_strikeouts,hitting_stats_strikeouts_looking,hitting_stats_stolen_bases,hitting_stats_caught_stealing,hitting_stats_sacrifice_hits,hitting_stats_sacrifice_flies,hitting_stats_reached_on_catchers_interference,hitting_stats_reached_on_error,hitting_stats_reached_on_fielders_choice,hitting_stats_grounded_into_doubleplay,hitting_stats_picked_off,hitting_stats_total_double_plays,hitting_stats_total_triple_plays,hitting_stats_onbase_percentage,hitting_stats_total_bases,hitting_stats_total_plate_appearances,hitting_stats_stolen_base_attempts,hitting_stats_stolen_base_percentage,hitting_stats_batting_average,hitting_stats_slugging_percentage,fielding_stats_putouts,fielding_stats_assists,fielding_stats_errors,fielding_stats_passed_balls,fielding_stats_catchers_interference,fielding_stats_stolen_bases_against,fielding_stats_caught_stealing_by,fielding_stats_involved_in_double_plays,fielding_stats_involved_in_triple_plays,fielding_stats_total_chances,fielding_stats_fielding_percentage,fielding_stats_stolen_bases_against_attempts,fielding_stats_stolen_bases_against_percentage,pitching_stats,hitting_summary_stats_times_reached_base_on_error,hitting_summary_stats_times_reached_base_on_fielders_choice,hitting_summary_stats_times_grouded_out,hitting_summary_stats_times_flied_out,hitting_summary_stats_hits_ab_with_2_outs,hitting_summary_stats_batting_avg_with_2_outs,hitting_summary_stats_hits_with_2_outs,hitting_summary_stats_ab_with_2_outs,hitting_summary_stats_hits_ab_with_runners_on_base,hitting_summary_stats_batting_avg_with_runners_on_base,hitting_summary_stats_hits_with_runners_on_base,hitting_summary_stats_ab_with_runners_on_base,hitting_summary_stats_hits_ab_with_runners_in_scoring_position,hitting_summary_stats_batting_avg_with_runners_in_scoring_position,hitting_summary_stats_hits_with_runners_in_scoring_position,hitting_summary_stats_ab_with_runners_in_scoring_position,hitting_summary_stats_hits_ab_vs_left_handed_pitchers,hitting_summary_stats_batting_avg_vs_left_handed_pitchers,hitting_summary_stats_hits_vs_left_handed_pitchers,hitting_summary_stats_ab_vs_left_handed_pitchers,hitting_summary_stats_hits_ab_vs_right_handed_pitchers,hitting_summary_stats_batting_avg_vs_right_handed_pitchers,hitting_summary_stats_hits_vs_right_handed_pitchers,hitting_summary_stats_ab_vs_right_handed_pitchers,hitting_summary_stats_success_opps_as_leadoff_batter_in_inning,hitting_summary_stats_success_opps_to_drive_in_runner_from_3rd_with_less_than_2_outs,hitting_summary_stats_number_of_runners_advanced_ab,hitting_summary_stats_hits_ab_with_bases_loaded,hitting_summary_stats_batting_avg_with_bases_loaded,hitting_summary_stats_hits_with_bases_loaded,hitting_summary_stats_ab_with_bases_loaded,hitting_summary_stats_hits_ab_as_pinch_hitter,hitting_summary_stats_batting_avg_as_pinch_hitter,hitting_summary_stats_hits_as_pinch_hitter,hitting_summary_stats_ab_as_pinch_hitter,hitting_summary_stats_times_advanced_at_least_1_runner_with_an_out,hitting_summary_stats_runners_left_on_base,hitting_summary_stats_two_out_rbis,pitching_summary_stats,team_name,team_id,sdrm_id,this_is_softball,pitching_stats_hits_allowed,pitching_stats_appearances,pitching_stats_games_started,pitching_stats_wins,pitching_stats_losses,pitching_stats_saves,pitching_stats_complete_games,pitching_stats_shutouts,pitching_stats_credit_for_combined_shutout,pitching_stats_games_finished,pitching_stats_innings_pitched,pitching_stats_runs_allowed,pitching_stats_earned_runs_allowed,pitching_stats_walks_allowed,pitching_stats_strikeouts,pitching_stats_doubles_allowed,pitching_stats_triples_allowed,pitching_stats_home_runs_allowed,pitching_stats_earned_run_average,pitching_stats_opponents_at_bats,pitching_stats_batters_faced,pitching_stats_wild_pitches,pitching_stats_hit_batters,pitching_stats_balks,pitching_stats_sacrifice_flies_allowed,pitching_stats_sacrifice_hits_allowed,pitching_stats_catchers_interference_allowed,pitching_stats_intentional_walks,pitching_stats_strikeouts_looking,pitching_stats_opponent_batting_average,pitching_summary_stats_fly_outs_allowed,pitching_summary_stats_ground_outs_allowed,pitching_summary_stats_runners_picked_off,pitching_summary_stats_success_opps_vs_leadoff_batters,pitching_summary_stats_hits_ab_with_runners_on_base,pitching_summary_stats_hits_ab_vs_left_handed_batters,pitching_summary_stats_hits_ab_vs_right_handed_batters,pitching_summary_stats_hits_ab_with_2_outs,hitting_stats,hitting_summary_stats,global_rank,rating,composite_score,ranking_segment,pitching_stats_k_per_9,pitching_stats_whip
2026-27,baseball,Liberty League (LL),ll,Skidmore,Quinn McDonald,Quinn,McDonald,,642,Quinn McDonald,0,0SKIDMORE,11,11,,,41.0,12.0,11.0,9.0,4.0,0.0,1.0,5.0,0.0,1.0,10.0,7.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.354,18.0,49.0,1.0,1.0,0.268,0.439,17,12,3,0,0,0,0,3,0,32,0.906,0,0.0,,0.0,3.0,10.0,11.0,"1,11",0.09,1.0,11.0,"5,23",0.22,5.0,23.0,"5,20",0.25,5.0,20.0,"1,7",0.14,1.0,7.0,0,0.0,0.0,0.0,"8,16","5,8","11,26",145,0.0,0.0,0.0,0,0.0,0.0,0.0,3.0,12.0,0.0,,Skidmore,SKIDMORE,1063-2802,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,74,60.0,batting,,
2026-27,baseball,Liberty League (LL),ll,Clarkson,Seth Albert,Seth,Albert,,146,Seth Albert,0,0CLARKSON,14,14,,,47.0,14.0,13.0,9.0,2.0,0.0,1.0,6.0,0.0,2.0,8.0,4.0,5.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.382,18.0,57.0,6.0,0.833,0.277,0.383,29,0,1,0,0,0,0,0,0,30,0.967,0,0.0,,2.0,1.0,14.0,12.0,"6,16",0.38,6.0,16.0,"6,17",0.35,6.0,17.0,"5,13",0.38,5.0,13.0,"2,8",0.25,2.0,8.0,0,0.0,0.0,0.0,"7,15","0,2","11,20",0,0.0,0.0,0.0,0,0.0,0.0,0.0,5.0,6.0,0.0,,Clarkson,CLARKSON,1057-5057,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,73,59.0,batting,,
2026-27,baseball,Liberty League (LL),ll,Ithaca,Camden Laney,Camden,Laney,,313,Camden Laney,0,0ITHACA,9,9,,,34.0,6.0,10.0,9.0,0.0,0.0,1.0,6.0,0.0,1.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.415,13.0,41.0,1.0,1.0,0.294,0.382,5,0,0,0,0,0,0,0,0,5,1.0,0,0.0,,2.0,1.0,10.0,8.0,"3,11",0.27,3.0,11.0,"8,23",0.35,8.0,23.0,"6,14",0.43,6.0,14.0,"3,8",0.38,3.0,8.0,0,0.0,0.0,0.0,"2,5","5,7","15,26",1,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,5.0,0.0,,Ithaca,ITHACA,1006-11184,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,73,58.0,batting,,
2026-27,baseball,Liberty League (LL),ll,Rochester,Jake Bentivenga,Jake,Bentivenga,,581,Jake Bentivenga,0,0ROC,15,15,,,49.0,7.0,14.0,9.0,3.0,0.0,0.0,8.0,0.0,1.0,15.0,4.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0,0.383,17.0,64.0,0.0,0.0,0.286,0.347,116,6,1,0,0,1,0,15,0,123,0.992,1,1.0,,2.0,2.0,13.0,11.0,"4,14",0.29,4.0,14.0,"8,33",0.24,8.0,33.0,"7,23",0.3,7.0,23.0,"2,5",0.4,2.0,5.0,0,0.0,0.0,0.0,"4,8","4,8","21,44",5,0.0,0.0,0.0,0,0.0,0.0,0.0,8.0,12.0,0.0,,Rochester,ROC,1061-3890,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,73,57.0,batting,,
2026-27,baseball,Liberty League (LL),ll,Hobart,Jack Byrnes,Jack,Byrnes,,282,Jack Byrnes,0,0HOB,17,15,,,41.0,13.0,12.0,8.0,4.0,1.0,0.0,7.0,0.0,7.0,12.0,6.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.464,18.0,56.0,4.0,1.0,0.293,0.439,26,2,0,0,0,0,0,1,0,28,1.0,0,0.0,,2.0,0.0,5.0,11.0,"3,14",0.21,3.0,14.0,"7,21",0.33,7.0,21.0,"6,19",0.32,6.0,19.0,"2,8",0.25,2.0,8.0,0,0.0,0.0,0.0,"7,15","4,8","11,24",0,0.0,0.0,0.0,0,0.0,0.0,0.0,2.0,10.0,0.0,,Hobart,HOB,1059-8671,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,72,56.0,batting,,
2026-27,baseball,Liberty League (LL),ll,Ithaca,Isaiah Smith,Isaiah,Smith,,313,Isaiah Smith,0,0ITHACA,14,14,,,54.0,13.0,14.0,8.0,1.0,1.0,0.0,6.0,0.0,2.0,4.0,1.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.355,17.0,63.0,10.0,0.9,0.259,0.315,29,1,0,0,0,0,0,0,0,30,1.0,0,0.0,,4.0,5.0,24.0,11.0,"4,19",0.21,4.0,19.0,"9,30",0.3,9.0,30.0,"6,23",0.26,6.0,23.0,"0,8",0.0,0.0,8.0,0,0.0,0.0,0.0,"6,15","5,5","18,35",4,0.0,0.0,0.0,0,0.0,0.0,0.0,7.0,25.0,0.0,,Ithaca,ITHACA,1006-11760,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,72,55.0,batting,,
2026-27,baseball,Liberty League (LL),ll,RPI,Connor Dynan,Connor,Dynan,,570,Connor Dynan,0,0RPI,8,7,,,24.0,4.0,7.0,7.0,2.0,1.0,0.0,3.0,0.0,3.0,8.0,2.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.382,11.0,35.0,0.0,0.0,0.292,0.458,12,0,1,0,0,0,0,0,0,13,0.923,0,0.0,,0.0,0.0,8.0,6.0,"3,12",0.25,3.0,12.0,"3,13",0.23,3.0,13.0,"2,10",0.2,2.0,10.0,"0,0",0.0,0.0,0.0,"3,10",0.3,3.0,10.0,"4,8","4,5","9,20",0,0.0,0.0,0.0,1,0.0,0.0,0.0,8.0,9.0,0.0,,RPI,RPI,1060-7331,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,72,54.0,batting,,
2026-27,baseball,Liberty League (LL),ll,Rochester,Teddy Monahan,Teddy,Monahan,,581,Teddy Monahan,0,0ROC,15,13,,,47.0,11.0,13.0,7.0,2.0,1.0,0.0,6.0,0.0,2.0,6.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.382,17.0,57.0,2.0,1.0,0.277,0.362,36,2,0,0,0,0,0,1,0,38,1.0,0,0.0,,2.0,4.0,19.0,9.0,"2,17",0.12,2.0,17.0,"7,28",0.25,7.0,28.0,"5,18",0.28,5.0,18.0,"1,9",0.11,1.0,9.0,0,0.0,0.0,0.0,"5,9","4,6","17,34",35,0.0,0.0,0.0,0,0.0,0.0,0.0,6.0,13.0,0.0,,Rochester,ROC,1061-3900,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,71,53.0,batting,,
2026-27,baseball,Liberty League (LL),ll,Hobart,Christian Petry,Christian,Petry,,282,Christian Petry,0,0HOB,19,19,,,56.0,13.0,15.0,7.0,3.0,0.0,0.0,11.0,0.0,9.0,9.0,7.0,6.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.461,18.0,79.0,7.0,0.857,0.268,0.321,31,40,0,0,0,0,0,5,0,71,1.0,0,0.0,,0.0,1.0,16.0,18.0,"2,12",0.17,2.0,12.0,"6,26",0.23,6.0,26.0,"2,19",0.11,2.0,19.0,"3,10",0.3,3.0,10.0,0,0.0,0.0,0.0,"11,21","2,8","16,33",24,0.0,0.0,0.0,0,0.0,0.0,0.0,9.0,9.0,0.0,,Hobart,HOB,1059-8315,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,71,52.0,batting,,
2026-27,baseball,Liberty League (LL),ll,Clarkson,David Harris,David,Harris,,146,David Harris,0,0CLARKSON,13,13,,,38.0,10.0,10.0,7.0,2.0,0.0,0.0,7.0,0.0,6.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.451,12.0,51.0,0.0,0.0,0.263,0.316,12,0,0,0,0,0,0,0,0,12,1.0,0,0.0,,1.0,1.0,12.0,9.0,"4,11",0.36,4.0,11.0,"7,25",0.28,7.0,25.0,"5,17",0.29,5.0,17.0,"0,4",0.0,0.0,4.0,0,0.0,0.0,0.0,"7,13","2,7","13,26",55,0.0,0.0,0.0,0,0.0,0.0,0.0,6.0,5.0,0.0,,Clarkson,CLARKSON,1057-5210,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,70,51.0,batting,,
