conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,field_goals_made,field_goals_attempted,three_points_made,three_points_attempted,free_throws_attempted,free_throws_made,points_scored,blocked_shots,steals,assists,minutes_played,offensive_rebounds,defensive_rebounds,total_rebounds,personal_fouls,technical_fouls,turnovers,disqualifications,deadballs,field_goals_pct,three_points_pct,free_throws_pct,points_per_game,rebounds_per_game,assists_per_game,steals_per_game,blocked_shots_per_game,turnovers_per_game,z_points_per_game,z_rebounds_per_game,z_assists_per_game,z_turnovers_per_game,z_field_goals_pct,z_steals_per_game,z_blocked_shots_per_game,composite_score,rank,rating
wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,wbball,UW-Oshkosh,"Inda,Abbey",0,G,23,26,1,21,63,3,18,17,8,53,9,13,18,299,9,32,41,19,0,12,0,0,0.33,0.17,0.47,2.04,1.58,0.69,0.5,0.35,0.46153846153846156,-0.4298202178530273,-0.21663954059923346,0.0011647650414418165,-0.5252110507089234,0.060707028342122625,-0.02957640473817601,0.9302226081420314,-0.657815309053605,75,58
wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,wbball,UW-Whitewater,"Burks,Lainee",0,G,4,23,0,28,88,5,27,13,10,71,0,20,12,275,9,28,37,28,0,22,0,0,0.32,0.19,0.77,3.09,1.61,0.52,0.87,0.0,0.9565217391304348,-0.15064406037977848,-0.2008049774158816,-0.22230372790947098,0.12169598191612493,-0.0041018262393326295,0.6732840102999419,-0.7080356794456865,-0.6669838904120292,76,58
wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,wbball,UW-Stevens Point,"Loftus,Ava",0,G,32,26,1,32,97,9,36,11,6,79,0,8,26,360,7,28,35,13,0,22,0,0,0.33,0.25,0.55,3.04,1.35,1.0,0.31,0.0,0.8461538461538461,-0.1639381631165998,-0.3380378583382642,0.4086661345401654,-0.02254680238540615,0.060707028342122625,-0.3905047259739663,-0.7080356794456865,-0.67107620625419,77,58
wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,wbball,UW-Platteville,"Kling,Barb",0,G,10,26,0,18,50,8,25,14,10,54,5,14,20,413,21,30,51,27,0,18,0,0,0.36,0.32,0.71,2.08,1.96,0.77,0.54,0.19,0.6923076923076923,-0.41918493566357024,-0.01606840694344357,0.10632640878304798,-0.22361250171481306,0.255133592086488,0.04640850499567465,0.1813045338162176,-0.6721109714748348,78,58
wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,wbball,UW-Eau Claire,"Vogel,Emily",0,,13,23,1,24,70,1,15,16,10,59,4,16,7,254,15,33,48,24,0,17,0,0,0.34,0.07,0.63,2.57,2.09,0.3,0.7,0.17,0.7391304347826086,-0.2889027288427208,0.05254803351774767,-0.5114982481988877,-0.1624185932232545,0.12551588292357788,0.3503481439310768,0.08768977452549091,-0.68761875616072,79,57
wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,wbball,UW-La Crosse,"Loewe,Raegan",0,G,10,2,0,0,1,0,0,4,3,3,0,0,0,4,0,0,0,0,0,0,0,0,0.0,0.0,0.75,1.5,0.0,0.0,0.0,0.0,0.0,-0.5733965274106982,-1.050593201589097,-0.9058544122299105,-1.1284081486971442,-2.077985172845899,-0.9793877764113084,-0.7080356794456865,-0.7188323091574205,80,57
wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,wbball,UW-Eau Claire,"Miller,Macie",0,,3,25,2,27,68,11,20,26,22,87,1,10,22,350,4,13,17,34,0,32,0,0,0.4,0.55,0.85,3.48,0.68,0.88,0.4,0.04,1.28,-0.04695005903257171,-0.6916764360997887,0.2509236689277563,0.5444584697235214,0.5143690104123091,-0.21953867907280245,-0.5208061608642329,-0.727525106014125,81,57
wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,wbball,UW-Stevens Point,"Kolbeck,Zaida",0,G,40,2,0,0,3,0,1,2,2,2,0,0,0,3,1,0,1,1,0,0,0,0,0.0,0.0,1.0,1.0,0.5,0.0,0.0,0.0,0.0,-0.7063375547789119,-0.7866838151998997,-0.9058544122299105,-1.1284081486971442,-2.077985172845899,-0.9793877764113084,-0.7080356794456865,-0.7483555087470397,82,57
wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,wbball,UW-Oshkosh,"Holzhueter,Mayah",0,F,2,14,0,12,28,3,8,12,10,37,1,4,2,73,6,10,16,4,0,2,0,0,0.43,0.38,0.83,2.64,1.14,0.14,0.29,0.07,0.14285714285714285,-0.27029098501117077,-0.44887980062172717,-0.7218215356820998,-0.9417042850341234,0.7087955741566745,-0.4284971808408916,-0.3803840219281428,-0.7486859050499323,83,56
wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,wbball,UW-River Falls,"Beiler,Braelyn",0,G,4,26,0,28,95,18,64,6,4,78,1,11,14,356,6,18,24,16,0,10,0,0,0.29,0.28,0.67,3.0,0.92,0.54,0.42,0.04,0.38461538461538464,-0.17457344530605692,-0.5649999306329738,-0.19601331697406946,-0.6257439003736268,-0.1985283899836984,-0.1815462242058772,-0.5208061608642329,-0.8671021283484541,84,56
wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,wbball,UW-Eau Claire,"Meudt,Lauren",0,,14,3,0,1,8,0,2,4,2,4,0,2,1,11,0,1,1,1,0,2,0,0,0.13,0.0,0.5,1.33,0.33,0.33,0.67,0.0,0.6666666666666666,-0.6185964767158909,-0.8764130065722268,-0.4720626317957854,-0.25712345160304756,-1.2354700632869813,0.29335946163068904,-0.7080356794456865,-0.8943035833320299,85,56
wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,wbball,UW-Eau Claire,"Bloch,Abby",0,,42,6,0,3,6,0,1,2,2,8,1,0,0,15,5,2,7,6,0,1,0,0,0.5,0.0,1.0,1.33,1.17,0.0,0.0,0.17,0.16666666666666666,-0.6185964767158909,-0.4330452374383753,-0.9058544122299105,-0.91058697442362,1.1624575562268609,-0.9793877764113084,0.08768977452549091,-0.951850692407711,86,56
wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,wbball,UW-River Falls,"Aue,Annamarie",0,G,22,26,2,16,59,6,32,19,9,47,4,15,21,421,22,36,58,23,0,17,0,0,0.27,0.19,0.47,1.81,2.23,0.81,0.58,0.15,0.6538461538461539,-0.49097309044240567,0.12644266170672297,0.15890723065385107,-0.2738789265471648,-0.3281460991466085,0.12239341472952509,-0.005924984765235901,-1.0019677691999782,87,55
