season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,linkup_name,games_played,games_started,uniform,year,team_name,team_id,sdrm_id,goal_stats_shootout_goals,goal_stats_free_positiong_goals,goal_stats_game_tying_goals,goal_stats_empty_net_goals,goal_stats_overtime_goals,goal_stats_first_goals,goal_stats_unassisted_goals,goal_stats_short_handed_goals,goal_stats_power_play_goals,goal_stats_game_winning_goals,goal_stats_hat_tricks,penalty_stats_number,penalty_stats_minutes,penalty_stats_fouls,penalty_stats_misc10,penalty_stats_miscgame,penalty_stats_miscgross,penalty_stats_match,penalty_stats_major,penalty_stats_minor,misc_stats_faceoffs_won,misc_stats_faceoffs_lost,misc_stats_total_faceoffs,misc_stats_faceoff_win_pct,misc_stats_faceoffs_won_pct,misc_stats_plus,misc_stats_minus,misc_stats_plusminus,misc_stats_blocks,goalie_stats,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_shots_pct,shot_stats_penalty_shot_goals,shot_stats_penalty_shots_attempted,is_goalie,game,goalie_stats_games_played,goalie_stats_minutes,goalie_stats_goals_allowed,goalie_stats_saves,goalie_stats_saves_by_prd,goalie_stats_shutouts,goalie_stats_win,goalie_stats_loss,goalie_stats_tie,goalie_stats_powerplay_goals_allowed,goalie_stats_shorthanded_goals_allowed,goalie_stats_emptynet_goals_allowed,goalie_stats_save_pct,goalie_stats_games_started,goalie_stats_penalty_shot_goals_allowed,goalie_stats_shootout_goals_allowed,goalie_stats_goals_against_avg
2025-26,whockey,Middle Atlantic Conferences (MAC),mac,Hood,"Marjomaa, Veera",Veera,Marjomaa,0,8404,"Marjomaa, Veera","Marjomaa,Veera",MarjomaaVeeraHCB,13,2,19,,Hood,HCB,656-3487,0,,0,0,0,0,0,0,0,0,0,0,00:00,0,0,0,0,0,0,0,0,0,0,NaN,0,6,4,2,4,,0,6,0,0,0,0.00,0,0,False,,,,,,,,,,,,,,,,,,
2025-26,whockey,Middle Atlantic Conferences (MAC),mac,Hood,"May, Mac",Mac,May,0,8404,"May, Mac","May,Mac",MayMacHCB,1,0,48,,Hood,HCB,0,0,,0,0,0,0,0,0,0,0,0,0,00:00,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,1,,0,0,0,0,0,0.00,0,0,False,,,,,,,,,,,,,,,,,,
2025-26,whockey,Middle Atlantic Conferences (MAC),mac,King's,"Sanders, Aerie",Aerie,Sanders,0,336,"Sanders, Aerie","Sanders,Aerie",SandersAerieKIN,25,1,3,,King's,KIN,1001-7027,0,,0,0,0,0,0,0,0,0,0,6,12:00,0,0,0,0,0,0,6,0,0,0,NaN,0,4,26,-22,9,,0,2,0,0,0,0.00,0,0,False,,,,,,,,,,,,,,,,,,
2025-26,whockey,Middle Atlantic Conferences (MAC),mac,King's,"Stead, Sammi",Sammi,Stead,0,336,"Stead, Sammi","Stead,Sammi",SteadSammiKIN,25,17,4,,King's,KIN,1001-6482,0,,0,0,0,1,0,0,2,0,0,12,24:00,0,0,0,0,0,0,12,11,17,28,.393,1.55,6,37,-31,11,,0,44,6,2,4,0.09,0,0,False,,,,,,,,,,,,,,,,,,
2025-26,whockey,Middle Atlantic Conferences (MAC),mac,King's,"Fleury-Wright, Victoria",Victoria,Fleury-Wright,0,336,"Fleury-Wright, Victoria","Fleury-Wright,Victoria",Fleury-WrightVictoriaKIN,25,15,8,,King's,KIN,1001-6748,0,,0,0,0,0,0,0,0,0,0,2,04:00,0,0,0,0,0,0,2,0,2,2,.000,0,3,41,-38,61,,0,12,0,0,0,0.00,0,0,False,,,,,,,,,,,,,,,,,,
2025-26,whockey,Middle Atlantic Conferences (MAC),mac,King's,"Barlocker, Abby",Abby,Barlocker,0,336,"Barlocker, Abby","Barlocker,Abby",BarlockerAbbyKIN,25,17,10,,King's,KIN,1001-6506,0,,0,0,0,1,1,0,1,0,0,7,14:00,0,0,0,0,0,0,7,160,311,471,.340,1.94,7,35,-28,34,,0,50,8,4,4,0.08,0,0,False,,,,,,,,,,,,,,,,,,
2025-26,whockey,Middle Atlantic Conferences (MAC),mac,King's,"Heinrich, Emma",Emma,Heinrich,0,336,"Heinrich, Emma","Heinrich,Emma",HeinrichEmmaKIN,25,7,18,,King's,KIN,1001-7024,0,,0,0,0,1,0,0,0,1,0,0,00:00,0,0,0,0,0,0,0,9,8,17,.529,0.89,7,22,-15,5,,0,39,5,2,3,0.08,0,0,False,,,,,,,,,,,,,,,,,,
2025-26,whockey,Middle Atlantic Conferences (MAC),mac,King's,"Munn, Brenna",Brenna,Munn,0,336,"Munn, Brenna","Munn,Brenna",MunnBrennaKIN,25,7,20,,King's,KIN,1001-6481,0,,0,0,0,0,0,0,0,0,0,6,12:00,0,0,0,0,0,0,6,0,2,2,.000,0,5,44,-39,36,,0,9,1,1,0,0.00,0,0,False,,,,,,,,,,,,,,,,,,
2025-26,whockey,Middle Atlantic Conferences (MAC),mac,King's,"Anzalone, Nina",Nina,Anzalone,0,336,"Anzalone, Nina","Anzalone,Nina",AnzaloneNinaKIN,25,4,26,,King's,KIN,1001-6514,0,,0,0,0,0,0,0,0,0,0,2,04:00,0,0,0,0,0,0,2,0,0,0,NaN,0,1,25,-24,10,,0,3,0,0,0,0.00,0,0,False,,,,,,,,,,,,,,,,,,
2025-26,whockey,Middle Atlantic Conferences (MAC),mac,King's,"Tietz, Jerrett",Jerrett,Tietz,0,336,"Tietz, Jerrett","Tietz,Jerrett",TietzJerrettKIN,25,4,34,,King's,KIN,1001-7021,0,,0,0,0,0,0,0,0,0,0,16,32:00,0,0,0,0,0,0,16,44,86,130,.338,1.95,2,32,-30,32,,0,28,1,1,0,0.00,0,0,False,,,,,,,,,,,,,,,,,,
